origin,destination,area,ttpTravelTime
"49.54574760000023 , 18.1483875","49.64189930000002 , 18.32898589999999",urban-urban,1800
"49.312540400000124 , 16.951516000000158","49.427880500000164 , 17.04126210000011",urban-urban,1800
"49.58372009999997 , 18.509297799999995","49.69949370000016 , 18.561050900000044",urban-urban,1801
"49.89308050000009 , 18.500930200000038","49.83974589999972 , 18.31849920000002",urban-urban,1799
"49.97876250000007 , 14.67386769999997","50.096706599999884 , 14.6870289",urban-urban,1801
"49.6987750999999 , 18.557472199999978","49.619027200000055 , 18.413788500000035",urban-urban,1799
"49.7166269000002 , 18.328639099999997","49.5958372 , 18.221152600000025",urban-urban,1802
"50.10088160000018 , 14.653302700000015","50.063042299999935 , 14.4586827999999",urban-urban,1802
"50.15711699999988 , 14.515950300000002","50.05332509999982 , 14.427956200000045",urban-urban,1798
"50.76791640000015 , 15.397897300000116","50.7366528999999 , 15.183556000000053",urban-urban,1798
"49.70323399999991 , 18.237477500000008","49.541977900000056 , 18.269343800000033",urban-urban,1802
"49.65087559999988 , 18.35049670000001","49.55441800000019 , 18.183644500000035",urban-urban,1802
"49.59399709999983 , 18.23357409999993","49.63601310000005 , 18.43551489999997",urban-urban,1802
"49.584886700000034 , 18.53627709999996","49.71381250000005 , 18.50682380000001",urban-urban,1797
"50.70289269999999 , 14.324604399999975","50.83724080000007 , 14.376950400000002",urban-urban,1803
"50.531196299999955 , 16.163068600000024","50.39518690000003 , 16.160250400000027",urban-urban,1803
"50.519019700000186 , 15.758519699999875","50.565610500000545 , 15.96607829999999",urban-urban,1797
"50.11482540000005 , 14.319460799999987","50.11601830000005 , 14.491881500000066",urban-urban,1797
"49.60539390000001 , 18.44855869999996","49.66476390000003 , 18.606940299999973",urban-urban,1803
"50.775768399999976 , 15.153345600000039","50.773846899999754 , 15.346994200000017",urban-urban,1797
"50.785364700000116 , 14.009701700000086","50.78100219999995 , 14.21233299999999",urban-urban,1804
"49.60638469999997 , 17.4132607999999","49.758705700000085 , 17.507135699999996",urban-urban,1796
"50.104183899999946 , 14.29918940000005","50.107784900000134 , 14.4703901",urban-urban,1804
"50.62587740000004 , 15.820796400000123","50.53973380000005 , 15.979321000000013",urban-urban,1804
"49.762698799999946 , 17.596991700000007","49.62530189999996 , 17.449779400000075",urban-urban,1796
"49.85904450000019 , 18.346567199999956","49.87961689999996 , 18.55052220000003",urban-urban,1796
"49.25329649999986 , 17.664037100000037","49.17028799999995 , 17.511694899999938",urban-urban,1804
"50.526400999999964 , 15.820580000000021","50.62015540000026 , 15.6558111",urban-urban,1796
"50.773345100000185 , 15.168291999999928","50.82923150000141 , 15.012886099999944",urban-urban,1796
"50.51423439999992 , 15.982953199999992","50.470372300000015 , 16.22350249999998",urban-urban,1795
"50.66897749999996 , 15.6651705","50.51893989999994 , 15.730868400000082",urban-urban,1805
"49.76033100000002 , 18.126804400000005","49.61557530000027 , 18.243190999999953",urban-urban,1795
"49.53867340000002 , 18.2024844","49.64125609999989 , 18.34213869999995",urban-urban,1795
"50.80698780000015 , 15.048141699999995","50.7400874000002 , 15.230747799999907",urban-urban,1805
"49.519206200000056 , 18.203705100000043","49.64645460000057 , 18.314987300000023",urban-urban,1794
"50.095446199999984 , 14.664667199999998","50.02394389999994 , 14.439650000000006",urban-urban,1806
"50.71781129999997 , 15.23695530000002","50.79593060000008 , 15.059814799999966",urban-urban,1794
"49.700340799999914 , 18.565308799999983","49.79368840000004 , 18.403047799999943",urban-urban,1794
"49.53369260000001 , 18.29674629999992","49.674457300000036 , 18.227933600000025",urban-urban,1794
"49.64454929999975 , 18.297984800000037","49.5141461999997 , 18.199451099999983",urban-urban,1807
"50.56722809999998 , 15.91964270000004","50.69219460000005 , 15.828863800000018",urban-urban,1793
"50.482878600000134 , 16.22127270000004","50.52758269999999 , 16.005065700000014",urban-urban,1807
"50.68841590000011 , 14.259840199999967","50.79946730000001 , 14.437977800000022",urban-urban,1807
"49.85538880000001 , 18.211317299999976","49.86313660000067 , 18.413111500000056",urban-urban,1807
"50.7282331000001 , 14.226301399999963","50.76752929999969 , 14.07370859999996",urban-urban,1793
"49.888650199999944 , 18.37710919999999","49.76123000000008 , 18.342359100000035",urban-urban,1807
"49.531486600000065 , 18.18840389999997","49.65066950000049 , 18.31561990000003",urban-urban,1793
"50.75947829999947 , 15.159621700000061","50.77443469999998 , 15.350936499999944",urban-urban,1793
"49.53287869999989 , 18.022089700000013","49.65782950000001 , 18.093182400000025",urban-urban,1793
"49.349896999999906 , 18.0249864","49.28811810000006 , 17.85845159999994",urban-urban,1792
"49.57307690000006 , 18.236437799999987","49.708370000000805 , 18.331901400000085",urban-urban,1808
"49.69904480000072 , 18.28271579999997","49.5603107 , 18.202187499999997",urban-urban,1792
"50.720984199999975 , 14.276524799999997","50.763291500000136 , 14.116815600000017",urban-urban,1792
"50.800259000000224 , 15.148479799999922","50.69542240000006 , 15.32905620000001",urban-urban,1808
"49.57291980000006 , 18.193704899999986","49.444177600000025 , 18.1819648",urban-urban,1809
"50.15435499999976 , 14.532925399999975","50.05327790000029 , 14.432532200000043",urban-urban,1809
"50.7729858999999 , 15.363157700000041","50.70774439999993 , 15.159620900000046",urban-urban,1809
"50.07834720000003 , 14.672836099999994","50.085434699999965 , 14.490596699999973",urban-urban,1809
"49.51813589999984 , 18.25045069999995","49.58893440000005 , 18.42248499999997",urban-urban,1791
"50.448933399999895 , 16.168636200000012","50.50517919999992 , 15.971176400000004",urban-urban,1809
"50.55002039999998 , 15.72285270000003","50.69244389999973 , 15.846736099999962",urban-urban,1809
"50.74056360000001 , 15.2600705","50.782541300000304 , 15.06838129999989",urban-urban,1809
"50.53094940000007 , 15.760001099999947","50.62721829999999 , 15.60853539999999",urban-urban,1791
"50.522242699999964 , 15.880397599999997","50.56826780000092 , 15.67497759999999",urban-urban,1790
"50.29771120000012 , 17.3187159","50.222355799999086 , 17.101827800000077",urban-urban,1810
"50.68468040000006 , 15.359531299999993","50.77045400000013 , 15.190789999999994",urban-urban,1810
"50.458369600000005 , 16.191731300000015","50.50517919999992 , 15.971176400000004",urban-urban,1810
"49.42805739999999 , 18.12461570000007","49.528187599999626 , 18.305171300000012",urban-urban,1790
"49.2824221000006 , 18.082915799999945","49.365275199999935 , 18.295218700000003",urban-urban,1790
"49.70557610000005 , 18.32445020000002","49.570845800000065 , 18.279790900000044",urban-urban,1790
"50.75509939999995 , 14.206986200000037","50.7826421 , 14.01295149999998",urban-urban,1810
"50.795972600000056 , 14.451232999999961","50.72694190000021 , 14.22865600000002",urban-urban,1790
"49.43559740000007 , 16.90452179999995","49.47104599999999 , 17.1140466",urban-urban,1790
"49.62567540000013 , 18.455562700000044","49.61000099999982 , 18.251542599999926",urban-urban,1790
"49.60624460000012 , 18.50426260000003","49.73123850000077 , 18.49396789999993",urban-urban,1790
"50.634863800000296 , 15.525072300000001","50.49053690000003 , 15.505180900000015",urban-urban,1811
"49.90524219999973 , 18.483801799999974","49.85047359999989 , 18.29354189999997",urban-urban,1811
"49.781844500000105 , 18.310578099999958","49.89121850000013 , 18.40780990000009",urban-urban,1811
"49.838103399999866 , 18.396113900000064","49.68454220000028 , 18.35465659999995",urban-urban,1811
"49.54678060000026 , 18.152003799999992","49.70868029999989 , 18.23218970000002",urban-urban,1789
"49.70011379999999 , 18.58242210000002","49.78407309999999 , 18.402908799999977",urban-urban,1811
"50.73457789999989 , 15.258476600000048","50.778815900000104 , 15.063086399999984",urban-urban,1788
"50.76912430000015 , 14.11461760000006","50.72339770000003 , 14.286061599999966",urban-urban,1812
"49.72614550000017 , 18.47338470000003","49.60461359999993 , 18.547194399999853",urban-urban,1812
"49.63550239999998 , 18.213036100000014","49.7925739999998 , 18.186022899999944",urban-urban,1812
"50.72809060000008 , 15.260157599999987","50.79201180000004 , 15.052375300000014",urban-urban,1787
"50.50622400000001 , 15.98937079999999","50.508207099999915 , 16.21697899999997",urban-urban,1787
"49.31918310000011 , 18.178226299999995","49.36320400000006 , 18.37082340000005",urban-urban,1787
"49.556583899999914 , 18.254549299999965","49.686482500000075 , 18.32453820000004",urban-urban,1787
"50.0675631999999 , 14.636921799999984","50.08254849999999 , 14.467985600000011",urban-urban,1813
"49.88438920000009 , 18.381058299999967","49.76088770000006 , 18.33397359999996",urban-urban,1787
"50.60913869999999 , 15.297098399999973","50.61212370000004 , 15.51592659999999",urban-urban,1786
"49.796067299999876 , 18.24406299999999","49.623938400000014 , 18.231315299999995",urban-urban,1814
"49.36890589999998 , 18.331981700000043","49.298527300000174 , 18.091248299999997",urban-urban,1814
"50.087456500000215 , 14.660870500000069","50.0629738 , 14.485261100000022",urban-urban,1814
"49.66650379999999 , 18.58412910000004","49.61344199999989 , 18.419272100000022",urban-urban,1786
"50.0520630000001 , 17.05305899999999","49.93765390000012 , 16.892800900000015",urban-urban,1814
"49.65738300000001 , 18.28142259999985","49.528166700000355 , 18.204532700000108",urban-urban,1786
"49.60724599999979 , 18.199040300000213","49.57844130000024 , 18.404875200000085",urban-urban,1786
"49.60393020000006 , 18.12878469999999","49.53083809999989 , 18.296973200000043",urban-urban,1786
"49.87469470000007 , 18.55728620000003","49.859024999999974 , 18.334000099999972",urban-urban,1815
"50.5321973 , 16.060489599999936","50.44748660000037 , 16.230443700000002",urban-urban,1785
