origin,destination,area,ttpTravelTime
"-24.581502399999973 , 31.525051299999966","-24.45115400000002 , 31.464284500000087",urban-urban,1799
"-25.108343899999962 , 31.381805199999977","-25.088647499999983 , 31.546449999999904",urban-urban,1801
"-24.453615100000086 , 31.78951440000001","-24.392075300000045 , 31.66633799999995",urban-urban,1799
"-24.828133000000093 , 31.699044899999837","-24.685117299999995 , 31.6609105",urban-urban,1799
"-25.503051800000083 , 28.10288490000009","-25.542795999999974 , 27.975361199999863",urban-urban,1801
"-24.232573900000066 , 31.720611200000032","-24.10828510000006 , 31.671854",urban-urban,1799
"-25.29699990000002 , 28.23616949999994","-25.39152219999997 , 28.157258900000045",urban-urban,1798
"-24.055355100000035 , 31.717285199999907","-23.945755300001508 , 31.614704099999923",urban-urban,1802
"-25.97263399999997 , 20.28069410000002","-26.03546919999979 , 20.421622599999925",urban-urban,1802
"-23.6283189999999 , 31.477999999999945","-23.672069599999936 , 31.362715999999985",urban-urban,1802
"-24.86085289999997 , 31.789557299999977","-24.966498799999872 , 31.70050129999993",urban-urban,1798
"-22.73224229999986 , 31.166528999999972","-22.727193200000045 , 31.027287300000047",urban-urban,1803
"-24.803580100000012 , 31.883987900000026","-24.95099779999998 , 31.92228639999999",urban-urban,1797
"-23.682750199999937 , 31.365145999999985","-23.618766199999943 , 31.4642112999999",urban-urban,1803
"-33.602702499999836 , 25.749029799999985","-33.64723280000012 , 25.818886299999992",urban-urban,1804
"-25.39304260000001 , 27.99129989999997","-25.524396099999915 , 28.09319699999997",urban-urban,1796
"-34.05563429999982 , 18.364563699999984","-34.1340281 , 18.43405199999999",urban-urban,1796
"-24.94935380000002 , 31.323118499999982","-24.947829000000024 , 31.171158000000013",urban-urban,1794
"-23.735297500000012 , 29.083852199999995","-23.72803490000007 , 28.950747199999963",urban-urban,1794
"-24.402294300000044 , 31.760011499999955","-24.39708720000133 , 31.589822000000005",urban-urban,1806
"-23.189922600000074 , 31.317240399999932","-23.27426719999996 , 31.397318499999955",urban-urban,1807
"-26.188538399999825 , 20.545814399999898","-26.054716099999993 , 20.441486400000006",urban-urban,1793
"-23.110610500000067 , 31.44648129999993","-23.019669599999922 , 31.3227507",urban-urban,1793
"-22.682651699999877 , 31.138445699999917","-22.69767859999991 , 30.991036500000067",urban-urban,1807
"-23.87323250000001 , 29.73533389999999","-23.979461199999893 , 29.679379699999984",urban-urban,1807
"-22.98797949999994 , 31.256991299999996","-23.04532639999998 , 31.39392080000001",urban-urban,1807
"-25.383093100000057 , 27.949513800000002","-25.359391099999986 , 28.066871199999916",urban-urban,1807
"-22.74356619999996 , 31.118067499999963","-22.637652599999992 , 31.180056300000025",urban-urban,1792
"-30.756325300000015 , 28.42329420000004","-30.735512300000018 , 28.351652600000044",urban-urban,1791
"-28.400272100000027 , 32.356662199999974","-28.277401500000135 , 32.39055859999985",urban-urban,1789
"-22.576150200000015 , 30.68213359999993","-22.65820759999999 , 30.589550399999904",urban-urban,1789
"-25.082415399999903 , 31.545425399999964","-25.238474200000017 , 31.56915749999992",urban-urban,1789
"-25.813109200000014 , 20.498119599999978","-25.935667400000014 , 20.44228669999997",urban-urban,1789
"-24.807590699999995 , 31.85077069999988","-24.68514290000006 , 31.81387829999995",urban-urban,1788
"-30.76462949999998 , 28.45106339999997","-30.769391899999984 , 28.363104199999995",urban-urban,1787
"-25.896760500000216 , 25.636166199999984","-25.907200199999977 , 25.790404100000032",urban-urban,1787
"-25.950141499999987 , 25.60785679999995","-25.816349599999963 , 25.66251619999993",urban-urban,1813
"-24.70261200000001 , 31.789696800000023","-24.722443200000015 , 31.662919499999898",urban-urban,1813
"-28.283924400000025 , 32.0355055000001","-28.1946783 , 31.915884300000062",urban-urban,1787
"-25.69979060000009 , 31.805870600000095","-25.661783200000016 , 31.93998369999986",urban-urban,1786
"-25.3980509999999 , 31.192811399999982","-25.507787199999992 , 31.153557299999946",urban-urban,1786
"-28.047145699999973 , 23.20537830000003","-28.074191100000025 , 23.104952599999965",urban-urban,1786
"-23.797287299999986 , 29.38175439999991","-23.803932399999983 , 29.25526750000002",urban-urban,1814
"-26.02484790000001 , 27.945471700000006","-26.064650999999945 , 28.058743700000022",urban-urban,1785
"-24.814973699999992 , 29.94642909999997","-24.70268630000014 , 29.983558999999985",urban-urban,1816
"-28.20548839999994 , 32.0473163","-28.281852400000012 , 31.975761600000062",urban-urban,1784
"-25.02062340000003 , 29.55135049999991","-24.986401400000045 , 29.69148650000002",urban-urban,1816
"-28.11286959999984 , 32.10806210000017","-28.03604949999994 , 32.20258130000006",urban-urban,1816
"-31.496274000000028 , 28.742905499999996","-31.579366000000054 , 28.68508949999993",urban-urban,1783
"-24.623748199999998 , 31.79599459999999","-24.756844799999996 , 31.87315509999994",urban-urban,1817
"-28.2779031 , 31.962974600000127","-28.19443330000002 , 31.918429000000064",urban-urban,1782
"-22.7291649 , 31.025305699999976","-22.674204099999997 , 31.167664700000028",urban-urban,1782
"-23.926219600000064 , 31.334562800000025","-23.92800869999989 , 31.179188499999928",urban-urban,1818
"-24.002511200001514 , 31.68914079999992","-23.907367400001505 , 31.598595399999923",urban-urban,1819
"-23.00513749999998 , 30.53217529999991","-23.024395999999992 , 30.424680399999936",urban-urban,1819
"-25.984634999999876 , 20.301077899999918","-25.9040503 , 20.154590700000007",urban-urban,1819
"-22.676270399999996 , 31.167520900000028","-22.822592999999994 , 31.215826100000015",urban-urban,1819
"-30.800801100000054 , 29.170581400000003","-30.713144600000053 , 29.17090209999999",urban-urban,1820
"-23.84302120000008 , 31.268251200000023","-23.87273830000002 , 31.410545099999954",urban-urban,1820
"-25.56332719999999 , 27.96622930000005","-25.513498700000003 , 28.092969099999998",urban-urban,1821
"-25.83204050000009 , 25.576403899999974","-25.93573870000021 , 25.649965799999936",urban-urban,1821
"-24.191062599999942 , 31.105558999999985","-24.34296550000009 , 31.063342500000182",urban-urban,1821
"-32.89929480000007 , 27.51019480000014","-32.93863399999997 , 27.400999400000043",urban-urban,1779
"-26.125702699999785 , 20.509997599999917","-26.13679160000001 , 20.626891600000015",urban-urban,1778
"-24.814240599999973 , 31.885477199999972","-24.71090770000005 , 31.927606599999937",urban-urban,1822
"-23.770316900000072 , 31.365156799999948","-23.86924920000008 , 31.294047400000032",urban-urban,1778
"-22.782648400000003 , 31.19607570000002","-22.661685300000006 , 31.130509499999977",urban-urban,1824
"-25.168814000000054 , 31.145595500000066","-25.152651000000024 , 31.298057300000085",urban-urban,1824
"-23.097488099999865 , 31.4028244","-23.002749099999928 , 31.313830499999973",urban-urban,1824
"-23.475747299999956 , 31.372290399999905","-23.324279500000074 , 31.37442649999999",urban-urban,1824
"-25.55615999999994 , 28.020812300000028","-25.433899599999954 , 28.106689899999953",urban-urban,1825
"-25.920779800000005 , 25.483125899999983","-25.90577820000012 , 25.647226299999936",urban-urban,1775
"-28.126984099999845 , 32.05246210000018","-28.06617089999985 , 32.11894740000011",urban-urban,1774
"-23.43659589999998 , 31.435493699999938","-23.326708699999926 , 31.373283500000085",urban-urban,1774
