origin,destination,area,ttpTravelTime
"27.37178180000003 , 76.55255550000017","27.3739711 , 76.66129409999984",urban-urban,1800
"14.799379499999981 , 77.21145809999955","14.729125400000006 , 77.13623289999977",urban-urban,1800
"22.621545100000148 , 75.83733289999934","22.7391574000001 , 75.82947119999992",urban-urban,1801
"23.130576999999985 , 71.78477599999994","23.283655999999976 , 71.77835999999988",urban-urban,1799
"30.295271300000007 , 78.98988689999996","30.291429799999975 , 79.11835920000001",urban-urban,1802
"22.4424537 , 70.11748079999968","22.48320060000004 , 69.9879260000004",urban-urban,1803
"16.663157800000022 , 82.10297590000016","16.6085218999999 , 82.18962190000026",urban-urban,1803
"11.9093102 , 79.81281090000012","12.035472299999961 , 79.87030769999994",urban-urban,1804
"17.45626539999988 , 78.32745449999993","17.370668699999996 , 78.4653114000001",urban-urban,1804
"28.47185079999996 , 77.09117400000042","28.613393700000007 , 77.12962960000033",urban-urban,1804
"30.684856800000023 , 76.65904680000067","30.781553100000018 , 76.78698580000035",urban-urban,1804
"22.111862500000072 , 87.96175220000002","22.2034631 , 88.02788290000015",urban-urban,1796
"17.488844600000096 , 78.3368689999999","17.36451419999992 , 78.4228934000002",urban-urban,1804
"22.253663500000027 , 87.92667200000017","22.162521900000026 , 87.97635859999988",urban-urban,1805
"26.51842790000001 , 80.26854689999942","26.484759700000033 , 80.40044030000027",urban-urban,1795
"23.53019949999989 , 72.0913457999995","23.46188299999996 , 71.94403499999999",urban-urban,1794
"18.47637989999992 , 73.91742899999991","18.55109249999995 , 73.81847099999955",urban-urban,1794
"22.502163900000017 , 75.5419622","22.467083999999986 , 75.41792499999998",urban-urban,1806
"28.868462699999927 , 78.81560049999962","28.85211410000013 , 78.71290770000054",urban-urban,1807
"31.700310100000006 , 74.82732680000012","31.597936999999984 , 74.79310800000009",urban-urban,1793
"16.489817299999984 , 81.89931420000036","16.400373299999917 , 81.84094940000034",urban-urban,1793
"18.486201199999947 , 73.85013060000034","18.58985790000002 , 73.8529576000001",urban-urban,1807
"16.55531380000001 , 82.05237270000018","16.64811450000002 , 82.11011590000015",urban-urban,1793
"16.692742899999967 , 81.98138150000008","16.593069699999955 , 82.06544379999936",urban-urban,1807
"13.396134100000026 , 76.60150170000037","13.284984499999942 , 76.50634279999987",urban-urban,1792
"32.23534519999992 , 76.16121000000007","32.29528060000004 , 76.11052659999994",urban-urban,1791
"11.903578699999915 , 76.0635977000002","11.843641099999996 , 76.10976839999988",urban-urban,1790
"17.502405499999938 , 78.53109210000041","17.3878438000001 , 78.60862059999985",urban-urban,1811
"16.600004399999953 , 82.0345559000003","16.62484639999993 , 81.92789859999941",urban-urban,1789
"26.127725799999972 , 85.46634480000013","26.014622600000013 , 85.49306509999994",urban-urban,1789
"25.290925999999963 , 83.04058039999995","25.24197099999996 , 82.91751680000002",urban-urban,1789
"23.31816860000002 , 88.71790410000017","23.24876580000016 , 88.61506749999971",urban-urban,1788
"25.335025200000043 , 83.01001309999964","25.274308899999863 , 83.1445720999999",urban-urban,1787
"30.90788120000002 , 78.33597789999978","30.84242800000001 , 78.26709459999982",urban-urban,1787
"22.431568700000014 , 88.35529970000047","22.532876599999934 , 88.34313719999956",urban-urban,1786
"16.43893050000001 , 81.91218829999984","16.430635999999975 , 81.8026845000003",urban-urban,1786
"18.444964800000005 , 73.89893299999979","18.383126199999975 , 73.84174509999995",urban-urban,1814
"22.27929890000015 , 88.38608800000041","22.33341439999987 , 88.27979230000028",urban-urban,1814
"26.976170299999996 , 77.63302489999971","26.95827839999994 , 77.47212220000029",urban-urban,1786
"20.074509400000053 , 86.09272950000003","20.01759010000007 , 86.19849810000075",urban-urban,1815
"14.250066199999935 , 77.24775570000017","14.092715099999948 , 77.2841403999999",urban-urban,1815
"21.22315799999995 , 81.32406669999985","21.10782500000007 , 81.31452859999987",urban-urban,1785
"25.708818999999952 , 85.12688490000009","25.682731499999978 , 85.27526739999988",urban-urban,1784
"25.412865599999947 , 83.01930930000033","25.2719471 , 83.01075339999961",urban-urban,1817
"24.152253499999997 , 71.65404550000001","24.281940399999947 , 71.64567290000026",urban-urban,1817
"13.059253199999873 , 77.5237858000001","12.94806619999996 , 77.48729930000007",urban-urban,1782
"29.73108100000008 , 79.05913499999988","29.650170799999923 , 79.08003410000022",urban-urban,1781
"17.643137599999942 , 73.92180109999974","17.672030799999927 , 74.04308060000061",urban-urban,1780
"22.62798869999993 , 88.38415780000005","22.539921699999994 , 88.29186469999995",urban-urban,1820
"32.4705498 , 76.22355089999982","32.44549840000007 , 76.33625970000014",urban-urban,1780
"21.194243899999982 , 81.29579190000011","21.088446099999988 , 81.37772009999999",urban-urban,1779
