origin,destination,area,ttpTravelTime
"31.206439000000454 , 130.51326200000108","31.27087920000008 , 130.64408050000011",urban-urban,1801
"36.67265999999995 , 138.9231669999988","36.75882089999988 , 138.83543340000065",urban-urban,1799
"38.070760599999986 , 138.5103304000004","37.956414300000084 , 138.51081539999987",urban-urban,1802
"34.75707029999988 , 135.60740899999954","34.730629900000096 , 135.74082760000005",urban-urban,1803
"36.38257210000005 , 139.31688470000105","36.28746840000003 , 139.20240629999992",urban-urban,1804
"26.61310650000009 , 128.09870590000025","26.653840000000056 , 127.95975600000008",urban-urban,1795
"32.029142999998264 , 130.91285399999973","32.114547999998564 , 130.91969200000042",urban-urban,1805
"43.74964100000005 , 142.3457827000006","43.81778789999985 , 142.45784080000053",urban-urban,1805
"43.76825999999914 , 142.52992000000052","43.73676000000023 , 142.3605956000005",urban-urban,1794
"33.26652999999997 , 131.26246200000048","33.35047199999996 , 131.3312510000004",urban-urban,1794
"33.41013469999999 , 134.21610000000112","33.250385399999836 , 134.17989360000038",urban-urban,1794
"33.142711800000015 , 129.81811699999994","33.249882999999876 , 129.9015649999999",urban-urban,1807
"38.17930379999994 , 138.31992890000006","38.30199080000009 , 138.4517812999999",urban-urban,1808
"32.5351069999979 , 131.3872260000004","32.62099599999952 , 131.39441599999978",urban-urban,1792
"43.71590820000033 , 142.31692969999915","43.814484500000184 , 142.40352200000092",urban-urban,1792
"35.51529580000002 , 134.53675739999986","35.61111599999996 , 134.45656000000022",urban-urban,1791
"32.41592999999641 , 131.3333440000002","32.50268999999834 , 131.29636099999973",urban-urban,1791
"38.00075559999982 , 138.31657049999927","38.09725179999998 , 138.26155370000004",urban-urban,1810
"42.77786399999979 , 141.40202999999912","42.85274789999998 , 141.31542990000048",urban-urban,1811
"35.6605407000001 , 139.1709435000002","35.568978000000186 , 139.08329629999952",urban-urban,1789
"36.37773870000042 , 138.26393879999873","36.34086420000002 , 138.4450439000001",urban-urban,1812
"36.26072520000042 , 138.11198779999916","36.33619999999998 , 138.28661399999956",urban-urban,1787
"36.68797209999999 , 138.9892692","36.73168959999994 , 138.83957679999963",urban-urban,1787
"33.83968229999993 , 134.60591199999956","33.97694100000002 , 134.59319599999998",urban-urban,1814
"36.43553750000025 , 138.91895919999965","36.30445330000002 , 138.98674069999933",urban-urban,1814
"43.744268999999974 , 142.31041270000028","43.808381299999986 , 142.43728070000066",urban-urban,1820
"31.553570499999985 , 130.53428949999923","31.625840000000668 , 130.59431599999982",urban-urban,1780
"33.15666239999995 , 130.20723850000007","33.24106859999966 , 130.06515189999996",urban-urban,1780
"37.34744550000003 , 139.78417610000005","37.481884900001184 , 139.84815059999977",urban-urban,1821
"31.921650000000813 , 130.66779100000068","31.784098000001272 , 130.6688380000004",urban-urban,1821
"36.40288499999995 , 137.83128200000016","36.23371700000006 , 137.84399500000185",urban-urban,1823
"36.286676599999964 , 139.028713","36.37865499999861 , 138.90600449999994",urban-urban,1777
"33.222450999999516 , 130.01816199999945","33.22047479999856 , 130.21270380000016",urban-urban,1824
"34.97891899999995 , 137.6696053000001","34.907451299999714 , 137.54886130000042",urban-urban,1825
"36.54173189999995 , 138.89467200000018","36.49476359999996 , 138.77534139999972",urban-urban,1826
"33.22420699999936 , 129.93076399999967","33.12971349999954 , 129.81655189999938",urban-urban,1774
"42.79850299999997 , 141.63522800000007","42.831890999999686 , 141.76387300000002",urban-urban,1826
"34.94827930000013 , 137.61766010000102","34.870527800000005 , 137.44956150000002",urban-urban,1773
"36.558494699999876 , 140.64532959999903","36.64261679999964 , 140.55966970000003",urban-urban,1773
"33.23288369999994 , 130.19822359999992","33.17822889999957 , 130.06029719999984",urban-urban,1772
"26.85685900000005 , 128.2455984000002","26.74585319999989 , 128.1737384999998",urban-urban,1772
"42.83796799999929 , 141.55851799999894","42.78214820000004 , 141.66324149999994",urban-urban,1771
"33.29883049999918 , 129.91948369999932","33.166952400000106 , 129.85031520000044",urban-urban,1770
"33.224379699999325 , 130.06347809999977","33.21714099999992 , 130.25678359999898",urban-urban,1768
"34.57816129999975 , 133.75041550000046","34.54019750000001 , 133.89784489999946",urban-urban,1767
"42.7799648000001 , 140.77760220000013","42.86614499999881 , 140.78489199999984",urban-urban,1833
"33.11391139999999 , 130.09909030000028","33.22075319999858 , 130.19807870000014",urban-urban,1767
"35.511180999999326 , 134.97436100000058","35.572071200000174 , 135.14985499999992",urban-urban,1765
"35.78853249999991 , 139.31554760000034","35.85776290000032 , 139.2077579999998",urban-urban,1765
"40.65135190000001 , 141.38588360000003","40.79760799999997 , 141.34916899999968",urban-urban,1764
"34.35516000000007 , 132.84658399999992","34.26852069999992 , 132.80307519999997",urban-urban,1762
"36.4342697 , 139.0299098000001","36.38450409999993 , 139.20714660000004",urban-urban,1839
"33.236780799999906 , 129.9308005999997","33.2186124 , 129.7945947000001",urban-urban,1839
"33.1416969999995 , 129.83310529999898","33.05866710000016 , 129.97590339999962",urban-urban,1839
"35.823783699999986 , 139.22892979999978","35.772438199999925 , 139.34327630000053",urban-urban,1841
"35.251034700000346 , 140.40554319999993","35.39877099999884 , 140.39222100000003",urban-urban,1759
"33.27937739999993 , 129.82961129999993","33.18330339999994 , 129.9699250999996",urban-urban,1843
"34.22913899999964 , 133.6146213000002","34.12004659999911 , 133.72163560000067",urban-urban,1756
"34.81615409999988 , 135.75427770000127","34.78172470000016 , 135.61107829999958",urban-urban,1754
"42.68041599999654 , 143.42729100000005","42.59401699999848 , 143.4154090000009",urban-urban,1754
"34.55164120000007 , 133.76235030000015","34.671062199999916 , 133.68567000000084",urban-urban,1848
"42.888181999997656 , 143.7083809999997","42.960764999999036 , 143.7882439999999",urban-urban,1849
"43.08763389999975 , 141.40954520000017","43.04257980000001 , 141.30835890000023",urban-urban,1748
"26.625514700000014 , 128.04240739999955","26.66665100000029 , 127.91745599999936",urban-urban,1852
"31.64343279999986 , 130.48364879999963","31.751358000000035 , 130.5819369999998",urban-urban,1853
"40.692089200000076 , 141.3624804999989","40.78581259999927 , 141.2388191000003",urban-urban,1747
"34.06872509999994 , 134.54752400000024","34.132578 , 134.38989999999998",urban-urban,1854
"37.99333769999989 , 138.27241039999956","38.13052139999998 , 138.2831942999994",urban-urban,1855
"36.748930600000115 , 139.46518280000004","36.744257800000035 , 139.63332739999976",urban-urban,1744
"35.443340999999826 , 134.5916050000002","35.39475299999982 , 134.70910400000105",urban-urban,1857
