join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-33.8408712 , 151.0254931","-33.841197 , 150.7540864",urban-rural,1812
1,1,"-33.913632400000004 , 150.965687","-34.036779800000005 , 150.9656493",urban-rural,1788
2,2,"-35.228702500000004 , 149.02741220000001","-35.142774100000004 , 149.1128482",urban-urban,1821
3,3,"-33.799164600000005 , 151.1680073","-33.664977300000004 , 151.30162470000002",urban-urban,1832
4,4,"-34.552120200000005 , 150.86066870000002","-34.4773152 , 150.7855426",urban-urban,1834
5,5,"-33.929586300000004 , 150.856657","-34.050995300000004 , 150.97817550000002",urban-urban,1844
6,6,"-33.8290884 , 151.18978270000002","-33.709581 , 151.0701414",urban-urban,1753
7,7,"-33.688331600000005 , 151.2947235","-33.687852500000005 , 151.15227570000002",urban-urban,1747
8,8,"-33.9052698 , 150.9913371","-33.905367000000005 , 150.7673771",urban-urban,1857
9,9,"-35.20048 , 149.09991240000002","-35.199994000000004 , 148.9593244",urban-rural,1728
10,10,"-33.8529367 , 151.07765640000002","-33.8530004 , 151.2466655",urban-urban,1888
11,11,"-32.9450962 , 151.65117410000002","-32.86311 , 151.65143500000002",urban-urban,1692
12,12,"-33.419083300000004 , 151.3598479","-33.3244229 , 151.36023260000002",urban-urban,1690
13,13,"-33.8353052 , 151.09458550000002","-33.8354785 , 150.7985272",urban-urban,1918
14,14,"-33.781173700000004 , 151.0568368","-33.636214100000004 , 151.05715560000002",urban-urban,1925
15,15,"-34.5029394 , 150.8286271","-34.5457813 , 150.87150110000002",urban-urban,1645
16,16,"-33.638757600000005 , 151.31062250000002","-33.7393546 , 151.31065460000002",urban-urban,1641
17,17,"-33.8616904 , 150.9924779","-33.9900929 , 151.12077000000002",urban-urban,1961
18,18,"-33.844149 , 150.8792888","-33.7236941 , 151.0001262",urban-urban,1986
19,19,"-33.7089172 , 151.05214120000002","-33.7084016 , 151.2134494",urban-urban,1992
20,20,"-33.8439137 , 151.11087120000002","-33.8442765 , 151.2410299",urban-urban,1997
21,21,"-32.7026204 , 151.5982577","-32.844805400000006 , 151.59768100000002",urban-urban,1603
22,22,"-33.9285689 , 151.07705660000002","-33.9288959 , 150.76823230000002",urban-urban,2005
23,23,"-33.7105218 , 150.9880382","-33.8839478 , 150.8144675",urban-urban,2006
24,24,"-33.8199759 , 151.0337847","-33.820047100000004 , 150.8077609",urban-urban,1591
25,25,"-33.7319133 , 151.1605471","-33.8301505 , 151.258476",urban-urban,1590
26,26,"-33.7462613 , 150.8025038","-33.6817273 , 150.8665497",urban-urban,1589
27,27,"-33.787415800000005 , 151.1305935","-33.929526100000004 , 150.9890326",urban-urban,2012
28,28,"-33.815634 , 150.9253389","-33.8156953 , 151.24317680000001",urban-urban,2012
29,29,"-33.8905417 , 150.96707990000002","-34.0796884 , 150.7775441",urban-urban,2013
30,30,"-33.9450029 , 151.0476778","-33.9445314 , 150.75754260000002",urban-urban,2026
31,31,"-33.736027400000005 , 151.12694430000002","-33.736273600000004 , 151.2926222",urban-urban,2028
32,32,"-35.2084557 , 149.15964530000002","-35.1435547 , 149.0943746",urban-urban,1567
33,33,"-33.9715772 , 151.0529103","-33.8749419 , 150.9558504",urban-urban,2038
34,34,"-33.950842800000004 , 151.0517198","-33.950779100000005 , 150.7649974",urban-rural,2039
35,35,"-33.797997200000005 , 151.01770430000002","-33.7985549 , 151.2534502",urban-urban,2041
36,36,"-33.8084196 , 151.0912849","-33.9679257 , 151.2510772",urban-urban,2041
37,37,"-33.827024200000004 , 150.9461783","-33.9547697 , 150.818867",urban-rural,2042
38,38,"-33.647517900000004 , 151.0491685","-33.810732800000004 , 151.0497415",urban-urban,2045
39,39,"-33.6826639 , 151.1208511","-33.8547461 , 150.94918380000001",rural-urban,2047
40,40,"-33.8418937 , 151.2105234","-34.0207343 , 151.0321996",urban-urban,2047
41,41,"-33.756628500000005 , 150.6832789","-33.969428 , 150.8957159",urban-urban,2049
42,42,"-33.937969200000005 , 151.1392571","-33.8107874 , 151.2667474",urban-urban,2049
43,43,"-33.772639000000005 , 150.94198590000002","-33.9335748 , 151.10337900000002",urban-urban,2049
44,44,"-33.9071547 , 150.9179354","-33.907311400000005 , 151.2406879",urban-urban,2050
45,45,"-33.873647600000005 , 151.0932921","-33.9781722 , 150.9887353",urban-urban,2051
46,46,"-32.7547629 , 151.6337527","-32.9089412 , 151.7875328",urban-urban,2052
47,47,"-33.7697315 , 151.05786650000002","-33.9564662 , 151.2440721",urban-urban,2053
48,48,"-34.0358067 , 151.09076000000002","-33.9113277 , 150.9665491",urban-urban,2054
