join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-12.3046311 , 136.8501616","-12.3045869 , 136.92693110000002",urban-urban,1798
1,1,"-12.355135500000001 , 130.884969","-12.508939300000002 , 131.038399",urban-urban,1794
2,2,"-12.282704 , 136.9205475","-12.3878015 , 136.815875",urban-rural,1775
3,3,"-12.2948354 , 136.9231633","-12.3971827 , 136.8204723",urban-rural,1826
4,4,"-12.5025747 , 130.9981683","-12.368431300000001 , 130.8641406",urban-urban,1829
5,5,"-12.295066100000001 , 136.8454269","-12.2945734 , 136.91969790000002",urban-urban,1835
6,6,"-12.3864715 , 136.80861810000002","-12.2843525 , 136.9109512",rural-urban,1837
7,7,"-12.250927500000001 , 136.8919128","-12.3398433 , 136.8923334",urban-urban,1746
8,8,"-12.2488507 , 136.8921008","-12.3398433 , 136.8923334",urban-urban,1745
9,9,"-12.251436 , 136.8926423","-12.3398433 , 136.8923334",urban-urban,1741
10,10,"-12.2854925 , 136.9131882","-12.3850601 , 136.8137926",urban-rural,1741
11,11,"-12.3769776 , 130.86007360000002","-12.5575673 , 131.04014990000002",urban-urban,1863
12,12,"-12.3801407 , 130.8706587","-12.551718300000001 , 131.0424348",urban-urban,1725
13,13,"-12.3223081 , 136.9289295","-12.3226717 , 136.8817946",urban-urban,1880
14,14,"-12.3542962 , 130.88885860000002","-12.5150447 , 131.0493638",urban-urban,1719
15,15,"-12.306173500000002 , 136.8021052","-12.305839500000001 , 136.9261909",urban-urban,1713
16,16,"-12.488601000000001 , 131.0095248","-12.352960000000001 , 130.87374200000002",urban-rural,1713
17,17,"-12.5519075 , 131.0084344","-12.3874306 , 130.8442314",urban-urban,1891
18,18,"-12.183574100000001 , 136.77471","-12.333806200000001 , 136.9248096",urban-urban,1893
19,19,"-12.512383000000002 , 131.0097475","-12.372414800000001 , 130.8692385",urban-urban,1704
20,20,"-12.514153100000001 , 130.98559260000002","-12.3774496 , 130.84839290000002",urban-urban,1699
21,21,"-12.2490012 , 136.8880943","-12.3398643 , 136.8884496",urban-urban,1685
22,22,"-12.5061136 , 131.0056812","-12.3662161 , 130.8655067",urban-urban,1683
23,23,"-12.2948617 , 136.9208969","-12.395886 , 136.8203865",urban-rural,1678
24,24,"-12.389884200000001 , 136.81810660000002","-12.2822014 , 136.925749",rural-urban,1929
25,25,"-12.353520000000001 , 130.8948499","-12.513053300000001 , 131.0540053",urban-urban,1669
26,26,"-23.6839538 , 131.6103691","-23.8034754 , 131.60998700000002",rural-rural,1669
27,27,"-12.2949639 , 136.9203577","-12.2945171 , 136.8502095",urban-urban,1937
28,28,"-12.4981361 , 130.997183","-12.3662161 , 130.8655067",urban-urban,1663
29,29,"-12.249370500000001 , 136.8946433","-12.3398643 , 136.8944256",urban-urban,1656
30,30,"-12.378922600000001 , 130.85124340000002","-12.5810899 , 131.05331220000002",urban-urban,1951
31,31,"-23.683826 , 131.6095108","-23.808715900000003 , 131.60935790000002",rural-rural,1648
32,32,"-12.3738872 , 130.872081","-12.5426643 , 131.0404944",urban-urban,1641
33,33,"-12.560482400000001 , 131.0425448","-12.3775457 , 130.8595438",urban-urban,1960
34,34,"-12.282415 , 136.92442730000002","-12.2826725 , 136.83496300000002",urban-urban,1964
35,35,"-12.2853457 , 136.91206970000002","-12.285584100000001 , 136.808739",urban-urban,1973
