join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-27.508837800000002 , 153.0329312","-27.740292800000002 , 153.26481900000002",urban-rural,1800
1,1,"-23.3755057 , 150.5099001","-23.3752536 , 150.3446973",urban-urban,1793
2,2,"-27.461081500000002 , 152.98465530000001","-27.461126 , 153.1911081",urban-urban,1819
3,3,"-27.611899800000003 , 152.97147280000002","-27.6118476 , 152.7378303",urban-urban,1780
4,4,"-27.673275 , 153.0685235","-27.4550242 , 153.0690472",rural-urban,1770
5,5,"-27.4977832 , 153.0435801","-27.669347400000003 , 152.8725455",urban-urban,1830
6,6,"-27.5261977 , 153.0527882","-27.526409800000003 , 153.2834431",urban-urban,1832
7,7,"-27.612366700000003 , 152.9305433","-27.5565341 , 152.8746745",urban-urban,1763
8,8,"-27.4541374 , 153.1433991","-27.608716700000002 , 152.98880630000002",urban-urban,1860
9,9,"-27.670857 , 153.1932973","-27.6708967 , 152.9960265",urban-rural,1871
10,10,"-27.383168 , 152.96319010000002","-27.229866400000002 , 153.1161496",urban-urban,1879
11,11,"-23.383860900000002 , 150.3787794","-23.383686500000003 , 150.57790250000002",urban-urban,1897
12,12,"-21.4070757 , 148.54131280000001","-21.4068508 , 148.6022638",rural-urban,1697
13,13,"-27.2130188 , 153.0924766","-27.213484500000003 , 152.9222075",urban-rural,1695
14,14,"-27.520929000000002 , 153.1944421","-27.336980200000003 , 153.0099869",urban-urban,1919
15,15,"-27.571279800000003 , 153.2184426","-27.571022600000003 , 152.9234299",urban-urban,1931
16,16,"-27.8228891 , 153.09548270000002","-27.628015400000002 , 153.09563450000002",urban-urban,1936
17,17,"-27.0673485 , 152.9778713","-27.201671 , 153.11192640000002",rural-urban,1938
18,18,"-27.7735124 , 153.08744420000002","-27.6560355 , 153.2044554",urban-urban,1939
19,19,"-23.375582100000003 , 150.5355652","-23.375190800000002 , 150.3958344",rural-urban,1648
20,20,"-27.5880681 , 152.8204011","-27.588605200000003 , 153.0674171",urban-urban,1642
21,21,"-27.6108641 , 152.8643883","-27.383464800000002 , 153.0913078",urban-urban,1965
22,22,"-27.549172700000003 , 153.1199904","-27.369075000000002 , 152.940185",urban-rural,1969
23,23,"-22.970234100000003 , 148.5524522","-22.9697026 , 148.7128527",urban-rural,1976
24,24,"-19.2605794 , 146.83160650000002","-19.3472103 , 146.7444672",urban-rural,1620
25,25,"-27.3859791 , 153.0319291","-27.610545100000003 , 152.8069199",urban-urban,1981
26,26,"-27.665623500000002 , 152.7380439","-27.528960700000003 , 152.7382249",rural-urban,1616
27,27,"-27.4471379 , 153.0086263","-27.6694645 , 152.786087",urban-urban,1985
28,28,"-27.6269181 , 152.9777354","-27.627444200000003 , 153.2706516",urban-rural,1988
29,29,"-27.7463978 , 153.2361236","-27.5146036 , 153.00460650000002",urban-urban,1995
30,30,"-27.679666 , 153.0477128","-27.800204100000002 , 153.1686378",urban-rural,2000
31,31,"-27.7093649 , 153.16809500000002","-27.576070100000003 , 153.30147440000002",urban-urban,2001
32,32,"-27.3986762 , 153.1099466","-27.3985367 , 152.8615689",urban-urban,2006
33,33,"-28.1098107 , 153.3871268","-27.881633100000002 , 153.3872489",urban-urban,2010
34,34,"-16.8378173 , 145.6954095","-16.976676700000002 , 145.6948855",urban-urban,1590
35,35,"-27.496769200000003 , 153.1089259","-27.605775400000002 , 153.00036250000002",urban-urban,1581
36,36,"-27.4493516 , 152.9648972","-27.6667337 , 153.18208800000002",urban-urban,2019
37,37,"-27.5868222 , 153.28345610000002","-27.7193091 , 153.1504472",urban-urban,2021
38,38,"-27.4691435 , 152.9743215","-27.7320418 , 153.23671660000002",urban-urban,2021
39,39,"-27.563108000000003 , 152.997519","-27.4583231 , 152.8925791",urban-rural,1568
40,40,"-27.645559600000002 , 153.1446042","-27.435184300000003 , 152.9343358",urban-urban,2040
41,41,"-27.5890737 , 152.82377540000002","-27.37329 , 153.0397068",urban-urban,2041
42,42,"-27.685657900000002 , 153.10288680000002","-27.408726400000003 , 153.103061",urban-urban,2042
43,43,"-27.6812201 , 153.0473983","-27.5391194 , 152.9051461",urban-urban,2043
44,44,"-16.783785700000003 , 145.6733327","-16.979673000000002 , 145.6728736",urban-rural,2043
45,45,"-27.2300782 , 152.9835879","-27.364678 , 152.8487916",urban-urban,2047
46,46,"-27.709858200000003 , 153.16331780000002","-27.9273527 , 153.3809495",urban-urban,2047
47,47,"-27.689727700000002 , 153.16239480000002","-27.8411243 , 153.1626363",urban-urban,1552
48,48,"-27.6268518 , 152.85223430000002","-27.6269779 , 153.15640330000002",urban-urban,2051
49,49,"-27.6213082 , 152.92119480000002","-27.4521866 , 153.09076860000002",urban-urban,2051
50,50,"-27.660308200000003 , 153.0221138","-27.3639061 , 153.0224147",urban-urban,2052
51,51,"-27.5942112 , 153.277027","-27.5937245 , 153.0208944",urban-urban,2055
52,52,"-27.1207315 , 152.96118810000002","-27.4057551 , 152.9606759",urban-urban,2060
53,53,"-27.6282579 , 152.76788140000002","-27.499445400000003 , 152.896148",urban-rural,2061
54,54,"-27.500950800000002 , 152.9714241","-27.501130500000002 , 153.2231396",urban-urban,2062
55,55,"-27.031241 , 152.9775495","-27.356684 , 152.9779053",urban-urban,2063
56,56,"-27.229307700000003 , 152.985074","-27.472770800000003 , 152.98487250000002",urban-urban,2063
57,57,"-27.383225300000003 , 152.980196","-27.647043500000002 , 152.9801175",urban-urban,2064
58,58,"-27.8701745 , 153.3068044","-27.626219300000002 , 153.06289270000002",urban-urban,2064
59,59,"-27.5067461 , 152.972928","-27.2763367 , 152.9728292",urban-urban,2066
60,60,"-27.2065899 , 153.0180981","-27.4855796 , 153.01754680000002",urban-urban,2066
61,61,"-27.238478500000003 , 153.0090557","-27.5503444 , 153.0091768",urban-urban,2066
62,62,"-27.576934 , 153.0539411","-27.577172200000003 , 152.7154801",urban-urban,2066
63,63,"-27.689388700000002 , 153.15999860000002","-27.4699998 , 153.1604088",urban-urban,2067
64,64,"-27.574044800000003 , 153.12691840000002","-27.3905762 , 152.94326900000002",urban-urban,2068
65,65,"-27.4440813 , 153.1153606","-27.6342061 , 153.3053147",urban-urban,2069
66,66,"-27.6330624 , 152.8743091","-27.419095700000003 , 153.088052",urban-urban,2069
67,67,"-27.3516198 , 152.87755420000002","-27.511021500000002 , 153.0370267",urban-urban,2069
68,68,"-27.6485576 , 152.7843952","-27.4183963 , 153.0141376",urban-urban,2069
