join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-34.797265100000004 , 138.67211210000002","-34.8594578 , 138.7340995",urban-rural,1797
1,1,"-34.718974 , 138.6653293","-34.837850200000005 , 138.7841213",urban-rural,1791
2,2,"-34.785428800000005 , 138.61429510000002","-34.8894657 , 138.7188898",urban-urban,1789
3,3,"-34.823025300000005 , 138.629465","-34.9237416 , 138.7304172",urban-urban,1784
4,4,"-34.7753419 , 138.6569117","-34.9659537 , 138.6566275",urban-urban,1826
5,5,"-34.8107801 , 138.4971247","-34.966498900000005 , 138.653037",urban-urban,1773
6,6,"-34.7606583 , 138.62195630000002","-34.955010200000004 , 138.62209380000002",urban-urban,1829
7,7,"-34.869979400000005 , 137.62028610000002","-35.008659800000004 , 137.7590668",urban-rural,1768
8,8,"-34.965917700000006 , 138.5974813","-34.8638242 , 138.49484610000002",urban-urban,1836
9,9,"-34.9374556 , 138.63180260000001","-34.7924118 , 138.48716710000002",urban-urban,1846
10,10,"-35.016930900000006 , 138.52286120000002","-34.821479700000005 , 138.5226953",urban-rural,1849
11,11,"-34.9551409 , 138.5067167","-34.955612 , 138.672805",urban-rural,1857
12,12,"-34.902995700000005 , 138.5927519","-35.1161259 , 138.59297180000002",urban-rural,1862
13,13,"-34.98529 , 138.5134519","-34.984991 , 138.721728",urban-urban,1730
14,14,"-34.835374 , 138.71122210000001","-34.835270200000004 , 138.48149790000002",urban-urban,1728
15,15,"-34.9295716 , 138.6501174","-34.7705865 , 138.4915164",urban-urban,1873
16,16,"-34.886179000000006 , 138.65848250000002","-35.0016109 , 138.6590266",urban-urban,1702
17,17,"-35.0080559 , 138.72202430000002","-35.0075866 , 138.51259380000002",urban-urban,1908
18,18,"-34.874412 , 138.52840840000002","-34.874461600000004 , 138.7120564",urban-urban,1914
19,19,"-34.8782853 , 138.6371628","-34.878502700000006 , 138.4835602",urban-urban,1684
20,20,"-34.675721 , 138.6960555","-34.859498 , 138.6958064",urban-urban,1922
21,21,"-34.822815000000006 , 138.6494352","-34.9690792 , 138.64994480000001",urban-rural,1672
22,22,"-34.8202152 , 138.5002082","-34.8202135 , 138.78093570000001",urban-rural,1928
23,23,"-34.8883863 , 137.7138964","-34.698536700000005 , 137.71412360000002",urban-urban,1672
24,24,"-35.109658 , 138.5273396","-34.960484 , 138.676074",urban-rural,1929
25,25,"-34.6564032 , 137.5464469","-34.6562458 , 137.8368637",urban-urban,1930
26,26,"-35.0332821 , 137.4086905","-34.8950431 , 137.2706675",urban-rural,1666
27,27,"-34.978458800000006 , 138.6040442","-34.8668317 , 138.4925657",urban-urban,1944
28,28,"-34.9334092 , 138.594941","-35.1094219 , 138.594479",urban-rural,1653
