join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-42.828126600000004 , 147.2854594","-42.9907532 , 147.2849999",urban-urban,1800
1,1,"-41.4044413 , 147.12706540000002","-41.459131 , 147.072483",urban-urban,1802
2,2,"-42.926889700000004 , 147.3038641","-42.8040242 , 147.3034351",rural-rural,1796
3,3,"-41.405485600000006 , 147.1314796","-41.4056918 , 147.05760840000002",urban-rural,1795
4,4,"-41.448698400000005 , 147.0763449","-41.449215 , 147.0988624",urban-rural,1806
5,5,"-42.8843837 , 147.4085168","-42.884843700000005 , 147.284893",urban-rural,1813
6,6,"-41.4254936 , 147.0897515","-41.425586200000005 , 147.2123445",urban-rural,1772
7,7,"-42.882376 , 147.4103789","-42.8817864 , 147.270904",urban-rural,1831
8,8,"-42.901382500000004 , 147.27007","-42.8133314 , 147.358228",urban-urban,1833
9,9,"-42.832959100000004 , 147.3495609","-42.9525602 , 147.3498171",urban-urban,1845
10,10,"-42.900291700000004 , 147.2998521","-42.8997096 , 147.4598544",urban-urban,1754
11,11,"-42.9284194 , 147.30513820000002","-42.9278758 , 147.414421",rural-urban,1846
12,12,"-42.8987337 , 147.278025","-42.816377 , 147.3607775",urban-urban,1860
13,13,"-42.9001436 , 147.2962219","-42.9002215 , 147.46044170000002",urban-urban,1737
14,14,"-42.835926 , 147.3432716","-42.927860900000006 , 147.2513672",urban-urban,1863
15,15,"-42.846099200000005 , 147.34885260000001","-42.9248278 , 147.27072280000002",urban-urban,1730
16,16,"-42.8365555 , 147.34745120000002","-42.930045500000006 , 147.25338440000002",urban-rural,1872
17,17,"-42.909389000000004 , 147.32450020000002","-42.8147018 , 147.2295946",urban-urban,1872
18,18,"-42.886661200000006 , 147.3322574","-42.744851100000005 , 147.1898882",urban-urban,1727
19,19,"-43.0284015 , 147.2655287","-42.906953 , 147.26612970000002",urban-urban,1723
20,20,"-42.8339208 , 147.3477","-42.9433291 , 147.34783190000002",urban-urban,1879
21,21,"-42.8911026 , 147.3298748","-42.7495865 , 147.1878988",urban-rural,1880
22,22,"-41.4246744 , 147.07857190000001","-41.4245773 , 147.2164387",urban-rural,1881
23,23,"-42.900073000000006 , 147.2785249","-42.816904300000004 , 147.3618696",urban-urban,1886
24,24,"-41.0807098 , 145.98481270000002","-41.081243 , 145.8044705",urban-rural,1886
25,25,"-42.8526238 , 147.2545095","-42.852071900000006 , 147.4523538",urban-rural,1701
26,26,"-42.8290097 , 147.2819747","-42.9931549 , 147.2816434",urban-rural,1903
27,27,"-42.8939782 , 147.32307","-42.747994600000006 , 147.1767005",urban-rural,1904
28,28,"-41.413437200000004 , 147.12972530000002","-41.3432702 , 147.0600463",urban-urban,1911
29,29,"-41.492936500000006 , 147.16825450000002","-41.387927000000005 , 147.1677899",urban-rural,1917
30,30,"-42.9136648 , 147.35599630000002","-42.783621100000005 , 147.356324",urban-urban,1919
31,31,"-42.872269100000004 , 147.2624724","-42.9504244 , 147.3403185",urban-urban,1921
32,32,"-41.395351600000005 , 147.0784676","-41.5041109 , 147.1868753",urban-rural,1676
33,33,"-41.4709595 , 147.13685410000002","-41.379966800000005 , 147.1372277",urban-urban,1668
34,34,"-42.9262634 , 147.2802406","-42.826051500000005 , 147.27961620000002",rural-urban,1667
35,35,"-41.4308137 , 147.092812","-41.4303346 , 147.2091049",urban-rural,1666
36,36,"-42.865561 , 147.3363721","-42.7192352 , 147.1900462",urban-rural,1665
37,37,"-42.8311726 , 147.35417750000002","-42.951381100000006 , 147.35449880000002",urban-rural,1939
38,38,"-42.8323489 , 147.29973710000002","-43.014792 , 147.29959340000002",urban-urban,1950
39,39,"-41.4036041 , 147.0787774","-41.338687400000005 , 147.14350910000002",rural-rural,1953
