join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-37.728982900000005 , 144.87978280000002","-37.5763138 , 145.0328701",urban-rural,1801
1,1,"-37.6736706 , 144.8514788","-37.860706 , 144.85179870000002",urban-urban,1798
2,2,"-37.807828 , 145.03922740000002","-37.8730016 , 144.97433170000002",urban-urban,1805
3,3,"-37.859526900000006 , 145.1651473","-38.1146296 , 145.1651199",urban-urban,1806
4,4,"-37.7174409 , 144.82304010000001","-37.8711071 , 144.82349480000002",urban-urban,1788
5,5,"-37.897034600000005 , 145.2156343","-38.1351305 , 145.45376280000002",urban-rural,1817
6,6,"-37.6611871 , 145.04841530000002","-37.6615665 , 145.202088",urban-urban,1836
7,7,"-37.6198069 , 145.0179003","-37.619413300000005 , 145.13110450000002",urban-urban,1759
8,8,"-37.6480964 , 144.9421093","-37.845019400000005 , 144.94265090000002",urban-urban,1751
9,9,"-37.7235716 , 144.8571067","-37.945988 , 144.6342103",urban-rural,1850
10,10,"-37.741717 , 144.9086967","-37.5962077 , 145.0539407",urban-urban,1859
11,11,"-38.066127800000004 , 145.4537886","-38.066229500000006 , 145.18847110000002",urban-urban,1859
12,12,"-37.9845569 , 145.1590481","-38.1621128 , 145.3370511",urban-rural,1862
13,13,"-37.8885494 , 145.2668683","-38.042378400000004 , 145.1128816",urban-urban,1869
14,14,"-37.681732100000005 , 144.9320446","-37.9420906 , 144.6711847",urban-urban,1921
15,15,"-37.783673300000004 , 144.7839524","-37.632195800000005 , 144.93546410000002",urban-urban,1934
16,16,"-37.7927029 , 145.0757747","-37.792431900000004 , 145.3387812",urban-urban,1960
17,17,"-37.8847304 , 144.6632781","-37.7264329 , 144.6635487",urban-urban,1961
18,18,"-37.837357100000006 , 145.0078305","-37.7395434 , 145.1052998",urban-urban,1982
19,19,"-37.7290713 , 145.0257047","-37.833591600000005 , 145.0253293",urban-urban,1991
20,20,"-37.9237357 , 145.2161433","-37.707333500000004 , 145.21670260000002",urban-urban,1993
21,21,"-37.7576687 , 144.935967","-37.6181617 , 144.9356736",urban-urban,2001
22,22,"-37.944195400000005 , 145.0575662","-37.789726900000005 , 145.0573249",urban-urban,2005
23,23,"-37.842656500000004 , 145.05114740000002","-37.8426763 , 145.29986290000002",urban-urban,2013
24,24,"-37.678680500000006 , 144.85753150000002","-37.6790431 , 145.1978426",rural-urban,2017
25,25,"-37.5965817 , 144.99753180000002","-37.736648 , 145.1373775",urban-urban,2017
26,26,"-37.8395257 , 144.8571939","-37.8398746 , 144.63613900000001",urban-urban,2024
27,27,"-37.7124389 , 145.1496918","-37.8306899 , 145.26780720000002",urban-urban,2030
28,28,"-37.8754562 , 145.0406668","-37.8757874 , 145.2848748",urban-urban,2031
29,29,"-37.611037 , 145.0796963","-37.711152000000006 , 145.17991790000002",urban-urban,2042
30,30,"-37.715031100000004 , 144.9570693","-37.71488 , 145.2047708",urban-rural,2044
31,31,"-37.8628218 , 144.72266240000002","-37.862574 , 145.1181191",urban-urban,2045
32,32,"-38.0660359 , 145.4936514","-38.0660559 , 145.19232870000002",urban-urban,2046
33,33,"-37.657341100000004 , 145.1643493","-37.657572800000004 , 144.93412700000002",urban-urban,2046
34,34,"-38.1696302 , 145.20589650000002","-37.8053779 , 145.2062458",urban-urban,2047
35,35,"-37.7709574 , 145.1568948","-37.654051200000005 , 145.04027530000002",urban-urban,2049
36,36,"-37.8362904 , 145.183356","-37.835806500000004 , 144.88700540000002",urban-urban,2051
