join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"-31.843717700000003 , 115.75387610000001","-31.8439589 , 116.05781400000001",urban-rural,1800
1,1,"-32.0671033 , 115.88946240000001","-31.938674300000002 , 115.76136650000001",urban-urban,1814
2,2,"-31.8225547 , 115.78033020000001","-31.822183600000002 , 116.0273954",urban-urban,1814
3,3,"-32.0421858 , 115.94159210000001","-31.8851471 , 116.09858630000001",urban-rural,1817
4,4,"-32.0418492 , 115.9215061","-31.885886000000003 , 116.0778848",urban-rural,1782
5,5,"-31.9971321 , 116.0522368","-31.8952281 , 116.1541806",urban-urban,1782
6,6,"-32.048770000000005 , 115.89616880000001","-31.9114393 , 115.7583213",urban-urban,1834
7,7,"-31.857070800000002 , 116.0469364","-31.8565809 , 115.75511300000001",urban-urban,1755
8,8,"-31.808373900000003 , 115.778834","-31.808054100000003 , 115.91370950000001",urban-urban,1859
9,9,"-31.891833400000003 , 116.01401820000001","-31.8915557 , 115.7561622",urban-urban,1872
10,10,"-30.1444401 , 115.13371400000001","-30.1445086 , 115.1339767",urban-urban,1715
11,11,"-31.908032000000002 , 116.002998","-31.9074813 , 115.75844070000001",urban-urban,1892
12,12,"-31.984906400000003 , 115.77730740000001","-31.984424100000002 , 116.0277506",urban-urban,1922
13,13,"-32.048770000000005 , 115.89616880000001","-32.1742038 , 116.02162340000001",urban-urban,1674
14,14,"-32.1745997 , 116.05101920000001","-32.1743219 , 115.7981857",urban-urban,1930
15,15,"-31.808947900000003 , 115.75984890000001","-31.6918556 , 115.87734370000001",urban-urban,1641
16,16,"-31.6961638 , 115.85147500000001","-31.8123615 , 115.73510970000001",rural-urban,1639
17,17,"-32.158311600000005 , 115.84822340000001","-32.047499200000004 , 115.73722350000001",urban-urban,1637
18,18,"-31.939127600000003 , 115.7872356","-31.938973100000002 , 116.02217080000001",urban-urban,1965
19,19,"-32.1332577 , 115.98927880000001","-31.889464300000004 , 115.989366",urban-urban,1976
20,20,"-31.767300000000002 , 115.76578640000001","-31.766905700000002 , 116.017936",urban-urban,1982
21,21,"-32.080466200000004 , 116.0053122","-32.0806763 , 115.75430270000001",urban-urban,1983
22,22,"-31.8362027 , 115.7632722","-31.835917600000002 , 116.05526440000001",urban-urban,1985
23,23,"-31.7974028 , 115.86051020000001","-31.968478400000002 , 116.03107960000001",urban-urban,1987
24,24,"-31.8823073 , 116.05753750000001","-31.8823207 , 115.7605908",urban-urban,1990
25,25,"-31.7102943 , 115.7803142","-31.881857200000002 , 115.9524394",urban-urban,1993
26,26,"-31.9263879 , 115.75732900000001","-31.9262435 , 116.0250525",urban-urban,2000
27,27,"-31.909280700000004 , 115.77097130000001","-31.807051200000004 , 115.87293550000001",urban-urban,1592
28,28,"-32.054203900000005 , 115.9043898","-31.7953471 , 115.904021",urban-urban,2013
29,29,"-31.832039 , 115.7582254","-32.071930800000004 , 115.75875920000001",urban-urban,2014
30,30,"-34.9695552 , 117.3526338","-34.8788142 , 117.2613345",urban-urban,1581
31,31,"-31.892285 , 116.05433000000001","-32.087373400000004 , 115.8597404",urban-urban,2019
32,32,"-31.857110100000003 , 116.0107572","-31.8565809 , 115.75511300000001",rural-urban,1575
33,33,"-32.0426063 , 115.7550047","-31.8649635 , 115.93271250000001",urban-urban,2026
34,34,"-31.806080400000003 , 115.79744740000001","-31.991122100000002 , 115.98241390000001",urban-urban,2031
35,35,"-31.984128100000003 , 115.7781262","-32.140375 , 115.93390350000001",urban-urban,2032
36,36,"-32.0040983 , 115.84549460000001","-31.825727500000003 , 116.02349650000001",urban-urban,2034
37,37,"-32.308707600000005 , 115.76692000000001","-32.0573703 , 115.7670695",urban-urban,2039
38,38,"-31.788413100000003 , 115.74490180000001","-31.9906544 , 115.94693500000001",urban-urban,2042
39,39,"-31.9680241 , 115.81775200000001","-31.793358500000004 , 115.99206960000001",urban-urban,2043
40,40,"-31.894740400000003 , 116.03311090000001","-32.1027733 , 115.8252602",urban-urban,2043
41,41,"-31.978346000000002 , 116.0535796","-31.7976275 , 115.87292160000001",urban-urban,2045
42,42,"-31.727971800000002 , 115.7304076","-31.929202000000004 , 115.93124200000001",urban-urban,2045
43,43,"-32.1252416 , 115.7836099","-32.1251879 , 116.09053060000001",urban-rural,2049
44,44,"-32.102570300000004 , 115.86767200000001","-31.987692900000003 , 115.75318730000001",urban-urban,1550
45,45,"-31.9071634 , 116.00377590000001","-32.084160000000004 , 115.82727550000001",urban-urban,2050
46,46,"-31.9532138 , 115.8546015","-32.132985600000005 , 116.03423910000001",urban-urban,2051
47,47,"-31.759289900000002 , 115.76310310000001","-32.021069000000004 , 115.7634876",urban-urban,2054
48,48,"-32.0370318 , 115.8325762","-32.0375263 , 116.11348210000001",urban-urban,2054
49,49,"-32.1301353 , 116.1007182","-31.950162100000004 , 115.9210561",urban-urban,2055
50,50,"-31.745034 , 115.82324360000001","-31.968706100000002 , 115.8230802",rural-rural,2055
51,51,"-31.790225600000003 , 115.76216160000001","-32.0043333 , 115.9767238",urban-urban,2055
52,52,"-31.9525013 , 116.1716866","-31.9522824 , 115.95319690000001",rural-urban,2056
53,53,"-32.1681144 , 115.84954680000001","-31.876912500000003 , 115.8499563",urban-urban,2056
54,54,"-31.775935500000003 , 115.97429600000001","-31.942451300000002 , 115.8072874",urban-urban,2057
55,55,"-31.757155500000003 , 115.9908752","-31.9206429 , 115.8271656",urban-urban,2057
56,56,"-31.7335442 , 115.7421657","-31.937699700000003 , 115.9460327",urban-urban,2059
57,57,"-31.7380321 , 115.79995910000001","-31.9524359 , 115.7999204",urban-urban,2060
58,58,"-31.773059000000003 , 115.9631854","-31.946982100000003 , 115.78935530000001",urban-urban,2062
59,59,"-31.701110600000003 , 115.80860750000001","-31.8663193 , 115.9743622",urban-urban,2062
60,60,"-32.1109132 , 116.1116269","-32.110917300000004 , 115.8227205",urban-urban,2063
61,61,"-32.1561966 , 115.8608025","-31.867546 , 115.8604918",urban-urban,2064
62,62,"-31.8740145 , 115.7652321","-32.113210800000004 , 115.765454",urban-urban,2064
63,63,"-31.8447029 , 115.83000070000001","-32.1058761 , 115.8300717",urban-urban,2064
64,64,"-31.690029600000003 , 115.7062161","-31.895208900000004 , 115.91139960000001",urban-urban,2065
65,65,"-31.743044800000003 , 115.7780412","-31.743530800000002 , 116.0024044",urban-urban,2065
66,66,"-32.120838400000004 , 116.0625579","-32.1209085 , 115.769771",urban-urban,2066
67,67,"-31.8657912 , 116.03571980000001","-32.069295700000005 , 115.83221300000001",urban-urban,2066
68,68,"-32.0704496 , 115.75125150000001","-31.808985800000002 , 115.75098030000001",urban-urban,2066
69,69,"-31.7832453 , 116.04894530000001","-31.7837983 , 115.79666870000001",urban-urban,2068
70,70,"-31.8384271 , 115.8270748","-32.1033871 , 115.82743470000001",urban-urban,2069
71,71,"-32.0686338 , 115.96953570000001","-31.865336900000003 , 115.7659747",urban-urban,2069
72,72,"-31.759426 , 115.98060720000001","-31.9227141 , 115.81746650000001",urban-urban,2069
73,73,"-32.0041693 , 115.75598880000001","-31.845838200000003 , 115.91439980000001",urban-urban,2070
74,74,"-31.9971321 , 116.0522368","-32.188412500000005 , 115.8606256",urban-urban,2070
75,75,"-31.650888100000003 , 116.68109940000001","-31.790406800000003 , 116.5419227",urban-rural,1809
76,76,"-34.670237400000005 , 117.3728777","-34.670670300000005 , 117.63637680000001",urban-urban,1812
77,77,"-32.3145243 , 115.7645997","-32.1598035 , 115.91962930000001",urban-rural,1813
78,78,"-31.7060448 , 115.80141630000001","-31.705876000000004 , 115.99092830000001",urban-urban,1784
79,79,"-32.491947700000004 , 115.74875890000001","-32.7462682 , 115.7488371",urban-rural,1816
80,80,"-31.655851400000003 , 116.6725907","-31.789941700000004 , 116.5379745",urban-rural,1818
81,81,"-15.8558158 , 128.7475454","-15.8379121 , 128.7299845",urban-urban,1781
82,82,"-28.635686000000003 , 114.75304080000001","-28.779151000000002 , 114.60902720000001",rural-urban,1830
83,83,"-20.6210004 , 116.757147","-20.7041639 , 116.67356740000001",urban-urban,1768
84,84,"-32.0881008 , 115.98799360000001","-32.351291 , 115.98797200000001",urban-urban,1838
85,85,"-32.144532000000005 , 115.9848915","-32.4400296 , 115.98529710000001",urban-urban,1840
86,86,"-34.9959286 , 117.8379285","-34.9960911 , 118.0564279",urban-rural,1754
87,87,"-33.7908956 , 121.92529590000001","-33.7910717 , 121.72828500000001",urban-rural,1749
88,88,"-32.341203 , 115.81951400000001","-32.5818223 , 115.81899170000001",urban-urban,1855
89,89,"-32.1238529 , 115.99620250000001","-32.427239900000004 , 115.99622350000001",urban-rural,1863
90,90,"-35.0647067 , 117.82820520000001","-35.064368200000004 , 117.6237564",rural-urban,1866
91,91,"-32.6803909 , 115.83958170000001","-32.5342305 , 115.6930305",rural-urban,1873
92,92,"-22.5275393 , 117.10067670000001","-22.5269771 , 117.27358100000001",urban-rural,1873
93,93,"-31.534352900000002 , 116.0554135","-31.646987900000003 , 115.94284800000001",urban-urban,1726
94,94,"-33.6366965 , 115.91629730000001","-33.7803431 , 116.0595114",rural-urban,1874
95,95,"-32.3598123 , 115.8129875","-32.2030054 , 115.81257860000001",urban-rural,1719
96,96,"-34.6973239 , 117.15135710000001","-34.7836882 , 117.2376904",urban-rural,1719
97,97,"-21.6440957 , 115.1147234","-21.7572876 , 115.00167490000001",urban-rural,1715
98,98,"-31.602433200000004 , 115.68531080000001","-31.779608000000003 , 115.8626014",urban-urban,1888
99,99,"-31.6782451 , 116.46305790000001","-31.4866582 , 116.46341570000001",urban-rural,1900
100,100,"-32.3378791 , 115.8089242","-32.2120069 , 115.68343180000001",urban-rural,1700
101,101,"-31.69528 , 115.8105543","-31.695171400000003 , 116.07293430000001",urban-urban,1910
102,102,"-20.727033900000002 , 116.8667898","-20.616929600000002 , 116.75679240000001",urban-urban,1690
103,103,"-32.2645123 , 115.8489648","-32.087554700000005 , 116.02587910000001",urban-urban,1915
104,104,"-33.484385 , 115.72679350000001","-33.2532506 , 115.72709180000001",urban-urban,1684
105,105,"-32.1371471 , 115.9116419","-32.349291 , 115.911816",urban-rural,1925
106,106,"-34.9546851 , 117.32567800000001","-34.954289700000004 , 117.1386851",urban-urban,1672
107,107,"-31.5333548 , 115.6258856","-31.7335105 , 115.8261095",urban-urban,1937
108,108,"-32.121857 , 115.92649770000001","-32.2515894 , 116.0562089",urban-rural,1662
109,109,"-35.0208711 , 117.9053334","-35.0210756 , 117.5797055",urban-urban,1939
110,110,"-31.741965 , 115.98189970000001","-31.637095100000003 , 116.0871515",rural-urban,1943
111,111,"-33.310565000000004 , 115.72054000000001","-33.452902300000005 , 115.578558",urban-urban,1655
112,112,"-32.3247244 , 116.02334990000001","-32.324668200000005 , 115.74246550000001",urban-urban,1948
113,113,"-31.627672200000003 , 115.69517230000001","-31.7873659 , 115.8552485",urban-urban,1648
114,114,"-32.309560000000005 , 115.7638603","-32.510960600000004 , 115.76332070000001",urban-urban,1646
115,115,"-33.4192668 , 115.73762300000001","-33.252202700000005 , 115.73797900000001",urban-urban,1645
