join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
3,3,"54.8055153 , -127.2109472","54.72707870000001 , -127.2106069",urban-urban,urban,1199,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
10,10,"49.1118346 , -122.6751153","49.209547400000005 , -122.7726497",urban-urban,urban,1196,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
11,11,"53.9999471 , -122.80070680000001","53.9010443 , -122.7021273",urban-urban,urban,1196,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
13,13,"49.2663925 , -122.88925880000001","49.1791208 , -122.9769646",urban-urban,urban,1205,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
15,15,"49.3113851 , -122.78467350000001","49.229623700000005 , -122.8664739",urban-urban,urban,1205,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
16,16,"49.258993200000006 , -123.14346850000001","49.3421955 , -123.06063730000001",urban-urban,urban,1206,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
17,17,"49.2957364 , -123.1498346","49.3522386 , -123.2066362",urban-urban,urban,1207,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
18,18,"49.022259700000006 , -116.426653","49.076555600000006 , -116.4809934",urban-urban,urban,1191,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
19,19,"53.899157 , -122.7751425","54.0560874 , -122.7753715",urban-urban,urban,1209,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
20,20,"49.1048759 , -122.65438420000001","49.1800578 , -122.72986680000001",urban-urban,urban,1190,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
21,21,"53.0129923 , -122.45811450000001","52.9107971 , -122.4583882",urban-urban,urban,1190,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
23,23,"49.005695100000004 , -122.5999955","49.0055521 , -122.7568547",urban-urban,urban,1188,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""1e9917ae527545d8a96a3d21206fe880""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""066e6ae7a97d4ff7a8fb08eee71ee69d""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""ca7d92fc045f47a4aab2d27e5ce72c53""}}"
