join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
3,3,"44.721120600000006 , -63.5965623","44.631135300000004 , -63.506303900000006",rural-urban,urban,1199,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
10,10,"45.1553266 , -62.499659400000006","45.088354 , -62.4323448",urban-urban,urban,1198,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
11,11,"44.718321 , -63.880191100000005","44.6312401 , -63.880264200000006",urban-urban,urban,1198,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
13,13,"45.8611185 , -61.49142080000001","45.7655035 , -61.3956804",urban-urban,urban,1197,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
15,15,"45.118448400000005 , -64.8633276","45.0100021 , -64.86304220000001",urban-urban,urban,1196,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
16,16,"45.578933400000004 , -61.2957316","45.6559028 , -61.2183355",urban-urban,urban,1204,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
17,17,"43.992688300000005 , -66.0046616","44.1018964 , -66.0045277",urban-urban,urban,1196,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
18,18,"45.415177500000006 , -63.7023031","45.499450100000004 , -63.618093200000004",urban-urban,urban,1195,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
19,19,"44.7950959 , -63.617499900000006","44.8449121 , -63.667375400000005",urban-urban,urban,1194,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
20,20,"44.712977200000005 , -63.745921300000006","44.8128972 , -63.7456564",urban-urban,urban,1206,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
21,21,"45.8641802 , -61.350482500000005","45.8479345 , -61.3345726",urban-urban,urban,1194,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
23,23,"43.9183388 , -65.9098592","43.995554500000004 , -65.9094345",urban-urban,urban,1193,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
24,24,"45.9897447 , -61.25629970000001","46.074150800000005 , -61.255877600000005",urban-urban,urban,1192,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
25,25,"46.099102 , -61.2784665","46.1434828 , -61.323101300000005",urban-rural,urban,1191,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
