join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
3,3,"45.517464700000005 , -73.5126425","45.627130400000006 , -73.6220433",urban-urban,urban,1201,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
10,10,"45.993692700000004 , -74.17166950000001","46.1145408 , -74.2928751",urban-urban,urban,1204,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
11,11,"45.448979300000005 , -73.7784239","45.3341209 , -73.66325470000001",urban-rural,urban,1196,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
13,13,"46.837690900000005 , -71.3658973","46.7368791 , -71.36636820000001",urban-urban,urban,1205,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
15,15,"52.389897500000004 , -72.13343300000001","52.1801905 , -72.13364680000001",urban-urban,urban,1194,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
16,16,"46.113311800000005 , -74.5927065","46.1904915 , -74.6696539",urban-urban,urban,1194,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
17,17,"45.626999000000005 , -73.8282045","45.5205829 , -73.9348172",urban-urban,urban,1193,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
18,18,"45.7693942 , -73.72880450000001","45.6699506 , -73.6295576",urban-urban,urban,1208,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
19,19,"46.8107094 , -71.23194000000001","46.760669 , -71.23195050000001",urban-urban,urban,1208,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
20,20,"45.619128700000005 , -73.66598060000001","45.4943778 , -73.6663156",rural-urban,urban,1209,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""be1be9430aa6434f8fbae21f198981a5""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""c83b16c4a7b64a78b3ce6286d7364fca""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""1afa84f513de41d1ae52091afe2608e8""}}"
