join_index,sampling_index,origin,destination,area,ttpTravelTime
0,0,"47.0120464 , 15.4773063","47.128911300000006 , 15.476662200000002",urban-rural,1800
1,1,"47.762282400000004 , 13.126990000000001","47.867946700000005 , 13.1267698",rural-urban,1799
2,2,"47.7024966 , 13.110032400000001","47.8556557 , 13.109374800000001",urban-urban,1801
3,3,"47.092566500000004 , 15.396337","47.092354900000004 , 15.592615700000001",urban-rural,1798
4,4,"47.8713543 , 13.124118900000001","47.769381300000006 , 13.123498600000001",urban-rural,1797
5,5,"48.1741158 , 16.3627621","48.256730100000006 , 16.280547600000002",urban-urban,1797
6,6,"48.28247 , 16.388502300000003","48.1736481 , 16.2790681",urban-urban,1797
7,7,"48.165800000000004 , 16.3585669","48.250744600000004 , 16.2740204",urban-urban,1804
8,8,"48.1370037 , 16.3150443","48.2478227 , 16.315172",urban-urban,1795
9,9,"48.243318300000006 , 16.2111737","48.124885600000006 , 16.0933159",urban-urban,1805
10,10,"47.7177712 , 13.0969774","47.8686607 , 13.0971332",urban-rural,1794
11,11,"47.8702589 , 13.149943500000001","47.754651900000006 , 13.034338",urban-urban,1793
12,12,"48.1534482 , 16.316226200000003","48.2607579 , 16.3159323",urban-rural,1793
13,13,"48.208150700000004 , 16.243417","48.2995462 , 16.3352387",urban-urban,1793
14,14,"48.30059180000001 , 16.370375900000003","48.301157700000005 , 16.2162383",urban-urban,1791
15,15,"47.078065300000006 , 15.394171400000001","47.0774131 , 15.5731459",urban-rural,1791
16,16,"48.237228800000004 , 16.333748200000002","48.0847968 , 16.334327000000002",urban-rural,1809
17,17,"47.0589585 , 15.4149033","46.943622100000006 , 15.5296093",urban-rural,1790
18,18,"47.0791668 , 15.365497800000002","47.079185700000004 , 15.5521019",rural-rural,1812
19,19,"48.246011100000004 , 16.3519063","48.1647825 , 16.2711893",urban-urban,1785
20,20,"48.2317839 , 16.370508700000002","48.2319812 , 16.1927177",urban-urban,1815
21,21,"47.100469000000004 , 15.509581400000002","46.980690100000004 , 15.5099326",urban-rural,1815
22,22,"47.102720700000006 , 15.4653883","46.998218900000005 , 15.361220500000002",urban-rural,1785
23,23,"47.105235 , 15.394029900000001","47.1056037 , 15.5849799",urban-urban,1816
24,24,"48.205044300000004 , 16.3931554","48.3434825 , 16.2553413",urban-urban,1783
25,25,"47.0557263 , 15.4993826","47.1443664 , 15.410527700000001",urban-urban,1783
26,26,"46.9904341 , 15.5133717","47.1130933 , 15.514007600000001",urban-urban,1781
27,27,"47.7281902 , 13.113958100000001","47.8602806 , 13.113897000000001",urban-rural,1820
28,28,"48.170711000000004 , 16.2770645","48.2571079 , 16.363854800000002",urban-urban,1780
29,29,"47.7696583 , 13.120448000000001","47.8608114 , 13.028698200000001",rural-rural,1820
30,30,"48.1987517 , 16.373273","48.198325600000004 , 16.1382207",urban-urban,1821
31,31,"48.198714100000004 , 16.260721800000002","48.1981303 , 16.479139500000002",urban-urban,1779
32,32,"48.261166800000005 , 16.342344100000002","48.174395800000006 , 16.256195",urban-urban,1821
33,33,"47.100798700000006 , 15.4432956","46.995997200000005 , 15.443552100000002",urban-rural,1821
34,34,"48.170806600000006 , 16.3626781","48.2544978 , 16.278451500000003",urban-urban,1778
35,35,"48.1962866 , 15.894229200000002","48.1956849 , 16.1669476",urban-urban,1822
36,36,"47.328434 , 13.299234100000001","47.3278222 , 13.071536100000001",urban-urban,1778
37,37,"47.0724418 , 15.514966200000002","46.94399060000001 , 15.515473100000001",urban-urban,1777
38,38,"48.172099100000004 , 16.274573","48.2594209 , 16.361461600000002",urban-urban,1777
39,39,"48.2771848 , 16.3798156","48.1739863 , 16.2763564",urban-urban,1823
40,40,"47.10681030000001 , 15.4599284","47.0049714 , 15.3574932",rural-rural,1824
41,41,"47.7137812 , 13.095952400000002","47.868474400000004 , 13.096574400000002",urban-rural,1776
42,42,"47.3427942 , 13.1987819","47.3426764 , 13.4104568",urban-rural,1825
43,43,"47.342894 , 13.200160400000001","47.3426764 , 13.4104568",urban-rural,1825
44,44,"47.1243216 , 15.4350833","47.001608100000006 , 15.434701200000001",urban-rural,1826
45,45,"47.458590300000004 , 15.029097900000002","47.342241400000006 , 15.1458051",rural-urban,1773
46,46,"48.2203359 , 16.529475700000003","48.310775 , 16.4387763",urban-rural,1773
47,47,"47.3494304 , 13.006424800000001","47.3162779 , 13.03973",rural-urban,1772
48,48,"47.347653400000006 , 13.199024900000001","47.34751 , 13.430215800000001",urban-rural,1830
49,49,"48.167748100000004 , 16.3592236","48.251842800000006 , 16.2755623",urban-urban,1770
50,50,"46.9995175 , 15.409194600000001","47.1333233 , 15.4096746",rural-urban,1830
51,51,"46.997069200000006 , 15.5026428","47.105935800000005 , 15.3933356",urban-urban,1768
52,52,"48.205966700000005 , 16.364171000000002","48.3446427 , 16.225425700000002",urban-urban,1768
53,53,"47.0722328 , 15.5191403","46.9438362 , 15.5197131",urban-urban,1832
54,54,"48.3261947 , 16.4511493","48.326847 , 16.3294164",urban-urban,1767
55,55,"48.2002493 , 16.3111088","48.3353818 , 16.311311200000002",urban-urban,1833
56,56,"48.181065800000006 , 16.5993906","48.181029 , 16.502869800000003",urban-urban,1834
57,57,"48.2020155 , 16.2556578","48.1069599 , 16.160235200000002",rural-urban,1834
58,58,"46.991157900000005 , 15.513451700000001","47.113204 , 15.514095000000001",urban-urban,1765
59,59,"47.058688700000005 , 15.3961523","46.925566200000006 , 15.5286644",urban-urban,1835
60,60,"47.4097962 , 13.2172567","47.3630932 , 13.2642924",urban-urban,1764
61,61,"47.055919800000005 , 15.499688500000001","47.1435606 , 15.4115128",urban-urban,1763
62,62,"48.1711065 , 16.2752085","48.2595977 , 16.363072300000002",urban-urban,1763
63,63,"48.266566600000004 , 16.2617599","48.1795319 , 16.3490316",urban-rural,1837
64,64,"48.170854500000004 , 16.2762082","48.257640300000006 , 16.3627621",urban-urban,1762
65,65,"47.070661900000005 , 15.4276566","46.9559568 , 15.5421472",urban-urban,1838
66,66,"47.100419 , 15.413354300000002","47.0042751 , 15.509764700000002",rural-urban,1761
67,67,"48.317649900000006 , 16.2775366","48.318227300000004 , 16.404002000000002",urban-urban,1839
68,68,"48.255730400000004 , 16.2764652","48.167986600000006 , 16.3639756",urban-urban,1839
69,69,"48.233183200000006 , 16.422897600000002","48.23358 , 16.2399683",urban-rural,1760
70,70,"48.184349000000005 , 16.3295207","48.326847 , 16.3294164",urban-urban,1840
71,71,"47.043013300000005 , 15.3953375","47.1948457 , 15.3959302",urban-rural,1842
72,72,"47.0703827 , 15.511524900000001","47.1884523 , 15.393822400000001",urban-rural,1842
73,73,"48.1582432 , 16.3399098","48.2483711 , 16.2492696",urban-rural,1757
74,74,"48.149931800000005 , 16.3126371","48.2597576 , 16.312001600000002",urban-urban,1844
75,75,"47.360072800000005 , 13.3533162","47.3597406 , 13.1697216",rural-rural,1756
76,76,"48.2076919 , 16.2405951","48.3031055 , 16.3365934",urban-urban,1756
77,77,"48.1190245 , 16.2636429","48.217665200000006 , 16.264149800000002",urban-urban,1844
78,78,"47.116907000000005 , 15.4217867","47.0174668 , 15.5217839",urban-urban,1755
79,79,"47.056639800000006 , 15.420948500000002","47.1874563 , 15.421411200000001",urban-rural,1755
80,80,"46.9973971 , 15.5058597","47.1194004 , 15.505766600000001",urban-urban,1845
81,81,"47.7708517 , 13.0409123","47.8816087 , 13.151030100000002",urban-rural,1755
82,82,"48.231742600000004 , 16.3078693","48.231879500000005 , 16.1546148",urban-urban,1754
83,83,"48.205081 , 16.2436025","48.3001008 , 16.3382373",urban-urban,1848
84,84,"47.0076946 , 15.4395164","47.1443967 , 15.440021600000001",urban-rural,1849
85,85,"48.1721421 , 16.476451","48.3367115 , 16.312391700000003",rural-urban,1750
86,86,"48.1735127 , 16.5852222","48.173881900000005 , 16.480854",rural-urban,1850
87,87,"47.3709865 , 13.398592","47.370808800000006 , 13.195532100000001",urban-rural,1747
88,88,"48.1682142 , 16.142214900000003","48.1686683 , 16.3156205",urban-urban,1747
89,89,"48.2244029 , 16.3176926","48.3644833 , 16.4574052",urban-urban,1853
90,90,"48.3095987 , 16.2560363","48.19461140000001 , 16.3710022",urban-urban,1855
91,91,"47.4379221 , 12.728362500000001","47.5611133 , 12.728504000000001",rural-rural,1855
92,92,"47.7993242 , 13.1202868","47.670721500000006 , 13.1203865",rural-urban,1855
93,93,"48.2074197 , 16.357416100000002","48.3467277 , 16.2180466",urban-rural,1856
94,94,"46.9329741 , 15.513375400000001","47.075117600000006 , 15.513409300000001",urban-urban,1744
95,95,"47.117991 , 15.448324000000001","46.977827500000004 , 15.448650500000001",urban-rural,1857
