origin,destination,area,ttpTravelTime
"60.21753770000003 , 25.13051100000007","60.18354740000011 , 24.918281800000067",urban-urban,1800
"66.98109379999988 , 26.655914000000017","66.861315 , 26.31710560000001",urban-urban,1800
"60.013280100001836 , 24.346071100000195","60.14816460000001 , 24.41312909999997",urban-urban,1802
"65.28732879999959 , 25.28900489999994","65.39906700000014 , 25.577910000000028",urban-urban,1798
"63.16486880000021 , 28.732749100000028","63.240347099999894 , 29.220773400000095",urban-urban,1803
"66.72583269999996 , 26.969203799999857","66.7740858 , 26.607106000000037",urban-urban,1796
"66.8206549999999 , 26.586642800000092","66.64336560000035 , 26.551216199999963",urban-urban,1794
"63.22978660000028 , 29.199870800000003","63.160697600000134 , 28.740564500000016",urban-urban,1807
"60.319500200000085 , 24.90817239999998","60.41910979999996 , 25.098901399999935",urban-urban,1808
"62.064385699999875 , 25.197567700000047","61.95570470000008 , 25.434729700000016",urban-urban,1792
"66.8979598999999 , 26.390192800000086","66.94188930000006 , 26.72784979999998",urban-urban,1789
"63.167747100000234 , 28.727584500000045","63.25654139999989 , 29.11757559999998",urban-urban,1789
"66.83532649999964 , 26.593780600000063","66.65776680000015 , 26.593160900000036",urban-urban,1811
"66.70096649999992 , 26.4727998","66.79486250000002 , 26.760784900000033",urban-urban,1789
"60.46743219999972 , 22.173554900000067","60.39296960000031 , 22.26552649999985",urban-urban,1788
"62.06695230000031 , 25.18250019999991","62.02223289999987 , 25.532076600000067",urban-urban,1788
"66.8447184999998 , 26.25695380000004","66.87110170000005 , 26.590361800000053",urban-urban,1787
"66.69005309999994 , 26.5011975","66.80012900000008 , 26.731281300000123",urban-urban,1786
"63.232966300000264 , 29.217560900000006","63.179030300000306 , 28.779460800000066",urban-urban,1815
"66.79789770000019 , 26.83877520000003","66.68271720000044 , 26.559161199999924",urban-urban,1784
"60.552954299999996 , 22.234332200000043","60.48684140000016 , 22.026569399999964",urban-urban,1816
"61.338436400000106 , 23.60958430000001","61.397440899999715 , 23.78630209999995",urban-urban,1818
"62.17645320000011 , 25.516997000000025","62.31742759999993 , 25.40536770000001",urban-urban,1818
"61.45210109999994 , 23.90668829999991","61.55030860000012 , 23.705177300000038",urban-urban,1780
"60.390065500000176 , 25.29071469999988","60.3006058 , 25.15658180000002",urban-urban,1820
"66.64067240000028 , 26.449746200000007","66.79794269999991 , 26.74834060000005",urban-urban,1820
"66.97281920000009 , 26.592334899999877","66.84607550000007 , 26.325213600000023",urban-urban,1824
"60.45059580000011 , 25.1054428","60.33677510000016 , 24.867156799999957",urban-urban,1825
"64.28083689999981 , 28.86290620000014","64.43316900000035 , 28.901960100000046",urban-urban,1825
"62.33268219999996 , 25.85165080000002","62.27811290000002 , 25.610652000000012",urban-urban,1774
"62.7447833 , 27.075323100000038","62.709157099999814 , 27.30861690000013",urban-urban,1827
"61.15260059999992 , 26.993412500000122","61.184057600000045 , 26.797003199999946",urban-urban,1772
"66.79836220000001 , 26.742836900000036","66.65015500000014 , 26.58359750000003",urban-urban,1828
