join_index,sampling_index,origin,destination,area,ttpTravelTime,metadata
0,0,"54.59660100000001 , 25.355990700000003","54.7470019 , 25.356467700000003",urban-urban,1800,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
1,1,"54.823747700000006 , 25.3245511","54.6940699 , 25.324089400000002",urban-urban,1801,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
2,2,"54.7693895 , 25.2243582","54.6282349 , 25.083771900000002",urban-urban,1802,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
3,3,"54.7214406 , 25.2332003","54.852226300000005 , 25.3634217",urban-urban,1798,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
4,4,"54.9842561 , 24.2048922","54.9837056 , 23.984802400000003",urban-urban,1806,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
5,5,"54.8962572 , 23.9564324","54.8957733 , 23.696289800000002",urban-urban,1808,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
6,6,"54.595559400000006 , 25.430108","54.7334174 , 25.4307854",urban-urban,1791,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
7,7,"54.674168800000004 , 25.3758029","54.674572600000005 , 25.0874379",urban-urban,1809,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
8,8,"54.7177796 , 25.405114400000002","54.577596500000006 , 25.264578200000003",urban-urban,1809,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
9,9,"54.7525228 , 25.2068775","54.7531734 , 25.436875",urban-urban,1790,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
