origin,destination,area,ttpTravelTime
"52.037952100000126 , 4.192289100000013","52.094183400000205 , 4.311302800000014",urban-urban,1800
"52.122100000000046 , 4.40379999999999","52.05171569999991 , 4.2917505",urban-urban,1800
"52.31877330000017 , 4.593179000000004","52.47754520000015 , 4.6295755999999795",urban-urban,1799
"52.34288580000002 , 4.877932700000015","52.238395299999986 , 4.7973372",urban-urban,1799
"52.14261880000011 , 4.4075387000000035","52.06718349999996 , 4.248229999999994",urban-urban,1801
"52.11160980000005 , 4.278548600000005","52.15811680000016 , 4.48231679999997",urban-urban,1802
"51.475897099999976 , 5.541189699999992","51.39131409999988 , 5.450741299999999",urban-urban,1798
"52.22380810000037 , 5.088850900000017","52.30677289999996 , 5.241707100000016",urban-urban,1804
"52.46232869999998 , 4.640306600000017","52.30327779999983 , 4.592096399999994",urban-urban,1804
"52.31070000000001 , 4.656040000000013","52.37340529999996 , 4.525920099999989",urban-urban,1805
"53.07029000000015 , 6.853630000000001","52.941147799999946 , 6.966380900000001",urban-urban,1795
"52.39562420000014 , 4.607977500000004","52.26109349999991 , 4.6042960000000095",urban-urban,1805
"52.450883900000036 , 4.634717700000007","52.3192741000004 , 4.587619500000014",urban-urban,1795
"52.44684390000023 , 4.571549199999999","52.353234599999965 , 4.606815699999967",urban-urban,1808
"52.29538200000394 , 5.241544599999971","52.26011610000005 , 5.04785739999998",urban-urban,1792
"52.325521900000055 , 4.601515799999988","52.47687209999984 , 4.63569690000001",urban-urban,1789
"52.35068570000004 , 4.606541000000003","52.4774178000001 , 4.591214200000008",urban-urban,1789
"52.3054839 , 5.260713599999988","52.24457480000152 , 5.103530600000015",urban-urban,1787
"52.22124430000009 , 5.07540969999999","52.305344699999914 , 5.228839899999989",urban-urban,1786
"52.079022599999774 , 4.305400999999999","52.02937370000022 , 4.166056400000016",urban-urban,1786
"52.359309999999894 , 4.588039999999985","52.481276400000276 , 4.58588619999998",urban-urban,1784
"52.00901700000007 , 4.365886800000044","52.06390040000361 , 4.235272900000002",urban-urban,1817
"52.459152599999854 , 4.565438800000009","52.35391309999999 , 4.593866799999971",urban-urban,1817
"52.04139529999994 , 4.433597599999996","52.16649370000005 , 4.379096799999975",urban-urban,1818
"52.10181570000005 , 4.292632100000005","52.217391199999874 , 4.420703100000003",urban-urban,1781
"51.81357740000001 , 5.837504900000006","51.879600599999996 , 5.972328599999999",urban-urban,1819
"52.30045599999996 , 4.548578100000009","52.42602080000012 , 4.654746599999977",urban-urban,1780
"52.376705199999954 , 4.948069699999988","52.38268959999989 , 4.783922800000009",urban-urban,1820
"52.092802200000364 , 4.469212900000002","52.11541839999962 , 4.284495399999989",urban-urban,1780
"52.09807569999996 , 4.280206100000005","52.02173240000017 , 4.178666299999988",urban-urban,1778
"52.20703640000111 , 5.067622700000026","52.29547390000015 , 5.222670599999963",urban-urban,1822
"52.11353740000006 , 4.423451399999987","52.07531780000015 , 4.267490099999989",urban-urban,1822
"50.989550000000094 , 5.899589999999982","50.8951012000001 , 5.81352840000001",urban-urban,1823
"52.075216299999994 , 4.279965900000022","52.162413099999995 , 4.463242399999997",urban-urban,1777
"52.06750569999987 , 4.255046600000001","52.148077499999985 , 4.433040799999999",urban-urban,1777
"52.49357720000002 , 4.61118870000002","52.330710400000676 , 4.600253200000023",urban-urban,1824
"52.40410430000008 , 4.603373599999987","52.272502100000395 , 4.5795577",urban-urban,1824
"51.441783900000324 , 5.594606700000002","51.48485569999999 , 5.442500700000004",urban-urban,1775
"52.021609999999825 , 4.159618600000003","52.07118899999995 , 4.2917733",urban-urban,1774
"51.99487429999995 , 4.209429900000033","52.086867099999985 , 4.267451299999986",urban-urban,1830
"52.42382030000011 , 4.616389200000004","52.30380139999995 , 4.567414500000004",urban-urban,1770
"52.39849330000007 , 4.569959300000018","52.30676390000003 , 4.699912500000027",urban-urban,1768
"52.20483609999989 , 5.093576699999991","52.1012104 , 5.0772806999999895",urban-urban,1767
"52.373846199999996 , 4.54257010000001","52.31041710000111 , 4.687690699999991",urban-urban,1765
"52.42550340000007 , 4.617550200000004","52.29237699999992 , 4.580044900000011",urban-urban,1835
"52.169618800000144 , 4.4949561999999785","52.11365340000007 , 4.286235899999986",urban-urban,1837
"52.11249769999997 , 4.280724099999988","52.1890621000003 , 4.476718399999983",urban-urban,1763
"52.339745599999894 , 4.613163900000009","52.45838400000009 , 4.58477279999998",urban-urban,1837
"52.40674460000001 , 4.6278898000000055","52.26943089999998 , 4.5665919000000335",urban-urban,1838
"52.28772630000006 , 4.685296999999997","52.39228239999998 , 4.608113200000014",urban-urban,1838
"52.21996960000033 , 4.418291699999979","52.108912900000306 , 4.275031899999995",urban-urban,1838
"52.29592359999991 , 5.247823100000056","52.25271999999996 , 5.052725899999983",urban-urban,1758
"52.07539140000005 , 4.241734199999991","52.14371000000004 , 4.413109999999994",urban-urban,1756
"52.45244639999997 , 4.653124700000002","52.296041199999955 , 4.593004399999995",urban-urban,1844
"53.21026749999969 , 5.846850700000024","53.21195709999996 , 5.743751700000008",urban-urban,1845
"52.1020335000001 , 4.30587910000005","52.18266370000001 , 4.514027499999998",urban-urban,1755
"52.10783160000001 , 4.299046300000012","52.16879720000009 , 4.501397800000007",urban-urban,1754
"52.10940410000038 , 4.280137299999997","52.16208389999996 , 4.501092799999985",urban-urban,1753
"52.15487029999998 , 4.387097700000006","52.06304290000001 , 4.2981740000000075",urban-urban,1752
"52.38159259999992 , 4.601607399999998","52.28158660000016 , 4.710752799999972",urban-urban,1752
"51.42458999999977 , 5.397140000000003","51.47895070000013 , 5.560016099999995",urban-urban,1751
"52.48507110000021 , 4.610455799999962","52.32294840000031 , 4.5875567999999785",urban-urban,1850
"52.41384519999992 , 5.025169099999989","52.36986149999991 , 4.878639900000022",urban-urban,1749
"52.34247560000024 , 4.5855719999999955","52.45727879999983 , 4.577889199999993",urban-urban,1853
"52.35504230000018 , 4.582098299999989","52.471471799999975 , 4.584439299999985",urban-urban,1853
"51.9301920000003 , 4.483454499999995","51.9288525000002 , 4.718669399999999",urban-urban,1853
"51.990165799999964 , 4.564586299999994","51.89821630000016 , 4.625421900000011",urban-urban,1854
"51.90667299999994 , 4.583110200000001","51.995912700000005 , 4.478082800000044",urban-urban,1854
"52.48464040000001 , 4.667249000000007","52.3192282 , 4.599449499999998",urban-urban,1857
"53.074308099999996 , 6.8072623999999955","52.926661299999964 , 6.980158300000003",urban-urban,1743
"52.371189499999986 , 4.524085200000027","52.30302799999981 , 4.681036800000003",urban-urban,1858
"52.29480170000011 , 4.699543599999963","52.36659710000001 , 4.538224599999989",urban-urban,1858
"51.61904680000006 , 4.735574099999987","51.575901899999955 , 4.932188400000005",urban-urban,1859
"51.91859309999988 , 4.495210599999969","52.01889450000015 , 4.485101300000015",urban-urban,1861
"52.17095349999995 , 5.0861734999999895","52.273460000000355 , 5.1252799999999965",urban-urban,1737
"52.091850599999944 , 4.291303599999994","52.029608900000056 , 4.178618600000001",urban-urban,1737
"52.13995419999972 , 5.272328200000025","52.182554300000085 , 5.280527300000001",urban-urban,1736
"52.29125040000054 , 4.712098099999994","52.41001610000038 , 4.604454300000026",urban-urban,1866
"52.11160980000005 , 4.278548600000005","52.18636830000038 , 4.42041119999999",urban-urban,1733
"52.294914200000086 , 4.674481399999964","52.400991699999985 , 4.6036489999999874",urban-urban,1867
"51.915356600000095 , 4.476123099999982","51.937624700000036 , 4.632684999999985",urban-urban,1732
"52.05649120000028 , 4.254359000000001","52.12886620000003 , 4.362747599999979",urban-urban,1868
"52.0678754999999 , 4.279122799999997","52.143943800000095 , 4.418398299999998",urban-urban,1731
"50.84791880000009 , 5.854036599999976","50.94117019999999 , 5.986705599999998",urban-urban,1730
"52.196232199999955 , 4.385246099999984","52.10171909999994 , 4.317805500000002",urban-urban,1730
"52.086425800000015 , 4.273332499999995","52.20442050000006 , 4.439612200000004",urban-urban,1729
"52.29896469999992 , 4.687170400000019","52.37396220000001 , 4.53799860000001",urban-urban,1879
"51.46182760000014 , 5.484748200000022","51.361272700000114 , 5.44345950000002",urban-urban,1720
"52.239770800000194 , 4.44650010000001","52.10530880000018 , 4.286099099999989",urban-urban,1881
"52.30280100000307 , 5.254027799999998","52.23236129999999 , 5.097286400000001",urban-urban,1717
"51.41673400000017 , 5.5692220000000345","51.4966198000001 , 5.6658465999999965",urban-urban,1717
"52.196763299999965 , 4.3946339999999635","52.10531070000012 , 4.32963380000001",urban-urban,1715
"51.79174359999982 , 5.85959200000001","51.893674500000046 , 5.8794278000000135",urban-urban,1714
"52.462530499999836 , 4.578600800000035","52.342228900000144 , 4.606623500000002",urban-urban,1886
"52.40079869999999 , 4.544867899999999","52.28056160000015 , 4.579599400000041",urban-urban,1886
"52.16601940000023 , 4.4011960999999955","52.07132419999994 , 4.267487900000002",urban-urban,1888
"51.465179299999875 , 5.454106999999991","51.43954060000038 , 5.577244099999972",urban-urban,1710
