origin,destination,area,ttpTravelTime
"39.330410699999966 , -8.928895499999996","39.4575515 , -9.04284950000006",urban-urban,1800
"39.24988930000019 , -9.228655700000019","39.371057100000066 , -9.327868899999999",urban-urban,1800
"38.78230649999992 , -27.323125199999982","38.74989950000001 , -27.123847000000026",urban-urban,1798
"38.64494950000008 , -27.10725530000001","38.65596589999985 , -27.285784399999926",urban-urban,1798
"39.79675840000002 , -8.891489699999996","39.750539200000134 , -8.731965199999994",urban-urban,1805
"39.487114999999754 , -8.880020200000043","39.507411099999956 , -9.041218800000008",urban-urban,1789
"39.7676448 , -8.814999500000019","39.869166599999986 , -8.935659399999954",urban-urban,1811
"39.550153699999946 , -8.79933189999999","39.6191354 , -8.898973699999985",urban-urban,1811
"39.49487750000004 , -9.166858500000021","39.361103600000106 , -9.211778700000005",urban-urban,1815
"39.70333610000151 , -8.558891399999975","39.829453999999984 , -8.618850000000005",urban-urban,1817
"39.86305879999996 , -8.903274500000057","39.752967500000025 , -8.80218189999998",urban-urban,1782
"39.5277495000001 , -9.086146499999968","39.438040400000006 , -8.96021800000004",urban-urban,1780
"38.89109530000013 , -9.363937000000005","39.01889490000004 , -9.422760600000027",urban-urban,1822
"39.38905039999989 , -9.029128699999976","39.43700110000002 , -9.202551900000017",urban-urban,1822
"39.31479509999993 , -8.743766200000051","39.424869600000164 , -8.825106500000016",urban-urban,1775
"39.42441240000021 , -9.207063900000028","39.533388900000055 , -9.123273200000035",urban-urban,1770
"39.0623865000002 , -9.39516670000006","38.92306930000016 , -9.38887940000001",urban-urban,1770
"39.4924594 , -9.098026499999976","39.474165700000064 , -8.932675800000041",urban-urban,1767
"38.48898030000011 , -8.949127999999973","38.49695219999988 , -8.794652000000042",urban-urban,1836
"32.71363130000003 , -16.899454999999985","32.67655849999995 , -16.980521799999895",urban-urban,1839
"39.43664720000018 , -9.081774099999981","39.31026949999992 , -9.020349299999994",urban-urban,1841
"38.79205299999997 , -27.208060800000027","38.764519999999855 , -27.374185199999975",urban-urban,1844
"39.52441239999966 , -9.000935599999922","39.398583 , -9.008869399999986",urban-urban,1754
"39.4723102000001 , -9.191126599999967","39.393893900000116 , -9.062052600000003",urban-urban,1747
"39.826814600000105 , -8.602894799999994","39.712842399999964 , -8.539380999999974",urban-urban,1745
"38.763268400000136 , -27.07225410000002","38.801675300000085 , -27.25556750000001",urban-urban,1856
"39.476197099999794 , -9.085750900000006","39.50957369999998 , -8.906990200000052",urban-urban,1857
"39.154536699999916 , -9.020609500000013","39.26584490000002 , -9.1054856",urban-urban,1857
"39.476921300000086 , -8.953803999999987","39.540457200000056 , -9.082316300000013",urban-urban,1739
"38.52194600000002 , -8.852961500000005","38.48420929999987 , -8.988294100000008",urban-urban,1861
"39.693712400000074 , -8.891424600000017","39.640060400000074 , -8.756252299999977",urban-urban,1737
"38.58535879999969 , -9.10379840000002","38.51526839999986 , -9.008063099999987",urban-urban,1736
"38.76404770000036 , -27.322103100000028","38.673950699999665 , -27.321500900000043",urban-urban,1732
"39.23276699999993 , -9.33787850000002","39.09846359999983 , -9.364285499999877",urban-urban,1727
"39.3753773000005 , -8.893579299999995","39.37903200000003 , -9.050835399999986",urban-urban,1725
"39.29961630000011 , -9.093409600000088","39.39448000000013 , -9.183011899999967",urban-urban,1723
"39.58856740000012 , -8.75404569999999","39.504243600000166 , -8.847819099999986",urban-urban,1721
"32.70768040000022 , -16.91344989999999","32.6903022 , -16.993624499999914",urban-urban,1879
"39.45331640000161 , -8.934221400000004","39.44608820000015 , -9.113486399999939",urban-urban,1880
"39.22653750000005 , -9.048198899999967","39.3085927999997 , -9.209614099999952",urban-urban,1881
"39.18715559999997 , -9.023175000000016","39.299197099999894 , -9.161581199999992",urban-urban,1885
"38.64448440000025 , -27.131553399999927","38.67034760000014 , -27.306034000000018",urban-urban,1715
"38.79175009999987 , -27.22463429999996","38.76661119999986 , -27.375820499999975",urban-urban,1715
"39.4200174 , -9.055031799999991","39.54586999999994 , -9.045996700000018",urban-urban,1711
"39.398857800000116 , -9.077995599999992","39.50511929999999 , -8.973606800000008",urban-urban,1894
"38.769129400000004 , -27.277678700000056","38.74749449999996 , -27.09243340000002",urban-urban,1704
"32.705868199999976 , -16.97426830000001","32.65880350000005 , -16.93722459999996",urban-urban,1704
"39.21912120000011 , -8.94779009999994","39.32327380000028 , -9.083881700000008",urban-urban,1700
"39.549743199999995 , -8.993026999999964","39.48165190000006 , -8.859520400000008",urban-urban,1905
"39.41719630000006 , -9.245134599999993","39.371668900000024 , -9.376204699999983",urban-urban,1907
"38.74958359999995 , -27.112281500000027","38.79798489999991 , -27.29159029999997",urban-urban,1692
"38.55461970000013 , -9.080925600000004","38.560807000000054 , -8.927864000000016",urban-urban,1690
"39.4647407000001 , -9.072473200000026","39.526877800000186 , -8.933018799999987",urban-urban,1682
"38.64651809999988 , -27.14445189999997","38.673950699999665 , -27.321500900000043",urban-urban,1681
"39.503103499999995 , -9.009036500000034","39.36695209999991 , -8.987330099999971",urban-urban,1926
"38.78647669999996 , -27.191481400000026","38.756483700000274 , -27.356515700000053",urban-urban,1927
"39.66467240000035 , -8.935270100000011","39.61457349999985 , -9.082045599999999",urban-urban,1670
"38.82676600000017 , -9.351948199999963","38.97070440000001 , -9.372711900000006",urban-urban,1932
"38.569926299999985 , -9.092815299999993","38.56492840000013 , -8.940741600000012",urban-urban,1665
"39.40392380000005 , -9.039856099999978","39.2904676 , -8.963679100000013",urban-urban,1665
"39.61810530000009 , -8.831465599999992","39.51757509999993 , -8.792027799999994",urban-urban,1661
"38.76433430000035 , -27.312315100000024","38.77555049999997 , -27.123291799999997",urban-urban,1940
"38.76742510000036 , -27.323220600000024","38.762208600000314 , -27.124402200000073",urban-urban,1941
"39.22849629999992 , -9.065987200000011","39.36120350000012 , -9.019232899999956",urban-urban,1947
"39.36964440000009 , -9.392395100000012","39.4063901000001 , -9.232442400000012",urban-urban,1948
"39.22963130000028 , -9.117016300000008","39.14144480000017 , -9.00861989999995",urban-urban,1650
"38.57138090000001 , -8.920623800000014","38.56711160000002 , -9.07699840000006",urban-urban,1649
"39.522363900000066 , -9.122733100000028","39.4288003000001 , -9.22257260000002",urban-urban,1648
