origin,destination,area,ttpTravelTime
"46.398358399999964 , 15.811440499999959","46.4025404999998 , 16.03185270000011",urban-urban,1800
"46.427273699999965 , 16.106956799999967","46.37111779999959 , 15.892650100000077",urban-urban,1800
"46.18027799999989 , 15.05269780000001","46.24355229999992 , 15.206381699999985",urban-urban,1800
"46.403155199999844 , 16.038992100000005","46.343020300000006 , 15.825508800000001",urban-urban,1799
"46.392496899999934 , 15.870437900000061","46.41243199999999 , 16.10120099999999",urban-urban,1799
"46.40234520000005 , 16.032264399999985","46.40550579999998 , 15.802981700000128",urban-urban,1801
"46.646572300000166 , 16.031949700000002","46.621142799999966 , 15.851104100000002",urban-urban,1801
"46.36220309999999 , 15.891069199999974","46.4115031 , 16.11649970000002",urban-urban,1802
"46.40578459999983 , 16.041606700000006","46.33250230000012 , 15.857531200000027",urban-urban,1802
"46.412081600000114 , 16.05661879999989","46.39457959999979 , 15.813219799999954",urban-urban,1803
"46.06301000000036 , 14.096119199999881","46.135294300002414 , 13.998450600000043",urban-urban,1797
"46.1850678000011 , 15.059540799999965","46.24396350000001 , 15.22016530000005",urban-urban,1804
"46.12388930000008 , 14.0007234","46.04006550000014 , 14.133491499999995",urban-urban,1805
"46.5333323000009 , 16.181130900000035","46.3939278 , 16.2583016",urban-urban,1805
"46.2930471000001 , 14.400462200000028","46.17023960000247 , 14.299748900000065",urban-urban,1795
"46.26701099999999 , 14.353599800000001","46.14163510000004 , 14.275634900000002",urban-urban,1794
"46.37714869999993 , 15.902793099999968","46.440184799999926 , 16.104660000000017",urban-urban,1806
"46.50113630000004 , 15.071515300000046","46.61771169999994 , 15.017079399999963",urban-urban,1806
"46.37024950000024 , 15.85020899999996","46.406724900000015 , 16.064828199999997",urban-urban,1807
"46.37353640000008 , 15.84203850000007","46.41119800000008 , 16.06005769999999",urban-urban,1793
"46.381110500000034 , 15.95777169999993","46.37880589999967 , 15.756291399999997",urban-urban,1793
"46.680389400000095 , 15.842537300000053","46.532290200000006 , 15.849087200000007",urban-urban,1793
"46.532629700000015 , 15.848068000000007","46.678849199999924 , 15.837242599999998",urban-urban,1808
"46.144913700000174 , 14.009873000000052","46.06233470000007 , 14.100923999999981",urban-urban,1792
"45.547499099999975 , 13.740739899999978","45.47627370000004 , 13.771908700000024",urban-urban,1808
"46.40518629999988 , 16.109813099999993","46.384747799999545 , 15.878551800000082",urban-urban,1809
"46.37441650000008 , 15.840093100000074","46.41148719999996 , 16.05335739999989",urban-urban,1791
"46.16538410000042 , 14.302522799999988","46.29772019999999 , 14.347028499999983",urban-urban,1809
"46.12646709999994 , 13.99545950000002","46.04958400000007 , 14.120301499999973",urban-urban,1791
"46.065438400000005 , 14.101772799999987","46.142572999999935 , 14.0206216",urban-urban,1791
"46.4008936999999 , 16.248519399999967","46.5456553000001 , 16.174259500000062",urban-urban,1809
"46.180141500000104 , 15.052847300000018","46.24577460000001 , 15.19666509999999",urban-urban,1809
"46.6496837000024 , 16.052569700000017","46.69400499999991 , 15.847569699999951",urban-urban,1809
"45.98774820000021 , 14.392117000000008","46.0543403000001 , 14.504553000000099",urban-urban,1790
"46.70011710000016 , 15.894333399999988","46.662348400000006 , 16.0709861",urban-urban,1790
"46.69291499999982 , 15.86731419999994","46.65839610000009 , 16.055466400000014",urban-urban,1790
"46.37902050000001 , 15.755070399999992","46.377501500000136 , 15.956415999999955",urban-urban,1790
"46.11814709999989 , 13.97149110000002","46.05345250000004 , 14.113662699999985",urban-urban,1811
"46.69624120000001 , 15.873168799999993","46.64688090000023 , 16.0652433",urban-urban,1789
"46.6173708 , 15.021682099999987","46.49803210000026 , 15.067960500000012",urban-urban,1788
"46.6279262999998 , 16.13172639999997","46.66339289999987 , 15.954121499999982",urban-urban,1788
"46.695014100000094 , 15.909656900000009","46.651773599999835 , 16.099670099999994",urban-urban,1812
"46.13314300000013 , 13.996294300000029","46.05702550000028 , 14.111843400000057",urban-urban,1812
"46.375322999999554 , 15.890952000000079","46.40655420000011 , 16.140733200000025",urban-urban,1812
"46.708600199999786 , 15.88257059999994","46.6563933999998 , 16.056721499999963",urban-urban,1788
"46.57210220000011 , 16.037175500000014","46.668088000000054 , 15.838503100000027",urban-urban,1788
"46.38132040000007 , 15.900481099999952","46.44173469999996 , 16.10220730000003",urban-urban,1787
"46.39904809999996 , 16.252608999999996","46.53801889999987 , 16.18139069999998",urban-urban,1787
"46.42226179999998 , 16.103748500000012","46.38283540000014 , 15.878478499999996",urban-urban,1787
"46.42053309999975 , 16.121910099999994","46.390319799999915 , 15.873024200000058",urban-urban,1813
"46.645706300000235 , 16.103713299999967","46.696822499999804 , 15.91584609999996",urban-urban,1814
"46.38589300000005 , 15.96269530000001","46.37982369999968 , 15.750270799999994",urban-urban,1786
"46.70106189999981 , 15.901795100000024","46.655299999999926 , 16.093965900000008",urban-urban,1814
"46.44725620000006 , 16.09617900000004","46.36600569999987 , 15.901805200000027",urban-urban,1785
"46.06154230000007 , 14.121403800000014","46.13333980000241 , 13.997668000000042",urban-urban,1815
"46.40966769999981 , 16.05179389999999","46.396518600000014 , 15.82315689999997",urban-urban,1815
"46.386384700000136 , 15.728866499999967","46.37976609999994 , 15.943527500000018",urban-urban,1815
"46.37699289999977 , 15.82511250000003","46.40981290000001 , 16.046201699999997",urban-urban,1784
"46.291581399999956 , 14.345205499999988","46.16250630000005 , 14.3160908",urban-urban,1784
"46.27337850000002 , 14.308663800000039","46.158852099999955 , 14.300364299999881",urban-urban,1816
"46.665603399999846 , 15.983008499999956","46.608471599999554 , 16.135219200000037",urban-urban,1783
"46.39997060000004 , 16.260913600000062","46.5337604 , 16.178606099999996",urban-urban,1783
"46.42484180000003 , 16.107715099999997","46.383096899999536 , 15.877455900000085",urban-urban,1817
"46.292291599999984 , 14.392084599999999","46.1687594 , 14.312163900000007",urban-urban,1783
"46.70016249999984 , 15.907577399999996","46.66439259999986 , 16.097310399999987",urban-urban,1817
"46.41721879999993 , 16.104846600000027","46.36118710000007 , 15.882324599999976",urban-urban,1818
"46.3606961999999 , 15.815637400000002","46.4026639999998 , 16.03695930000011",urban-urban,1818
"46.12814119999972 , 13.992409499999958","46.047187400000304 , 14.120659100000053",urban-urban,1818
"46.54200860000008 , 16.405721099999916","46.60637990000001 , 16.227782700000002",urban-urban,1819
"46.66347479999966 , 16.05899959999999","46.69019250000016 , 15.887893600000044",urban-urban,1820
"46.05487139999996 , 14.081312500000015","46.12553379999998 , 13.984163499999967",urban-urban,1780
"46.130166699999954 , 13.993836100000069","46.05570639999992 , 14.077866199999995",urban-urban,1820
"46.35782370000023 , 15.873201099999966","46.43118460000017 , 16.080925300000047",urban-urban,1820
"46.40221729999983 , 16.04494100000001","46.37042800000003 , 15.81509660000008",urban-urban,1821
"46.30704029999998 , 14.339427799999998","46.1706127000003 , 14.294510400000052",urban-urban,1779
"46.056077900000155 , 14.121043699999992","46.120809200000046 , 13.97665719999998",urban-urban,1822
