origin,destination,area,ttpTravelTime
"42.27917770000028 , 2.5389338999999804","42.33898619999996 , 2.450924099999997",urban-urban,1796
"39.01680139999991 , 1.594320299999998","39.11171089999992 , 1.508327900000014",urban-urban,1810
"41.53743710000011 , 2.0312542000000047","41.66285829999994 , 1.9928494000000023",urban-urban,1787
"38.94234030000004 , 1.3397947000000048","38.91814440000007 , 1.4780154999999997",urban-urban,1759
"41.41851539999987 , 2.0105726000000073","41.402480799999736 , 2.1699977000000015",urban-urban,1949
"38.66238360000028 , 0.08766490000000914","38.583597699999906 , -0.1122184000000103",urban-urban,1614
"36.38680360000033 , -6.206675499999991","36.30297460000021 , -6.145115100000004",urban-urban,1614
"42.25063890000003 , 2.4878790000000075","42.31320730000034 , 2.3869257000000044",urban-urban,1988
"36.19056739999998 , -6.002239600000001","36.10298379999996 , -5.823679499999996",urban-urban,1991
"40.01832260000006 , -2.191357600000003","40.11021230000003 , -2.039787100000003",urban-urban,1541
"43.320364800000064 , -8.909898999999976","43.27492110000004 , -8.989660299999993",urban-urban,1529
"40.05820110000001 , -2.1353947999999914","40.12926550000001 , -2.019234800000005",urban-urban,1508
"37.63027430000005 , -0.6946320999999719","37.70680760000039 , -0.7442822000000153",urban-urban,1507
"42.48772200000016 , -7.333141499999995","42.52095729999981 , -7.167703099999985",urban-urban,1486
"36.5709913000001 , -4.590977100000004","36.50150259999989 , -4.830840900000002",urban-urban,1411
"39.558965799999996 , -4.358573399999999","39.48178130000018 , -4.287240200000011",urban-urban,1381
"36.380580500000285 , -6.199946499999993","36.31882070000008 , -6.1554941000000065",urban-urban,1360
"36.306799000000005 , -6.149889600000002","36.37241190000019 , -6.185642100000001",urban-urban,1354
"41.44166110000002 , 2.177401100000012","41.37804809999999 , 2.0030118000000043",urban-urban,1350
"42.564147399999904 , 0.12578730000000074","42.46381509999998 , 0.21678259999999971",urban-urban,2257
"38.622645900000016 , -0.10675710000000993","38.67421909999998 , 0.11457600000000476",urban-urban,2271
