origin,destination,area,ttpTravelTime
"59.2239749999999 , 18.350656200000007","59.20037619999999 , 18.159494099999925",urban-urban,1800
"66.28704789999973 , 19.573146099999924","66.21446499999973 , 19.26402320000002",urban-urban,1801
"66.43069219999983 , 19.243384599999942","66.33566379999982 , 19.51529539999997",urban-urban,1795
"61.41253330000017 , 13.819236400000033","61.51996299999999 , 13.62750819999999",urban-urban,1805
"61.551937300000844 , 13.860446499999972","61.4297531000001 , 13.802005900000049",urban-urban,1794
"66.29921689999979 , 19.518990499999934","66.36959579999979 , 19.221289399999943",urban-urban,1808
"66.15841930000022 , 19.73233039999992","66.22916519999984 , 19.45218239999995",urban-urban,1792
"59.367770799999825 , 14.849342299999977","59.34044909999997 , 14.698445100000033",urban-urban,1791
"66.3860335 , 19.23177369999999","66.48181589999969 , 19.34326219999993",urban-urban,1789
"66.29602569999984 , 19.24067519999994","66.41308149999982 , 19.278737399999947",urban-urban,1788
"61.58352710000048 , 13.804522899999924","61.50796859999999 , 13.64081199999999",urban-urban,1787
"66.22898069999981 , 19.45429809999995","66.3424237999998 , 19.39342299999995",urban-urban,1813
"66.19820590000012 , 19.60210529999999","66.26970519999973 , 19.29311779999993",urban-urban,1787
"66.47823079999974 , 19.302215599999947","66.39001620000006 , 19.213151399999994",urban-urban,1816
"61.585476600000476 , 13.802419199999925","61.47584790000011 , 13.796644100000043",urban-urban,1816
"66.20829979999972 , 19.26535980000002","66.31504709999973 , 19.197972800000024",urban-urban,1817
"66.22777819999975 , 19.46504499999993","66.34689480000026 , 19.377371300000007",urban-urban,1819
"59.328357400000066 , 18.576528599999946","59.3412461000001 , 18.437498099999946",urban-urban,1819
"66.35874309999988 , 19.187238099999963","66.33951159999982 , 19.51917119999997",urban-urban,1820
"60.780893800000115 , 14.796427499999947","60.7078096000001 , 15.097013200000003",urban-urban,1823
"61.5714401000005 , 13.577933699999912","61.52446440000013 , 13.784013999999962",urban-urban,1777
"61.59720130000085 , 13.754842599999973","61.48846269999999 , 13.67988639999999",urban-urban,1823
"66.33884500000006 , 19.043083000000003","66.34756810000026 , 19.371757800000008",urban-urban,1776
"61.512677899999915 , 13.769220700000004","61.37645529999977 , 13.721603099999939",urban-urban,1827
"66.48514779999971 , 19.260542099999945","66.34689480000026 , 19.377371300000007",urban-urban,1772
"61.47906139999996 , 13.758831100000004","61.594319000000475 , 13.65209259999992",urban-urban,1771
"66.19820590000012 , 19.60210529999999","66.21626919999972 , 19.273520099999924",urban-urban,1769
"61.41659880000016 , 13.803674500000042","61.51655260000008 , 13.872489700000024",urban-urban,1767
"58.58962120000001 , 15.377820100000001","58.67233110000002 , 15.376346600000005",urban-urban,1766
"66.21457809999977 , 19.29211629999992","66.29500139999973 , 19.535934299999944",urban-urban,1766
"66.33059920000032 , 19.501184400000003","66.41794639999978 , 19.148091399999945",urban-urban,1835
"66.3473504999997 , 19.165462899999866","66.4756615999997 , 19.221783799999884",urban-urban,1764
"61.43292820000011 , 13.739440700000042","61.5437539000005 , 13.614925399999908",urban-urban,1764
"66.38083129999983 , 19.291837599999962","66.47912679999966 , 19.355239099999917",urban-urban,1763
"66.28794630000029 , 19.259391699999977","66.2036189000004 , 19.527382699999976",urban-urban,1837
"66.43583599999982 , 19.08656639999995","66.33917109999999 , 19.035341400000018",urban-urban,1838
"59.37009449999981 , 14.871232399999977","59.33701900000028 , 14.6990029",urban-urban,1839
"60.5570860999991 , 15.082067200000143","60.620623699999925 , 14.83631189999997",urban-urban,1842
"61.49380889999999 , 13.712029999999988","61.54334089999961 , 13.930953399999906",urban-urban,1758
"61.47615199999996 , 13.717128700000005","61.594800600000475 , 13.634424799999918",urban-urban,1758
"59.27074360000025 , 18.187080899999952","59.19979670000018 , 18.393629600000057",urban-urban,1757
"61.4043542000001 , 13.748431400000046","61.50796859999999 , 13.64081199999999",urban-urban,1756
"66.16369429999997 , 19.60894550000003","66.23170909999976 , 19.435137399999938",urban-urban,1845
"59.2056664000002 , 18.376048700000048","59.20603200000066 , 18.22267950000011",urban-urban,1755
"61.54618290000001 , 13.908146000000007","61.5191652000005 , 13.70029899999991",urban-urban,1755
"61.561773900000496 , 13.579151599999912","61.4314775000001 , 13.785964100000049",urban-urban,1850
"61.43392470000007 , 13.799793600000054","61.57429010000048 , 13.814013199999925",urban-urban,1854
"65.84447160000016 , 21.779766700000003","65.72679969999992 , 21.53711810000001",urban-urban,1746
"66.13848830000002 , 19.62118699999999","66.23178620000029 , 19.387916800000077",urban-urban,1856
"61.54991845000083 , 13.816683599999976","61.5294263 , 13.619933599999992",urban-urban,1743
"59.18408320000016 , 18.396033500000055","59.27180250000025 , 18.17514780000009",urban-urban,1858
"66.28117409999976 , 19.27325489999993","66.4045142999998 , 19.17666749999996",urban-urban,1859
"61.476850099999965 , 13.761316400000002","61.536464399999616 , 13.950745199999906",urban-urban,1859
"65.69223080000023 , 21.393578799999997","65.79427710000002 , 21.593049199999996",urban-urban,1862
"59.31113970000057 , 14.943625700000004","59.30829460000026 , 14.7407064",urban-urban,1738
"65.77777340000009 , 21.67533130000001","65.69686490000063 , 21.353915299999983",urban-urban,1863
"66.39665710000006 , 19.19703359999999","66.26970519999973 , 19.29311779999993",urban-urban,1864
"65.72563729999996 , 21.46105089999999","65.83556890000017 , 21.72088279999999",urban-urban,1735
"59.339243900000234 , 18.096127699999922","59.21723340000009 , 18.0084362",urban-urban,1866
"61.59393900000047 , 13.707848199999919","61.51503699999966 , 13.977674099999907",urban-urban,1734
"57.751119000000166 , 12.050673600000009","57.735679700000034 , 11.887944599999997",urban-urban,1867
"66.20686740000018 , 19.561357099999977","66.28649559999974 , 19.25565729999993",urban-urban,1868
"59.3466789000002 , 14.721230899999963","59.31527960000015 , 14.954929700000047",urban-urban,1732
"59.36247369999968 , 14.924240699999983","59.312416999999826 , 14.727061200000039",urban-urban,1731
"66.23433679999978 , 19.541712899999933","66.30854149999983 , 19.211019699999962",urban-urban,1869
"59.35859810000001 , 18.45821150000001","59.264123399999775 , 18.463763400000026",urban-urban,1731
"66.27531979999974 , 19.549629399999922","66.1398836999999 , 19.67945600000003",urban-urban,1729
"61.38197110000006 , 13.719169300000024","61.49817109999999 , 13.652742399999994",urban-urban,1871
"59.28798420000002 , 18.165699099999994","59.213355500000326 , 18.379061099999994",urban-urban,1727
"58.57682039999998 , 14.537034899999933","58.47528869999997 , 14.490340200000052",urban-urban,1727
"61.57284169999963 , 13.963162599999906","61.52287940000012 , 13.780103599999961",urban-urban,1875
"57.36723719999999 , 11.951779900000032","57.48206439999987 , 12.087812099999995",urban-urban,1725
"66.21457809999977 , 19.29211629999992","66.19262640000011 , 19.612735899999993",urban-urban,1724
"61.49941009999999 , 13.64918039999999","61.38835690000014 , 13.765458100000025",urban-urban,1878
"66.29497199999975 , 19.536215599999927","66.27668260000029 , 19.283026599999978",urban-urban,1878
"65.69321460000057 , 21.39635690000001","65.81017180000009 , 21.58795609999998",urban-urban,1722
"61.52753740000021 , 13.793369799999942","61.591925999999624 , 13.950686399999906",urban-urban,1880
"59.858500900000045 , 17.575125299999943","59.78687949999997 , 17.65730110000002",urban-urban,1880
"60.58470159999999 , 15.081417599999995","60.58615449999997 , 14.847739200000147",urban-urban,1717
"65.84451249999981 , 21.77608019999996","65.73397499999975 , 21.522063599999974",urban-urban,1715
"61.597787600000466 , 13.777040499999924","61.47920419999992 , 13.7108854",urban-urban,1714
"66.29344949999978 , 19.545054299999947","66.42331899999984 , 19.25222369999995",urban-urban,1888
"66.36878849999977 , 19.270967999999957","66.34921679999982 , 19.52953779999995",urban-urban,1891
"66.13789479999994 , 19.68194640000002","66.23170909999976 , 19.435137399999938",urban-urban,1892
"66.35674520000005 , 19.338633900000012","66.24753409999981 , 19.54029269999995",urban-urban,1707
"66.33910890000006 , 19.0250971","66.35033150000028 , 19.354935100000002",urban-urban,1893
"66.2533087 , 19.534741600000018","66.31140310000059 , 19.20603969999998",urban-urban,1896
"59.31717899999997 , 14.686998400000036","59.371061699999814 , 14.861586499999978",urban-urban,1703
"61.44048690000011 , 13.74160790000004","61.55098950000049 , 13.59101449999991",urban-urban,1898
"65.69315760000015 , 21.503206199999838","65.82946509999982 , 21.679554600000024",urban-urban,1899
"66.47658399999976 , 19.315384699999946","66.38005239999977 , 19.24475639999994",urban-urban,1699
"59.20705530000067 , 18.207519900000094","59.21232680000032 , 18.394529600000002",urban-urban,1697
"61.41292840000013 , 13.736115300000042","61.51452640000006 , 13.876073200000027",urban-urban,1903
"66.14686100000016 , 19.725314800000067","66.28504869999976 , 19.571473899999926",urban-urban,1904
"61.595989400000484 , 13.608595299999918","61.48319459999991 , 13.711625700000003",urban-urban,1694
"66.29193019999978 , 19.606435499999936","66.15815279999977 , 19.647799499999994",urban-urban,1906
"61.57973330000048 , 13.808485099999924","61.5477568000005 , 13.599484599999911",urban-urban,1694
"61.543024899999615 , 13.930271199999906","61.59508650000048 , 13.622901999999918",urban-urban,1908
"66.41497829999977 , 19.15722719999996","66.33466330000064 , 18.99716350000007",urban-urban,1691
"61.398829700000086 , 13.800727000000037","61.501017499999996 , 13.646197799999992",urban-urban,1687
"59.285620800000125 , 14.693509600000004","59.36785840000006 , 14.845253800000005",urban-urban,1685
"66.2348763000003 , 19.396511700000083","66.15762869999999 , 19.625916100000016",urban-urban,1917
"59.36771490000006 , 14.844908900000005","59.32848340000029 , 14.6909667",urban-urban,1681
"59.32912139999988 , 18.434620399999982","59.33323789999962 , 18.62261249999996",urban-urban,1919
"66.32045719999981 , 19.190248899999958","66.22988649999972 , 19.474196299999864",urban-urban,1678
"57.75173649999994 , 12.021426100000035","57.697107100000004 , 11.930458800000027",urban-urban,1677
"66.23575359999971 , 19.48161269999993","66.1317263000002 , 19.58008850000004",urban-urban,1676
"65.66682469999978 , 21.514209400000055","65.71649850000064 , 21.27873099999999",urban-urban,1674
"66.4823490999997 , 19.34208829999993","66.37060939999982 , 19.26783439999995",urban-urban,1930
"65.70048320000046 , 21.487341800000006","65.82712999999998 , 21.736815300000025",urban-urban,1931
"61.59502260000046 , 13.735907899999923","61.57865969999962 , 13.961589799999905",urban-urban,1932
"65.8300892000002 , 21.697977299999973","65.70562870000015 , 21.454476099999848",urban-urban,1933
"66.16437230000032 , 19.68942309999999","66.24865239999971 , 19.358550099999942",urban-urban,1935
"66.38573630000005 , 19.3294643","66.48530869999972 , 19.267112899999944",urban-urban,1663
"65.71028150000002 , 21.534206","65.77078330000013 , 21.73197070000001",urban-urban,1663
"61.567336000000495 , 13.577087499999912","61.527396800000126 , 13.792387499999961",urban-urban,1662
"66.34366559999987 , 19.141876099999962","66.33378039999984 , 19.430226899999962",urban-urban,1660
"65.82186890000003 , 21.696265700000005","65.71582189999994 , 21.438564899999985",urban-urban,1942
"66.23179729999976 , 19.43460929999994","66.33596380000024 , 19.07437209999999",urban-urban,1943
"62.43881220000003 , 17.298471899999996","62.360693599999976 , 17.522805900000023",urban-urban,1655
"61.576575100000504 , 13.579428399999912","61.456028299999986 , 13.742253099999983",urban-urban,1945
"66.41923459999978 , 19.259722799999942","66.32089979999971 , 18.99745760000002",urban-urban,1946
"59.275709899999846 , 14.766854299999979","59.371061699999814 , 14.861586499999978",urban-urban,1652
"61.45718190000013 , 13.823223500000006","61.583538400000506 , 13.589092699999917",urban-urban,1948
"61.49861800000012 , 13.762188199999962","61.593404800000464 , 13.701307799999919",urban-urban,1651
"61.53154700000051 , 13.68082449999991","61.412466600000165 , 13.819552900000039",urban-urban,1650
"66.15171000000014 , 19.582367500000007","66.24865239999971 , 19.358550099999942",urban-urban,1954
"60.71130740000001 , 15.13208700000003","60.72315569999991 , 14.88920510000003",urban-urban,1646
"66.16339 , 19.549393600000005","66.2979155999998 , 19.58024919999995",urban-urban,1644
"60.783054099999916 , 14.77162779999999","60.712399499999925 , 15.061145600000025",urban-urban,1643
"59.14192000000017 , 17.914881700000013","59.193234699999856 , 17.725093499999982",urban-urban,1957
"66.29818669999975 , 19.520096999999925","66.42858509999985 , 19.24460499999995",urban-urban,1960
"61.449675799999966 , 13.75329309999998","61.570623100000496 , 13.819454299999924",urban-urban,1960
"59.36239259999968 , 14.923090799999983","59.29150400000016 , 14.700781400000011",urban-urban,1962
"65.83745540000022 , 21.683826799999917","65.72347839999979 , 21.51734479999996",urban-urban,1638
"61.552811200000846 , 13.865596399999971","61.590037300000496 , 13.599737699999915",urban-urban,1631
"66.33414169999975 , 19.42474499999986","66.23586379999983 , 19.486045199999946",urban-urban,1631
"66.33591660000006 , 19.075557800000002","66.33711739999985 , 19.414471299999963",urban-urban,1970
"66.13799189999983 , 19.768261099999965","66.22796599999984 , 19.45908459999994",urban-urban,1970
"65.81991679999997 , 21.732947700000047","65.71635089999977 , 21.49628579999997",urban-urban,1629
"61.417969500000076 , 13.791604300000051","61.526950799999995 , 13.624611399999988",urban-urban,1628
"66.1465544999998 , 19.748848499999937","66.29500139999973 , 19.535934299999944",urban-urban,1973
"60.63190389999988 , 14.826071299999986","60.62304479999987 , 15.054461400000006",urban-urban,1626
"66.29497199999975 , 19.536215599999927","66.16440190000019 , 19.74010919999993",urban-urban,1974
"66.13628380000017 , 19.549569900000037","66.22916519999984 , 19.45218239999995",urban-urban,1625
"66.4861243999997 , 19.230670899999883","66.33986619999976 , 19.136474900000024",urban-urban,1976
"66.4041839999998 , 19.17735419999996","66.47832629999976 , 19.319777999999946",urban-urban,1978
"66.25803750000026 , 19.541978300000007","66.13281439999992 , 19.641745800000027",urban-urban,1621
"66.31110820000059 , 19.22811949999998","66.23711829999975 , 19.513172799999936",urban-urban,1621
"61.55182529999964 , 13.971758199999904","61.51877430000013 , 13.778243099999962",urban-urban,1620
"66.36463879999987 , 19.20393309999996","66.23264960000002 , 19.40753780000001",urban-urban,1982
"66.38028779999979 , 19.23037239999994","66.27168589999971 , 19.290343299999925",urban-urban,1618
"58.600240800000016 , 15.347827899999984","58.66468800000004 , 15.390575000000016",urban-urban,1617
"61.5589680000005 , 13.582923999999911","61.532456400000214 , 13.806795499999941",urban-urban,1617
"57.75937540000044 , 12.022025600000068","57.69602499999999 , 11.945907599999973",urban-urban,1617
"61.48556799999996 , 13.7525118","61.59900640000046 , 13.776225899999924",urban-urban,1615
"61.54062990000002 , 13.929026000000007","61.53163780000001 , 13.680278800000009",urban-urban,1987
"66.32579830000027 , 19.493748999999994","66.25085599999979 , 19.347620599999935",urban-urban,1987
"60.71904590000015 , 15.066236300000003","60.784392099999955 , 14.806845200000026",urban-urban,1612
"65.82980350000011 , 21.66365480000001","65.67920830000014 , 21.520155099999833",urban-urban,1988
"66.22891709999975 , 19.468599599999923","66.34577810000002 , 19.159587400000007",urban-urban,1990
"66.25783020000029 , 19.321265899999975","66.16847859999991 , 19.660204000000025",urban-urban,1991
"66.28371379999977 , 19.274277299999934","66.39156850000003 , 19.210092699999993",urban-urban,1609
"66.26090909999982 , 19.55094459999994","66.13211900000022 , 19.57453690000005",urban-urban,1609
"57.76030080000001 , 12.05057480000003","57.68937260000025 , 11.903098800000018",urban-urban,1993
"57.08190709999985 , 16.862608200000007","57.250149399999984 , 16.95521399999999",urban-urban,1994
