origin,destination,area,ttpTravelTime
"31.432561000000003 , -87.35586200000004","31.24001099999998 , -87.32423699999994",urban-urban,2043
"31.57055500000006 , -87.12885899999985","31.449738999999944 , -86.79776300000005",urban-urban,1965
"34.447712000000145 , -87.41719399999971","34.37778699999995 , -87.65611999999996",urban-urban,1819
"31.006144000000013 , -87.01169800000004","31.05706900000022 , -86.73649500000002",urban-urban,2026
"33.219150000000035 , -85.27913699999996","32.97532700000006 , -85.31281199999962",urban-urban,1989
"34.376772000000116 , -86.5588189999998","34.35991700000026 , -86.85898199999973",urban-urban,2041
"31.003056000000058 , -87.02541399999997","31.04760200000003 , -86.7417329999995",urban-urban,2034
"30.456127000000116 , -88.27119200000017","30.642088999999963 , -88.26548899999969",urban-urban,1626
"34.40630599999998 , -86.44849299999983","34.37174200000017 , -86.72970600000002",urban-urban,1973
"34.37641700000016 , -87.68125499999991","34.42992400000003 , -87.43479200000003",urban-urban,1960
"31.256548000000027 , -86.31422000000015","31.05533399999991 , -86.47334700000035",urban-urban,2025
"33.16857100000006 , -85.28077999999998","32.933944999999966 , -85.29528899999978",urban-urban,1741
"31.584393000000087 , -86.89084100000007","31.519999999999996 , -87.23297200000005",urban-urban,2044
"34.37468000000013 , -87.57804999999986","34.57131600000001 , -87.4809950000001",urban-urban,1752
"33.264431999999815 , -85.3358619999997","33.49847399999997 , -85.42393600000034",urban-urban,1949
"31.100471999999854 , -86.748705","31.102490000000024 , -86.45948399999988",urban-urban,1867
"31.398199 , -88.28700100000007","31.598416999999916 , -88.41570800000054",urban-urban,1991
"31.470524000000026 , -86.81356899999977","31.65883899999998 , -87.06158399999988",urban-urban,1807
"30.468354999999935 , -88.25732699999968","30.65410800000017 , -88.34368100000046",urban-urban,1907
"31.87286300000007 , -88.19960200000004","31.820968999999913 , -88.45477899999986",urban-urban,1925
"34.26367300000004 , -86.25109799999976","34.460368 , -86.13319199999997",urban-urban,1977
"34.28605900000002 , -87.06025899999992","34.50707799999984 , -86.99000699999986",urban-urban,1980
"31.67545699999993 , -87.09665200000045","31.454740999999775 , -86.87603900000047",urban-urban,2013
"34.43251999999998 , -87.84426700000006","34.37537500000009 , -87.55424199999979",urban-urban,1869
