origin,destination,area,ttpTravelTime
"65.14116199999943 , -149.36825180000028","65.21802230000004 , -149.5572392999998",urban-urban,1350
"61.2670242000001 , -149.81578635000068","61.3151688 , -149.5122079000001",urban-urban,1593
"61.32519290000001 , -149.6001821000005","61.30407110000018 , -149.796479",urban-urban,1457
"64.45124219999836 , -147.56700739999377","64.54589029999838 , -147.61085629999397",urban-urban,1400
"60.461896499999966 , -151.20983960000038","60.48270979999978 , -150.8672748000005",urban-urban,2108
"61.34173269999999 , -149.67774950000054","61.232587800000005 , -149.58607120000002",urban-urban,1779
"64.7457196 , -146.78183589999986","64.73087140000008 , -147.08729979999978",urban-urban,2148
"64.37095679999992 , -147.69426669999984","64.4796495999984 , -147.61916039999372",urban-urban,1419
"61.382402299999974 , -149.64900929999982","61.236695399999874 , -149.55995130000042",urban-urban,2223
"60.70161389999991 , -151.14495019999978","60.67867729999992 , -151.38950839999978",urban-urban,1456
"61.303918800000176 , -149.79639020000002","61.28013340000003 , -149.62283370000006",urban-urban,1602
"61.37511090000015 , -149.66224839999919","61.236695399999874 , -149.55995130000042",urban-urban,2199
"64.79678469999978 , -146.97858020000004","64.67434470000026 , -147.06512969999994",urban-urban,1762
"64.76634349999999 , -147.00752229999992","64.6495964000001 , -146.9896159000006",urban-urban,1867
"65.21773630000014 , -149.55522309999913","65.1534832000002 , -149.34313089999927",urban-urban,1452
"64.79494079999984 , -147.63701959999983","64.86873779999975 , -147.5580006999993",urban-urban,1480
"61.191669899999866 , -149.949217100001","61.29184229999982 , -149.70885939999926",urban-urban,2076
"63.92424480000025 , -145.15251590000014","63.99802959999952 , -145.39839589999985",urban-urban,1412
"64.70376869999988 , -147.15560410000043","64.75991370000001 , -146.87929339999994",urban-urban,2113
"61.25590999999999 , -149.540324","61.20970880000018 , -149.75374399999964",urban-urban,2160
"64.36986159999992 , -147.65758479999985","64.51115099999842 , -147.59706979999362",urban-urban,1781
"64.66253910000007 , -146.88473110000058","64.60492800000021 , -147.11248299999977",urban-urban,2102
"60.723896499999945 , -151.12353549999935","60.664714999999966 , -151.373322000001",urban-urban,1582
"64.43442439999832 , -147.64973759999376","64.54870299999844 , -147.61252999999357",urban-urban,1510
"61.15879809999996 , -149.69060279999985","61.25282905000002 , -149.73048929999976",urban-urban,1718
"64.86871729999972 , -147.5594597999993","64.80057040000015 , -147.9299218000004",urban-rural,1881
"61.962413499999855 , -149.93502649999982","62.17013229999994 , -149.9794073000007",urban-rural,2057
"61.22543950000001 , -149.9066572","61.42569139999983 , -149.447103800001",rural-urban,1936
"64.79080750000007 , -147.60659399999986","64.91467429999966 , -147.84420299999928",urban-rural,1846
"64.60467520000022 , -147.11298029999978","64.7925789 , -147.73816119999975",urban-rural,2311
"64.70376869999988 , -147.15560410000043","64.58245699999969 , -146.92083600000035",urban-rural,1391
"61.303918800000176 , -149.79639020000002","61.43568869999997 , -149.40273290000036",urban-rural,2267
"64.58931330000006 , -147.02727639999964","64.84677629999969 , -147.68098640000008",rural-urban,2055
"60.252195700000435 , -151.1763180999996","60.37523859999992 , -151.34590060000053",urban-rural,1530
"62.31206940000018 , -150.38064370000006","62.14872310000012 , -150.0862212999995",urban-rural,1680
"65.16043009999989 , -150.0923066000001","65.16473860000015 , -149.45588489999912",rural-urban,2281
"61.70043569999976 , -150.13946900000005","61.57488599999995 , -149.83415400000027",urban-rural,2052
"64.67474490000026 , -147.06476069999994","64.41450020000032 , -146.92942329999985",urban-rural,1951
"61.7693337999999 , -149.73999209999928","61.74154410000023 , -150.11477800000043",rural-urban,2064
"60.14256200000008 , -151.5047959999998","60.25081219999987 , -151.18783860000022",rural-urban,2121
"60.70161389999991 , -151.14495019999978","60.58649309999986 , -151.3323596",urban-rural,1906
"64.1692288999999 , -145.7642841000003","64.05582219999974 , -145.54766899999967",rural-urban,1637
"63.89223169999997 , -145.0540572000005","63.909088600000395 , -145.38061140000013",urban-rural,1631
"61.249309 , -149.64293530000003","61.49074369999995 , -149.07849790000026",urban-rural,2155
"62.0245363000002 , -149.9556258999999","61.73227770000007 , -150.03418919999967",urban-rural,2203
"65.17911210000011 , -149.89910779999934","65.14126469999943 , -149.3674267000003",rural-urban,2284
"65.29881269999987 , -149.16835610000004","65.17009150000014 , -149.48592559999912",rural-urban,2041
"63.850878699999924 , -145.251381399999","63.99802959999952 , -145.39839589999985",rural-urban,1826
"60.47805300000047 , -150.95278669999993","60.514776200000426 , -151.20426700000104",urban-rural,1432
"59.194727300000054 , -135.41821370000008","59.3268685000001 , -135.5616707",urban-rural,1228
"61.23332550000013 , -149.57817899999907","61.20439809999996 , -149.93781970000026",urban-urban,2414
"61.19105000000021 , -149.95302839999866","61.31137949999993 , -149.6880520000003",urban-urban,2489
"64.86255000000008 , -147.9667188000002","64.94198560000021 , -148.2810339000004",urban-urban,2416
"64.54456000000008 , -147.08513260000007","64.7576436 , -146.87580009999994",urban-urban,2958
"61.298938499999835 , -149.75046729999988","61.154451700000315 , -150.04120410000067",urban-urban,2719
