origin,destination,area,ttpTravelTime
"33.40551799999998 , -110.67723599999952","33.234542999999604 , -110.68265299999975",urban-urban,1884
"32.905060200000115 , -114.3716498","32.87963299999999 , -114.01259600000007",urban-urban,2003
"32.21044190000013 , -110.07181240000006","32.238738999999896 , -109.74804300000007",urban-urban,1933
"36.0324387000002 , -110.38726739999997","36.02145809999987 , -110.65003290000068",urban-urban,1584
"31.563913999999972 , -110.49115909999982","31.462426000000026 , -110.21241059999986",urban-urban,1842
"32.639143099999856 , -114.40494809999973","32.41864679999989 , -114.16684269999992",urban-urban,1785
"32.82165499999995 , -114.10461100000057","32.96683900000004 , -114.42366599999995",urban-urban,1976
"32.72335100000001 , -114.00474000000033","32.43725229999994 , -113.81456179999994",urban-urban,1884
"32.44406780000002 , -114.12193719999979","32.589924100000026 , -114.40974509999982",urban-urban,1988
"31.714576900000075 , -109.80616010000016","31.97794640000001 , -109.81349140000012",urban-urban,1840
"31.741682199999982 , -109.80154590000008","31.993805000000215 , -109.7965801",urban-urban,1805
"36.13398980000002 , -109.35216470000039","36.29547019999994 , -109.24264949999996",urban-urban,1842
"32.9065896 , -112.73976190000006","32.421879199999935 , -112.87451460000057",urban-urban,2057
"32.875571900000004 , -114.38176640000006","32.875042999999984 , -113.97796200000006",urban-urban,1980
"34.90759299999989 , -113.49583700000008","34.9899100999998 , -113.78845010000009",urban-urban,1864
"32.67871699999997 , -114.015747","32.49187740000001 , -113.71515119999977",urban-urban,1982
"36.0481393000001 , -110.49309170000075","35.84145260000016 , -110.3621590999999",urban-urban,1956
"32.977109500000005 , -111.15649299999946","32.93806750000002 , -111.59861419999933",urban-urban,1925
"32.35715059999991 , -114.0515184000005","32.647886700000235 , -114.17490969999996",urban-urban,1765
"32.923025199999906 , -111.54969020000001","32.980950699999624 , -111.11947079999996",urban-urban,1809
"32.99383099999999 , -114.33400199999986","32.68661349999994 , -114.30022309999995",urban-urban,2016
"32.71955320000013 , -114.27551160000023","33.015697999999965 , -114.38651299999997",urban-urban,2048
"36.159563900000066 , -109.40124350000039","36.27453659999998 , -109.2042369999992",urban-urban,1588
"32.98622020000038 , -111.20668849999993","32.905204399999974 , -111.62213609999996",urban-urban,1907
"31.602618900000163 , -110.42960289999972","31.452841199999963 , -110.20388190000008",urban-urban,1840
"32.95962719999995 , -111.4728557000002","32.98694860000024 , -111.04902949999983",urban-urban,1953
"32.85759385000003 , -114.3991826999999","33.17161299999992 , -114.27669900000015",urban-urban,1988
"35.75316649999998 , -110.20079119999994","35.554250000000025 , -110.39643100000009",urban-urban,1880
"32.43627549999993 , -114.62001870000068","32.30351020000022 , -114.18379589999996",urban-urban,1597
"32.97974630000044 , -111.13866369999997","32.96163390000003 , -111.52868519999952",urban-urban,1701
"35.10325999999997 , -113.80738900000001","34.90215500000012 , -113.58739300000066",urban-urban,2047
"35.8595298999999 , -110.39500090000016","36.06344099999985 , -110.52266679999978",urban-urban,1831
"32.20638520000013 , -110.09138280000003","32.34018040000011 , -109.84204350000041",urban-urban,1585
"32.76703530000002 , -114.42191250000033","33.17867400000032 , -114.27578399999979",urban-urban,1708
"32.91590499999998 , -111.51929299999938","32.974295299999596 , -111.12994059999994",urban-urban,1800
"32.949261399999955 , -112.72628710000016","32.5112854 , -112.9023932000005",urban-urban,2034
"32.66797309999996 , -114.45940360000014","32.39517519999988 , -114.18683670000011",urban-urban,1896
