origin,destination,area,ttpTravelTime
"35.68100100000007 , -90.88385399999981","35.585738999999926 , -90.68990799999992",urban-urban,1574
"33.22310600000023 , -93.10178099999965","33.061915999999854 , -93.2946019999999",urban-urban,2020
"33.32938899999995 , -91.38180600000041","33.086278000000135 , -91.4370179999999",urban-urban,2056
"34.429956000000224 , -94.13339300000038","34.50620000000004 , -94.39807299999984",urban-urban,1865
"36.06510300000011 , -91.20967699999969","36.22747799999995 , -91.36335099999998",urban-urban,1991
"33.0553060000001 , -91.72129999999997","33.24613499999999 , -91.59737700000022",urban-urban,1782
"34.20991159999988 , -94.18163060000006","34.23866700000004 , -93.90487900000004",urban-urban,1984
"36.17236490000011 , -93.72291209999982","36.26386899999986 , -93.48965700000062",urban-urban,1788
"35.8511439999999 , -91.19783299999982","36.07082700000017 , -91.07793500000025",urban-urban,1976
"33.45063900000008 , -91.43712799999967","33.381486000000365 , -91.69985900000047",urban-urban,2042
"35.973859199999566 , -94.32631729999987","35.72405310000005 , -94.41352749999955",urban-urban,1996
"34.80227000000009 , -94.1716250000001","34.880176000000375 , -93.90607900000015",urban-urban,2012
"33.44551500000001 , -92.91973600000021","33.211849000000015 , -93.00281099999978",urban-urban,2031
"33.07381499999983 , -91.38945119999993","33.290686000000086 , -91.36753999999962",urban-urban,1900
"33.91671200000005 , -93.84189000000026","34.152702000000225 , -93.79116100000007",urban-urban,1971
"33.27827609999999 , -93.36527250000005","33.02327399999999 , -93.41170229999977",urban-urban,1938
"33.492309999999904 , -92.86587099999998","33.25012800000008 , -92.99857700000021",urban-urban,2034
"33.034083000000116 , -93.42602900000007","33.026449 , -93.6601960000004",urban-urban,1589
"35.579531000000046 , -90.83988200000005","35.35347100000016 , -90.80863400000005",urban-urban,1902
"33.23530300000003 , -93.08045200000014","33.42392500000016 , -92.88730999999997",urban-urban,1975
"36.111938999999715 , -91.08942200000041","35.909145499999816 , -91.12888400000034",urban-urban,1807
"33.300386000000096 , -91.55528900000002","33.110474600000416 , -91.69289410000032",urban-urban,1740
"33.330549000000254 , -91.75833350000015","33.37962100000016 , -91.49866599999982",urban-urban,1838
"35.52237 , -91.19910800000004","35.47166300000005 , -90.92734600000006",urban-urban,2031
"34.766220000000125 , -94.14214499999983","34.8759780000004 , -93.8822380000001",urban-urban,2012
"36.06006700000017 , -91.29966200000038","36.11048599999989 , -91.56948500000006",urban-urban,1907
"33.27466999999991 , -93.48107799999994","33.18905499999996 , -93.2402820000002",urban-urban,2035
"33.37246009999988 , -91.68271869999982","33.46250300000012 , -91.42512999999968",urban-urban,2029
"33.04434099999982 , -93.40957000000006","33.257966000000074 , -93.465134",urban-urban,1770
"35.848923000000156 , -91.20789899999961","36.0486605 , -91.0733681000001",urban-urban,1898
"35.181659000000124 , -93.97989100000007","35.20586800000006 , -93.70108500000018",urban-urban,1987
"33.419063999999956 , -92.22232100000096","33.670051000000036 , -92.17411100000001",urban-urban,2030
"34.14406199999998 , -93.98719699999954","34.06411099999996 , -93.7053120000001",urban-urban,1956
"33.4576619999999 , -91.63963899999985","33.69251700000031 , -91.60885000000022",urban-urban,1809
"33.219919999999966 , -93.15649099999979","33.04405900000028 , -92.99568499999974",urban-urban,1730
"34.10385400000011 , -93.85447599999993","33.84554869999989 , -93.85885880000009",urban-urban,1987
"35.339726000000105 , -90.87378799999973","35.59401200000001 , -90.86255000000003",urban-urban,2009
"33.04544700000013 , -91.24839099999998","33.2198460000001 , -91.12358499999962",urban-urban,1962
"33.35221200000004 , -91.4284189999999","33.15018099999997 , -91.35433899999998",urban-urban,1812
"34.13615300000015 , -93.76315499999986","33.894890800000006 , -93.86496759999997",urban-urban,1914
"33.696663000000115 , -93.25959500000016","33.812819999999974 , -93.5403609999992",urban-urban,2039
"35.956180999999894 , -91.68617599999999","35.9785419999997 , -91.4034060000002",urban-urban,1957
"36.2143297000001 , -91.52155680000043","36.17718200000008 , -91.23639399999975",urban-urban,2019
"33.21569140000002 , -91.11785789999985","33.0929640000001 , -91.30529299999974",urban-urban,1692
"33.377718999999715 , -91.44047249999974","33.407549999999894 , -91.7164959999999",urban-urban,1953
"33.24854840000025 , -91.60516210000014","33.05166300000026 , -91.78167100000039",urban-urban,1801
"35.619979500000106 , -94.40458729999953","35.81859940000014 , -94.38146079999947",urban-urban,1809
"36.35758580000029 , -91.60716000000033","36.40997599999992 , -91.37764199999985",urban-urban,2027
"33.29279100000032 , -91.76920500000033","33.51760329999992 , -91.5697773999999",urban-urban,2052
"33.04016599999981 , -93.23586899999997","33.23334599999981 , -93.10687000000016",urban-urban,2004
"35.7184860000001 , -94.40991899999986","35.88846740000009 , -94.2524994000002",urban-urban,2010
"33.18434800000001 , -92.94362900000003","33.134812999999895 , -93.20174400000003",urban-urban,1932
"36.22772540000004 , -91.51939779999938","36.177970000000066 , -91.27294599999976",urban-urban,1874
"36.17101000000017 , -93.67083000000001","36.298923300000006 , -93.48159169999984",urban-urban,1914
"35.205902000000115 , -93.9441889999996","35.038451000000045 , -94.12630199999974",urban-urban,1736
"33.32096300000032 , -91.76897300000033","33.50445169999991 , -91.56992750000023",urban-urban,1770
"35.25515000000015 , -93.71852599999993","35.192909000000085 , -93.99053199999959",urban-urban,1910
"34.21008500000003 , -93.80303200000006","33.95379599999989 , -93.82370500000027",urban-urban,2067
"36.04635500000016 , -91.29992600000041","36.122170500000095 , -91.55253060000004",urban-urban,1988
"36.19763499999995 , -91.43387900000006","36.369055999999986 , -91.60698500000038",urban-urban,2035
"34.23118300000004 , -94.14101600000009","34.25608699999993 , -93.84407100000018",urban-urban,1924
"35.73603799999996 , -90.50029800000013","35.71969999999997 , -90.79055800000002",urban-urban,1719
"33.238973000000236 , -91.79071499999993","33.44018599999984 , -91.64407599999998",urban-urban,1814
"33.329888899999965 , -91.82729659999954","33.34944100000014 , -91.55104899999974",urban-urban,1816
"34.42841700000019 , -91.4649180000001","34.68618455000008 , -91.48241749999985",urban-urban,1885
"35.56176849999997 , -91.02840520000004","35.339580950000055 , -91.04381529999998",urban-urban,1858
"36.21820859999984 , -91.52101100000034","36.22997400000008 , -91.26987900000007",urban-urban,1832
"33.06804699999985 , -92.8707269999999","33.29432400000005 , -92.88430099999957",urban-urban,1891
"34.13186900000005 , -93.78875699999999","33.883481299999936 , -93.87962570000019",urban-urban,1873
"33.597062999999956 , -94.0934590000001","33.589179999999985 , -94.37827700000028",urban-urban,2070
"34.432742 , -94.11276300000006","34.405566999999934 , -94.37578799999964",urban-urban,2028
"33.556737999999896 , -93.48082500000002","33.34091599999975 , -93.59028300000018",urban-urban,2063
"33.24206799999991 , -93.3795180000001","33.477547 , -93.2262060000001",urban-urban,2006
"33.31909200000004 , -91.42940599999991","33.10948999999988 , -91.37180699999992",urban-urban,2048
"33.405559000000046 , -91.82049600000005","33.38052500000015 , -91.54446799999985",urban-urban,1770
"34.87076799999993 , -93.91747099999988","34.936842000000084 , -93.63376700000013",urban-urban,1988
"33.02627400000012 , -91.73054175000001","33.2363080000001 , -91.69875200000007",urban-urban,1820
"34.96625300000005 , -93.48379100000051","34.89631400000042 , -93.80700100000013",urban-urban,1939
"35.66094400000005 , -90.91007399999994","35.43872100000026 , -90.82397099999991",urban-urban,1734
"36.16491700000008 , -93.71491300000002","36.30387120000016 , -93.55479650000012",urban-urban,1900
"35.799927599999634 , -94.38562629999998","35.966385899999956 , -94.28267570000014",urban-urban,1752
"35.94372989999991 , -93.60427620000034","36.160647700000034 , -93.58728300000011",urban-urban,1925
"33.12513199999978 , -93.43228200000016","33.36161200000028 , -93.43826299999981",urban-urban,1857
"36.25445399999991 , -90.41828399999964","36.23802700000001 , -90.68755300000011",urban-urban,1855
