origin,destination,area,ttpTravelTime
"37.36713689999986 , -122.09885940000017","37.35365440000001 , -122.21751989999996",urban-urban,1631
"33.05187660000014 , -117.1350031999999","33.14408130000009 , -117.02942509999977",urban-urban,1668
"40.253369000000184 , -120.17409799999972","40.15527314999998 , -120.09494419999946",urban-urban,1755
"39.223241999999985 , -120.0094637000001","39.147581099999954 , -120.16758529999991",urban-urban,1747
"33.481483000000026 , -117.48078899999959","33.38087700000022 , -117.57712199999901",urban-urban,1701
"34.06260910000016 , -118.42569349999981","34.21123310000011 , -118.41577870000009",urban-urban,1790
"34.39807649999978 , -117.54033629999999","34.55753910000015 , -117.5275530000001",urban-urban,1902
"37.11194380000014 , -122.06256530000041","36.967579199999996 , -122.00788330000012",urban-urban,1906
"36.58479650000004 , -121.9171878999999","36.48010899999989 , -121.69102200000002",urban-urban,1969
"39.79534800000014 , -121.13684600000012","39.91196539999998 , -121.18685690000008",urban-urban,1959
"35.6033381 , -117.49549829999951","35.657664000000025 , -117.67774700000055",urban-urban,1805
"34.49893789999997 , -117.59169769999994","34.64553399999989 , -117.56108759999961",urban-urban,1749
"35.30276499999996 , -116.81665520000013","35.15669180000012 , -116.76491500000007",urban-urban,1802
"40.171026999999945 , -123.92383900000038","40.068663 , -123.84423600000018",urban-urban,1999
"34.24651409999959 , -116.09500999999977","34.30775470000031 , -115.92570200000047",urban-urban,1957
"35.62985870000013 , -117.72300849999966","35.74995300000007 , -117.60348399999968",urban-urban,1920
"35.35932610000025 , -116.52668730000035","35.26767799999997 , -116.66202470000012",urban-urban,2067
"33.35755490000029 , -117.28735680000008","33.22859760000007 , -117.3970449000001",urban-urban,1935
"35.52331580000035 , -116.65882519999926","35.5020830000001 , -116.48910610000014",urban-urban,1816
"40.26684789999981 , -120.13846720000001","40.12965299999995 , -120.19620400000018",urban-urban,1852
"40.64113089999998 , -122.94845940000002","40.59661499999999 , -122.8028502000001",urban-urban,1617
"32.80851699999996 , -117.26772299999952","32.903445999999946 , -117.14698799999931",urban-urban,1842
"37.125204600001624 , -122.04954679999939","36.98474330000009 , -122.04822770000007",urban-urban,2025
"33.58896619999987 , -114.8621190000004","33.468535999999915 , -114.89484880000018",urban-urban,1960
"41.29317700000018 , -123.81092100000033","41.40904400000004 , -123.77092799999947",urban-urban,1962
"40.158567000000076 , -120.15125100000002","40.31900899999985 , -120.21166799999978",urban-urban,1859
"36.416276000000074 , -120.12169940000007","36.457306999999986 , -120.32051099999961",urban-urban,1849
"39.34761800000018 , -122.01288300000004","39.22964600000006 , -121.94112700000002",urban-urban,1591
"33.108710399999914 , -115.68373689999991","32.97742979999996 , -115.67537360000006",urban-urban,1609
"35.974385999999946 , -119.44709800000017","35.98509450000014 , -119.67895869999995",urban-urban,2001
"35.944378000000164 , -117.57924000000015","35.819306000000175 , -117.69729099999991",urban-urban,1792
"40.61475800000008 , -123.07769900000018","40.4941116 , -123.05959640000017",urban-urban,1685
"41.40402600000001 , -120.66505399999998","41.5063950000002 , -120.77215299999962",urban-urban,1671
"33.211342000000045 , -117.33870700000004","33.40582249999999 , -117.60673610000002",urban-urban,1823
"39.07888999999993 , -122.0659659999998","38.96888712499991 , -121.90054839999989",urban-urban,1878
"40.4573470000001 , -121.82259700000019","40.56664859999998 , -121.7141388999998",urban-urban,1940
"34.25838950000009 , -118.37199669999971","34.20126349999995 , -118.55571630000001",urban-urban,1910
"40.42320300000005 , -121.82285099999989","40.534535 , -121.81633659999994",urban-urban,1928
"34.06059939999996 , -117.74806239999954","34.03068070000008 , -117.51098479999993",urban-urban,1645
"34.33783280000005 , -116.19025910000042","34.46124540000003 , -116.29498890000082",urban-urban,1761
"36.480977700000025 , -120.0106494999999","36.30626880000003 , -120.02166729999995",urban-urban,1805
"39.06328899999987 , -122.57784499999987","39.13036500000004 , -122.74320700000006",urban-urban,1685
"40.53434200000016 , -120.03514100000021","40.411664000000194 , -120.01432100000004",urban-urban,1646
"36.934470000000026 , -121.33120600000022","36.80823899999965 , -121.43367500000033",urban-urban,1723
"32.90256770000006 , -118.49374499999983","32.807951200000275 , -118.42105520000001",urban-urban,1746
"41.37975399999996 , -123.83102899999982","41.442008000000015 , -123.90765800000024",urban-urban,1882
"41.51266260000009 , -123.43508179999996","41.41392800000002 , -123.41000699999987",urban-urban,1898
"35.378555000000105 , -116.35983000000006","35.35182319999992 , -116.54057839999992",urban-urban,1694
"35.8762710000001 , -119.84106699999985","35.79040500000012 , -119.66403000000037",urban-urban,1997
"36.40699180000008 , -120.28269670000027","36.591835000000074 , -120.33403900000023",urban-urban,1954
"34.83431700000004 , -117.81993199999985","34.95636379999991 , -117.7115050000003",urban-urban,1918
"35.97804800000004 , -121.34631099999994","35.952492 , -121.11762200000003",urban-urban,2059
"34.48458990000002 , -117.6146762000001","34.63130399999999 , -117.62257699999998",urban-urban,1621
"34.17503519999983 , -118.05882480000021","34.04853490000022 , -118.16790599999999",urban-urban,1775
"33.993561999999955 , -116.89507200000021","33.86145929999996 , -116.8669059",urban-urban,1878
"39.90798000000013 , -123.65132099999991","39.9697649999999 , -123.76559399999995",urban-urban,1843
"34.52858800000002 , -117.53001500000006","34.572375999999984 , -117.72374099999976",urban-urban,1739
"35.6000491 , -117.4741202999995","35.64441740000006 , -117.69993280000013",urban-urban,1995
"40.33925399999989 , -120.43240599999969","40.49188500000017 , -120.46765900000008",urban-urban,1627
"35.333172800001265 , -116.82482069999995","35.277212600000496 , -116.66966570000007",urban-urban,2040
"33.17982900000001 , -117.36092399999973","33.34152600000016 , -117.28801699999995",urban-urban,1778
"35.08780099999992 , -117.7926710000001","34.95429299999988 , -117.9629869999999",urban-urban,2048
"41.43612499999979 , -120.75037000000017","41.57276699999979 , -120.80974100000023",urban-urban,1970
"37.45135800000004 , -122.19985289999948","37.392603700000045 , -122.35209120000005",urban-urban,2004
"35.97557800000004 , -121.33483499999996","35.93702200000022 , -121.1015310000001",urban-urban,1868
"32.83606399999999 , -115.59395980000012","32.88358799999996 , -115.39754599999979",urban-urban,1784
"36.3558949999999 , -120.28383300000019","36.5522236 , -120.27073200000014",urban-urban,1874
"36.023772200000074 , -118.99526350000004","36.208074500000066 , -119.02366700000043",urban-urban,1873
"41.43053599999999 , -123.75027800000028","41.284190000000144 , -123.71937199999972",urban-urban,1964
"33.21410399999996 , -117.37767799999995","33.43849230000003 , -117.64123180000006",urban-urban,1917
"36.62526750000005 , -120.34952657500018","36.442885999999895 , -120.28437200000016",urban-urban,2026
"34.20862700000024 , -116.03636600000092","34.342933899999615 , -116.14805659999983",urban-urban,1792
"39.02236960000044 , -121.38940470000044","39.14361270000042 , -121.46819970000041",urban-urban,1608
"36.472177499999894 , -120.28411860000016","36.34945500000005 , -120.13957199999999",urban-urban,2040
"33.32847200000007 , -117.42534599999993","33.441057300000125 , -117.58221449999985",urban-urban,1985
"33.75772720000007 , -117.95061540000003","33.888230400000054 , -117.92017710000016",urban-urban,1767
"34.2667968500001 , -116.02685669999991","34.339866499999616 , -116.14870859999984",urban-urban,1851
"40.658935999999954 , -123.03380200000053","40.78982350000007 , -123.05479749999971",urban-urban,2057
"38.38121599999994 , -120.34771199999982","38.38540600000012 , -120.55248700000011",urban-urban,1990
"34.658939000000004 , -120.47162700000021","34.74976799999997 , -120.60576900000007",urban-urban,1611
"40.55819800000008 , -123.68512100000012","40.46813100000031 , -123.60117400000028",urban-urban,1899
"39.98231400000013 , -120.95958700000031","40.008923000000166 , -121.12951800000025",urban-urban,1873
"36.57401799999984 , -120.35213100000009","36.531347499999974 , -120.15216060000009",urban-urban,1851
"35.99162519999997 , -121.2625823999999","35.897411000000155 , -121.10123000000033",urban-urban,1646
"41.55919599999992 , -123.84672199999973","41.49389700000013 , -123.92690900000001",urban-urban,2060
"34.86340499999994 , -120.609119","34.71343599999998 , -120.55056700000006",urban-urban,1796
"34.2105784000003 , -116.03645200000018","34.301843900000115 , -115.94798999999989",urban-urban,2046
"40.46558200000011 , -123.57906700000058","40.55685200000004 , -123.66198100000022",urban-urban,1893
"34.68640929999982 , -117.71603189999966","34.54233090000013 , -117.77415089999995",urban-urban,1657
"32.869168499999965 , -115.2982508000001","32.869205699999725 , -115.5528238999998",urban-urban,2048
"34.249769400000005 , -118.53300880000022","34.21323400000009 , -118.70966329999962",urban-urban,2027
"32.89815670000004 , -115.59406480000003","32.902016999999915 , -115.37581700000001",urban-urban,1768
"34.94972100000014 , -117.95634200000023","35.097288999999996 , -117.79263999999998",urban-urban,2045
"41.4791620000001 , -123.55495400000001","41.452228000000005 , -123.726459",urban-urban,2036
"41.01042 , -122.53103700000021","40.935222000000174 , -122.63492700000003",urban-urban,1757
"36.93716500000004 , -121.30619700000021","36.80610659999998 , -121.41583990000024",urban-urban,1772
"36.076381000000055 , -121.37697139999995","35.97465900000036 , -121.15705000000037",urban-urban,1800
"32.83291309999977 , -115.57872159999968","32.88356599999962 , -115.35449899999996",urban-urban,2019
"40.40580200000002 , -122.73543699999995","40.510473999999896 , -122.82006799999962",urban-urban,2057
"41.622479000000155 , -123.90062400000008","41.52792300000001 , -123.87443299999987",urban-urban,1753
"35.0704809999999 , -117.80282300000009","34.91350000000006 , -117.73864099999983",urban-urban,2058
"32.861996999999775 , -115.51855399999997","32.885016999999735 , -115.69270399999974",urban-urban,1584
"40.72114700000013 , -122.58128700000046","40.724725999999976 , -122.72891519999939",urban-urban,1767
"33.26221530000013 , -117.43583640000027","33.39251699999997 , -117.59759700000002",urban-urban,2065
"41.57280000000006 , -120.56347799999999","41.441831000000086 , -120.48405399999987",urban-urban,1844
"35.16888290000003 , -116.75893800000017","35.32671739999987 , -116.60461159999977",urban-urban,1930
"36.385940299999945 , -120.12103940000006","36.41339200000021 , -120.33848599999978",urban-urban,1766
"34.66803630000017 , -117.72029069999998","34.82251110000005 , -117.67035029999997",urban-urban,1682
"34.79097100000035 , -120.58486000000013","34.62965699999998 , -120.53322299999961",urban-urban,1804
"40.74873600000004 , -123.72940899999996","40.783807 , -123.85893599999991",urban-urban,1617
"35.282138400000036 , -116.66353149999996","35.36070360000025 , -116.49754990000035",urban-urban,1985
"41.005889 , -122.54170300000021","40.885914000000106 , -122.61415600000001",urban-urban,1758
"40.336863000000115 , -120.48400000000025","40.49188500000017 , -120.46765900000008",urban-urban,1749
"35.801648999999614 , -120.53581600000058","35.659225600000305 , -120.64575370000001",urban-urban,1749
"35.948070000000186 , -117.5539350000001","35.82653700000018 , -117.68574399999991",urban-urban,1969
"35.232957000000084 , -116.74964889999985","35.32197590000035 , -116.6070234999992",urban-urban,1787
"38.33990360000013 , -121.22682349999967","38.45908539999998 , -121.32624720000034",urban-urban,1938
"40.473884999999974 , -122.76907699999985","40.36020200000005 , -122.73228299999975",urban-urban,1832
"35.662836000000006 , -117.74215300000054","35.830490999999945 , -117.73991800000032",urban-urban,2031
"32.86707439999987 , -115.59497429999995","32.89474399999977 , -115.35569699999992",urban-urban,1940
"40.27559899999999 , -120.18756399999977","40.09391300000029 , -120.1283040000003",urban-urban,1928
"35.35971680000025 , -116.52317360000035","35.2775320000005 , -116.66922680000008",urban-urban,1960
"34.597778999999804 , -120.13295869999986","34.71441100000003 , -120.24291900000004",urban-urban,1820
"40.064132599999965 , -122.49102469999997","40.02708400000006 , -122.63890099999996",urban-urban,1712
"40.35136799999981 , -120.50447199999999","40.47475800000013 , -120.44784299999998",urban-urban,1554
"35.96101200000004 , -121.28445799999996","36.09240400000012 , -121.18342599999991",urban-urban,1959
"34.101894000000065 , -118.20318719999999","34.1757426000001 , -118.05687959999999",urban-urban,1544
"39.192138000000014 , -123.43159100000001","39.1664465 , -123.2555597",urban-urban,2056
"35.7996440000001 , -117.64728199999998","35.953097000000085 , -117.61781700000009",urban-urban,2053
"32.86916639999972 , -115.57033149999981","32.88366419999998 , -115.31149209999981",urban-urban,1948
"34.862671400000146 , -118.1512019999999","34.959590750000295 , -117.89570999999965",urban-urban,1836
"35.85501900000008 , -121.06709400000054","36.04559900000024 , -121.19814199999983",urban-urban,1855
"36.00642440000025 , -121.27513520000004","35.965515999999944 , -121.01801800000005",urban-urban,1955
"41.54293499999989 , -123.83297200000004","41.50086600000017 , -123.93023799999997",urban-urban,1892
"35.907710500000086 , -119.68227900000022","35.963827999999964 , -119.47412200000038",urban-urban,2061
"34.06504709999989 , -118.14632549999973","34.2030273999998 , -118.12298740000021",urban-urban,1561
"34.93951920000005 , -117.9382517000002","34.8756028 , -118.16598710000001",urban-urban,1592
"34.57669499999997 , -120.64071500000003","34.705459000000126 , -120.53355600000033",urban-urban,2020
"40.212547999999934 , -123.94211700000017","40.23589139999996 , -123.81854229999988",urban-urban,1789
"35.52609099999989 , -117.36704880000016","35.612344400000055 , -117.53785710000022",urban-urban,1795
"32.91478979999993 , -118.49919350000016","33.02835810000055 , -118.5745831999997",urban-urban,1877
"34.60804699999992 , -116.56668200000057","34.45677799999995 , -116.67718600000056",urban-urban,1809
"35.38482069999992 , -116.57785390000002","35.2634065 , -116.71834220000017",urban-urban,2059
"34.948575200000235 , -117.8879437000002","34.83621220000012 , -118.13101769999967",urban-urban,2062
"40.533847999999985 , -124.09874400000001","40.62329300000025 , -123.99445999999993",urban-urban,1960
"35.35816250000005 , -117.6157795999998","35.216303000000046 , -117.80139299999992",urban-urban,1855
