origin,destination,area,ttpTravelTime
"40.66945499999995 , -104.08641200000028","40.74162099999998 , -104.37288300000024",urban-urban,1921
"38.17350400000007 , -108.81222799999993","38.025114499999916 , -108.62108020000005",urban-urban,2008
"39.67998100000017 , -102.40421099999976","39.786528000000146 , -102.0673329999998",urban-urban,1950
"39.24279599999992 , -102.94563199999975","39.157166999999895 , -102.51970400000019",urban-urban,1936
"38.060607000000076 , -108.71075399999985","37.86414699999999 , -108.54147100000009",urban-urban,1857
"37.99578899999985 , -108.69621599999977","37.85428499999999 , -108.42100100000008",urban-urban,1967
"37.90183099999968 , -108.62564999999994","38.068431000000196 , -108.7889589999996",urban-urban,1591
"37.71436099999999 , -102.34665900000026","37.969871999999924 , -102.35633999999985",urban-urban,1838
"38.046814099999914 , -108.31679600000005","38.251188000000084 , -108.40565100000012",urban-urban,1971
"39.39857 , -102.63105599999966","39.08518499999986 , -102.49927699999996",urban-urban,1963
"40.35962420000012 , -107.81415054999971","40.54770300000009 , -107.9848019999997",urban-urban,2004
"37.89939799999968 , -108.62107299999994","38.05945899999997 , -108.77923800000025",urban-urban,1542
"39.22218399999999 , -102.78050999999952","39.53450674999996 , -102.90252549999971",urban-urban,2006
"40.630185000000004 , -107.60187500000018","40.78284650000022 , -107.82852650000018",urban-urban,1846
"39.24391999999991 , -102.52253199999973","39.24294599999998 , -102.96908000000025",urban-urban,1996
"39.20060199999998 , -102.15139899999983","39.15689699999992 , -102.58024100000019",urban-urban,1865
"39.33212399999984 , -102.27858509999952","39.345435800000125 , -102.73267750000034",urban-urban,1937
"39.22694599999998 , -102.59580100000025","39.17130699999996 , -102.19357299999996",urban-urban,1937
"40.73574800000006 , -103.79184399999976","40.46609800000025 , -103.82205699999989",urban-urban,1978
"40.58631939999995 , -107.62437749999995","40.83007100000037 , -107.63695700000034",urban-urban,2036
"39.520650999999944 , -102.79239700000025","39.18531599999996 , -102.76303399999995",urban-urban,1840
"39.18744810000024 , -102.27678090000008","39.15630099999991 , -102.67054700000018",urban-urban,1774
"39.31561699999995 , -102.41366299999947","39.34852199999997 , -102.83638499999968",urban-urban,1671
"37.86109660000002 , -108.51431249999982","37.972258999999625 , -108.77421799999959",urban-urban,1857
"39.640798499999946 , -102.92197250000049","39.330900000000035 , -103.04334499999948",urban-urban,1917
"39.330190149999986 , -102.88338549999989","39.33046499999995 , -102.35348799999976",urban-urban,2054
"39.21426899999998 , -102.7027089999998","39.14980999999987 , -102.29703799999952",urban-urban,1852
"39.315628999999966 , -102.83641899999971","39.32938974999997 , -102.39033774999979",urban-urban,1903
"39.78737200000016 , -108.47188799999985","39.60790799999991 , -108.63344099999999",urban-urban,2051
"37.901993999999995 , -108.69736599999992","38.087514999999975 , -108.84442299999994",urban-urban,1815
"39.1561339999999 , -102.64775500000019","39.24838375000002 , -102.24080099999959",urban-urban,2001
"38.08246740000007 , -102.2012369999999","37.82355099999994 , -102.29263899999965",urban-urban,2061
"39.83414899999985 , -108.45010299999949","39.663263900000146 , -108.62318050000015",urban-urban,1900
"37.49103160000002 , -103.8302696","37.41936009999997 , -104.14174850000002",urban-urban,1631
"37.8656844 , -108.50535060000003","38.03555040000019 , -108.70980939999963",urban-urban,1777
"40.86470540000005 , -107.65961040000032","40.62636710000011 , -107.62233119999996",urban-urban,1843
"38.150356999999744 , -108.86905300000011","38.04227930000015 , -108.62959869999958",urban-urban,1970
"39.163114387499974 , -102.36136213750017","39.243562999999966 , -102.7576299999998",urban-urban,2009
"38.01763199999959 , -108.78538999999964","37.86306439999999 , -108.50862000000004",urban-urban,1915
"38.4623480000001 , -102.12420999999979","38.19154140000014 , -102.11962629999971",urban-urban,2030
"39.476315300000195 , -103.62122740000007","39.505396999999995 , -103.10252099999937",urban-urban,2058
"39.13022160000002 , -102.72616359999958","39.275287999999975 , -102.3717249999997",urban-urban,1948
"37.858289999999705 , -108.4578789999999","38.001183499999684 , -108.70291249999991",urban-urban,1693
"37.98624299999999 , -102.55792300000029","37.72934600000001 , -102.54746800000031",urban-urban,1722
"40.550665300000105 , -107.74026199999997","40.62194799999995 , -107.45991199999997",urban-urban,1953
"39.19980399999999 , -102.71816699999992","39.17343699999996 , -102.29676299999996",urban-urban,2004
"39.314954000000164 , -103.0433558000003","39.64052299999995 , -103.05496300000046",urban-urban,1780
"38.0682279999998 , -108.80230299999964","37.866004999999745 , -108.7047760000002",urban-urban,1872
"40.4779363 , -107.95148630000001","40.28722169999999 , -107.75832860000006",urban-urban,1934
"38.18576700000002 , -108.55297300000015","38.303942000000085 , -108.77952999999988",urban-urban,1700
"37.71663700000005 , -102.05553799999944","37.65858499999986 , -102.34526999999957",urban-urban,2034
"39.088985999999856 , -102.29128399999999","39.358848 , -102.47086099999937",urban-urban,2013
"39.31662699999996 , -102.80613199999942","39.33037199999988 , -102.29702099999956",urban-urban,1856
"38.291210000000206 , -108.75364100000026","38.148498000000046 , -108.55857099999984",urban-urban,1722
"39.236705999999906 , -102.45496700000014","39.2036679999999 , -102.07281200000006",urban-urban,1662
"37.99183499999995 , -102.30134899999982","37.746531500000145 , -102.38349240000011",urban-urban,2012
"37.46226125 , -103.81779590000001","37.46965549999996 , -104.16561679999995",urban-urban,1973
"39.44770600000012 , -103.44942599999989","39.548343000000024 , -103.02328199999947",urban-urban,1993
"38.32665799999986 , -108.76464799999968","38.16868600000007 , -108.57586200000028",urban-urban,1835
"37.76027200000003 , -102.11041299999934","37.7601783000001 , -102.41955779999985",urban-urban,1998
"37.71757600000007 , -102.04624400000048","37.72962399999997 , -102.38188299999992",urban-urban,2055
"40.04603240000011 , -108.3386425999995","39.9242545 , -108.09602349999977",urban-urban,1931
"38.8559990000001 , -108.06647299999983","38.60651819999992 , -108.05908549999982",urban-urban,1812
"39.594300000000004 , -103.01063100000025","39.273043499999865 , -103.10475049999953",urban-urban,1944
"40.76354860000008 , -103.5169112","40.49422639999963 , -103.54269860000018",urban-urban,1909
"37.673163000000194 , -102.07380399999995","37.67613099999999 , -102.38317800000024",urban-urban,1785
"39.62595699999988 , -103.04498499999987","39.53419199999997 , -102.5881829999997",urban-urban,2010
"39.27247399999989 , -102.31619799999972","39.34536520000005 , -102.72706949999966",urban-urban,1897
"38.03522139999971 , -108.75251230000002","37.8329569999997 , -108.72961199999997",urban-urban,1889
"37.987899749999855 , -108.67844249999978","37.858563999999696 , -108.427089",urban-urban,1967
"38.14953400000015 , -108.53084970000134","38.30101600000016 , -108.72043900000016",urban-urban,1873
"38.078376000000084 , -108.76356699999981","37.88935899999999 , -108.6073520000001",urban-urban,1778
"39.190572999999965 , -102.40802499999998","39.24341999999993 , -102.84200799999978",urban-urban,2064
"39.47587199999997 , -102.67916699999982","39.54937012500001 , -103.09562074999971",urban-urban,1891
"37.965213000000006 , -108.72595499999981","37.856167999999656 , -108.37564099999999",urban-urban,2030
"38.00967399999968 , -108.70475299999993","37.86141799999981 , -108.48463199999993",urban-urban,1622
"37.85965519999999 , -108.43516130000006","37.958535 , -108.70994199999981",urban-urban,1574
"37.64410730000011 , -102.4014771999998","37.89672425000009 , -102.41045974999994",urban-urban,2009
"39.45884899999997 , -102.3708379999997","39.31618799999985 , -102.73389800000001",urban-urban,2046
"37.658643999999924 , -102.36484399999985","37.68767299999987 , -102.04623599999951",urban-urban,1841
"39.36769 , -102.81905399999982","39.68685699999988 , -102.82090599999994",urban-urban,2048
"39.199823999999985 , -102.67054699999983","39.24407699999991 , -103.09912599999974",urban-urban,1883
"39.383611900000226 , -102.45789389999995","39.075810000000075 , -102.52091699999947",urban-urban,1988
"39.21448699999998 , -102.38942999999983","39.21469399999997 , -102.79721599999978",urban-urban,1846
"39.37988299999998 , -102.79984999999952","39.34389499999997 , -102.3902779999998",urban-urban,1893
"39.53500499999996 , -102.7368539999997","39.566402000000025 , -103.25567300000017",urban-urban,1939
"37.80391999999982 , -102.35619799999995","38.05679889999974 , -102.30776079999981",urban-urban,1920
"40.4822597000001 , -107.8997444999997","40.27475 , -108.0235229999995",urban-urban,1854
"37.86160999999981 , -108.48237399999992","38.006659 , -108.752745",urban-urban,1907
"38.88177240000021 , -104.37273310000027","38.85375500000014 , -103.90508200000001",urban-urban,1915
"38.36838089999989 , -102.82941760000026","38.082499499999884 , -102.85210629999987",urban-urban,2056
"38.04951799999988 , -108.75505199999988","37.86510899999999 , -108.54505000000009",urban-urban,1937
"39.817452999999894 , -108.58572399999983","39.644511000000044 , -108.42089999999988",urban-urban,2060
"38.03798859999991 , -108.30917180000006","38.24667200000009 , -108.39932350000012",urban-urban,2028
"40.590956400000096 , -107.65826349999996","40.822681000000074 , -107.66368299999995",urban-urban,1806
"40.539320600000046 , -107.97475330000005","40.34820499999996 , -107.80134569999987",urban-urban,1969
"39.17143699999997 , -102.20442499999994","39.193471999999836 , -102.61435100000001",urban-urban,1852
"40.72490059999983 , -104.35395660000016","40.74312449999996 , -104.0020444999999",urban-urban,1984
"37.85032999999991 , -108.70552400000003","38.045747999999946 , -108.76445900000006",urban-urban,1949
"40.747580300000266 , -107.65213600000041","40.521118299999856 , -107.52023939999995",urban-urban,2020
"40.861774000000125 , -104.90583100000003","40.76449640000006 , -104.58134379999984",urban-urban,2050
"40.55782259999938 , -107.95260519999972","40.355976500000125 , -107.81105260000011",urban-urban,1989
"39.20009799999997 , -102.39711999999993","39.24346860000005 , -102.8369740000001",urban-urban,2037
"37.3562516999999 , -105.84749289999988","37.33546459999981 , -106.21567140000033",urban-urban,1944
"39.23148199999999 , -103.03416599999942","39.56761100000004 , -103.01920199999964",urban-urban,1851
"37.831462999999985 , -108.37010800000007","37.927759999999786 , -108.70008399999962",urban-urban,1720
"40.443957700000105 , -108.08159399999998","40.31416419999996 , -107.83935899999999",urban-urban,1890
"37.91145799999968 , -108.64214699999994","38.09948399999989 , -108.84309599999992",urban-urban,1901
"37.872423000000005 , -108.48339700000041","38.02825939999986 , -108.73773980000047",urban-urban,1947
"39.195885000000054 , -102.68914099999968","39.3301239999999 , -102.31579299999973",urban-urban,1939
"40.57636299999995 , -107.59647299999995","40.77072659999999 , -107.77702970000007",urban-urban,1982
"37.88128299999974 , -108.71306900000006","37.84536399999963 , -108.43508299999996",urban-urban,1841
"40.59675559999991 , -107.65448169999974","40.81566080000036 , -107.66111750000027",urban-urban,1732
"39.09384200000002 , -102.57713199999945","39.47529699999999 , -102.57438899999985",urban-urban,2061
"37.89215399999975 , -108.70132100000006","37.85560499999997 , -108.39823399999989",urban-urban,1884
"40.33402599999989 , -108.05175099999957","40.54336000000061 , -107.98123299999952",urban-urban,1996
"39.50474562499999 , -102.57792287499935","39.58534300000017 , -102.97323400000047",urban-urban,1903
"39.81312800000018 , -102.31505799999952","39.50408299999999 , -102.36146930000031",urban-urban,2026
"39.20960299999994 , -102.71017100000032","39.25773299999991 , -102.27320999999958",urban-urban,1954
"39.286962999999886 , -102.83964999999957","39.61085899999999 , -102.78328099999992",urban-urban,1871
"37.381004599999955 , -104.12348429999997","37.4622814 , -103.81540770000001",urban-urban,1692
"39.59369600000015 , -103.1608410000005","39.520246899999954 , -102.74116030000026",urban-urban,1878
"40.740102500000276 , -107.65552490000036","40.53620970000021 , -107.77593040000012",urban-urban,2029
"40.82655520000004 , -107.62275620000018","40.600785999999914 , -107.64852399999972",urban-urban,2029
"39.82777500000007 , -108.00986499999982","40.00910870000008 , -108.20291609999988",urban-urban,2060
"39.27241299999985 , -102.48154399999952","39.18573799999997 , -102.88859199999997",urban-urban,2041
"39.18827899999995 , -102.29390299999994","39.23331700000006 , -102.70648199999965",urban-urban,2031
"38.0317871 , -108.61865609999971","38.14945500000008 , -108.85876399999982",urban-urban,1876
"37.67281799999984 , -102.51005899999959","37.68775559999986 , -102.1921869999995",urban-urban,1920
"39.90443199999995 , -102.30609200000023","39.57067899999989 , -102.31373899999973",urban-urban,2062
"37.97455200000014 , -108.71283599999971","37.83398209999999 , -108.5255109000001",urban-urban,2048
"39.43230099999991 , -102.86936100000018","39.31396299999995 , -102.42779199999993",urban-urban,2022
"39.19038100000002 , -102.72539899999958","39.50475799999999 , -102.57575999999935",urban-urban,2002
"38.047732899999865 , -108.78842090000045","37.86576759999999 , -108.55119930000008",urban-urban,1893
"37.65128200000002 , -102.2922110000003","37.8960510000002 , -102.20623899999987",urban-urban,2041
"37.39036859999978 , -104.1245945999995","37.46534969999999 , -103.80635130000003",urban-urban,1698
"39.44802600000012 , -103.42696499999988","39.54814300000001 , -102.9708079999997",urban-urban,2057
"37.90022999999978 , -108.7123539999996","37.859297999999995 , -108.43791100000007",urban-urban,1583
"39.49714299999998 , -102.33267199999983","39.805145000000174 , -102.30895499999956",urban-urban,2040
"39.94512999999972 , -108.55352400000007","40.053129699999985 , -108.3053070999999",urban-urban,1940
"39.26783684999994 , -103.13657774999966","39.58219599999987 , -103.0106780000004",urban-urban,2028
"40.608885799999996 , -107.63361710000018","40.832725500000386 , -107.6091016000003",urban-urban,1988
"40.58542220000035 , -107.6662586000003","40.82817000000008 , -107.66497499999996",urban-urban,1906
"37.97124499999986 , -108.75748199999985","37.86679110000001 , -108.49692850000004",urban-urban,1987
"39.1570909999999 , -102.08964500000023","39.34389000000004 , -102.39329099999944",urban-urban,2070
