origin,destination,area,ttpTravelTime
"41.70212470000046 , -72.26699749999972","41.65633240000008 , -72.01515930000019",urban-urban,1782
"41.70880850000017 , -72.27367009999972","41.65728320000018 , -72.03202220000047",urban-urban,1819
"41.511939299999945 , -73.17484360000032","41.600604299999866 , -73.38639650000019",urban-urban,1820
"41.654006100000124 , -72.00462500000009","41.74978230000008 , -72.23677609999983",urban-urban,1822
"41.7419078 , -73.41678280000009","41.579198399999974 , -73.3286514",urban-urban,1822
"41.73210310000011 , -73.47912719999982","41.920032899999946 , -73.45701319999984",urban-urban,1824
"41.717182499999964 , -72.24212950000046","41.63754850000003 , -72.01490210000011",urban-urban,1771
"41.669943500000294 , -72.13660660000035","41.837606999999814 , -72.20163660000023",urban-urban,1766
"41.67669090000044 , -72.2883867999997","41.68455759999993 , -72.03040820000035",urban-urban,1836
"41.65120439999992 , -72.17598280000013","41.842357899999875 , -72.19170220000021",urban-urban,1836
"41.86081429999997 , -72.19800839999998","41.670342499999855 , -72.16099190000014",urban-urban,1763
"41.87714559999999 , -72.04398609999988","42.01825490000002 , -71.94005709999996",urban-urban,1750
"41.78825789999974 , -72.97341120000027","41.99389060000026 , -73.01437159999992",urban-urban,1850
"41.69068330000007 , -72.2633547","41.641913200000026 , -72.01519420000012",urban-urban,1864
"41.10924750000005 , -73.60991099999995","41.00136759999988 , -73.58105499999952",urban-urban,1721
"41.11712720000016 , -73.56536079999957","41.00136759999988 , -73.58105499999952",urban-urban,1720
"41.681489100000015 , -73.42064149999987","41.849519800000074 , -73.47782580000039",urban-urban,1890
"41.762458999999986 , -73.39791610000016","41.583927300000234 , -73.33798890000027",urban-urban,1893
"41.63391099999994 , -71.97976320000022","41.714029899999964 , -72.19601400000037",urban-urban,1706
"42.01994249999998 , -73.46818349999991","41.88958199999993 , -73.31361520000041",urban-urban,1904
"41.68405400000092 , -73.50871689999988","41.84459060000008 , -73.47804780000038",urban-urban,1694
"41.606900700000125 , -72.24318060000024","41.4347494000003 , -72.1829174000002",urban-urban,1910
"41.67023849999977 , -72.12684650000021","41.84303250000013 , -72.20489950000004",urban-urban,1917
"41.882257200000225 , -73.31506239999979","42.011376499999976 , -73.46762659999995",urban-urban,1930
"42.025458799999974 , -73.4684194000001","41.88592229999996 , -73.32358829999987",urban-urban,1933
"41.993706400000264 , -73.01446989999992","41.78387319999961 , -72.9722395999997",urban-urban,1933
"42.049792800000006 , -73.46702139999982","41.903729400000046 , -73.35933789999996",urban-urban,1938
"41.62689360000023 , -71.83164540000008","41.77700859999978 , -71.81011129999942",urban-urban,1660
"41.69689760000002 , -72.25812739999982","41.652432399999924 , -71.99571669999948",urban-urban,1942
"41.77253220000054 , -72.2571427000004","41.65043750000009 , -72.05726120000008",urban-urban,1947
