origin,destination,area,ttpTravelTime
"39.15980499999999 , -75.61642500000019","38.977243499999965 , -75.59594100000051",urban-urban,1800
"38.96291659999983 , -75.64658280000019","39.13152339999981 , -75.60207719999997",urban-urban,1805
"39.12293159999998 , -75.69553800000001","38.98813069999992 , -75.53802709999987",urban-urban,1837
"38.96041359999983 , -75.65572670000019","39.134393299999914 , -75.67200690000006",urban-urban,1756
"38.95961819999975 , -75.66045140000001","39.13419259999996 , -75.60239140000002",urban-urban,1754
"39.0856969999998 , -75.682552","38.93310899999952 , -75.60673700000004",urban-urban,1741
"38.99449599999996 , -75.59087600000015","39.168905999999986 , -75.6234550000001",urban-urban,1730
"39.0875934999998 , -75.67833730000001","38.94037299999951 , -75.61321600000007",urban-urban,1729
"38.955188000000014 , -75.65459300000003","39.133324599999796 , -75.60035060000003",urban-urban,1878
"39.749669000000054 , -75.6293365000001","39.698165900000035 , -75.77481240000024",urban-urban,1710
"39.75010360000021 , -75.61824710000013","39.69293660000007 , -75.77479260000011",urban-urban,1706
"39.121926999999815 , -75.61209499999998","38.935285999999515 , -75.61300000000004",urban-urban,1913
"39.097753200000206 , -75.62257540000003","38.92820299999952 , -75.60328600000003",urban-urban,1681
"39.11680399999981 , -75.61289099999998","38.958536600000016 , -75.60059720000011",urban-urban,1675
"39.1702682000001 , -75.60497560000006","38.99916440000002 , -75.60358380000025",urban-urban,1675
"38.961220999999696 , -75.6035300000002","39.12235149999967 , -75.62369110000016",urban-urban,1665
"39.1207904 , -75.67166360000007","38.95488570000005 , -75.65428490000012",urban-urban,1654
"39.13149309999996 , -75.59936320000003","38.951876200000015 , -75.65192520000004",urban-urban,1949
"39.74416199999986 , -75.62534079999978","39.695246500000074 , -75.77227990000011",urban-urban,1608
"39.11446629999999 , -75.66433040000008","38.95775379999976 , -75.65872580000001",urban-urban,1592
"38.954562500000044 , -75.63537659999982","39.10661999999967 , -75.67665000000017",urban-urban,1590
"38.98375100000004 , -75.61922700000012","39.15004300000012 , -75.6023336999999",urban-urban,1590
"38.98478379999973 , -75.59763279999957","39.14900569999979 , -75.61580729999957",urban-urban,1585
