origin,destination,area,ttpTravelTime
"29.91287710000001 , -85.37475149999946","30.059230000000117 , -85.58513489999991",urban-urban,1759
"26.233167100000014 , -81.66877780000044","26.345014199999987 , -81.53269630000004",urban-urban,1627
"26.24613370000007 , -81.68045330000001","26.222311700000123 , -81.47321510000026",urban-urban,1789
"26.381027099999972 , -81.5308981","26.243185900000025 , -81.61544790000053",urban-urban,1732
"26.632911900000007 , -80.19324069999996","26.732540000000096 , -80.31791899999973",urban-urban,1812
"30.681295999999925 , -86.58226400000018","30.570273899999986 , -86.35314020000035",urban-urban,1804
"30.45578300000009 , -86.53529399999995","30.681830999999903 , -86.60931000000016",urban-urban,1610
"30.54044269999973 , -87.26226029999982","30.744430999999867 , -87.32806770000032",urban-urban,1682
"26.310350799999878 , -81.53415490000054","26.21082729999999 , -81.70852939999958",urban-urban,2007
"30.399527999999947 , -86.89989299999985","30.397307800000103 , -86.6331236999998",urban-urban,1794
"27.624871999999904 , -81.39933899999997","27.627932299999973 , -81.20812360000029",urban-urban,1894
"30.436916299999993 , -86.68460950000004","30.3967037000004 , -86.93530049999947",urban-urban,1671
"27.719797999999958 , -81.43115400000029","27.64174339999997 , -81.27086600000005",urban-urban,1841
"30.73890500000007 , -87.35789200000032","30.539982799999972 , -87.22201700000015",urban-urban,2015
"30.322160000000075 , -84.23618199999984","30.13765670000015 , -84.3830703000003",urban-urban,1855
"30.633193999999968 , -87.32988999999958","30.44692299999997 , -87.24986600000001",urban-urban,1789
"29.660291899999986 , -82.33917160000026","29.633338600000076 , -82.5424468000001",urban-urban,1753
"26.239190999999934 , -81.7987544999999","26.23025990000009 , -81.56316439999974",urban-urban,1907
"30.65677890000012 , -87.33141050000015","30.444597400000013 , -87.33258860000068",urban-urban,1942
"26.14526699999995 , -81.55519700000053","26.234760199999837 , -81.70719860000024",urban-urban,1995
"25.96336600000007 , -80.14499459999959","26.081833600000078 , -80.11025069999977",urban-urban,1531
"26.799518999999954 , -80.24864000000032","26.660411700000015 , -80.28342760000031",urban-urban,1605
"30.30959199999999 , -84.25613800000012","30.149547200000008 , -84.38579819999995",urban-urban,1758
"26.101529999999993 , -81.56698900000005","26.345293000000087 , -81.54608400000006",urban-urban,1843
"26.14217899999992 , -81.50651800000057","26.234270600000023 , -81.69487430000034",urban-urban,1834
"30.70727000000005 , -86.2560320000001","30.544185600000283 , -86.46209279999952",urban-urban,1755
"30.464984800000007 , -86.36849030000005","30.637600700000185 , -86.57427529999984",urban-urban,1579
"26.3101545000002 , -81.5139230999999","26.20941149999996 , -81.65671520000005",urban-urban,1681
"30.716430000000113 , -87.3289880000001","30.481394999999935 , -87.29054199999983",urban-urban,1857
"30.679766999999924 , -87.31591800000028","30.45738540000012 , -87.28976430000007",urban-urban,1776
"30.760547000000084 , -86.67580899999959","30.546566200000065 , -86.48967300000037",urban-urban,1859
"26.278046599999865 , -81.64027990000007","26.228471800000037 , -81.45090240000032",urban-urban,1856
"30.421099000000073 , -86.88320400000012","30.430979000000047 , -86.62614100000042",urban-urban,1712
"27.6274208 , -81.19779739999989","27.674262000000073 , -81.41079999999978",urban-urban,1848
"30.716939099999987 , -87.35713219999997","30.51633299999996 , -87.30217299999994",urban-urban,1661
"30.41087940000004 , -87.37189830000003","30.598502999999926 , -87.24872300000034",urban-urban,1937
"27.71008599999998 , -81.38006700000007","27.586879999999947 , -81.18404799999986",urban-urban,1913
"30.723849999999953 , -86.55572500000005","30.46612829999997 , -86.48729719999989",urban-urban,1974
"30.387523999999978 , -87.37118499999974","30.58695769999972 , -87.26281020000026",urban-urban,1974
"30.458589000000003 , -87.27629799999988","30.680167499999943 , -87.3304017000001",urban-urban,1864
"30.726729700000146 , -87.23629330000007","30.587156000000082 , -87.04584100000005",urban-urban,1953
"26.19994069999998 , -81.63197669999973","26.233477100000037 , -81.45926650000033",urban-urban,1780
"30.55098400000009 , -87.41816199999997","30.376171199999916 , -87.29055599999982",urban-urban,1891
"30.678639999999966 , -86.63821900000013","30.461866099999945 , -86.38169829999985",urban-urban,2048
"30.38391449999995 , -86.44948439999986","30.67717390000003 , -86.56851419999981",urban-urban,1991
"26.2466739000002 , -81.6944987999997","26.168953999999943 , -81.52777890000056",urban-urban,1667
"30.72440139999998 , -86.5682061000002","30.503371000000122 , -86.59518599999987",urban-urban,1596
"30.2650738999999 , -85.57409269999992","30.04646339999998 , -85.55972470000006",urban-urban,2013
"30.603427000000035 , -87.25039800000037","30.409966000000033 , -87.34428199999999",urban-urban,1855
"30.427150999999984 , -82.56176399999984","30.45672699999995 , -82.36799599999989",urban-urban,1807
"30.641769999999983 , -86.40257300000019","30.404427 , -86.44881000000001",urban-urban,1791
"30.492766000000003 , -86.39519674999997","30.675052999999977 , -86.64981100000053",urban-urban,1879
"30.505658000000004 , -86.36298400000035","30.703446000000053 , -86.55448999999993",urban-urban,1911
"30.58627300000012 , -87.0051890000001","30.57681799999987 , -86.74133500000038",urban-urban,2023
"26.713747999999836 , -80.18856179999963","26.711873999999998 , -80.36046800000015",urban-urban,1872
"29.73939449999995 , -82.42576440000006","29.64451600000001 , -82.26198700000006",urban-urban,2003
"30.47828919999996 , -86.50329329999991","30.415063000000035 , -86.7502789999993",urban-urban,1731
"30.557260799999998 , -86.51610699999998","30.414674999999935 , -86.74788899999973",urban-urban,1947
"26.657944000000068 , -80.23157499999988","26.824778700000014 , -80.29300650000013",urban-urban,1731
"26.08701699999991 , -81.56677900000052","26.23161530000002 , -81.62894959999988",urban-urban,1771
"30.389194600000057 , -81.39684910000022","30.229187600000085 , -81.44089940000066",urban-urban,2017
"26.294128500000014 , -81.67887270000006","26.227240299999945 , -81.51255270000028",urban-urban,1576
"30.597133299999882 , -86.53375210000023","30.60789800000001 , -86.25611600000029",urban-urban,2031
"26.20220599999994 , -81.76220099999999","26.241658999999817 , -81.56340079999973",urban-urban,2044
"30.406157999999955 , -86.43607800000007","30.637903400000006 , -86.610364",urban-urban,1963
"30.423954299999938 , -86.71240150000037","30.417432800000164 , -86.98265810000021",urban-urban,1746
"30.86693700000012 , -86.51215900000025","30.636918499999986 , -86.52989629999993",urban-urban,2036
"27.63221329999995 , -81.38461510000008","27.599007999999966 , -81.19656000000023",urban-urban,2033
"30.700999599999765 , -86.56806130000047","30.46624819999983 , -86.50233500000024",urban-urban,1759
"30.3510644 , -87.38522870000016","30.450382999999956 , -87.17183299999934",urban-urban,1749
"30.546447000000157 , -86.88196599999976","30.545262000000093 , -86.60850799999993",urban-urban,2038
"30.712962999999945 , -86.58225700000075","30.45467299999995 , -86.6012969999998",urban-urban,1802
