origin,destination,area,ttpTravelTime
"31.90339779999991 , -81.4846013000007","32.093187 , -81.6944649999997",urban-urban,2007
"34.39966500000006 , -83.92764199999932","34.20146900000001 , -83.75638600000002",urban-urban,1700
"33.623464799999915 , -84.37638530000045","33.60479949999997 , -84.07450610000049",urban-urban,1929
"31.831594999999993 , -81.55998800000005","32.05358900000006 , -81.79803199999974",urban-urban,1905
"34.57747100000001 , -83.18761100000047","34.38035100000004 , -83.28865400000034",urban-urban,1792
"31.884216299999935 , -81.88148629999984","31.964156600000035 , -81.48693979999985",urban-urban,1984
"31.89586799999999 , -81.76921800000008","32.156265999999974 , -81.57127000000014",urban-urban,2019
"33.15612799999982 , -85.17287600000053","33.35169500000002 , -85.26026999999998",urban-urban,1974
"30.93166899999997 , -82.55164099999998","30.930070999999963 , -82.82443600000015",urban-urban,1973
"31.01547200000002 , -82.50305699999969","30.934943999999717 , -82.76040900000028",urban-urban,2070
"34.38569099999999 , -83.24821400000027","34.57031600000007 , -83.14837300000036",urban-urban,1863
"31.958172999999956 , -81.97992999999994","31.94612300000001 , -81.56424410000005",urban-urban,1916
"34.24634100000009 , -83.729872","34.236021499999794 , -84.00596979999993",urban-urban,2019
"31.962275000000012 , -81.34106700000001","32.02209300000014 , -81.70738699999974",urban-urban,1944
"33.10813000000006 , -85.22236999999966","33.3129169999998 , -85.25616900000034",urban-urban,1751
"33.41972070000008 , -84.36582530000037","33.570438 , -84.61395399999978",urban-urban,2019
"31.931846000000043 , -81.9166150000001","32.05615100000002 , -81.60332599999985",urban-urban,2042
"32.16586900000007 , -81.58987200000021","31.877155000000094 , -81.61310500000003",urban-urban,1919
"31.93352200000008 , -81.5384710000001","32.044820000000094 , -81.92180100000024",urban-urban,2066
"34.43950500000002 , -83.95543400000005","34.2639089999999 , -83.71130799999986",urban-urban,1887
"32.02559200000003 , -81.3744229999994","31.964105000000107 , -81.72144599999986",urban-urban,2004
"32.82804499999999 , -84.81738499999992","33.051704999999984 , -84.88289999999982",urban-urban,1869
"31.90542600000009 , -81.40555499999999","31.98138399999999 , -81.7579530000002",urban-urban,1929
"30.835713999999967 , -82.562689","30.852777000000007 , -82.824617",urban-urban,1805
"31.940204700000006 , -81.43368330000004","31.963697000000007 , -81.79018400000022",urban-urban,1812
"30.848351999999814 , -82.62734799999994","30.849095000000023 , -82.9239630000001",urban-urban,1863
"31.946752100000015 , -81.55348250000009","32.11949999999989 , -81.83315400000009",urban-urban,1984
"33.56024850000001 , -84.33920869999999","33.65918539999998 , -84.08250809999991",urban-urban,2039
"32.062561999999815 , -81.68373800000052","31.970479 , -81.36718300000003",urban-urban,2025
"34.33854000000002 , -83.95433969999995","34.247339900000206 , -83.71213130000008",urban-urban,1804
"30.851589000000043 , -83.82230400000034","30.712228800000023 , -83.97925069999985",urban-urban,1630
"31.93374699999999 , -81.66563599999995","31.922652500000055 , -81.32344749999993",urban-urban,1915
"31.92527610000003 , -81.45034920000005","32.02926599999998 , -81.85803600000017",urban-urban,2049
"34.24464249999999 , -83.98601689999991","34.23252720000022 , -83.70062949999998",urban-urban,1989
"30.85700999999997 , -82.89205900000015","30.813475999999984 , -82.59442100000003",urban-urban,1892
"34.361790100000015 , -83.94604359999992","34.27302919999981 , -83.67804909999967",urban-urban,2060
"32.01056400000014 , -81.7162219999998","31.94833800000008 , -81.38683800000022",urban-urban,1853
"31.957635200000027 , -81.64727670000006","31.921998099999936 , -81.29533339999979",urban-urban,2000
