origin,destination,area,ttpTravelTime
"20.834020399999932 , -156.3341338999993","20.757052000000147 , -156.2843399999983",urban-urban,1266
"19.580390000000033 , -155.3234100000005","19.574961999999967 , -155.1892060000006",urban-urban,1307
"19.16667 , -155.7712100000013","19.06623000000007 , -155.80869000000075",urban-urban,1287
"20.941253400000008 , -156.52120910000002","21.006966000000077 , -156.5569979999986",urban-urban,1467
"19.770926099999862 , -155.6988442999989","19.726307 , -155.61469600000055",urban-urban,2379
"21.357310499999944 , -157.89188340000004","21.31407110000001 , -157.92944799999975",urban-urban,1482
"21.496716300000006 , -158.1214333","21.56806709999998 , -158.08538389999967",urban-urban,1512
"21.934029300000024 , -159.64599909999933","22.150878500000015 , -159.6427250000002",urban-urban,2388
"21.319415599999992 , -157.99157189999983","21.364199300000728 , -158.0770055999999",urban-urban,1550
"19.57710800000001 , -155.17195399999986","19.561799999999984 , -155.31426000000016",urban-urban,1265
"19.157129000000047 , -155.74946629999997","19.04962000000003 , -155.76240000000027",urban-urban,1250
"19.647710900000035 , -155.1094610000004","19.718660000000042 , -154.9961500000001",urban-urban,1695
"19.57582999999998 , -155.33456000000015","19.57199999999997 , -155.20043999999984",urban-urban,1364
"20.934404400000002 , -156.3171168999997","20.802156699999983 , -156.32206169999986",urban-urban,1315
"19.69204139999989 , -154.9809766000006","19.728533899999995 , -155.0676638999998",urban-urban,1235
"19.762910299999987 , -155.55005220000004","19.77397000000012 , -155.44707000000056",urban-urban,1875
"20.6452614999999 , -156.09854140000047","20.788718599999974 , -156.00449910000046",urban-urban,2126
"21.98572999999999 , -159.67205999999945","22.136046800000003 , -159.65514230000022",urban-urban,1428
"19.713729999999952 , -155.49846999999954","19.789819999999885 , -155.4546399999995",urban-urban,1887
"19.5691 , -155.2251700000005","19.56963000000005 , -155.34234000000058",urban-urban,1249
"20.898323399999956 , -156.32415890000016","20.816315199999984 , -156.35549690000013",urban-urban,1297
"21.01124500000002 , -156.56232000000082","20.918312100000147 , -156.4933494999983",urban-urban,1869
"19.298479599999897 , -155.30765529999942","19.42272180000003 , -155.21136470000022",urban-urban,2130
"21.454586299999917 , -157.7252945000004","21.37962970000007 , -157.70598280000013",urban-urban,1787
"21.935993299999954 , -159.64854650000007","22.135711 , -159.65559570000025",urban-urban,2102
"19.69038000000003 , -155.46622000000033","19.814847399999977 , -155.7174730000002",urban-urban,1939
"20.688797999999906 , -156.01831199999947","20.639191099999913 , -156.1173081000003",urban-urban,1326
"21.454215499999936 , -158.15845400000015","21.530077699999897 , -158.22019709999958",urban-urban,1361
"22.08185999999998 , -159.66814999999997","21.913914499999976 , -159.6205529000001",urban-urban,1759
"19.805329800000006 , -155.6572091000001","19.72110950000073 , -155.6326935",urban-urban,2321
"19.47297410000003 , -155.07031689999994","19.516643999999992 , -155.01200839999984",urban-urban,2028
"19.58229110000005 , -155.59060659999992","19.655560000000065 , -155.5450100000007",urban-urban,2308
"19.736832000000014 , -155.45091700000012","19.75682959999994 , -155.58724739999965",urban-urban,1910
"21.260082799999953 , -157.7070677999999","21.311187699999902 , -157.78169519999994",urban-urban,1321
"19.582868299999962 , -154.92343170000007","19.562220000000018 , -155.0779499999999",urban-urban,1887
"19.306657699999995 , -155.30514839999947","19.464563699999957 , -155.24977479999987",urban-urban,2234
"19.707510000000063 , -155.44738000000066","19.8190406 , -155.47416089999967",urban-urban,1630
"19.56460630000005 , -154.98952089999966","19.539135599999998 , -154.86484039999996",urban-urban,1442
"20.686882999999977 , -156.01221600000045","20.63804509999995 , -156.11882270000035",urban-urban,1485
"20.96280529999999 , -156.6754328999994","21.0129008 , -156.5803125000008",urban-urban,1412
"19.67017999999996 , -155.5466999999999","19.59445130000004 , -155.57616819999987",urban-urban,2014
"20.973765999999923 , -156.67290800000038","21.012102699999904 , -156.56784019999998",urban-urban,1390
"20.649437999999936 , -156.06681799999976","20.758305000000085 , -155.99101799999858",urban-urban,1489
"21.539109800000052 , -158.2188792","21.44136319999998 , -158.17740550000065",urban-urban,1304
"20.912240999999934 , -156.30730100000045","20.76353000000014 , -156.28981299999825",urban-urban,1930
"21.96101800000001 , -159.70591000000002","22.1506399 , -159.63751010000027",urban-urban,2093
"19.51479800000003 , -155.10664449999996","19.50158999999996 , -155.0232199999995",urban-urban,1448
"19.049849999999914 , -155.79333999999994","19.15521 , -155.74519",urban-urban,1261
"20.603025000000002 , -156.42341700000077","20.736388299999998 , -156.45557860000073",urban-urban,1317
"20.83207609999992 , -156.35612630000034","20.771410999999986 , -156.24829999999992",urban-urban,2044
"20.99895240000004 , -156.54637969999996","20.92414099999997 , -156.49366000000012",urban-urban,1609
"19.900983000000032 , -155.70717299999984","19.76303410000002 , -155.55051139999978",urban-urban,1863
"19.83481340000002 , -155.73832879999972","19.727960000000028 , -155.51974999999987",urban-urban,2131
"19.150679999999912 , -155.73562999999996","19.037670000000006 , -155.78703000000021",urban-urban,1367
"19.538890099999964 , -155.02964200000116","19.554680199999968 , -154.87891289999996",urban-urban,1606
"19.311611000000013 , -155.29609430000002","19.436440000000022 , -155.24495000000053",urban-urban,1829
"19.58288320000005 , -155.5929024999999","19.654360000000068 , -155.5456800000007",urban-urban,2356
"21.368623299999953 , -157.98699739999938","21.430173199999924 , -157.93878660000044",urban-urban,1278
"20.725245800000017 , -156.44905459999984","20.60042220000003 , -156.41967400000053",urban-urban,1217
"20.730047000000003 , -155.99298200000032","20.64206690000008 , -156.09599170000075",urban-urban,1476
"20.814755099999903 , -156.31891980000006","20.775005999999987 , -156.24499200000014",urban-urban,1797
"19.579940399999963 , -154.92049310000002","19.505373499999937 , -155.01640709999947",urban-urban,1240
"19.458297200000096 , -154.91211749999943","19.457805699999927 , -154.84153419999984",urban-urban,1674
"21.370437599999956 , -157.70892529999978","21.448649499999924 , -157.7286189000004",urban-urban,1589
"20.734214899999934 , -156.4553445000004","20.608139999999974 , -156.4277780000001",urban-urban,1333
"19.84664910000005 , -155.74107439999958","19.83640000000002 , -155.64118000000056",urban-urban,1324
"19.308512300000015 , -155.29787690000003","19.464563699999957 , -155.24977479999987",urban-urban,2221
"20.840854700000058 , -156.51952390000065","20.95333790000003 , -156.53349760000035",urban-urban,1717
"19.60724820000009 , -155.57884100000015","19.682209999999955 , -155.54516999999993",urban-urban,2016
"19.82628280000002 , -155.7301625999998","19.90692 , -155.6748000000004",urban-urban,1253
"21.494168700000007 , -158.10045200000005","21.563466500000086 , -158.03008499999967",urban-urban,1673
"19.84360770000005 , -155.75094629999958","19.760687199999985 , -155.53341380000003",urban-urban,1608
"19.29569539999998 , -155.30689000000024","19.405280099999963 , -155.25328099999945",urban-urban,1454
"20.023641500000092 , -155.8098262000006","20.10998759999998 , -155.83281769999945",urban-urban,1225
"19.778710900000107 , -155.6343065000004","19.814847399999977 , -155.7174730000002",urban-urban,2325
"20.91509840000002 , -156.68091259999994","20.99697220000004 , -156.54468029999998",urban-urban,2398
"21.296539899999996 , -158.1057738","21.353051899999972 , -158.00510369999986",urban-urban,1272
"21.95323999999986 , -159.6675999999999","22.126575499999927 , -159.66535920000024",urban-urban,1738
"20.958601800000142 , -156.54363890000022","21.027543000000083 , -156.60399399999866",urban-urban,1591
"21.01901649999995 , -156.6256425999998","20.97490200000012 , -156.53460079999817",urban-urban,1626
"20.848807899999997 , -156.31424239999998","20.775005999999987 , -156.24499200000014",urban-urban,1992
"21.5083967 , -157.98668080000033","21.508452299999995 , -158.08611940000014",urban-urban,1324
"19.52485999999996 , -154.92062999999948","19.610146700000048 , -154.94921440000067",urban-urban,1218
"19.55425799999997 , -154.87784939999997","19.57629000000006 , -155.04467000000028",urban-urban,2347
"20.955610799999985 , -156.5222252999999","20.899011699999967 , -156.46913250000014",urban-urban,1333
"19.755081099999973 , -155.5482237000005","19.807461400000015 , -155.70827924999978",urban-urban,1498
"19.507246700000064 , -155.0085764000002","19.56346000000002 , -154.89264000000045",urban-urban,1484
"21.638985899999994 , -158.03820250000055","21.59197649999993 , -158.04447774999994",urban-urban,1261
"21.29639119999991 , -158.10113329999987","21.31367649999992 , -157.99324449999992",urban-urban,1316
"21.298352500000018 , -158.1080027999999","21.335258600000017 , -157.98844670000176",urban-urban,1493
"19.06558570000009 , -155.8180046000005","19.15492000000004 , -155.74451000000047",urban-urban,1207
"21.43825409999992 , -157.73807949999954","21.454096299999993 , -157.81677150000112",urban-urban,1302
"19.585506800000005 , -155.00608130000023","19.554680199999968 , -154.87891289999996",urban-urban,1359
"20.80186720000036 , -156.33959559999946","20.755436999999894 , -156.26932300000047",urban-urban,1439
"19.463978800000035 , -155.088961","19.561629999999916 , -155.14865999999984",urban-urban,1277
"21.01624099999994 , -156.58525700000047","20.889376999999918 , -156.51296669999934",urban-urban,2353
"21.30049339999996 , -157.69583960000028","21.268888900000075 , -157.8219449000001",urban-urban,1336
"19.539339999999957 , -154.90130000000053","19.6015833 , -154.98607209999972",urban-urban,1338
"19.718195800000053 , -155.94218470000072","19.717420000000022 , -156.05002000000007",urban-urban,1274
"21.301385499999906 , -158.05168219999968","21.320344600000084 , -157.97422359999962",urban-urban,1230
"20.928278699999854 , -156.6957776999996","21.006966000000077 , -156.5569979999986",urban-urban,2120
"19.14885999999992 , -155.73103999999992","19.03615000000006 , -155.78361000000075",urban-urban,1341
"22.01866999999998 , -159.67412999999928","22.1506399 , -159.63751010000027",urban-urban,1363
"19.629779800000048 , -155.9892702999997","19.718002399999925 , -155.92175459999942",urban-urban,1521
"21.38605339999993 , -157.72087729999976","21.454096299999993 , -157.81677150000112",urban-urban,1584
"20.73980369999992 , -156.4559529999995","20.602651000000037 , -156.42287300000058",urban-urban,1353
"19.047367599999998 , -155.80782669999962","19.16087000000002 , -155.75766999999965",urban-urban,1466
"21.438745199999904 , -158.01146679999977","21.467840999999982 , -158.09375100000034",urban-urban,1553
"19.53981910000001 , -154.91720089999978","19.593577799999974 , -154.97003210000003",urban-urban,1210
"19.713628299999954 , -155.13207479999906","19.698490000000014 , -154.99406000000027",urban-urban,1755
"19.684619999999956 , -155.54530999999992","19.60041590000009 , -155.57629420000012",urban-urban,2257
"19.593925700000053 , -154.9981652000003","19.553260799999915 , -154.8972644999998",urban-urban,1229
"19.70762090000008 , -155.07831880000006","19.68958000000002 , -154.9862099999998",urban-urban,1350
"21.011965999999916 , -156.5674089999993","20.880792699999912 , -156.54550639999962",urban-urban,2385
"19.729386000000005 , -155.61174100000053","19.710949999999993 , -155.51404999999966",urban-urban,2239
"22.072439999999887 , -159.66621000000046","21.976349999999925 , -159.65721000000013",urban-urban,1466
"19.76310100000012 , -155.4518381000005","19.77011910000072 , -155.58639539999987",urban-urban,1750
"19.482759999999914 , -155.10847999999982","19.522680000000015 , -155.04797000000042",urban-urban,1646
"19.582770000000004 , -154.92332999999977","19.495372499999903 , -155.03124040000014",urban-urban,1399
"21.65303940000006 , -157.98952859999946","21.700245599999928 , -157.99284120000016",urban-urban,1639
"20.70615200000005 , -156.34357600000072","20.775005999999987 , -156.24499200000014",urban-urban,1805
"19.756407099999883 , -155.45645479999948","19.739769999999904 , -155.56891999999982",urban-urban,2126
"21.48992700000004 , -158.1575531000001","21.504539899999955 , -158.01958600000026",urban-urban,2082
"19.859710700000022 , -155.64840520000035","19.822350800000006 , -155.72490439999973",urban-urban,1473
"21.429910400000022 , -157.80852909999976","21.45488659999998 , -157.73899570000088",urban-urban,1312
"22.142318300000003 , -159.6462248000002","21.97982599999993 , -159.65849300000016",urban-urban,2237
"19.802125300000018 , -155.70086599999976","19.70994600000005 , -155.54965330000024",urban-urban,2209
"19.7534235 , -155.56528580000034","19.66734999999996 , -155.5464799999999",urban-urban,2028
"21.549042700000058 , -158.14263309999964","21.55292289999997 , -158.01419650000003",urban-urban,1524
"19.84360770000005 , -155.75094629999958","19.832629999999888 , -155.63836999999975",urban-urban,1295
"21.31257620000019 , -157.99972110000076","21.305265400000003 , -158.11294299999986",urban-urban,1403
"21.266087499999898 , -157.8130560999997","21.298605699999946 , -157.67658000000014",urban-urban,1520
"19.60583010000003 , -154.97902950000028","19.547200000000046 , -154.90995000000038",urban-urban,1250
"20.882859999999955 , -156.28770599999987","20.766121999999932 , -156.25715400000027",urban-urban,2325
"21.31673610000009 , -157.97863929999954","21.2964663 , -158.10544759999996",urban-urban,1498
"22.147293500000007 , -159.63137030000016","21.962836600000003 , -159.70944309999953",urban-urban,2136
"20.996881700000042 , -156.54465639999998","20.872461499999986 , -156.51345440000014",urban-urban,1906
"19.73577 , -155.5069400000001","19.848589199999953 , -155.73934169999964",urban-urban,2186
"19.056419999999992 , -155.75687999999965","19.166830000000004 , -155.77070999999958",urban-urban,1231
"19.16079000000005 , -155.77305000000027","19.039390000000044 , -155.76756000000043",urban-urban,1254
"21.537352699999925 , -158.01557490000044","21.486048500000045 , -158.15532150000004",urban-urban,2195
"19.464539999999957 , -155.24966999999987","19.311541000000013 , -155.29611430000003",urban-urban,2103
"21.58253420000017 , -158.14273820000082","21.67017610000011 , -158.0155312999996",urban-urban,1631
"20.69250000000003 , -156.00388900000056","20.642233700000002 , -156.1074711",urban-urban,1353
"19.55744000000015 , -155.026600000001","19.549760000000056 , -155.10439000000048",urban-urban,1346
"21.97952299999993 , -159.65765900000017","22.091709999999974 , -159.67339999999993",urban-urban,1692
"21.497288450000006 , -158.11072885","21.439631899999906 , -158.0268980000001",urban-urban,1394
"19.622444699999956 , -155.1375164000008","19.704516299999977 , -155.06091389999966",urban-urban,1238
"19.506465099999968 , -155.0848925000006","19.57767529999992 , -154.9504760999998",urban-urban,1811
"21.005006399999967 , -156.64116439999987","20.981771800000033 , -156.54635750000082",urban-urban,1936
"21.286418499999986 , -157.84488029999935","21.303616499999983 , -157.7107631000011",urban-urban,1341
"19.91917000000006 , -155.6962400000007","19.796425500000044 , -155.6349052000003",urban-urban,1478
"21.308161899999973 , -158.01561710000058","21.296587699999996 , -158.1058109",urban-urban,1213
"19.56893 , -155.21696000000057","19.590964999999954 , -155.34260200000054",urban-urban,1281
"21.015607800000073 , -156.57514309999837","20.974309899999966 , -156.67877169999997",urban-urban,1384
"21.631224699999976 , -158.07125010000024","21.647421500000068 , -157.99468789999952",urban-urban,2299
