origin,destination,area,ttpTravelTime
"43.97539299999987 , -113.74817300000002","43.86958900000001 , -113.83313200000048",urban-urban,1838
"48.52533700000014 , -116.56150299999962","48.66569489999989 , -116.62690529999989",urban-urban,1648
"42.27722299999989 , -112.69830099999986","42.4796839999999 , -112.57550299999959",urban-urban,2031
"48.37984200000034 , -116.42416400000009","48.54302300000005 , -116.56060799999943",urban-urban,2061
"44.33862499999968 , -112.6634769999999","44.120619000000005 , -112.55581300000006",urban-urban,1872
"42.82617400000011 , -111.98550399999947","43.04511900000008 , -111.96429999999987",urban-urban,1964
"44.50514499999998 , -113.08155499999995","44.672512999999896 , -113.30279300000053",urban-urban,2029
"42.3827619999999 , -114.9440070000001","42.216521000000284 , -114.73070900000029",urban-urban,1845
"42.684889999999925 , -111.49108900000036","42.551236999999986 , -111.31005100000003",urban-urban,1647
"42.82076500000017 , -111.09726199999977","42.65331200000001 , -111.16732800000001",urban-urban,2043
"48.303463099999966 , -116.87150450000006","48.2896425000001 , -116.56230270000013",urban-urban,1868
"42.66033899999965 , -115.42898499999983","42.47632099999991 , -115.56649399999986",urban-urban,1951
"42.45449175000011 , -115.18805299999977","42.334707999999914 , -115.40991299999996",urban-urban,1871
"42.78428899999972 , -113.04250800000008","42.98781600000005 , -112.88799700000007",urban-urban,2056
"42.85839599999998 , -115.36253599999975","42.74258600000007 , -115.11789999999993",urban-urban,1980
"44.301544000000085 , -112.76957400000003","44.078703000000004 , -112.53561100000015",urban-urban,1718
"42.951407499999924 , -112.8767397000002","42.78051800000008 , -113.07344400000014",urban-urban,2017
"42.55067000000013 , -115.51171199999973","42.35003799999991 , -115.57845799999988",urban-urban,1853
"42.40869299999996 , -111.7363169999998","42.555715999999876 , -111.90564899999968",urban-urban,1899
"48.5346700000003 , -116.64215600000014","48.43321879999949 , -116.51153990000027",urban-urban,1632
"43.629064999999926 , -112.34227400000006","43.85584850000002 , -112.3821669999993",urban-urban,1901
"42.530020999999884 , -111.2631770000001","42.69694100000007 , -111.38175100000011",urban-urban,2033
"44.11553099999979 , -112.53562000000008","44.291590000000106 , -112.75419999999993",urban-urban,1632
"42.83532999999978 , -111.70100200000006","42.66376699999997 , -111.80268900000003",urban-urban,1992
"42.42966400000004 , -114.92723199999949","42.23524199999997 , -114.8032669999998",urban-urban,1533
"44.105386000000045 , -116.65418299999989","44.05231400000009 , -116.91475199999985",urban-urban,1929
"47.23939400000005 , -116.65859900000018","47.214042999999926 , -116.9517549999997",urban-urban,2062
"42.41102199999974 , -115.06440400000011","42.62468499999993 , -115.0251850000001",urban-urban,1967
"48.464825000000054 , -116.64382200000001","48.453955300000196 , -116.44156710000001",urban-urban,1921
"44.30363699999974 , -112.64049699999985","44.10880900000001 , -112.48573499999995",urban-urban,1961
"42.62242399999994 , -115.08512699999967","42.42121199999999 , -115.03435999999965",urban-urban,2041
"48.458376499999986 , -116.53985929999997","48.61056600000022 , -116.67427500000018",urban-urban,2025
"42.84069 , -113.06211100000041","43.02350299999999 , -112.89846699999984",urban-urban,2006
"42.65011799999974 , -111.9308159999998","42.76480399999983 , -111.70630000000014",urban-urban,1970
"44.286508999999874 , -112.72998999999999","44.122282999999946 , -112.51536799999984",urban-urban,1584
"48.49791849999996 , -116.47388949999964","48.63795399999977 , -116.54123199999981",urban-urban,1883
"42.402875999999885 , -115.39153100000011","42.22236700000003 , -115.24253700000018",urban-urban,2031
"42.50752200000001 , -112.33089499999997","42.29316099999974 , -112.43805599999989",urban-urban,1925
"44.271191000000094 , -112.78995499999996","44.089456000000006 , -112.53562800000013",urban-urban,1569
"46.27411099999985 , -116.52102900000006","46.24580700000007 , -116.26427400000001",urban-urban,1670
"48.61108400000003 , -116.64167600000002","48.46268499999997 , -116.60836600000061",urban-urban,1982
"46.85091900000007 , -116.6576589999999","46.67204800000009 , -116.69042599999999",urban-urban,1816
"42.68123499999993 , -111.51776900000031","42.56950700000021 , -111.32162799999992",urban-urban,2043
"43.3445190999997 , -116.2344001000003","43.20014680000002 , -115.89292709999972",urban-urban,1826
"47.14880040000003 , -116.8852895","47.22389499999997 , -116.67469299999988",urban-urban,2036
"42.913779999999825 , -112.9092400000001","42.732955000000004 , -113.07612900000046",urban-urban,1878
