origin,destination,area,ttpTravelTime
"39.89377449999999 , -88.31518399999996","39.850375200000265 , -88.03443129999985",urban-urban,1567
"38.07427350000003 , -88.30086200000014","38.41699999999982 , -88.27692400000011",urban-urban,2020
"40.387150000000034 , -91.18789499999997","40.049572000000076 , -91.06605500000057",urban-urban,1976
"40.08927000000007 , -91.1071840000007","40.422756399999905 , -91.23644299999995",urban-urban,1969
"42.21313060000003 , -89.19227290000012","42.22911129999999 , -89.64975279999997",urban-urban,2028
"38.030955100000526 , -89.23908780000019","37.97253399999994 , -88.81917700000007",urban-urban,2055
"40.79168800000019 , -88.20248099999989","41.23657560000019 , -88.16862700000004",urban-urban,2061
"40.09700200000017 , -91.13620500000052","40.452981 , -91.1248919999997",urban-urban,1943
"42.19286769999991 , -89.60515719999995","42.20843749999997 , -89.1560818",urban-urban,1971
"42.22092480000004 , -89.68872040000002","42.23809530000003 , -89.19245919999992",urban-urban,2062
"37.97354699999992 , -89.65900400000002","38.334895100000026 , -89.68081589999979",urban-urban,1876
"38.63602400000015 , -88.77147300000027","38.25920819999995 , -88.86967490000032",urban-urban,2040
"37.98140499999986 , -89.59066999999986","37.942876000000055 , -89.18708900000001",urban-urban,2003
"37.912535 , -89.24248400000043","37.92727129999998 , -89.64233100000027",urban-urban,2042
"42.22734799999997 , -90.0366000000001","42.30176160000012 , -89.63514909999994",urban-urban,2059
"41.17021170000001 , -88.08879880000009","40.73802600000004 , -87.9752229999999",urban-urban,2002
"41.1359119 , -88.0685292","40.693671 , -87.99913600000045",urban-urban,1935
"37.44224200000001 , -88.77909800000035","37.177937000000206 , -88.76989900000002",urban-urban,1855
"41.27083999999994 , -88.01339839999983","40.85279499999997 , -88.03370100000002",urban-urban,1944
"37.93172800000008 , -89.03505199999998","37.90966300000008 , -89.45837500000047",urban-urban,2047
"37.89802699999973 , -89.59316499999974","38.22654999999993 , -89.6532299999995",urban-urban,2034
"38.85000099999973 , -87.80873300000039","38.50569499999982 , -87.76052299999965",urban-urban,1992
"40.25256200000011 , -88.39401500000011","40.29251180000003 , -87.84368539999996",urban-urban,2035
"38.32381500000004 , -88.23484199999976","37.993664000000074 , -88.27254399999983",urban-urban,2003
"40.66023299999992 , -88.00027399999993","41.07944740000001 , -88.07625320000002",urban-urban,1944
"38.743350199999774 , -88.00584019999971","38.400787000000115 , -88.03239000000025",urban-urban,1939
"39.903806 , -91.1884869999997","40.270748999999896 , -91.14670500000004",urban-urban,2028
"40.2969619999999 , -88.23678799999989","40.73325199999995 , -88.2157850000003",urban-urban,2062
"40.04982700000005 , -91.10805600000069","40.40610099999999 , -91.17869700000014",urban-urban,1873
"40.9526389999999 , -88.259859","40.911718000000135 , -87.73800399999959",urban-urban,1916
"42.021865400000046 , -89.8988575","42.09246189999992 , -89.4716644",urban-urban,2013
"40.09812299999996 , -91.0875229999999","40.474700999999946 , -91.1133110000003",urban-urban,2060
"42.090525800000265 , -89.1900881999998","41.73245999999999 , -89.12242099999997",urban-urban,2009
"42.15725259999998 , -89.51196409999994","42.2600050999999 , -89.10449170000004",urban-urban,1949
"41.85918279999971 , -89.54440090000027","41.92000399999994 , -89.99745600000001",urban-urban,2056
"41.0927510000002 , -88.15608299999997","40.64506000000009 , -88.12511600000018",urban-urban,2065
"38.341459999999806 , -88.27790000000017","37.99350000000012 , -88.31937499999992",urban-urban,2040
"41.87359859999984 , -89.51398090000012","41.90192839999994 , -89.97681110000002",urban-urban,2052
"40.61821900000002 , -91.00644099999998","40.55216200000008 , -90.51350300000023",urban-urban,2066
"37.77120399999989 , -88.61970299999955","37.85003200000014 , -88.26133200000007",urban-urban,1954
"37.9629400000001 , -88.25371199999992","38.28218900000003 , -88.23973500000004",urban-urban,1942
"41.10729840000017 , -88.14457539999997","40.714905599999994 , -88.01926570000037",urban-urban,1929
"38.76872800000017 , -87.94646600000011","38.427479000000034 , -88.02490700000018",urban-urban,2024
"40.58410140000011 , -90.99216459999997","40.5708320000001 , -90.49247100000014",urban-urban,1955
"42.135727499999916 , -89.17258349999983","41.75819669999985 , -89.17411279999988",urban-urban,2038
"38.05548300000007 , -88.21159900000012","38.38636699999983 , -88.27736700000015",urban-urban,1990
"38.277461999999915 , -88.02770500000008","38.62498090000022 , -88.00365820000022",urban-urban,2010
"38.267795000000255 , -90.21207000000042","38.00525769999994 , -89.97244309999977",urban-urban,1960
"38.37439500000008 , -87.83924599999989","38.70508259999974 , -87.79670940000044",urban-urban,2039
"38.26427900000026 , -90.23443700000041","38.01397479999998 , -90.01048839999996",urban-urban,1829
"40.47495399999992 , -91.1230940000003","40.121482999999984 , -91.074739",urban-urban,2000
