origin,destination,area,ttpTravelTime
"41.61616889999991 , -92.37240309999979","41.62701900000005 , -92.68407400000012",urban-urban,1807
"41.190600999999916 , -91.29608699999991","40.95593309999972 , -91.25639060000022",urban-urban,1909
"42.12322240000009 , -92.45150790000021","42.108563100000005 , -92.06642310000022",urban-urban,1987
"41.02991699999992 , -91.18744400000007","41.0392280000001 , -91.52498800000016",urban-urban,1951
"40.93501299999988 , -94.35700399999988","40.671430000000115 , -94.36665100000015",urban-urban,2043
"41.40552619999993 , -91.73473590000032","41.388149999999975 , -92.10308099999962",urban-urban,2014
"42.862962099999905 , -96.44968650000031","42.85155779999997 , -96.07192340000003",urban-urban,2002
"40.892436599999755 , -91.36572550000015","41.13277699999998 , -91.29794199999978",urban-urban,2048
"43.42979430000007 , -93.9117609","43.465116 , -94.28579200000021",urban-urban,2041
"43.328125600000014 , -93.51775060000004","43.31312100000002 , -93.11219700000024",urban-urban,2067
"42.8558500000001 , -91.6738000000001","42.88388299999998 , -92.02296199999954",urban-urban,2038
"43.41459720000003 , -93.88376040000003","43.430370500000166 , -94.25724799999998",urban-urban,2033
"43.14185399999987 , -92.53236400000019","42.87151699999985 , -92.50565199999967",urban-urban,2050
"40.63997600000013 , -95.28674800000017","40.60676400000023 , -95.60643299999974",urban-urban,1854
"40.93258900000012 , -95.07977900000033","40.93050800000008 , -95.45053700000041",urban-urban,2034
"40.69789400000014 , -95.24658000000053","40.6720913 , -95.54685330000015",urban-urban,1929
"41.68447400000006 , -91.04238199999976","41.90781360000002 , -90.9555058000005",urban-urban,1906
"43.287346 , -96.40734299999977","43.28779970000006 , -96.04129329999974",urban-urban,1817
"43.14002120000001 , -96.03884110000017","43.17802339999992 , -96.36705109999978",urban-urban,1859
"43.14208099999998 , -95.93087800000028","43.403371299999996 , -95.88032529999983",urban-urban,1975
"42.322042899999914 , -91.67180400000038","42.30369680000014 , -91.31876259999987",urban-urban,2016
