origin,destination,area,ttpTravelTime
"39.74139699999984 , -99.53779699999934","39.5024209999999 , -99.45326899999972",urban-urban,1652
"38.647195000000075 , -101.90162099999998","38.29177499999974 , -101.91753399999992",urban-urban,1883
"37.41561 , -94.94227900000016","37.06470799999995 , -94.93053399999978",urban-urban,1972
"37.13019900000005 , -100.90451400000015","37.138173 , -101.35240700000053",urban-urban,2067
"39.56835799999986 , -101.3533669999999","39.958931000000035 , -101.3175159999998",urban-urban,1841
"39.50417600000006 , -101.59365499999969","39.48078700000014 , -102.04131000000038",urban-urban,2053
"39.467314999999815 , -97.16425999999952","39.81878499999995 , -97.19981300000009",urban-urban,2018
"39.148051000000045 , -101.75602799999974","39.48534 , -101.81871700000004",urban-urban,1997
"37.09681200000003 , -99.52414500000016","37.04154800000004 , -99.04514900000027",urban-urban,2012
"37.142136999999984 , -95.26705100000001","37.09038899999994 , -94.90126799999977",urban-urban,1781
"39.660072000000206 , -95.109955","39.59473469999998 , -95.49890600000006",urban-urban,1932
"39.27119000000001 , -101.94957499999998","38.926536100000256 , -101.96303979999976",urban-urban,1910
"37.311014999999955 , -95.03162700000013","37.62453820000009 , -95.03369519999991",urban-urban,1700
"37.128404000000074 , -95.61751500000085","37.113743000000056 , -95.1939669999999",urban-urban,2020
"39.52498399999996 , -101.78094799999967","39.1886680000001 , -101.76390700000029",urban-urban,2003
"39.48142600000006 , -101.8187700000002","39.13354599999995 , -101.76726499999974",urban-urban,2019
"39.65563900000008 , -100.57248300000029","39.276930999999756 , -100.62809399999999",urban-urban,2035
"37.070619000000114 , -97.89243999999975","37.08705800000004 , -98.36598000000039",urban-urban,2069
"38.06624800000003 , -95.02684699999973","38.03688699999978 , -94.62825800000002",urban-urban,1976
"38.139175000000066 , -95.01347599999973","38.09008199999984 , -95.46333800000005",urban-urban,2044
"37.60550300000015 , -94.94230099999966","37.636573000000084 , -95.351976",urban-urban,2029
"37.53289600000002 , -101.12638100000021","37.19251700000017 , -101.12966900000067",urban-urban,2032
"39.38035800000004 , -101.65139699999963","39.742316000000066 , -101.59867200000016",urban-urban,2057
"39.74025599999992 , -96.8974339999998","39.755654199999945 , -97.35055379999984",urban-urban,1918
"38.08928299999993 , -95.29920700000004","38.131565000000016 , -94.901337",urban-urban,1882
"37.51322049999981 , -99.23985849999988","37.14312000000006 , -99.25354300000005",urban-urban,2058
"38.509014999999984 , -101.95627399999994","38.83847189999991 , -101.98239129999988",urban-urban,1877
"37.53701299999991 , -101.12680199999994","37.20661599999999 , -101.13094500000003",urban-urban,1997
"37.15674699999989 , -97.5209599999999","37.12356800000012 , -97.98147600000077",urban-urban,2056
"37.343891999999975 , -101.14049199999972","37.011899000000184 , -101.15737600000077",urban-urban,1904
"37.133352999999914 , -101.23025299999998","37.20207399999974 , -100.82441700000022",urban-urban,2052
"39.52640400000004 , -101.46450899999972","39.53939099999985 , -100.9984550000002",urban-urban,2040
"37.139875999999994 , -99.05934400000008","37.265083999999966 , -99.5087789999998",urban-urban,2008
"39.655562 , -101.33696300000005","39.9731 , -101.16286100000002",urban-urban,2047
