origin,destination,area,ttpTravelTime
"37.0193240000001 , -85.32518099999996","36.924137999999864 , -85.37062900000001",urban-urban,1719
"38.31786799999996 , -83.82155400000006","38.416596999999875 , -84.00261600000016",urban-urban,2003
"38.39323299999997 , -82.76074899999945","38.4677429999999 , -82.96930399999972",urban-urban,1738
"37.321917999999954 , -83.63471800000006","37.354478000000114 , -83.8229999999998",urban-urban,1805
"37.24563999999986 , -83.42848099999998","37.34333300000001 , -83.27280500000015",urban-urban,1995
"38.185369999999885 , -82.85159699999998","38.02829600000011 , -82.81680100000004",urban-urban,1957
"37.016526000000184 , -89.09237599999985","37.20048600000003 , -89.00737880000001",urban-urban,1730
"37.21573399999999 , -84.59538599999999","37.22187519999998 , -84.3800156999997",urban-urban,1713
"37.19883299999992 , -84.65211299999987","37.19796900000028 , -84.88566399999984",urban-urban,1966
"37.07339500000008 , -89.15204299999985","37.14644599999992 , -88.99588599999979",urban-urban,1573
"37.307574999999886 , -83.62752400000018","37.37193300000012 , -83.82662500000008",urban-urban,1987
"37.31466100000022 , -87.59754999999946","37.11808599999991 , -87.5729080000001",urban-urban,1806
"36.55333099999998 , -88.5427140000004","36.72753299999989 , -88.4319290000001",urban-urban,1962
"36.764751000000004 , -84.06959300000007","36.59780500000005 , -84.06828800000004",urban-urban,1965
"36.768644000000016 , -84.77301799999982","36.866377 , -84.600039",urban-urban,1737
"37.39577800000019 , -83.89893300000013","37.302293999999954 , -83.7092650000002",urban-urban,1808
"37.644144999999774 , -87.08153799999971","37.665094999999674 , -87.3156089999998",urban-urban,1706
"37.1967285500001 , -88.25997374999992","37.257397999999995 , -88.0764759999992",urban-urban,1683
"37.64274699999983 , -87.68260999999974","37.51197700000005 , -87.84313499999965",urban-urban,1746
"36.91423199999998 , -85.57309399999964","36.89820199999988 , -85.34229800000003",urban-urban,2029
"37.984576000000004 , -85.86808899999993","37.87194000000012 , -86.08159799999946",urban-urban,1778
"37.43313900000005 , -83.20037199999999","37.56657800000004 , -83.13129800000007",urban-urban,1939
