origin,destination,area,ttpTravelTime
"31.230184999999985 , -91.79320699999954","31.314960999999943 , -91.64806899999992",urban-urban,1844
"32.599161999999964 , -93.84566999999974","32.49963399999998 , -94.01199500000003",urban-urban,1593
"32.90728700000008 , -92.28097099999954","32.94695199999998 , -92.53406300000009",urban-urban,1934
"32.899549 , -92.45092600000002","32.84746540000005 , -92.20868169999997",urban-urban,1968
"32.078880999999846 , -91.56898100000015","32.287894000000016 , -91.43375000000017",urban-urban,2026
"30.788259000000124 , -90.01624800000029","30.98161900000014 , -90.1167139999993",urban-urban,2001
"31.816761999999994 , -93.82964600000015","32.03256900000012 , -93.81725600000033",urban-urban,1799
"30.83946800000022 , -90.40959799999959","30.63117299999999 , -90.35832500000011",urban-urban,2022
"30.552291000000093 , -89.99966399999991","30.46610200000009 , -89.82576699999956",urban-urban,1595
"30.49908400000003 , -91.81647700000013","30.297590999999958 , -91.68946600000001",urban-urban,1964
"30.973415000000287 , -92.69338099999965","30.737321399999995 , -92.76279269999984",urban-urban,1850
"30.82779720000001 , -90.42604779999996","30.63907100000007 , -90.38176400000029",urban-urban,1725
"30.526649000000038 , -90.266952","30.71101599999999 , -90.26032400000025",urban-urban,1914
"30.96438900000004 , -93.17314000000007","31.163921999999992 , -93.02306799999977",urban-urban,2054
"30.727948999999963 , -90.25975200000022","30.52692900000002 , -90.28655500000033",urban-urban,1915
"31.92168200000004 , -93.82888900000013","32.126020999999824 , -93.84569200000004",urban-urban,1833
"32.69710799999984 , -91.35920700000034","32.91229200000005 , -91.31296399999994",urban-urban,1769
"30.282021999999905 , -92.70579399999973","30.04952899999999 , -92.7524399999999",urban-urban,1743
"32.176898 , -93.80690600000004","31.92858499999996 , -93.82078799999992",urban-urban,2063
"30.979895999999936 , -92.6862009999996","30.745238699999994 , -92.76371869999983",urban-urban,1947
"32.80449700000008 , -92.02248299999994","32.991810000000164 , -91.88257999999975",urban-urban,1819
"30.157299000000158 , -93.08033800000028","30.193920000000077 , -92.83493499999945",urban-urban,1797
"31.083099000000285 , -92.67048229999968","30.828088300000054 , -92.65795530000005",urban-urban,1824
"32.66868900000005 , -93.12144300000003","32.779434000000066 , -93.3351270000001",urban-urban,1995
"32.87663099999994 , -91.31354200000017","32.66006874999984 , -91.35550375000035",urban-urban,1922
"30.790317700000056 , -90.4175507000001","30.608212700000035 , -90.4066635",urban-urban,1543
"32.52644099999997 , -93.27066200000014","32.32107100000006 , -93.41663070000004",urban-urban,1883
"30.907895000000018 , -93.00015499999985","31.136808999999968 , -93.0845349999999",urban-urban,1893
"32.21828600000008 , -91.50554600000021","31.985008000000033 , -91.48556999999998",urban-urban,1990
"32.91253400000011 , -92.481269","32.862864999999964 , -92.23829399999964",urban-urban,2006
"30.587717999999995 , -89.95284199999955","30.387310000000134 , -89.88030199999967",urban-urban,1689
"30.096561000000097 , -92.72431000000006","30.320554999999924 , -92.68023599999988",urban-urban,1572
"30.40258199999996 , -93.68706499999982","30.375201000000008 , -93.45254400000009",urban-urban,1922
"31.94871799999996 , -93.6155799999999","31.812815 , -93.82031300000011",urban-urban,2028
"32.748557600000154 , -92.01356569999972","32.96541260000006 , -91.93909300000001",urban-urban,1735
"32.965970999999975 , -91.8661349999999","32.79504029999998 , -92.03161209999998",urban-urban,1788
"32.38684800000008 , -92.56708600000009","32.13052300000003 , -92.55513399999992",urban-urban,2029
