origin,destination,area,ttpTravelTime
"45.79653599999995 , -67.88448599999995","45.764726000000145 , -68.04027499999935",urban-urban,1980
"45.065273399999846 , -67.10623580000008","44.90707400000008 , -67.14056100000062",urban-urban,1811
"47.193723 , -68.20479500000005","47.32893900000011 , -68.3432200000002",urban-urban,1946
"44.792554500000016 , -67.67928309999992","44.61742360000004 , -67.77417150000005",urban-urban,2064
"43.97902460000003 , -70.80591650000012","44.14380400000018 , -70.94278899999999",urban-urban,2056
"44.36082499999992 , -70.0970260000001","44.551559000000005 , -70.05199199999973",urban-urban,1987
"46.97232400000005 , -68.10050499999991","46.99472900000015 , -67.86007100000022",urban-urban,1875
"47.137553000000054 , -68.40566900000017","47.27153000000013 , -68.25479300000036",urban-urban,2063
"46.0542095 , -67.86534239999992","46.037936000000066 , -68.18300200000043",urban-urban,2028
"47.16487590000002 , -68.02527350000014","47.2267259999998 , -68.25441100000042",urban-urban,1825
"43.7842125999998 , -70.61957090000006","43.655997700000306 , -70.51134010000014",urban-urban,1537
"44.41131919999997 , -70.11866270000036","44.60312330000019 , -70.0750329999999",urban-urban,1929
"46.79173299999988 , -68.01907699999974","46.75229099999999 , -68.2850919999993",urban-urban,1991
"43.91503160000001 , -70.98402289999976","43.781141899999895 , -70.8534300999997",urban-urban,1994
"43.89628999999994 , -70.66437599999989","43.88960229999999 , -70.87296419999997",urban-urban,1716
"43.75024220000004 , -70.96491850000032","43.91353699999998 , -70.92856500000009",urban-urban,1960
"47.25905399999999 , -68.38827700000027","47.09761400000038 , -68.36250700000079",urban-urban,1933
"46.94064600000014 , -67.9364119999999","47.03148600000015 , -68.17153999999987",urban-urban,2022
"44.66930000000003 , -67.83206599999986","44.514677099999965 , -67.70065189999983",urban-urban,1966
"44.05934299999999 , -70.4897230000001","43.91471039999996 , -70.58949909999974",urban-urban,1837
"44.88531369999999 , -67.13540029999993","45.04846000000006 , -67.19560299999998",urban-urban,1739
"44.79350829999974 , -67.32868509999982","44.963046600000325 , -67.38136640000003",urban-urban,1837
"44.1470690000001 , -70.14305300000001","44.33580900000001 , -70.14493299999981",urban-urban,1951
"44.6731138 , -67.68284029999988","44.498997200000005 , -67.7251786000002",urban-urban,1787
"44.733588999999945 , -69.56240899999995","44.534830899999996 , -69.5278486",urban-urban,2050
"44.77930660000001 , -67.71549029999993","44.56074959999997 , -67.73436609999985",urban-urban,2041
"44.66997290000026 , -70.90121270000002","44.58732300000013 , -70.68527339999972",urban-urban,1794
"46.13190899999998 , -68.41366900000052","46.12297099999998 , -68.13270200000008",urban-urban,1885
"44.54315999999985 , -67.75177480000035","44.69390940000004 , -67.8699035",urban-urban,2029
"44.87073330000006 , -67.83861649999969","45.055247900000055 , -67.82470470000055",urban-urban,2003
"46.867519000000065 , -67.87051299999985","46.701581999999995 , -67.8161769999999",urban-urban,2000
"47.032829000000035 , -68.11491199999986","46.94045700000004 , -67.91483199999996",urban-urban,1901
"46.791993999999875 , -68.00725399999973","46.75395599999999 , -68.27593499999931",urban-urban,2002
"44.22067600000007 , -70.05398399999999","44.402751000000244 , -70.06858700000008",urban-urban,1948
"47.26014999999964 , -68.45296799999944","47.29088800000007 , -68.22362099999981",urban-urban,1784
"46.81347599999997 , -67.98559899999988","46.80733989999967 , -68.23650060000011",urban-urban,1597
"43.92858649999991 , -70.98780179999999","43.800751999999925 , -70.87633500000003",urban-urban,1634
"47.0003249999999 , -68.22828799999982","46.85094600000005 , -68.09185899999991",urban-urban,1989
"47.220404999999936 , -68.52741099999996","47.26680199999981 , -68.29060599999998",urban-urban,1850
"47.24684199999995 , -68.37341300000014","47.27487899999991 , -68.15643999999993",urban-urban,1987
"46.94135399999991 , -68.15596500000007","46.762233000000016 , -68.15178999999993",urban-urban,1917
"43.457032000000055 , -70.57319400000038","43.40803419999988 , -70.38657660000003",urban-urban,1681
"43.94954200000012 , -70.97417299999972","43.798936700000155 , -70.92370169999982",urban-urban,1659
"47.169045400000314 , -68.16103420000043","47.31656300000007 , -68.24016799999997",urban-urban,1796
"44.9797982499999 , -68.38449189999997","44.94497939999999 , -68.10491350000024",urban-urban,1997
"44.26098709999984 , -69.71056669999965","44.44746580000018 , -69.6247637000001",urban-urban,1911
"44.075166 , -70.50330800000023","43.911560199999975 , -70.58135440000001",urban-urban,1918
"44.684021800000004 , -70.9599638","44.64898299999986 , -70.7157370000002",urban-urban,1862
"44.073284200000124 , -70.59716430000009","44.21188010000002 , -70.71823270000013",urban-urban,1952
"46.82939899999994 , -68.01672700000036","46.76229289999997 , -68.24910529999998",urban-urban,1703
"44.33949799999998 , -70.05868399999997","44.53000729999991 , -70.03628080000003",urban-urban,2026
"44.07849700000013 , -70.50536900000013","43.92204299999995 , -70.57029000000026",urban-urban,1844
"46.99113999999993 , -67.91812999999965","47.04593400000017 , -68.14046800000004",urban-urban,1930
"44.50829450000016 , -70.06308049999983","44.31829900000008 , -70.03320500000004",urban-urban,1995
"44.604552999999875 , -69.68502099999999","44.77930999999963 , -69.84103799999981",urban-urban,2033
"44.585387199999886 , -68.58345839999998","44.41300849999996 , -68.45758940000013",urban-urban,1898
"47.25472500000001 , -68.46075999999995","47.31495299999996 , -68.20596900000001",urban-urban,1963
"44.701508900000114 , -67.73918240000052","44.53299330000002 , -67.7001764000004",urban-urban,1563
"45.05985910000005 , -67.1257863000003","44.88861899999999 , -67.13852889999993",urban-urban,1967
"47.3107400000002 , -68.21900599999996","47.235828999999896 , -68.47504100000057",urban-urban,2062
"47.24630999999981 , -68.45291799999987","47.32092000000019 , -68.20575099999989",urban-urban,1967
"44.88866579999999 , -67.13946449999993","45.06845919999995 , -67.13128380000005",urban-urban,2033
"44.781746799999915 , -70.01908360000029","44.574505000000165 , -69.98517500000015",urban-urban,1956
"46.77542499999992 , -68.12364399999981","46.961346999999854 , -68.16519699999965",urban-urban,2015
"43.915960999999974 , -70.9279000000001","43.739712899999844 , -70.96713460000001",urban-urban,1968
"44.207679100000036 , -70.71318450000011","44.101641200000174 , -70.54780860000031",urban-urban,1927
"46.94655499999987 , -68.16459899999965","46.773916699999795 , -68.19051810000029",urban-urban,1992
"46.03537299999999 , -68.16902499999999","46.05385499999999 , -67.892877",urban-urban,2036
"44.774163299999984 , -67.37384540000002","44.60610710000012 , -67.41723099999997",urban-urban,1841
"44.99627299999996 , -68.51985150000012","44.97237419999997 , -68.23988580000007",urban-urban,1901
"46.68650800000025 , -68.36864200000068","46.56472040000013 , -68.57864840000023",urban-urban,1987
"44.25638269999986 , -70.14816459999962","44.445374000000086 , -70.18117199999992",urban-urban,1924
"44.04948400000001 , -70.58758500000019","44.20427400000002 , -70.69606300000021",urban-urban,1900
"44.66960660000026 , -70.89418530000002","44.58336990000006 , -70.67420459999987",urban-urban,2069
"44.69609500000003 , -67.78925000000072","44.498281199999944 , -67.73617309999969",urban-urban,1892
"44.53297859999995 , -67.7002597000001","44.72546599999994 , -67.73975999999998",urban-urban,1951
"43.90670100000014 , -70.92186199999992","43.75696170000005 , -70.95522300000036",urban-urban,1809
"47.29211299999974 , -68.36640200000015","47.18576869999997 , -68.19569280000051",urban-urban,1588
"46.889264 , -68.17351799999986","47.066051999999935 , -68.19031600000005",urban-urban,2000
"44.93525999999999 , -67.33642600000003","44.7546329999999 , -67.3240823000001",urban-urban,1827
"44.674981800000005 , -70.9259909","44.61168854999984 , -70.70585134999982",urban-urban,1770
"44.57514619999999 , -70.10069360000004","44.379369900000114 , -70.08908130000016",urban-urban,2061
"47.25763799999992 , -68.48258100000002","47.23305299999979 , -68.2573000000004",urban-urban,1867
"44.20741410000001 , -70.58576060000009","44.05006900000017 , -70.48883300000007",urban-urban,1931
"44.56681019999964 , -68.53625490000019","44.38786000000003 , -68.46448210000013",urban-urban,1881
"47.01315199999984 , -68.17848799999962","46.84069899999993 , -68.08581900000011",urban-urban,1931
"46.04042300000021 , -68.00835000000065","46.02616199999979 , -68.30708000000016",urban-urban,2020
"44.37556809999997 , -69.28956290000026","44.19264800000021 , -69.31405400000014",urban-urban,1923
"46.93640000000002 , -68.17887499999978","46.98369380000005 , -67.92917010000029",urban-urban,1877
"46.77456849999989 , -68.1571046000004","46.587806199999875 , -68.15778909999997",urban-urban,1829
"44.36744179999997 , -70.0678848999997","44.19755000000006 , -70.19020799999977",urban-urban,1957
"43.91539800000019 , -70.60041000000005","44.06920300000013 , -70.50038700000009",urban-urban,1873
"47.273558000000136 , -68.25437300000036","47.247398999999966 , -68.50674299999994",urban-urban,2016
"47.26769899999993 , -68.14563699999994","47.31896399999998 , -68.36507599999992",urban-urban,1948
"44.597993599999825 , -67.45920290000034","44.763803200000176 , -67.44459729999937",urban-urban,1872
"44.96027900000003 , -69.76395300000026","44.75602599999997 , -69.7103020000001",urban-urban,1787
"47.00024599999989 , -68.2247619999998","47.02413100000002 , -67.98589899999986",urban-urban,1858
"44.647047300000004 , -67.59395340000025","44.49750069999976 , -67.71272689999995",urban-urban,1927
"47.23414699999987 , -68.46671700000049","47.33080599999976 , -68.29180599999975",urban-urban,1857
"43.9479649999999 , -70.6190999999999","43.87299449999993 , -70.80485299999995",urban-urban,1981
"43.974317999999926 , -70.2421800000001","43.925818999999855 , -70.02716199999955",urban-urban,2008
"45.46591629999996 , -70.40290569999958","45.50356800000004 , -70.14296999999993",urban-urban,2014
"44.67164000000026 , -70.92027250000002","44.59866479999974 , -70.68310619999986",urban-urban,1783
"43.94950800000005 , -70.62864600000036","43.86672210000029 , -70.80539450000008",urban-urban,2044
"44.093792099999824 , -70.92198099999993","43.96647370000003 , -70.79543310000031",urban-urban,1603
"47.27827900000011 , -68.10740999999992","47.27928799999991 , -68.32617500000043",urban-urban,1695
"47.123208 , -68.377452","47.27847999999992 , -68.31556600000046",urban-urban,1953
"44.2976960000001 , -70.46781899999978","44.46774089999995 , -70.40242239999998",urban-urban,2002
"44.70250039999976 , -67.7346723000008","44.50753870000001 , -67.74043319999979",urban-urban,1874
"45.00141600000006 , -67.34180400000038","44.97319970000004 , -67.08911589999965",urban-urban,1867
"46.45364800000042 , -68.05684900000033","46.39072500000002 , -67.81191599999994",urban-urban,2054
"43.75052969999997 , -70.8265843000001","43.886256199999764 , -70.92605400000024",urban-urban,1809
"47.00024599999989 , -68.2247619999998","46.85876000000001 , -68.0921359999998",urban-urban,1845
"45.66521000000018 , -68.34553800000036","45.86084999999969 , -68.42673400000012",urban-urban,1920
"44.61214769999986 , -70.12997220000058","44.416974999999894 , -70.1170287999998",urban-urban,1886
"47.187391999999946 , -68.38027100000063","47.294565000000055 , -68.20641399999973",urban-urban,2041
"47.21637399999979 , -68.23473930000041","47.35633900000007 , -68.33233130000002",urban-urban,1694
"45.50619200000005 , -70.11135099999997","45.469653 , -70.39758200000003",urban-urban,2008
"47.158102999999954 , -67.96278000000005","47.19850199999976 , -68.20591299999985",urban-urban,1821
"46.975770999999945 , -67.88344299999973","46.99670200000003 , -68.12052999999992",urban-urban,1778
"43.92858649999991 , -70.98780179999999","43.75310999999995 , -70.98012280000042",urban-urban,1987
"47.16434350000001 , -67.98702250000017","47.20385100000012 , -68.21523000000037",urban-urban,1809
"47.03060299999995 , -68.20451600000015","46.85415500000002 , -68.18797800000034",urban-urban,2057
"44.64831760000023 , -68.9543900000001","44.446941399999815 , -68.9282136999995",urban-urban,1955
"47.348511000000165 , -68.27999100000063","47.19404999999983 , -68.19419999999973",urban-urban,1846
"46.64630200000006 , -68.14853900000065","46.83667599999972 , -68.15699600000022",urban-urban,1937
"44.4290231 , -69.89885630000006","44.62868400000004 , -69.9230499999997",urban-urban,1988
"44.59529699999999 , -67.71431250000064","44.69297429999991 , -67.9383736000002",urban-urban,2027
"46.91716299999999 , -68.21723299999998","46.98495100000001 , -67.98990200000011",urban-urban,2043
"47.19651000000003 , -68.456035","47.277772499999976 , -68.26239599999997",urban-urban,1978
"47.125624899999956 , -67.94923229999952","47.19404999999983 , -68.19419999999973",urban-urban,1955
"44.68499670000025 , -70.72089089999959","44.689503900000005 , -70.97419",urban-urban,2058
"43.889057699999896 , -70.70529399999988","43.84114410000015 , -70.91449869999973",urban-urban,1976
"45.005261399999846 , -67.42076680000018","44.857583999999946 , -67.31800599999967",urban-urban,1638
"47.15738600000002 , -67.97853600000018","47.2201829999998 , -68.24730100000042",urban-urban,1941
"46.080065999999995 , -68.0884749999998","46.01650099999972 , -67.83565999999976",urban-urban,2032
"46.960617999999855 , -68.16516799999965","46.778671999999986 , -68.13213999999999",urban-urban,2026
"44.138908000000114 , -70.03215199999998","44.277342099999785 , -69.87053790000016",urban-urban,1733
"47.284431999999896 , -68.20198300000004","47.20543999999995 , -68.41117499999999",urban-urban,1956
"47.23670700000002 , -68.0815260000003","47.311099000000155 , -68.28345699999998",urban-urban,1862
"43.44502860000004 , -70.5519280000001","43.54576609999988 , -70.66601779999992",urban-urban,1595
"46.887169999999806 , -68.12544299999995","46.71019800000008 , -68.18003299999972",urban-urban,1914
"44.81429839999988 , -70.0472116000006","44.610796000000136 , -70.0241699999998",urban-urban,1887
"43.70560499999992 , -70.96623100000026","43.66149100000014 , -70.77826700000041",urban-urban,1595
"46.061911000000215 , -68.16140200000022","46.05394600000017 , -67.88245900000047",urban-urban,1981
"47.20859800000006 , -68.06072499999982","47.29573699999993 , -68.26037299999986",urban-urban,2038
"44.037238699999875 , -70.4671655999996","44.16690120000027 , -70.61166899999968",urban-urban,2043
"47.229463000000244 , -68.25845600000008","47.16684900000002 , -68.00852400000014",urban-urban,1983
"44.72827969999991 , -69.2324205000005","44.5223629999997 , -69.16395069999996",urban-urban,2052
"46.76715599999997 , -68.18522499999983","46.58329600000007 , -68.15802100000069",urban-urban,1767
"46.843288999999935 , -68.08700000000012","47.0008969999999 , -68.2139069999998",urban-urban,2011
"44.40229400000006 , -70.08554800000003","44.229433199999825 , -70.00718849999986",urban-urban,1862
"44.68617129999959 , -69.17926299999992","44.638025899999874 , -68.90704789999981",urban-urban,1984
"47.05886800000002 , -68.13859800000004","46.98200499999992 , -67.91850699999966",urban-urban,1982
"47.25701999999964 , -68.44260399999945","47.262147000000006 , -68.18102999999981",urban-urban,1990
"44.65177900000007 , -70.71758299999988","44.69239099999999 , -70.96441799999994",urban-urban,1941
"43.95881309999963 , -70.78589039999983","44.07920189999993 , -70.90415790000011",urban-urban,1549
"47.23567899999989 , -68.47419600000056","47.33994999999998 , -68.30158700000004",urban-urban,1891
"46.27432189999989 , -68.03748929999976","46.14773100000003 , -67.82869100000056",urban-urban,2046
"47.248389999999944 , -68.28309099999986","47.26318299999993 , -68.50911800000006",urban-urban,1883
"47.23328299999987 , -68.4632970000005","47.29414000000007 , -68.2215619999998",urban-urban,1994
"44.68246020000004 , -69.03258339999992","44.49542739999992 , -68.94926779999993",urban-urban,1970
"44.13407899999988 , -70.00966749999985","44.302370000000145 , -69.88780200000028",urban-urban,1882
"44.42744100000004 , -69.10120499999994","44.4849895999998 , -69.35990809999981",urban-urban,1936
"44.24538900000004 , -69.90044400000022","44.42293600000001 , -69.77546100000004",urban-urban,1922
"44.16959500000004 , -69.99074999999989","44.29425330000013 , -69.78368629999987",urban-urban,1851
"44.562371099999815 , -70.21380880000025","44.373920999999974 , -70.17943900000033",urban-urban,1894
"46.983798999999934 , -67.91861199999987","47.03346599999989 , -68.18595799999996",urban-urban,2052
"44.148790999999974 , -70.01575699999997","44.30626099999994 , -69.88528000000008",urban-urban,1741
"44.288062999999916 , -69.8594850000002","44.12228069999995 , -69.9724964",urban-urban,1985
