origin,destination,area,ttpTravelTime
"38.457066999999995 , -76.99574099999997","38.40779099999955 , -77.10856199999996",urban-urban,1541
"39.071083200000004 , -75.94946019999998","38.84163960000005 , -75.89869190000023",urban-urban,1939
"38.51855100000007 , -76.89578499999985","38.67589490000006 , -76.72344479999992",urban-urban,2055
"39.10531899999997 , -75.78407999999996","39.2990272000001 , -75.76979979999922",urban-urban,1667
"38.157038000000014 , -75.45403199999998","38.367743200000234 , -75.4624041000005",urban-urban,1874
"39.6628745000001 , -76.40970030000004","39.55348199999993 , -76.59176800000031",urban-urban,1599
"38.26672349999993 , -75.3033323","38.32294220000003 , -75.58494850000015",urban-urban,2011
"38.69450100000023 , -76.73529099999973","38.514387 , -76.88536599999996",urban-urban,1929
"38.34941320000008 , -75.50580290000006","38.174612100000054 , -75.37763779999982",urban-urban,1661
"38.33202660000008 , -75.51068970000001","38.24066400000024 , -75.26573900000038",urban-urban,1665
"38.249163000000024 , -75.3121640000001","38.341533999999996 , -75.55956599999999",urban-urban,1774
"38.147894800000024 , -75.46800439999998","38.35715230000004 , -75.46345250000009",urban-urban,1932
"38.90479600000004 , -75.93299099999984","39.111205500000025 , -75.80911950000026",urban-urban,1951
"38.220702000000166 , -75.35700199999972","38.30043599999999 , -75.59101900000003",urban-urban,1833
"38.33721600000013 , -75.55276700000007","38.23489219999988 , -75.32505939999972",urban-urban,1798
"38.24237900000005 , -76.73917699999996","38.45782230000003 , -76.82645520000001",urban-urban,1981
"39.17795260000001 , -76.25901469999994","39.22899780000019 , -75.99482249999991",urban-urban,1852
"38.46108499999997 , -76.82049100000013","38.249332999999964 , -76.74350600000012",urban-urban,1846
"38.17626280000004 , -75.38324399999988","38.40932900000012 , -75.45694099999997",urban-urban,2064
"38.30452999999993 , -76.77044699999979","38.49209820000042 , -76.73052210000083",urban-urban,1585
"39.38120879999999 , -76.23907689999993","39.55212079999995 , -76.12842979999951",urban-urban,2059
"39.57772400000017 , -77.36173999999995","39.531237999999874 , -77.15103500000016",urban-urban,1584
"38.32798199999999 , -75.281539","38.442701999999926 , -75.48789979999975",urban-urban,1603
"39.42625000000005 , -77.62969899999956","39.58118800000028 , -77.56265199999955",urban-urban,1608
"38.28448599999997 , -76.80095700000014","38.48721900000007 , -76.83030399999964",urban-urban,1948
"39.50086200000009 , -77.16271900000024","39.64583200000028 , -77.29273499999958",urban-urban,1692
"38.6937340000001 , -76.74633699999977","38.49906199999997 , -76.8306439999999",urban-urban,1731
"38.24801500000002 , -75.30360400000008","38.3610366000001 , -75.5883717",urban-urban,2025
"38.32519600000008 , -75.32026700000006","38.45333100000012 , -75.5225249999999",urban-urban,1539
"38.30414299999992 , -75.72459000000019","38.130163999999986 , -75.55171799999997",urban-urban,1976
"39.59526200000009 , -76.13358399999967","39.42160769999998 , -76.17018160000015",urban-urban,1830
"39.201338999999805 , -77.11937700000014","39.052089100000146 , -77.21415429999958",urban-urban,1945
"38.144108299999985 , -75.61071770000027","38.30266 , -75.48255800000005",urban-urban,1950
"39.42522669999996 , -77.51742800000002","39.607285000000196 , -77.48342200000015",urban-urban,1625
"38.487451000000064 , -76.83314499999962","38.272149000000056 , -76.77113300000008",urban-urban,1934
"39.63305399999982 , -77.29816800000005","39.478134000000004 , -77.14066300000002",urban-urban,1790
"38.43793899999981 , -75.53657000000011","38.279821599999934 , -75.3062621",urban-urban,2053
"39.479195600000025 , -76.72770540000036","39.33065440000021 , -76.87258300000015",urban-urban,1877
"39.228628000000114 , -75.88656189999962","39.089373900000005 , -76.12534020000002",urban-urban,1725
"39.46554920000006 , -76.76893549999993","39.30341860000017 , -76.86167889999976",urban-urban,1809
"38.27140399999993 , -75.30387329999999","38.323793500000015 , -75.57796339999983",urban-urban,1942
"39.637666999999965 , -76.35163800000011","39.510587000000065 , -76.50181799999956",urban-urban,1584
"39.36921530000021 , -76.87649630000028","39.45432020000009 , -76.66776630000048",urban-urban,1860
