origin,destination,area,ttpTravelTime
"41.65754030000009 , -70.50556730000035","41.71297929999979 , -70.50474569999982",urban-urban,1836
"42.43558199999993 , -72.1216780000003","42.3170299999999 , -72.27748939999945",urban-urban,1777
"42.32413109999992 , -72.06881809999994","42.180100000000195 , -71.96423100000032",urban-urban,1827
"41.64336680000003 , -70.55593570000009","41.73934369999991 , -70.5365465",urban-urban,1561
"41.810949999999856 , -70.67417300000031","41.940764999999935 , -70.67983499999995",urban-urban,1717
"42.532059999999944 , -72.57320299999996","42.71134700000002 , -72.60615400000012",urban-urban,2046
"42.32118699999995 , -72.03614799999998","42.156048899999895 , -71.9672684",urban-urban,1661
"42.18521600000003 , -71.99910300000005","42.351533000000046 , -71.92932499999999",urban-urban,1721
"42.48289400000001 , -73.09752399999985","42.35439500000017 , -72.99214700000017",urban-urban,1710
"42.156591999999875 , -73.04563199999973","42.356891000000076 , -73.0526150000006",urban-urban,1991
"42.20105010000089 , -71.96280600000082","42.33935500000007 , -72.06002199999988",urban-urban,1641
"42.557581000000006 , -72.11955599999997","42.409724999999895 , -72.06373100000044",urban-urban,1635
"41.64681700000011 , -70.91241900000053","41.79974499999997 , -70.82619999999999",urban-urban,1562
"42.42302599999993 , -72.13252900000003","42.281546600000105 , -72.26057529999987",urban-urban,1667
"42.18081400000022 , -72.00058599999947","42.32928139999995 , -72.0587621000002",urban-urban,1599
"42.22463700000022 , -72.40477000000031","42.082486999999965 , -72.5210560000003",urban-urban,1644
"42.3699470000001 , -72.9884350000003","42.425465999999936 , -73.17407870000031",urban-urban,1850
"42.31925699999987 , -72.78564000000013","42.50954199999998 , -72.87208499999964",urban-urban,1985
"42.43509639999981 , -73.06884569999917","42.231789999999926 , -73.07447100000033",urban-urban,1962
"42.17193980000019 , -71.64093250000026","42.016254000000025 , -71.7030940000001",urban-urban,1742
"41.66168399999999 , -71.05402600000028","41.524428699999994 , -70.95633400000004",urban-urban,1670
"42.35131020000014 , -73.06612690000031","42.145479799999976 , -73.04940770000016",urban-urban,2029
"42.74658420000008 , -70.87620809999999","42.845221400000064 , -70.96315020000048",urban-urban,1669
"42.074018999999986 , -72.45197300000014","42.23039619999999 , -72.44130469999996",urban-urban,1949
"42.168803899999936 , -71.95599849999984","42.334955999999934 , -72.05773599999989",urban-urban,1796
"42.358811000000124 , -72.9930380000005","42.437807100000214 , -73.20672500000023",urban-urban,2024
"41.5928450000002 , -70.92977099999972","41.69976149999992 , -70.86095800000002",urban-urban,1640
"42.214138399999854 , -73.11694669999986","42.34838700000019 , -73.03943000000051",urban-urban,1823
"42.1668355000002 , -71.67252899999987","42.0203042999999 , -71.706289",urban-urban,1665
"42.165522999999865 , -73.05471500000023","42.33553199999981 , -73.07631500000046",urban-urban,1668
"42.27301699999984 , -73.08567600000039","42.11916699999995 , -73.05038800000034",urban-urban,1619
"42.73850000000016 , -73.08961100000029","42.63518670000009 , -73.16471619999996",urban-urban,2045
"42.68752799999992 , -73.05251399999975","42.518056000000136 , -72.98526100000018",urban-urban,1813
"42.20450499999989 , -73.07016200000011","42.396981599999854 , -73.10803710000017",urban-urban,2007
"42.356891000000076 , -73.0526150000006","42.202087999999925 , -73.05380799999968",urban-urban,1890
"42.29247699999994 , -71.13365109999965","42.38347250000001 , -71.02049249999992",urban-urban,1546
"42.199554999999954 , -73.14906299999994","42.36546700000004 , -73.08148199999968",urban-urban,2028
"42.41520499999997 , -73.01460299999978","42.274847999999906 , -73.0163210000003",urban-urban,1797
"42.426356999999804 , -73.07025899999954","42.22690300000003 , -73.05312800000016",urban-urban,2035
"41.89374400000014 , -70.69776200000004","41.77898400000001 , -70.70164599999987",urban-urban,1671
"41.60563130000009 , -70.90373130000009","41.51357499999992 , -70.98384000000024",urban-urban,1785
"42.43868499999994 , -73.20088100000015","42.36616700000014 , -73.00532700000043",urban-urban,1984
"42.29849499999992 , -73.103728","42.137499999999996 , -73.053049",urban-urban,1739
"42.32309300000002 , -72.80179700000011","42.49049200000013 , -72.86525300000005",urban-urban,1728
"41.59607870000008 , -70.9112371999996","41.75188369999972 , -70.87613470000028",urban-urban,1675
"42.53838619999996 , -72.58395960000001","42.56085299999998 , -72.78911299999976",urban-urban,2019
"42.536534999999944 , -72.674075","42.584146000000295 , -72.870919",urban-urban,1943
"42.325083000000205 , -72.08505299999996","42.16097599999997 , -71.96329899999948",urban-urban,1831
"42.795282500000035 , -70.80773830000007","42.85461599999974 , -70.98490300000019",urban-urban,1644
"42.5278556999999 , -73.26107019999982","42.63518670000009 , -73.16471619999996",urban-urban,1952
"42.64855299999992 , -73.03650699999977","42.50871499999997 , -72.97652699999992",urban-urban,2015
"42.36998200000023 , -72.9882860000005","42.4246419999999 , -73.16739000000025",urban-urban,1748
"42.33484699999997 , -72.05959799999985","42.173944199999916 , -71.98859379999993",urban-urban,1761
"42.214138399999854 , -73.11694669999986","42.351558000000026 , -73.06655400000028",urban-urban,1615
"41.73400300000024 , -70.51350200000024","41.638758000000216 , -70.52926899999936",urban-urban,1610
"42.49184800000006 , -73.10894600000016","42.6274150000002 , -73.08478499999995",urban-urban,1547
"41.763736000000016 , -70.72879199999996","41.89152539999995 , -70.67086680000024",urban-urban,1832
"41.51677599999984 , -70.95420400000003","41.67693380000007 , -71.05848510000003",urban-urban,2053
"42.24804300000001 , -73.09211099999992","42.43527799999997 , -73.05252399999982",urban-urban,2056
"42.844476999999955 , -70.98004900000001","42.810339199999966 , -70.82172559999971",urban-urban,1609
"42.52367100000002 , -72.99253900000002","42.65460999999984 , -73.03919300000024",urban-urban,1675
"42.19864999999998 , -73.07438699999994","42.37699900000004 , -73.07751700000004",urban-urban,1839
"42.20987199999991 , -73.1517730000002","42.36546700000004 , -73.08148199999968",urban-urban,2037
"42.68693449999972 , -73.05577100000016","42.52810700000005 , -72.9918110000002",urban-urban,1838
"42.727080800000145 , -72.92676640000025","42.672653000000345 , -72.75079499999914",urban-urban,1701
"42.84418199999985 , -70.94023100000047","42.748020000000174 , -70.87453400000001",urban-urban,1607
"42.77919789999998 , -70.82810689999972","42.85776349999986 , -70.96749520000037",urban-urban,1554
"41.76328999999995 , -70.72398300000009","41.9034546999999 , -70.65815809999992",urban-urban,1709
"41.713667999999934 , -70.50495000000024","41.66746500000003 , -70.65163489999998",urban-urban,1653
"42.332431999999926 , -73.13128300000015","42.203633999999894 , -73.05625800000014",urban-urban,1673
"42.19365800000005 , -73.05052600000018","42.364983999999986 , -73.09552799999987",urban-urban,1792
"41.51266199999992 , -70.993189","41.627586000000015 , -70.9164199999995",urban-urban,1652
"42.07593199999994 , -72.45686100000033","42.25977959999998 , -72.4357201000002",urban-urban,1852
"41.892622000000046 , -70.70096599999991","41.75535299999997 , -70.7297139999999",urban-urban,1684
"42.71257699999997 , -72.60970199999997","42.56150599999998 , -72.61113000000024",urban-urban,1745
"41.94089900000013 , -70.67855899999991","41.81657000000007 , -70.66956899999987",urban-urban,1592
"41.70157299999999 , -70.846429","41.84072700000006 , -70.8808889999999",urban-urban,1552
"42.34219099999994 , -73.09757100000009","42.18207699999999 , -73.04418599999954",urban-urban,1664
"42.684776999999976 , -72.59868700000004","42.54620129999985 , -72.56396770000036",urban-urban,1672
"42.09693200000003 , -72.48795200000015","42.246685 , -72.38770399999986",urban-urban,1547
"42.808741000000026 , -70.81083700000005","42.85054600000008 , -70.97287499999977",urban-urban,1636
"42.11810699999992 , -73.05076600000014","42.26482400000004 , -73.09695699999996",urban-urban,1646
"42.30777399999996 , -73.0964110000003","42.11249899999994 , -73.05634400000042",urban-urban,1984
"42.326211999999934 , -73.09024500000002","42.15310700000008 , -73.04477400000003",urban-urban,1683
"42.196549 , -73.07366400000006","42.37699900000004 , -73.07751700000004",urban-urban,1828
"41.60719360000007 , -70.90410379999958","41.75068599999997 , -70.89235400000022",urban-urban,1594
"42.522273 , -73.04034100000027","42.66353899999992 , -73.0263350000003",urban-urban,1730
"42.29023299999983 , -73.09389000000036","42.104784 , -73.05488700000002",urban-urban,1835
"42.853338999999984 , -70.97839599999935","42.771438000000124 , -70.80593500000013",urban-urban,1884
"41.95535900000002 , -70.8709200000002","41.831478400000044 , -70.76564409999996",urban-urban,1631
"42.73857300000018 , -70.79203999999994","42.82398749999998 , -70.91969330000029",urban-urban,1693
"42.257060999999936 , -72.12851999999997","42.410977599999896 , -72.17971040000006",urban-urban,1697
"42.365550000000056 , -73.07634900000006","42.18885850000006 , -73.04517209999973",urban-urban,1931
"42.85740099999998 , -70.97383899999959","42.793353 , -70.81141910000025",urban-urban,1593
"42.85216699999975 , -70.9692110000004","42.753496999999925 , -70.80020900000011",urban-urban,2033
"42.50125599999997 , -72.97086100000016","42.64845599999993 , -73.03644199999968",urban-urban,1938
"42.84108999999988 , -70.9802079999999","42.7646859999999 , -70.80460800000031",urban-urban,1941
"41.742745999999904 , -70.5503430000001","41.589502000000046 , -70.56384399999955",urban-urban,1962
"42.21437100000008 , -73.15453900000006","42.35216800000019 , -73.06557400000055",urban-urban,1946
"41.513591999999996 , -70.98382999999995","41.61988879999998 , -70.91452790000005",urban-urban,1640
"42.19451620000015 , -73.0827311000002","42.346743999999994 , -73.10096599999976",urban-urban,1584
"42.84647699999997 , -70.95949399999951","42.781314999999886 , -70.80845500000048",urban-urban,1533
"42.22494899999991 , -73.08690500000021","42.42914600000013 , -73.08133849999997",urban-urban,1977
"42.19945000000002 , -73.04974200000012","42.35887300000024 , -73.05614300000052",urban-urban,1801
"41.93759499999985 , -70.67876800000028","41.81514699999997 , -70.66932999999996",urban-urban,1584
"41.60539000000008 , -70.53204800000005","41.73220800000006 , -70.55454099999976",urban-urban,1975
"41.60919410000008 , -70.9048533","41.75109819999999 , -70.8549816999999",urban-urban,1596
"42.8050369999999 , -70.8159960000004","42.85116500000004 , -71.00345499999987",urban-urban,1729
"42.168589400000016 , -71.97368030000011","42.33256299999996 , -72.06529899999998",urban-urban,1683
"42.08056199999982 , -72.45595800000052","42.250759600000066 , -72.40376069999998",urban-urban,1693
"41.62924800000004 , -70.5460290000001","41.73220800000006 , -70.55454099999976",urban-urban,1545
"42.742814000000195 , -70.79528300000001","42.81964199999988 , -70.92615000000009",urban-urban,1826
"42.62696040000038 , -73.14469629999995","42.4870450000002 , -73.07996029999997",urban-urban,1600
"41.67537680000008 , -71.05423160000008","41.51215500000005 , -70.99845199999999",urban-urban,1985
"42.778845199999715 , -70.84484220000003","42.85433659999989 , -71.00729239999944",urban-urban,1567
"42.747584199999956 , -70.84036089999942","42.84414500000001 , -70.93079599999979",urban-urban,1642
"41.743949999999984 , -70.55112999999973","41.639766699999925 , -70.51805299999998",urban-urban,1595
"42.15353199999992 , -73.04873800000028","42.313530000000085 , -73.09319099999996",urban-urban,1597
"41.60164710000007 , -70.90236169999984","41.75718400000005 , -70.911982",urban-urban,1627
"42.251894999999934 , -73.17556500000005","42.35123000000017 , -73.0458170000005",urban-urban,2030
"41.83815000000001 , -70.77617099999999","41.95999900000006 , -70.87621100000017",urban-urban,1593
"42.38818999999979 , -71.86265900000095","42.51764799999993 , -71.96561900000013",urban-urban,1742
"41.68415499999996 , -70.86615700000041","41.708485999999965 , -71.05664400000002",urban-urban,1571
"42.396981599999854 , -73.10803710000017","42.214604999999956 , -73.07735199999976",urban-urban,1825
"42.34498919999997 , -73.07153389999978","42.17743399999992 , -73.05526500000026",urban-urban,1747
"41.27240860000015 , -70.20678399999957","41.25257920000002 , -70.02978699999994",urban-urban,1594
"42.384047099999705 , -71.05285410000053","42.27597169999982 , -71.12841930000003",urban-urban,1972
"41.61682410000002 , -70.5354948","41.74741299999986 , -70.54492399999965",urban-urban,1783
"41.73136900000026 , -70.5548839999999","41.6207408999999 , -70.55706959999968",urban-urban,1754
"42.274620899999924 , -72.3984325999993","42.125685900000214 , -72.50421289999996",urban-urban,1573
"42.40948000000026 , -73.15410299999989","42.34571600000012 , -72.98396200000029",urban-urban,1729
"42.34154799999996 , -72.07470899999987","42.182810000000174 , -71.95514700000042",urban-urban,1983
"42.17022899999991 , -73.06067100000013","42.33639700000031 , -73.09612299999984",urban-urban,1668
"42.257880799999846 , -73.07688129999995","42.104784 , -73.05488700000002",urban-urban,1593
"41.657142599999894 , -70.53335189999979","41.75450490000006 , -70.54901919999948",urban-urban,1534
"42.63336399999987 , -73.02553700000014","42.49600550000033 , -72.96879850000028",urban-urban,1534
"42.38539799999997 , -73.0912619999997","42.194652999999796 , -73.07197700000009",urban-urban,1823
"42.310558600000114 , -72.26057760000023","42.43348699999989 , -72.12488800000028",urban-urban,1745
"42.54380330000001 , -73.00124110000019","42.68693449999972 , -73.05577100000016",urban-urban,1644
"42.34511600000015 , -72.99786400000018","42.43534400000012 , -73.20742299999976",urban-urban,2020
"41.65236499999993 , -70.58971700000005","41.73366100000022 , -70.52191210000005",urban-urban,1772
"42.11049299999998 , -73.05705300000021","42.27200999999986 , -73.08204400000062",urban-urban,1779
"41.637644000000094 , -70.52964500000041","41.71994480000014 , -70.4491153000003",urban-urban,1742
"42.35530100000022 , -73.05746750000051","42.17655199999993 , -73.05830800000003",urban-urban,1831
"42.23845599999964 , -73.2281220000005","42.22073699999987 , -73.03753100000023",urban-urban,1768
"42.528150000000046 , -72.98328700000009","42.660689999999896 , -73.05150200000031",urban-urban,1611
"42.779311 , -70.80822700000026","42.83974799999972 , -70.94649900000022",urban-urban,1642
"42.21020599999987 , -73.05918199999974","42.34863600000014 , -73.04243700000042",urban-urban,1874
"41.74973399999997 , -70.54416100000007","41.6519380000001 , -70.5223960000004",urban-urban,1922
"42.08141600000027 , -73.2524809999997","42.05184570000008 , -73.4044775000001",urban-urban,1662
"42.81502799999995 , -70.93800100000007","42.75523999999997 , -70.80209300000033",urban-urban,1641
"41.796083999999965 , -70.68082700000004","41.901301999999994 , -70.68593400000003",urban-urban,1966
"42.53525600000017 , -73.28526500000027","42.63077949999958 , -73.18113849999989",urban-urban,1966
"42.28829299999997 , -71.13902099999993","42.38679800000004 , -71.00904219999995",urban-urban,1544
"42.200208999999866 , -73.05002300000037","42.365933000000126 , -73.07588600000007",urban-urban,1953
"42.026091000000164 , -71.68804949999993","42.17115129999995 , -71.64619709999994",urban-urban,1577
"42.61954200000007 , -72.07855599999971","42.449554 , -72.02603400000025",urban-urban,1723
"41.71600500000024 , -71.04263599999996","41.68743100000005 , -70.868058",urban-urban,1568
"41.701790000000116 , -71.07296100000043","41.691820999999955 , -70.87423200000035",urban-urban,1659
"41.843809400000076 , -70.71585899999978","41.69122080000006 , -70.7366405",urban-urban,1607
"41.89991400000014 , -70.68058199999956","41.79074699999994 , -70.73928400000032",urban-urban,1586
"42.34087500000001 , -73.07832999999984","42.16864999999991 , -73.05017299999983",urban-urban,1653
"42.84826710000005 , -70.93045359999978","42.762252000000096 , -70.80476100000017",urban-urban,1624
"42.663664999999895 , -73.02649799999972","42.53434999999979 , -73.02905699999963",urban-urban,1589
"42.28092950000023 , -73.09152370000008","42.121155999999914 , -73.04957200000025",urban-urban,1718
"42.3544525000001 , -73.0612745000004","42.21017800000004 , -73.14079099999998",urban-urban,1808
"42.21003399999985 , -73.12875239999984","42.342345000000016 , -73.06511000000006",urban-urban,1654
"41.608086999999976 , -70.52988299999998","41.73698399999986 , -70.56297299999943",urban-urban,1844
"41.7299630000002 , -71.01801299999987","41.56989100000002 , -71.00380299999988",urban-urban,1561
"41.701790000000116 , -71.07296100000043","41.70225399999997 , -70.89427300000006",urban-urban,1601
"42.32460300000008 , -73.10579099999993","42.15774000000005 , -73.05525300000005",urban-urban,1686
"41.71726100000001 , -70.56359099999996","41.61893599999995 , -70.52669499999944",urban-urban,1551
"41.302637999999945 , -70.07318400000035","41.25461200000005 , -69.96997199999991",urban-urban,1919
"42.26043900000027 , -73.42401699999985","42.37022700000007 , -73.2886820000001",urban-urban,1687
"42.08027099999996 , -73.24116100000019","42.068079500000124 , -73.40287680000017",urban-urban,1607
"42.05815579999979 , -73.40175889999998","42.07273300000005 , -73.24185200000026",urban-urban,1649
"41.81381600000009 , -70.89334299999967","41.693760999999924 , -70.82372199999996",urban-urban,1546
"42.40845399999992 , -73.09033499999981","42.20425200000009 , -73.07933000000003",urban-urban,1912
"42.08138200000009 , -72.51576800000055","42.22152060000006 , -72.3927067000001",urban-urban,1644
"41.66548600000002 , -71.05902999999961","41.536778000000034 , -70.95058280000006",urban-urban,1611
"42.56400199999998 , -73.19474000000005","42.476785 , -73.03869900000026",urban-urban,1753
"42.29928389999996 , -73.07145239999986","42.137499999999996 , -73.053049",urban-urban,1674
"42.427137799999734 , -73.18870200000013","42.32391800000009 , -73.03145600000032",urban-urban,1654
"42.48984899999982 , -71.98375699999944","42.636696000000015 , -72.03952499999961",urban-urban,1761
"42.844450399999985 , -70.95259639999992","42.76908299999997 , -70.80537300000034",urban-urban,1637
"42.190852000000106 , -73.07230400000006","42.337180999999966 , -73.13597799999974",urban-urban,1596
"42.47153099999993 , -73.02755299999966","42.588355000000064 , -73.14995500000003",urban-urban,1677
"42.84801999999969 , -70.9135900000003","42.75099929999993 , -70.7994614000001",urban-urban,1699
"42.188993999999944 , -73.04966299999978","42.32768400000003 , -73.1245799999999",urban-urban,1590
"42.211261000000036 , -73.09279000000016","42.35380400000009 , -73.0479920000005",urban-urban,1642
"42.226692 , -73.09679800000009","42.40758999999981 , -73.09083999999987",urban-urban,1859
"42.09661999999991 , -72.52092999999986","42.250154000000144 , -72.38697400000014",urban-urban,1650
"42.08037109999982 , -72.46086640000058","42.250695099999845 , -72.40934769999994",urban-urban,1646
"42.53043500000009 , -73.25730999999992","42.63449000000025 , -73.1675477000005",urban-urban,2037
"41.90395199999994 , -70.68041100000002","41.787175999999725 , -70.69487799999976",urban-urban,1875
"41.656237900000015 , -70.50685710000032","41.74062899999996 , -70.45950900000014",urban-urban,1826
