origin,destination,area,ttpTravelTime
"43.248100599999944 , -84.50231470000011","43.44018959999993 , -84.54816750000003",urban-urban,1668
"42.89142600000006 , -82.7258740000001","43.219287 , -82.7257941",urban-urban,1988
"43.38962200000002 , -82.92284800000013","43.35065639999998 , -83.40155860000019",urban-urban,2061
"42.22224799999992 , -86.22337099999987","42.47902849999975 , -86.08082140000025",urban-urban,2025
"41.9270249 , -85.86704359999996","41.95895379999998 , -86.17880920000007",urban-urban,1824
"43.54100699999993 , -83.26584500000001","43.486818399999926 , -82.81312319999984",urban-urban,1893
"43.44135299999995 , -82.67224800000031","43.121292999999966 , -82.60084599999998",urban-urban,1775
"41.802732999999805 , -83.82483900000015","41.753995700000026 , -84.18198380000008",urban-urban,1949
"43.77165740000002 , -85.5945411000001","44.05330520000001 , -85.57241409999993",urban-urban,1997
"42.07984500000021 , -85.88478900000007","42.042397000000214 , -85.53848400000017",urban-urban,1967
"43.56424100000012 , -82.69640000000005","43.24927250000005 , -82.75731310000022",urban-urban,1907
"42.20062500000007 , -86.27425599999972","42.45878899999985 , -86.14361500000025",urban-urban,1979
"42.066385999999994 , -86.14065400000004","42.2829917 , -86.28195149999993",urban-urban,1953
"42.01319290000003 , -86.12986670000004","42.029808999999965 , -85.80827399999991",urban-urban,1978
"43.633600300000026 , -83.16997380000004","43.53187400000006 , -82.74420500000035",urban-urban,2041
"43.08725509999997 , -82.59847994999997","43.47312899999998 , -82.58381100000032",urban-urban,1999
"43.327759999999955 , -83.14362400000006","43.34815689999998 , -82.6684042999999",urban-urban,2015
"46.040976699999476 , -85.59556200000006","46.278176899999906 , -85.55131279999993",urban-urban,1922
"43.50031600000025 , -82.64946199999983","43.48546600000002 , -83.15833699999993",urban-urban,1939
"42.14209200000005 , -86.28163920000017","42.38951699999981 , -86.16797900000006",urban-urban,1901
"46.852030999999975 , -88.47874800000037","46.77939499999978 , -88.76279600000022",urban-urban,1780
"41.757805000000005 , -83.9251100000005","41.747736499999775 , -84.27105400000045",urban-urban,1882
"42.077983800000084 , -85.25996489999989","41.818108000000244 , -85.26727200000008",urban-urban,1999
"43.369457400000044 , -83.08794740000005","43.38506889999997 , -82.61868340000035",urban-urban,1858
"43.067704 , -82.49117400000029","43.38407120000005 , -82.64897940000003",urban-urban,1981
"41.86846600000023 , -85.94421800000005","41.882323199999846 , -85.62720859999973",urban-urban,1991
"43.4971820999999 , -83.28869070000025","43.55429300000001 , -82.79039100000033",urban-urban,2060
"42.104165999999886 , -86.14686899999997","42.33111629999992 , -86.26690800000007",urban-urban,1878
"41.74384080000007 , -83.89724579999961","41.752424000000225 , -84.27617100000009",urban-urban,1929
"46.51549100000001 , -88.272382","46.67585399999996 , -88.3126300000001",urban-urban,1943
"46.73200900000018 , -88.35345200000005","46.54187600000007 , -88.32765899999957",urban-urban,2038
"43.388206324999956 , -82.57907072500026","43.356716000000056 , -83.08904600000034",urban-urban,1873
"43.10595309999995 , -82.54018399999991","43.47547990000034 , -82.62148439999976",urban-urban,2044
"43.500192000000226 , -85.02971799999979","43.50956070000005 , -84.58845489999985",urban-urban,2060
"43.61409800000007 , -82.87736900000002","43.61198500000004 , -83.33842899999968",urban-urban,2008
"43.38457199999997 , -82.63386300000035","43.05403490000007 , -82.51201769999987",urban-urban,1981
"46.519826999999864 , -88.26822200000034","46.709635000000205 , -88.36550400000003",urban-urban,1993
"41.914587999999966 , -86.19881899999987","42.14418399999992 , -86.1227330000001",urban-urban,1951
"46.00010539999974 , -87.61702809999898","45.965773999999996 , -87.86997299999985",urban-urban,1738
"43.555544000000005 , -82.74015000000031","43.526259 , -83.28021299999999",urban-urban,1976
"41.81093699999994 , -85.16256949999985","42.07255300000004 , -85.1385000000001",urban-urban,2021
"43.21200998749997 , -82.60676722499969","43.55928799999992 , -82.59081069999986",urban-urban,2002
"46.020576000000055 , -85.64501599999983","46.226627500000156 , -85.71810330000015",urban-urban,1547
"41.92100199999994 , -83.8770640000001","41.845547000000096 , -83.55164279999988",urban-urban,2001
"42.263105999999844 , -86.34975200000025","42.237621999999824 , -86.01410600000027",urban-urban,1946
"43.15331300000018 , -82.54825200000018","43.456505999999976 , -82.65517000000018",urban-urban,1911
"42.351204500000144 , -86.16786279999997","42.59696900000001 , -86.0716279999996",urban-urban,1870
"41.8147339999998 , -84.14393700000011","41.77391224999998 , -83.79858449999998",urban-urban,2026
"41.75351400000014 , -84.22594340000015","41.80823799999983 , -83.88780100000012",urban-urban,2026
"42.02939100000004 , -84.4872799999999","42.01475000000007 , -84.8555680000002",urban-urban,1925
"43.0824521000001 , -82.46931830000011","43.303028299999994 , -82.77095060000023",urban-urban,2052
"41.82472700000015 , -85.443026","41.851452000000116 , -85.76023999999931",urban-urban,2004
"46.421632999999986 , -87.32014299999996","46.414749999999884 , -87.04914900000045",urban-urban,1961
"43.17984999999991 , -83.15129300000002","43.20705199999999 , -82.6557570000001",urban-urban,2022
"41.808640000000175 , -84.2510325000001","41.743535999999864 , -83.92941800000096",urban-urban,1881
"46.25520800000008 , -87.7520879999999","46.23343300000018 , -87.47066399999959",urban-urban,2045
"41.99694174999975 , -84.4967501499996","41.731182999999945 , -84.47791300000014",urban-urban,1961
"41.94761100000008 , -85.87754099999964","41.86792300000005 , -85.56658170000014",urban-urban,1989
"43.34765899999994 , -83.17636200000011","43.403641899999954 , -82.71040449999973",urban-urban,1851
"43.38706497499996 , -82.70920422499974","43.072440100000016 , -82.78603180000003",urban-urban,1928
"43.1294644000001 , -83.11846029999995","43.45607899999994 , -83.19238200000004",urban-urban,1857
"43.355771899999965 , -83.13825890000032","43.441925999999974 , -82.65831900000008",urban-urban,2064
"43.524096800000095 , -82.57707639999994","43.21279359999998 , -82.70567879999976",urban-urban,1999
"43.10305600000007 , -82.57286079999992","43.439149699999994 , -82.5724726000002",urban-urban,1989
"43.992485100000096 , -86.4317121999997","43.98982409999993 , -86.05011189999934",urban-urban,2019
"41.75993800000005 , -85.088375","41.99976700000008 , -85.19055400000019",urban-urban,2070
"46.51673699999985 , -88.20134600000011","46.35882300000001 , -88.22829099999991",urban-urban,1797
"46.84783979999998 , -88.57269829999987","46.68761900000008 , -88.54434200000011",urban-urban,1795
"41.75723209999995 , -83.97764460000006","41.78064999999977 , -84.32070500000029",urban-urban,1870
"43.112072300000044 , -82.62001539999997","43.45339849999998 , -82.73963240000016",urban-urban,2031
"46.14214099999993 , -85.59480200000012","46.34651169999995 , -85.55978000000025",urban-urban,1633
"46.32579769999995 , -88.00697170000011","46.43413700000025 , -88.23199299999989",urban-urban,2040
"45.95486999999986 , -88.15916100000055","46.1236259 , -88.18482989999997",urban-urban,1631
"42.94158500000005 , -82.752468","43.274609400000045 , -82.75926700000049",urban-urban,1814
"43.297654900000026 , -83.11953375000044","43.20627569999994 , -82.6854490000003",urban-urban,2028
"43.25943080000009 , -82.5501646000004","43.34458540000025 , -82.97525919999975",urban-urban,1991
"43.47239699999998 , -82.61578600000033","43.47528479999993 , -83.12504580000007",urban-urban,2040
"46.14539040000005 , -88.59583199999996","46.18574859999997 , -88.82797120000056",urban-urban,1705
"46.24788640000015 , -84.20763819999998","46.35304479999992 , -84.44736139999999",urban-urban,1961
"46.255736000000034 , -88.2495159999998","46.19313600000012 , -88.4681979999999",urban-urban,1652
"42.26627399999986 , -86.15714399999986","42.50837999999993 , -86.23690699999992",urban-urban,1824
"46.0594130000001 , -85.58588830000011","46.264501000000074 , -85.55124649999999",urban-urban,1751
"41.76398999999981 , -84.3998539999998","41.74280399999986 , -84.00930700000097",urban-urban,2022
"46.050091400003474 , -87.30460169999965","46.028581599999995 , -87.00110910000008",urban-urban,1943
"41.76277220000009 , -83.78411859999959","41.761741999999906 , -84.16089700000065",urban-urban,2016
"42.56067399999977 , -86.04464100000017","42.328306999999654 , -86.18706810000036",urban-urban,2032
"41.88289799999996 , -85.43630800000001","41.77994699999998 , -85.73473099999998",urban-urban,1961
"43.125916 , -82.5030800000001","43.38029649999997 , -82.74829789999974",urban-urban,2029
"46.4814650000002 , -88.2761619999996","46.628630000000236 , -88.3646849999999",urban-urban,1671
"41.84649230000008 , -85.93437699999976","42.08023900000003 , -85.85110400000005",urban-urban,1931
"43.14232899999989 , -82.58263800000007","43.46941739999998 , -82.70277390000027",urban-urban,1942
"42.10399800000005 , -85.42627800000022","42.123882099999804 , -85.07146620000029",urban-urban,2061
"46.24658800000008 , -84.20210279999996","46.455608199999915 , -84.31712800000007",urban-urban,2020
"45.982749999999996 , -87.87293599999998","45.99957529999999 , -88.13498119999991",urban-urban,1617
"43.09543259999997 , -82.5416411499998","43.39760090000022 , -82.67832400000064",urban-urban,1909
"43.25595049999997 , -83.01976749999984","43.247538999999946 , -82.54960900000032",urban-urban,2033
"46.12171449999995 , -88.14623249999995","45.94792099999998 , -88.0963590000002",urban-urban,1549
"45.98718080000004 , -84.07298669999992","46.157931700000056 , -84.3008021000001",urban-urban,2036
"43.57793400000001 , -82.96161300000021","43.62546280000002 , -83.41884479999976",urban-urban,1980
"43.49781039999985 , -83.25394440000026","43.56801259999998 , -82.81584160000017",urban-urban,1871
"43.533231999999984 , -82.99407100000026","43.625271899999895 , -83.43229040000011",urban-urban,1965
"46.70287600000011 , -88.40806200000002","46.513584999999885 , -88.27137200000031",urban-urban,1927
"46.25599900000009 , -87.7664419999999","46.18869300000017 , -87.49385399999983",urban-urban,1697
"43.49875680000022 , -82.7935893249998","43.19294090000012 , -82.64503220000007",urban-urban,1964
