origin,destination,area,ttpTravelTime
"47.88237809999988 , -96.48230019999906","47.8912719999999 , -96.91206399999983",urban-urban,1865
"44.3781889999999 , -93.06349200000054","44.11704299999972 , -93.02561699999985",urban-urban,1634
"44.11963399999994 , -94.0213219999998","43.848082000000424 , -94.05054099999948",urban-urban,1745
"48.297080000000065 , -96.63100900000008","48.28589209999997 , -96.02414550000043",urban-urban,2020
"44.688008999999965 , -94.87445700000012","44.5976449999999 , -94.38923099999998",urban-urban,2039
"44.49215090000013 , -94.53797579999997","44.64359760000007 , -94.98474059999955",urban-urban,1963
"48.67032900000008 , -95.66369100000009","48.583576000000015 , -95.18927099999998",urban-urban,2026
"48.237859275000176 , -95.77670840000002","48.30677560000036 , -96.28139249999987",urban-urban,1858
"48.93852299999992 , -96.09508899999942","48.63011900000007 , -96.12247799999982",urban-urban,2054
"44.06488779999994 , -95.1803662","44.42729699999995 , -95.21231900000016",urban-urban,2020
"44.61470082499996 , -94.6977373125001","44.61584140000007 , -94.22888879999981",urban-urban,1962
"48.31696635000027 , -96.87066315","47.96378049999999 , -96.89081940000011",urban-urban,1717
"48.10809699999994 , -96.91008539999972","48.44191590000005 , -96.83479740000011",urban-urban,1819
"44.41288639999997 , -92.73181120000004","44.45129200000006 , -92.35408500000054",urban-urban,1720
"48.30354090000006 , -95.72430670000008","48.26383300000006 , -96.280902",urban-urban,1931
"47.16244000000001 , -92.397677","47.24692200000004 , -92.78933100000016",urban-urban,1910
"43.529133199999826 , -92.64870199999991","43.53499059999991 , -92.99959074999988",urban-urban,1540
"48.64125999999956 , -95.14806599999989","48.51211899999959 , -94.62995499999985",urban-urban,1928
"44.44954100000006 , -95.19513599999974","44.06480299999994 , -95.16027110000002",urban-urban,1819
"48.2671640000001 , -95.68032000000022","48.28558000000006 , -96.21505200000007",urban-urban,1834
"44.622791999999954 , -94.44208299999988","44.61392509999997 , -94.97602919999996",urban-urban,1891
"43.88702332500016 , -95.14037299999998","44.20983199999992 , -95.25227700000006",urban-urban,1749
"48.38353000000005 , -96.24263400000012","48.71736409999989 , -96.25066879999984",urban-urban,1995
"48.23962670000006 , -96.43570580000022","48.20917700000025 , -96.95602499999997",urban-urban,1940
"44.46584600000006 , -95.59425200000008","44.487692099999975 , -96.02679889999997",urban-urban,1760
"44.31166570000007 , -94.76675530000016","44.303720999999975 , -95.24851000000017",urban-urban,1939
"47.706278399999974 , -91.31701120000018","47.467899200000126 , -91.53654659999994",urban-urban,1570
"48.446663200000195 , -96.88151880000034","48.108013799999796 , -96.93343950000025",urban-urban,1850
"48.55312799999998 , -94.89100499999991","48.59794570000022 , -95.40800660000029",urban-urban,1963
"48.384051800000236 , -96.95470629999996","48.02076920000013 , -96.84883359999976",urban-urban,1945
"48.31154100000006 , -96.63122800000019","48.285742500000076 , -96.10758950000024",urban-urban,1958
"48.38392860000008 , -96.88889930000023","48.03552859999999 , -96.84982860000018",urban-urban,1692
"44.493800999999905 , -95.5057800000001","44.44201924999999 , -95.04172050000012",urban-urban,2062
"43.74637699999997 , -95.47029700000088","43.717721050000165 , -95.8908871999999",urban-urban,1881
"44.18010800000004 , -94.91104900000012","43.941721999999956 , -95.21785700000011",urban-urban,2023
"43.84792120000011 , -95.23570890000018","44.22427699999999 , -95.20389100000014",urban-urban,2065
"47.74173999999999 , -91.25688100000013","47.45106779999987 , -91.56340230000032",urban-urban,1799
"48.29135619999997 , -95.98960500000042","48.31173400000007 , -96.51245900000032",urban-urban,1748
"48.151967193749904 , -96.60654034374981","48.135996999999804 , -96.08114399999998",urban-urban,2009
"48.47110349999971 , -95.79645309999994","48.79730999999998 , -95.8113849999994",urban-urban,2053
"48.52195800000025 , -96.08782300000009","48.5147530000001 , -96.58025600000023",urban-urban,1976
"44.5748590000001 , -94.73464699999924","44.58521500000009 , -95.20807799999966",urban-urban,2021
"44.73223200000011 , -96.13456600000022","44.72412069999976 , -95.66546920000022",urban-urban,1736
"48.54089100000002 , -94.66890899999999","48.618830999999915 , -95.12085000000002",urban-urban,1622
"44.62283000000005 , -94.8742259000002","44.69010499999992 , -94.39005599999987",urban-urban,2019
"44.242882999999956 , -95.08192999999983","44.585058000000075 , -95.17767099999965",urban-urban,1863
"44.064934000000235 , -95.24065159999999","44.42745500000008 , -95.2290299999997",urban-urban,2068
"43.97786799999999 , -95.20059200000014","44.32388929999988 , -95.20155459999998",urban-urban,1912
"48.32244342500007 , -95.85194397500025","48.350522000000154 , -96.3911029999998",urban-urban,1984
"47.90280500000005 , -90.31967000000016","48.03536600000004 , -90.01278500000008",urban-urban,2011
"44.03958700000027 , -96.12872599999952","43.739578225000045 , -96.23257874999997",urban-urban,2003
"48.093696000000016 , -96.84646600000015","48.42920160000035 , -96.83483509999988",urban-urban,1855
"47.92761049999992 , -96.84829680000043","48.28203000000004 , -96.87054700000007",urban-urban,1906
"48.27508400000009 , -96.82677399999997","47.93500660000001 , -96.86930550000041",urban-urban,1933
"43.9994678 , -95.8235332999999","43.659456000000105 , -95.81379899999999",urban-urban,2021
"47.86067800000013 , -90.31928200000003","48.01863399999998 , -90.13594200000016",urban-urban,1687
"44.62954718749996 , -94.70333678750008","44.686987662499966 , -95.17264741250011",urban-urban,1793
"44.456218300000224 , -94.69225659999978","44.65773869999996 , -95.07611160000009",urban-urban,1909
"43.92188515000008 , -95.14022224999994","44.31088299999998 , -95.1573150000002",urban-urban,1832
"44.25306400000001 , -95.16894199999997","44.58516000000009 , -95.19236899999967",urban-urban,1720
"48.26618500000011 , -95.8273920000002","48.374973000000075 , -96.34359900000034",urban-urban,1928
"43.942748 , -95.82378299999989","43.615930999999975 , -95.81429800000045",urban-urban,1883
"43.8202219999997 , -95.21640899999963","44.200444750000045 , -95.16923662499971",urban-urban,2007
"48.02543699999996 , -90.0901610000001","47.92747700000003 , -90.40928300000024",urban-urban,1855
"48.31755200000003 , -96.25926699999994","48.29661200000005 , -96.78356800000006",urban-urban,1896
"43.67116250000108 , -95.81358579999976","44.007675000000006 , -95.8234929999999",urban-urban,2056
"46.60237000000001 , -94.92490800000003","46.57982100000008 , -95.462778",urban-urban,1977
"44.148422999999916 , -96.39818700000004","44.10964199999981 , -95.97887500000014",urban-urban,1607
"44.012247000000215 , -93.85861799999975","43.71725279999999 , -93.84267220000012",urban-urban,1807
"43.7223790000001 , -95.3956799999999","43.7821860000001 , -95.79318099999955",urban-urban,1740
"44.49517300000004 , -95.65535900000013","44.17608980000003 , -95.65317430000002",urban-urban,1869
"44.10860350000014 , -95.27254000000005","43.81897719999982 , -95.29540949999982",urban-urban,1844
"44.31574299999991 , -95.32936599999988","44.31152320000009 , -94.82634110000018",urban-urban,1965
"43.514187000000305 , -93.74416599999981","43.50372300000035 , -94.20797299999941",urban-urban,2023
"48.92023399999993 , -96.06212399999941","48.587203900000176 , -96.03730919999948",urban-urban,1993
"44.186561000000054 , -95.08094700000021","44.52878800000009 , -95.14849799999969",urban-urban,1545
"48.55510400000001 , -94.73292","48.58336899999991 , -95.25032600000003",urban-urban,1950
"48.772829000000094 , -96.84447499999983","48.398808700000046 , -96.83461250000015",urban-urban,1973
"48.74653900000011 , -95.86506000000007","48.725775000000326 , -95.4047060000001",urban-urban,2045
"44.41427600000013 , -93.043205","44.138870999999845 , -93.02271799999971",urban-urban,1655
"43.74645819999996 , -95.82681830000094","43.753882899999965 , -95.35563679999946",urban-urban,1983
"48.152122499999926 , -96.52344879999987","48.12761669999992 , -97.0201331999999",urban-urban,2032
"48.39877740000007 , -96.84790640000031","48.03834524999993 , -96.93267062500034",urban-urban,1980
"44.486761699999974 , -95.79661119999997","44.49582099999992 , -95.3500880000006",urban-urban,1759
"43.52881400000015 , -95.81457800000001","43.83375624999999 , -95.8206175000007",urban-urban,1910
"44.311665000000055 , -94.7781120000001","44.31395599999999 , -95.30899999999978",urban-urban,2059
"43.62320200000035 , -94.05215499999967","43.63761260000014 , -94.39783040000013",urban-urban,1842
"48.36999130000003 , -96.87077690000011","48.00708799999999 , -96.89103100000011",urban-urban,1692
"48.15274611249994 , -96.46322785000004","48.122452999999986 , -97.0003489999997",urban-urban,2055
"44.52584199999989 , -94.05820300000005","44.232711400000085 , -94.07978640000003",urban-urban,1993
"48.38477300000007 , -96.43096400000024","48.37503670000024 , -96.95470649999996",urban-urban,2064
"48.57354000000013 , -95.1179470000008","48.54093699999995 , -94.58251799999995",urban-urban,1860
"48.023035999999955 , -90.10135000000012","47.85528800000013 , -90.33658900000009",urban-urban,1806
"44.42722300000007 , -95.13573599999972","44.10830600000014 , -95.20749000000005",urban-urban,1637
"44.71453964999994 , -95.07653645000008","44.57131599999999 , -94.63636800000029",urban-urban,1888
"43.86218259999992 , -95.18066119999992","44.204828999999954 , -95.1893919999997",urban-urban,1710
"47.83510600000015 , -90.35492700000005","48.016922999999956 , -90.21120600000022",urban-urban,1547
"48.46505987500011 , -96.23347542500036","48.804691900000066 , -96.27252590000013",urban-urban,2055
"43.730768999999974 , -93.57764499999985","43.993245999999864 , -93.56172400000011",urban-urban,1679
"46.61240740000002 , -95.476765","46.60137190000014 , -94.94214549999967",urban-urban,1879
"48.386997000000065 , -96.80196700000029","48.7604990000001 , -96.84314599999982",urban-urban,1998
"48.34071260000007 , -96.56555650000011","48.26456339999999 , -96.05046370000039",urban-urban,2068
"48.02368500000002 , -90.0250140000001","47.93184799999999 , -90.30607799999983",urban-urban,1625
"47.891299000000075 , -96.85147999999988","48.23864810000004 , -96.83710100000023",urban-urban,1920
"44.643327499999984 , -95.0493101","44.48651759999994 , -94.59873319999996",urban-urban,2005
"47.973708999999864 , -96.72048100000025","47.977296100000025 , -96.20017850000038",urban-urban,1939
"47.99851000000005 , -90.40022400000011","48.00746399999999 , -90.05992900000007",urban-urban,2015
"48.01645199999998 , -90.07028100000008","47.936659000000034 , -90.42438000000024",urban-urban,1833
"44.5276491 , -94.69169419999994","44.68696829999997 , -95.09679470000012",urban-urban,1854
"47.469816875000056 , -91.53556290000004","47.71262100000003 , -91.28978799999999",urban-urban,1634
"44.53098599999997 , -95.30979799999983","44.20981099999999 , -95.11170599999963",urban-urban,1929
"48.72740961249994 , -95.14901514999967","48.42453580000004 , -94.92369579999995",urban-urban,2042
"47.716723100000046 , -96.05586039999982","47.70232830000013 , -96.60454879999995",urban-urban,2065
"48.881792000000004 , -95.72467899999964","48.56687800000006 , -95.71134600000005",urban-urban,1930
"48.57260399999997 , -96.03422499999994","48.89860400000002 , -96.05107699999961",urban-urban,1962
"48.597794 , -95.51012800000021","48.61228699999998 , -94.9524939999999",urban-urban,1948
"44.41504000000011 , -95.22872099999974","44.093815999999926 , -95.18038199999994",urban-urban,1839
"44.84081239999983 , -95.88874540000013","44.501552000000046 , -95.88714300000008",urban-urban,1889
"48.44192600000009 , -96.82396099999997","48.10813940000009 , -96.84763389999995",urban-urban,1769
"47.85387100000013 , -90.34644700000005","48.02070999999997 , -90.10962200000012",urban-urban,1752
"44.31124399999989 , -94.88988999999965","44.29722199999999 , -95.40641499999946",urban-urban,2066
"48.905167999999925 , -96.8645499999999","48.59084499999996 , -96.8454489999998",urban-urban,1731
"48.80500662499999 , -96.31347800000003","48.80468599999986 , -95.81155799999948",urban-urban,1840
"48.06447079999991 , -96.91893409999975","48.42762200000008 , -96.9762337000001",urban-urban,1946
"48.41338260000007 , -96.81857055000035","48.07164099999991 , -96.9330400000002",urban-urban,1896
"44.68688249999997 , -95.06608540000012","44.58195410000004 , -94.5953497000001",urban-urban,1873
"48.51278981250008 , -96.82392484999997","48.15159850000006 , -96.86870010000011",urban-urban,1847
"48.38420800000003 , -96.75807100000036","48.383821000000054 , -96.22247300000014",urban-urban,2040
"48.325774525000064 , -96.7478781249999","48.25404899999998 , -96.24849600000003",urban-urban,2032
"47.70762000000001 , -91.31443499999999","47.467899200000126 , -91.53654659999994",urban-urban,1590
"48.01984999999997 , -90.07524500000011","47.895981000000084 , -90.31708900000017",urban-urban,1582
"48.58981800000019 , -95.49463299999964","48.57643000000005 , -94.95284299999996",urban-urban,1921
"43.732274499999995 , -95.90421320000019","43.7320465000001 , -95.39530769999992",urban-urban,1939
"44.19527500000023 , -95.20441199999992","44.56334540000005 , -95.11664069999973",urban-urban,2000
"48.735414199999994 , -95.26739714999982","48.550508999999956 , -94.8278769999999",urban-urban,2017
"48.222903000000265 , -95.83336700000008","48.351724300000065 , -96.32745830000039",urban-urban,2029
"48.146095174999985 , -96.89038842500011","48.51441930000016 , -96.80213730000011",urban-urban,1870
"44.48676889999999 , -95.65131769999998","44.48839649999997 , -96.10891000000021",urban-urban,2029
"48.35458510000007 , -96.91336660000026","47.99278109999994 , -96.91255460000022",urban-urban,1776
"48.03967199999989 , -96.88952200000051","48.36973580000002 , -96.75029400000014",urban-urban,1906
"44.52525119999989 , -95.11893819999996","44.137236000000065 , -95.17561100000009",urban-urban,1926
"48.80500662499999 , -96.31347800000003","48.78630400000037 , -95.8210910000001",urban-urban,2034
"48.281880000000115 , -96.91322310000018","48.31257400000004 , -96.39882100000008",urban-urban,1903
