origin,destination,area,ttpTravelTime
"33.789060799999824 , -89.58779589999993","33.67848729999988 , -89.40162850000003",urban-urban,1589
"33.81263299999995 , -90.57339399999994","33.855075000000134 , -90.92876900000013",urban-urban,1934
"33.24201600000002 , -91.00501700000004","33.219506000000095 , -90.63769700000036",urban-urban,1953
"31.157310399999837 , -90.28989270000005","31.407449000000028 , -90.4442542999996",urban-urban,2045
"33.80969700000005 , -90.50758299999985","33.83519699999986 , -90.87119199999972",urban-urban,1977
"31.4842159999999 , -90.51844699999995","31.258699999999937 , -90.32296030000028",urban-urban,1988
"34.524774 , -88.72462699999974","34.752129000000004 , -88.65731299999997",urban-urban,1954
"31.106304999999978 , -90.79588099999998","31.34480100000002 , -90.91438100000022",urban-urban,2045
"33.72174900000018 , -89.17722899999977","33.586622600000005 , -88.87590809999966",urban-urban,2023
"31.33838699999989 , -90.7111629999999","31.091897000000113 , -90.83655499999993",urban-urban,1789
"31.085538999999986 , -90.75607000000007","31.00355699999998 , -91.02861599999991",urban-urban,1954
"31.346916000000064 , -90.72582899999992","31.069814000000083 , -90.8413680000001",urban-urban,1967
"33.44588120000011 , -88.49681070000013","33.31032400000014 , -88.78844000000018",urban-urban,1929
"34.6500361999999 , -88.67375789999986","34.853763999999984 , -88.78041299999987",urban-urban,1898
"34.82424000000018 , -88.79406499999936","34.828747700000115 , -88.52082929999993",urban-urban,1911
"34.74894900000018 , -89.07080699999932","34.97196299999993 , -89.10539799999997",urban-urban,2023
"31.315687425000018 , -90.56009717499973","31.349169000000146 , -90.86509899999999",urban-urban,1897
"31.176475400000065 , -89.1880914000001","31.12104899999981 , -88.90798799999985",urban-urban,2066
"31.21497800000006 , -91.55310000000003","31.023430999999995 , -91.41476700000007",urban-urban,2056
"33.79391899999994 , -90.55613100000002","33.88097199999991 , -90.88506200000018",urban-urban,2043
"33.42134899999993 , -88.44966699999976","33.32409200000019 , -88.7690400000001",urban-urban,2070
"31.13600900000006 , -91.30891799999996","31.36443600000006 , -91.22073799999981",urban-urban,1945
"34.612110900000026 , -88.56726189999968","34.377122000000114 , -88.52490699999971",urban-urban,1939
"33.860803 , -90.7801470000001","33.56558299999994 , -90.86252500000002",urban-urban,1999
"33.737452999999704 , -90.75518729999995","34.014683000000105 , -90.8345079999998",urban-urban,2026
"31.230616999999878 , -90.81145399999997","31.33113369999998 , -90.50995809999998",urban-urban,2027
"33.85608099999987 , -90.95780800000055","33.828900000000026 , -90.60674999999998",urban-urban,2039
"34.63522139999981 , -88.70196550000006","34.41455499999996 , -88.57575799999984",urban-urban,1619
"34.5956779999999 , -89.05287600000024","34.8243905 , -89.17236279999996",urban-urban,2065
"33.6649439999999 , -91.01847200000005","33.6849489999999 , -90.66721099999974",urban-urban,1945
"34.61873599999995 , -88.93930900000007","34.74363500000003 , -89.17140400000031",urban-urban,2028
"31.35211900000001 , -90.6299290000001","31.20961099999988 , -90.88665820000026",urban-urban,1865
"33.800329999999924 , -90.61666500000027","33.864335000000004 , -90.95653800000008",urban-urban,1919
