origin,destination,area,ttpTravelTime
"37.46197299999998 , -91.33591200000005","37.3331954000002 , -91.21563490000004",urban-urban,1902
"36.91196100000017 , -91.12464900000012","36.76050800000004 , -91.07173599999986",urban-urban,1739
"37.62483239999986 , -90.05343160000007","37.77215899999995 , -90.00587500000003",urban-urban,1891
"36.798701000000015 , -91.30032200000004","36.77202599999998 , -91.10786899999991",urban-urban,1842
"36.69881600000012 , -91.07684500000084","36.895682000000015 , -91.10950200000008",urban-urban,2070
"36.65356699999997 , -92.92131399999988","36.69362940000003 , -92.73339090000007",urban-urban,1879
"36.76071300000017 , -91.11975399999987","36.80623399999995 , -91.32857600000018",urban-urban,1799
"40.34940300000018 , -92.9260689999998","40.342465000000075 , -93.09060599999981",urban-urban,1599
"37.54962499999975 , -93.91260600000005","37.69336600000004 , -93.94268399999939",urban-urban,1608
"40.09605899999989 , -95.33372100000044","39.95849100000005 , -95.23750800000012",urban-urban,1561
"37.85376099999988 , -92.1248099999999","37.68571749999998 , -92.18979550000005",urban-urban,1584
"37.156061999999785 , -90.37434800000004","37.03372700000012 , -90.29047900000013",urban-urban,1580
"37.64606700000001 , -90.31302399999991","37.722871999999946 , -90.15513600000025",urban-urban,1793
"36.90033400000006 , -91.06545600000011","36.825858999999674 , -91.26769500000005",urban-urban,1970
"37.88704699999995 , -90.09999599999998","37.935559000000204 , -90.28390199999977",urban-urban,1853
"37.19266230000015 , -89.94199349999982","37.36992959999995 , -89.9416063999995",urban-urban,1843
"37.049212000000075 , -90.24810599999994","37.22370799999987 , -90.20768300000009",urban-urban,2050
"36.06111300000001 , -90.18898699999997","36.210085999999905 , -90.1577275",urban-urban,1553
"39.866778 , -92.82685900000024","39.875466999999745 , -92.99877999999987",urban-urban,1665
"37.14051680000005 , -90.68114310000013","37.01991099999997 , -90.55920900000007",urban-urban,1661
"36.93694100000002 , -91.10898900000024","36.778146000000056 , -91.10565500000013",urban-urban,1955
"40.114904 , -92.1628909999999","40.09373510000009 , -91.9208200000001",urban-urban,1808
"37.14371400000006 , -90.25332900000008","37.01770100000002 , -90.35135999999983",urban-urban,1771
"36.420259 , -90.12793999999973","36.21826499999984 , -90.08719000000033",urban-urban,2008
"36.71319899999996 , -92.78186499999998","36.642173000000035 , -92.97666399999983",urban-urban,1940
"36.59683469999996 , -92.75979420000002","36.73884399999999 , -92.76450020000011",urban-urban,1919
"36.93678900000006 , -93.06629300000014","36.90946400000012 , -92.8649939999997",urban-urban,1820
"36.68651990000009 , -89.69230910000006","36.881073799999925 , -89.70544719999964",urban-urban,1581
"36.921933000000145 , -91.1416130000002","36.72922300000009 , -91.07610400000024",urban-urban,2057
"36.86511500000018 , -90.09672900000041","37.05167900000002 , -90.1429299999997",urban-urban,1903
"36.742004000000044 , -91.05073900000015","36.779617999999886 , -91.22503899999992",urban-urban,1691
"40.05233899999994 , -92.14058400000015","40.21619699999989 , -92.05918499999989",urban-urban,1804
"36.66010109999999 , -92.74078849999954","36.66335799999998 , -92.90599999999995",urban-urban,1772
"37.55414700000031 , -94.11185199999959","37.54913099999975 , -93.84213599999995",urban-urban,1948
"39.52941399999986 , -93.25922300000013","39.709972999999934 , -93.30300199999957",urban-urban,1914
"36.96512300000001 , -90.06405299999986","37.13170899999993 , -90.0415070000002",urban-urban,1610
"39.14436899999995 , -91.27943099999985","39.35208300000001 , -91.31201899999975",urban-urban,1825
"39.2594020000001 , -93.20785199999986","39.27787399999999 , -93.00655399999998",urban-urban,1639
"39.42614910000016 , -94.21036209999974","39.61002999999974 , -94.15980700000016",urban-urban,1695
"37.82056479999997 , -93.82285590000008","37.95997200000023 , -93.86742799999982",urban-urban,1655
"37.24919600000019 , -90.0575109999999","37.1814709999999 , -90.20195499999981",urban-urban,1555
"37.82562699999985 , -90.75012799999963","37.91094500000008 , -90.58327570000009",urban-urban,1888
"36.95423299999989 , -90.01987499999997","37.04707800000005 , -90.18989799999952",urban-urban,1939
"39.75125799999992 , -93.28756599999997","39.55015100000023 , -93.21206699999966",urban-urban,1887
"39.378277 , -92.080594","39.192023000000056 , -92.0775480000002",urban-urban,1535
"39.498687999999845 , -92.09055200000057","39.25904149999971 , -92.08500940000025",urban-urban,1797
"37.73393400000002 , -90.03317500000016","37.612490099999995 , -90.12054860000003",urban-urban,1809
"39.453104699999884 , -92.04083780000033","39.229964999999886 , -92.06649299999957",urban-urban,2044
"36.74739200000005 , -91.04110600000013","36.92236899999997 , -91.13716000000025",urban-urban,1992
"40.513605999999854 , -91.66764400000052","40.465606999999885 , -91.80215799999992",urban-urban,1545
"39.38849399999994 , -91.325102","39.169992999999984 , -91.30122199999995",urban-urban,1653
"39.67820940000024 , -92.2822807999998","39.683635999999986 , -92.52589699999994",urban-urban,1897
"36.79689099999995 , -91.0804750000001","36.95319700000013 , -91.14353400000005",urban-urban,1662
"36.87375599999984 , -90.52385","36.96468199999998 , -90.70266999999996",urban-urban,1812
"39.55175700000026 , -92.27584399999945","39.384532999999955 , -92.26767099999998",urban-urban,1695
"39.43348700000013 , -92.07862799999963","39.227854999999956 , -92.04771099999971",urban-urban,1880
"39.33698599999985 , -92.06914100000012","39.133525999999954 , -92.08016599999954",urban-urban,1821
"36.840261999999925 , -91.99419900000007","36.66161600000014 , -92.04340639999998",urban-urban,1931
"39.08748200000001 , -92.05742100000009","39.29713499999989 , -92.07632599999997",urban-urban,2067
"39.4284189999999 , -92.19035700000038","39.27772069999992 , -92.14080199999994",urban-urban,1530
"36.63530100000004 , -92.69903199999987","36.74554010000003 , -92.81242710000002",urban-urban,1621
"39.67445 , -95.002867","39.56728499999985 , -94.82269200000009",urban-urban,2042
"39.909241700000045 , -92.11261120000007","39.934349300000136 , -91.89610870000013",urban-urban,1688
"39.42848090000013 , -93.37861869999993","39.40035499999989 , -93.12520000000005",urban-urban,1852
"40.33284499999984 , -92.33150199999987","40.16066380000023 , -92.35544980000003",urban-urban,1723
"39.688025000000145 , -92.5700549999998","39.58335599999991 , -92.75337000000002",urban-urban,2048
"39.30124199999998 , -92.09805099999998","39.129328999999785 , -92.05749999999996",urban-urban,1574
"38.7249199999999 , -93.40867100000018","38.666116999999964 , -93.12627299999984",urban-urban,1759
"36.81297874999984 , -90.24165475000025","36.90057029999982 , -90.4350717999997",urban-urban,1897
"36.763183999999924 , -93.17975200000029","36.840635999999954 , -93.02709799999982",urban-urban,2062
"37.44971699999991 , -89.81591190000026","37.597880300000035 , -89.79118270000012",urban-urban,1836
"36.85293599999991 , -91.15700399999982","36.85695100000015 , -91.361919",urban-urban,1830
"39.355214000000174 , -92.05630399999994","39.529997000000144 , -92.0981119999999",urban-urban,1555
"36.80213899999977 , -91.2968350000007","36.88612600000001 , -91.11398899999985",urban-urban,2012
"37.67144300000007 , -90.06975100000045","37.78618280000001 , -89.95560880000035",urban-urban,1708
"37.27369100000009 , -93.92736299999962","37.232021 , -93.76674400000032",urban-urban,1648
"39.56001769999997 , -92.32340979999984","39.371146999999915 , -92.29704099999998",urban-urban,2012
"38.91189700000001 , -91.25990800000004","39.085983999999996 , -91.21194200000006",urban-urban,1572
"37.282089000000084 , -91.141972","37.34778500000012 , -90.95800399999997",urban-urban,2016
