origin,destination,area,ttpTravelTime
"47.5690989999999 , -114.9696310000002","47.563527999999955 , -114.82450400000006",urban-urban,1559
"45.366040800000015 , -104.95732869999995","45.148928000000005 , -104.91954899999999",urban-urban,1901
"48.59536260000023 , -111.50833750000011","48.621981999999925 , -111.16429199999993",urban-urban,2065
"45.66606450000022 , -105.34411449999965","45.422273599999855 , -105.4030181",urban-urban,1752
"48.07815600000002 , -115.14105640000051","48.19986799999984 , -114.99028500000028",urban-urban,1738
"46.540049799999935 , -104.38339030000024","46.38282999999997 , -104.1254900000003",urban-urban,1597
"46.64562599999998 , -104.45253900000057","46.423624999999966 , -104.19625600000033",urban-urban,1812
"46.36843000000004 , -104.15619200000003","46.563712999999915 , -104.37915400000018",urban-urban,1675
"47.95227425 , -108.52729500000008","47.80821100000019 , -108.18488169999995",urban-urban,2011
"45.57283200000012 , -112.88818300000001","45.655932000000156 , -112.61635000000015",urban-urban,1900
"45.28991099999991 , -112.48585299999995","45.15599900000005 , -112.28188799999978",urban-urban,1769
"45.307633000000045 , -113.60180000000007","45.37780099999998 , -113.37875299999999",urban-urban,1583
"45.231460999999875 , -105.59624799999992","45.41731600000003 , -105.40840799999971",urban-urban,2025
"45.67722400000016 , -112.57949200000016","45.59343600000015 , -112.83013000000001",urban-urban,1864
"46.65477000000004 , -104.66981900000005","46.641406999999994 , -104.31262600000034",urban-urban,1889
"48.07421520000002 , -105.89113359999986","48.34929599999971 , -105.89185799999953",urban-urban,1882
"46.73582500000023 , -104.56819299999967","46.56903899999996 , -104.32592300000029",urban-urban,1851
"46.604917899999954 , -104.45291400000028","46.36291199999999 , -104.13538000000047",urban-urban,1916
"47.64045850000025 , -111.95584910000028","47.62521150000005 , -112.31218740000027",urban-urban,1884
"47.78833129999992 , -107.81750129999986","47.81225330000021 , -108.21981889999992",urban-urban,1716
"47.34985299999996 , -111.69140850000004","47.58237800000002 , -111.6880109999999",urban-urban,2004
"48.18565660000001 , -114.93750090000007","48.06734029999992 , -115.11559609999982",urban-urban,1902
"48.25903699999999 , -105.21370300000018","48.49071200000017 , -105.1795099999999",urban-urban,1768
"48.13383670000004 , -114.71085470000008","48.16774499999992 , -114.98878499999995",urban-urban,1879
"48.21223659999994 , -115.00480390000018","48.060536999999975 , -114.79090599999996",urban-urban,1932
"46.77224500000024 , -104.60196499999968","46.51095080000001 , -104.3538647000003",urban-urban,2054
"45.281808000000034 , -105.59194699999995","45.47356840000007 , -105.41106749999962",urban-urban,1970
"46.766783000000245 , -104.5969049999997","46.59798399999994 , -104.37549900000062",urban-urban,1727
"48.01369600000018 , -105.90928999999981","48.237062999999935 , -105.87076899999991",urban-urban,2001
"45.30875400000004 , -113.59833500000006","45.471590000000084 , -113.49370500000022",urban-urban,1863
"48.827333999999965 , -110.35780899999999","48.82732749999991 , -110.79462509999996",urban-urban,2066
"47.47391400000006 , -110.9598040000003","47.22362500000006 , -111.01192199999939",urban-urban,2000
"48.78032399999997 , -110.17934600000022","48.5564683 , -110.33453890000004",urban-urban,2002
"45.64262600000034 , -105.51780699999956","45.4137561 , -105.41959",urban-urban,1830
"46.46807200000012 , -104.28982200000023","46.70157100000021 , -104.51037799999976",urban-urban,1929
"46.740510000000064 , -104.55625699999982","46.56268300000018 , -104.28896999999981",urban-urban,1830
"46.751610000000234 , -104.57261799999968","46.59284699999997 , -104.31262100000035",urban-urban,1970
"46.10402400000012 , -104.60622399999997","46.32466600000019 , -104.50348100000024",urban-urban,1967
"46.5352089999999 , -104.41490670000022","46.40226659999994 , -104.14581120000031",urban-urban,1560
"45.194248000000215 , -105.70807299999986","45.34624875 , -105.48399899999995",urban-urban,2046
"46.13620600000009 , -104.55502300000028","45.901246900000146 , -104.55442460000019",urban-urban,2032
