origin,destination,area,ttpTravelTime
"40.75134169999993 , -96.61947709999995","40.86280140000001 , -96.67885800000012",urban-urban,1803
"40.859170500000054 , -96.62498260000008","40.74187999999998 , -96.691314",urban-urban,1849
"40.74980309999999 , -96.58437580000049","40.824331700000045 , -96.73581210000002",urban-urban,1857
"40.85054100000019 , -96.69892200000005","40.72569260000014 , -96.64069849999983",urban-urban,1863
"40.834737299999766 , -96.66568419999986","40.722715899999976 , -96.62314259999913",urban-urban,1732
"40.73497819999994 , -96.76473070000053","40.81976100000011 , -96.6294790000001",urban-urban,1726
"40.81928070000025 , -96.59368129999996","40.78602670000011 , -96.74117379999994",urban-urban,1717
"40.83065199999994 , -96.59331239999997","40.770998200000065 , -96.7244868000001",urban-urban,1706
"40.80261090000005 , -96.57688340000023","40.78814649999999 , -96.77660150000014",urban-urban,1922
"40.73115640000006 , -96.74783190000058","40.832233999999964 , -96.62855550000052",urban-urban,1949
"40.82176799999999 , -96.6656960000006","40.7096426000002 , -96.58723710000045",urban-urban,1632
"40.82737019999997 , -96.57559829999997","40.81030519999973 , -96.7026226000003",urban-urban,1590
"40.77350150000005 , -96.75966820000015","40.82062510000037 , -96.64768760000082",urban-urban,1585
"40.672925899999974 , -96.6643807999999","40.808017000000014 , -96.66661000000036",urban-urban,1583
"40.7525552999999 , -96.65554309999978","40.84991840000001 , -96.68086329999969",urban-urban,1576
"41.189260500000096 , -96.06524110000014","41.226205200000024 , -96.22230570000005",urban-urban,1569
"40.73473439999984 , -96.80048679999962","40.79114230000007 , -96.6149795",urban-urban,1544
"40.754738300000234 , -96.67293610000048","40.848244899999706 , -96.66215429999964",urban-urban,1542
"40.764087999999845 , -96.6185320000002","40.723076000000155 , -96.83461100000017",urban-urban,1519
"40.8607365 , -96.64283399999982","40.756513000000005 , -96.70848300000003",urban-urban,1516
"41.224633600000026 , -96.20476320000002","41.16173100000001 , -96.06656090000003",urban-urban,1515
"40.7369344000001 , -96.62086159999983","40.824055400000525 , -96.70127009999975",urban-urban,1514
"40.75715949999989 , -96.74659340000012","40.83379060000003 , -96.64584200000003",urban-urban,1501
"40.7467421 , -96.76321590000038","40.87210279999985 , -96.82112050000009",urban-urban,1496
"40.7627827999998 , -96.56525400000055","40.79752750000016 , -96.72173349999993",urban-urban,1494
"40.77741430000002 , -96.84741069999974","40.75199520000003 , -96.63730420000005",urban-urban,1484
"41.298528899999916 , -96.08775360000013","41.263406800000034 , -95.98416110000005",urban-urban,1464
