origin,destination,area,ttpTravelTime
"36.752152000000024 , -115.935876","36.80950999999992 , -116.09203899999994",urban-urban,1710
"41.036141999999884 , -116.12734599999987","40.864571 , -116.23259499999982",urban-urban,1983
"37.32896599999996 , -115.92920199999986","37.563292100000204 , -115.9335818000001",urban-urban,1918
"40.781049700000125 , -115.39851380000016","40.937452999999934 , -115.30287400000027",urban-urban,1727
"41.053830999999704 , -115.5386640000003","41.16186100000022 , -115.73070400000017",urban-urban,1867
"37.482866500001414 , -116.54821940000036","37.69537000000004 , -116.45512469999947",urban-urban,2043
"40.71268620000001 , -118.37427995000003","40.77555639999978 , -118.61309250000028",urban-urban,1741
"40.71292149999988 , -118.45792239999962","40.797202999999946 , -118.708572",urban-urban,2025
"36.89234820000009 , -116.0257160000003","37.06802100000001 , -116.17045299999984",urban-urban,1878
"40.907559999999876 , -116.18189500000011","41.084842999999886 , -116.1075539999998",urban-urban,1741
"38.603413000000096 , -118.83356799999981","38.55606480000003 , -118.59748030000002",urban-urban,1799
"37.7572022999999 , -116.75347510000017","37.53108609999977 , -116.65341499999998",urban-urban,2012
"36.25541479999995 , -115.00876060000027","36.1064090000001 , -115.07071700000043",urban-urban,1774
"40.786076600000044 , -115.39087319999994","40.962267 , -115.28958000000003",urban-urban,1966
"37.07984825000045 , -116.3098544500001","37.03743320000006 , -116.05254529999972",urban-urban,2039
"36.22159400000003 , -115.23813600000034","36.180316500003144 , -115.03966910000017",urban-urban,1731
"39.7200400000001 , -119.5142619999996","39.86547899999998 , -119.68178599999997",urban-urban,1979
"41.04900099999988 , -116.12351099999982","40.85031099999991 , -116.22006700000009",urban-urban,1866
"36.84063499999991 , -116.05710699999997","36.776923199999864 , -116.29772140000031",urban-urban,1830
"38.583196899999884 , -118.71355689999965","38.43084350000003 , -118.52909050000005",urban-urban,1805
"40.74089800000009 , -115.52964299999964","40.80855299999979 , -115.31662799999987",urban-urban,1900
"36.683535400000196 , -114.27819190000007","36.53816630000004 , -114.1686591000001",urban-urban,1644
"36.69356649999993 , -116.16818949999958","36.86088049999992 , -116.00898849999984",urban-urban,2058
"36.12371549999996 , -115.24385150000015","36.15903600000014 , -115.05392379999995",urban-urban,1698
"41.03371299999992 , -115.26488099999989","40.85728610000012 , -115.32302570000016",urban-urban,1579
"41.12327300000025 , -115.6434130000004","41.24812100000025 , -115.77989500000028",urban-urban,1891
"41.08040800000024 , -115.59168700000035","41.19223400000022 , -115.7504650000002",urban-urban,1805
"36.55607850000004 , -114.1905065000001","36.71783170000005 , -114.23565810000032",urban-urban,1797
"38.428570000000015 , -118.5867584000002","38.624008999999965 , -118.74702929999968",urban-urban,1577
"36.71312839999993 , -115.98924049999988","36.93669280000009 , -116.04640369999974",urban-urban,2012
"38.46163100000013 , -118.64111070000006","38.63393050000011 , -118.82069199999978",urban-urban,1800
"41.00654469999964 , -115.23565550000063","40.8088109999998 , -115.35124899999991",urban-urban,2045
"38.60828000000009 , -118.8300469999998","38.51099699999999 , -118.61147500000013",urban-urban,1874
"38.90913939999982 , -119.62001539999942","39.04842330000013 , -119.71340310000033",urban-urban,1610
"36.58472010000015 , -115.62038809999994","36.71669220000015 , -115.45911489999999",urban-urban,1644
"37.50834100000021 , -115.95354820000011","37.26643699999995 , -115.93769199999986",urban-urban,1928
"41.038046999999885 , -116.12630799999985","40.84332799999991 , -116.22379700000005",urban-urban,1835
"37.16756829999985 , -115.93511669999967","37.395005100000056 , -115.91388089999938",urban-urban,1963
"37.27581299999995 , -115.93641499999985","37.522331500000206 , -115.95719600000011",urban-urban,2065
"36.89377910000008 , -116.02668330000027","37.094559400000406 , -116.14528610000013",urban-urban,1972
"40.713100800000014 , -118.35842405000002","40.780313199999775 , -118.62529660000027",urban-urban,1807
"36.54135510000004 , -114.1738352000001","36.6930379000002 , -114.25944870000012",urban-urban,1681
"36.533233300000035 , -114.1641856000001","36.683139600000196 , -114.28005610000007",urban-urban,1610
"37.4620533000014 , -116.56354740000035","37.31674000000136 , -116.77716130000029",urban-urban,2027
