origin,destination,area,ttpTravelTime
"44.516686 , -71.22337699999974","44.564321999999976 , -71.13405900000002",urban-urban,1900
"43.33516809999984 , -71.14798589999994","43.227053199999986 , -70.97023319999975",urban-urban,1662
"42.76756199999998 , -71.73891699999994","42.92940979999978 , -71.8518769000002",urban-urban,1616
"42.78742089999981 , -71.69603959999938","42.95371459999978 , -71.86799560000007",urban-urban,2003
"43.07926409999991 , -71.0961002000002","43.17303549999977 , -71.28432179999989",urban-urban,1940
"42.80775299999996 , -72.4979230000002","42.997977999999975 , -72.45049800000002",urban-urban,1651
"44.99413000000006 , -71.47904799999984","44.94738170000019 , -71.33014149999987",urban-urban,1615
"42.8241400000002 , -72.52122999999955","43.02068199999998 , -72.43292099999967",urban-urban,1681
"42.75096940000038 , -71.73367640000072","42.93269999999999 , -71.83891500000013",urban-urban,1811
"42.95930000000019 , -71.90995300000046","42.796189500000224 , -71.70756500000012",urban-urban,1867
"42.93476199999995 , -71.8250909999997","42.7629159999999 , -71.7187340000004",urban-urban,1876
"42.980388900000015 , -71.92210230000012","42.85490060000011 , -71.71781079999998",urban-urban,1993
"44.652073999999736 , -71.30653700000003","44.52517200000002 , -71.13310200000022",urban-urban,1999
"44.825806999999706 , -71.40302099999994","44.956223099999946 , -71.3078603",urban-urban,1779
"44.67270700000003 , -71.14691900000003","44.76832699999989 , -71.29884099999974",urban-urban,1883
"42.97336990000009 , -71.92447940000015","42.84030320000009 , -71.6959671000002",urban-urban,1724
"44.59507200000002 , -71.40766319999992","44.75230919999979 , -71.43033539999955",urban-urban,1792
"45.0012189999999 , -71.51999439999943","44.921653 , -71.3400740000001",urban-urban,1682
"43.04062100000014 , -72.44337000000024","42.80302479999994 , -72.5053158",urban-urban,1885
"43.40635570000012 , -71.52412970000029","43.53094899999991 , -71.739742",urban-urban,1983
"42.840014999999816 , -72.5297240000001","43.026166 , -72.43295500000023",urban-urban,1767
"43.0575989999999 , -72.43035999999998","42.8616570000002 , -72.50274799999968",urban-urban,1566
"42.83438850000032 , -71.7361647999999","42.969779799999976 , -71.92555579999986",urban-urban,1551
"42.939540999999785 , -71.85795500000023","42.7577829999999 , -71.76485100000012",urban-urban,1731
"44.60090699999994 , -71.412635","44.76094259999979 , -71.4231254999996",urban-urban,1732
"43.220980999999874 , -70.96587099999986","43.33687710000019 , -71.12835920000022",urban-urban,1650
"42.819492199999964 , -71.72610999999951","43.017799100000126 , -71.82196710000004",urban-urban,2000
"43.17139559999991 , -71.27485820000025","43.07428300000001 , -71.08802410000033",urban-urban,1799
"44.77571900000008 , -71.24015899999984","44.658903000000045 , -71.147069",urban-urban,1921
"44.82490699999983 , -71.44910299999997","44.94097000000026 , -71.36410799999997",urban-urban,1770
"44.90802700000004 , -71.34221300000006","45.02729400000013 , -71.42575799999976",urban-urban,1688
"42.99132260000001 , -72.43703139999991","42.81577099999997 , -72.50209500000011",urban-urban,1560
"43.879432000000264 , -71.5688840000002","43.76981840000005 , -71.36322869999996",urban-urban,2062
"42.83156299999987 , -72.53390099999996","43.001472300000096 , -72.43745080000006",urban-urban,1691
"44.37733300000015 , -71.15761600000012","44.547567000000015 , -71.12006199999998",urban-urban,2020
"45.003886999999985 , -71.44639100000003","44.90398930000006 , -71.35506260000028",urban-urban,1615
"44.385683299999954 , -71.63202730000029","44.22633700000007 , -71.74479299999976",urban-urban,1607
"44.8221049999997 , -71.41373599999996","44.95458800000008 , -71.32189499999961",urban-urban,1641
"43.87843199999963 , -71.32642399999959","43.81979899999999 , -71.09420899999998",urban-urban,1910
"44.59855600000014 , -71.43996119999993","44.744515799999796 , -71.43549649999963",urban-urban,1670
"42.93868799999974 , -71.84761000000057","42.762469599999996 , -71.71118829999985",urban-urban,1913
"43.05136400000014 , -71.822289","42.849466799999774 , -71.81711590000003",urban-urban,1887
"44.611170999999935 , -71.426614","44.75673119999979 , -71.42640779999952",urban-urban,1562
"43.52762399999991 , -72.08554100000038","43.73051899999984 , -72.08498400000029",urban-urban,1976
"42.854208600000085 , -71.7569262999998","42.972040000000106 , -71.95620399999974",urban-urban,1563
"44.76086280000001 , -71.4190199999998","44.58985000000025 , -71.42102400000005",urban-urban,1958
"44.56107599999998 , -71.12460000000002","44.389485999999884 , -71.1855420000001",urban-urban,1724
"44.822704999999694 , -71.41899699999995","44.95681599999994 , -71.319066",urban-urban,1755
"43.87073499999966 , -71.29528999999962","43.80104100000023 , -71.0846990000002",urban-urban,1790
"43.04975400000004 , -72.4315389999997","42.86862719999989 , -72.521029",urban-urban,1542
"42.84448180000007 , -71.72174310000061","43.03196070000017 , -71.84534280000048",urban-urban,2058
"44.83468400000003 , -71.44883499999965","44.957681999999934 , -71.31596000000003",urban-urban,1811
"43.023300799999944 , -71.69615119999963","42.86536800000036 , -71.85530799999995",urban-urban,2056
"44.59873199999997 , -71.43175500000001","44.75142699999978 , -71.43159409999961",urban-urban,1666
"42.97565299999995 , -72.46324000000004","42.80261 , -72.51322199999986",urban-urban,1618
"42.96700609999985 , -71.83214789999974","42.78568800000031 , -71.76153800000003",urban-urban,1798
"42.95874999999992 , -71.79670299999978","42.762739000000124 , -71.86606900000025",urban-urban,2057
"45.00075300000005 , -71.47458449999982","44.9041649 , -71.35555829999994",urban-urban,1602
"42.76136699999985 , -71.73596199999966","42.955084799999966 , -71.80857109999963",urban-urban,1914
"42.98525199999996 , -72.45765599999991","42.816633000000074 , -72.53445100000027",urban-urban,1671
"42.97880650000014 , -72.40232079999994","42.80761900000016 , -72.51120600000016",urban-urban,1667
"42.835943100000094 , -71.73784869999997","43.0277466 , -71.84315499999997",urban-urban,1901
"42.94849200000003 , -71.71905709999982","42.762450999999906 , -71.77442399999977",urban-urban,2055
"42.78286500000032 , -71.76477300000003","42.95361119999982 , -71.89499080000029",urban-urban,1820
"45.00099399999988 , -71.4790029999994","44.94864920000019 , -71.32901259999986",urban-urban,1723
"44.62191499999994 , -71.47238400000064","44.762662200000015 , -71.41280489999978",urban-urban,1671
"44.99646000000012 , -71.5216359999996","44.92453599999975 , -71.34770999999984",urban-urban,1656
"44.11376400000002 , -71.96938200000007","44.27660799999996 , -72.02664699999994",urban-urban,1985
"43.02064300000008 , -72.44836800000066","42.84485699999999 , -72.52582500000008",urban-urban,1697
"42.958232200000054 , -72.48237139999995","42.795873000000014 , -72.51367400000036",urban-urban,1716
