origin,destination,area,ttpTravelTime
"40.82360030000006 , -74.79177429999994","40.82123199999993 , -74.49104600000028",urban-urban,2062
"41.03200700000001 , -74.50467799999997","41.174324800000065 , -74.6245710999998",urban-urban,1857
"39.36377500000019 , -74.76418799999998","39.56374900000016 , -74.84921699999963",urban-urban,2054
"40.39326699999982 , -74.00625199999955","40.26533559999993 , -74.24025939999977",urban-urban,1983
"40.738711200000054 , -74.90265640000003","40.890704300000024 , -74.75065759999991",urban-urban,1753
"41.05689369999994 , -74.94820530000008","41.17030600000013 , -74.74804399999995",urban-urban,1752
"40.4158205000001 , -74.07143520000021","40.2123320999998 , -74.29404939999958",urban-urban,1995
"40.824258100000115 , -74.85109059999995","40.82935299999998 , -74.59313319999995",urban-urban,1916
"40.24446060000007 , -74.24784379999953","40.4390099999998 , -74.06125890000028",urban-urban,1779
"40.85074880000009 , -74.79500129999963","40.796473099999815 , -74.52528389999955",urban-urban,2033
"39.40508099999994 , -74.77260399999986","39.56254199999998 , -74.8647770000002",urban-urban,1609
"40.99544100000016 , -74.12524699999928","40.93124630000016 , -73.93451870000011",urban-urban,1990
"39.54035070000007 , -74.25882840000004","39.67313040000002 , -74.15525140000014",urban-urban,1895
"40.20323299999991 , -74.1741429999998","40.42086409999973 , -74.09683910000021",urban-urban,1711
"39.66093000000011 , -74.1788535","39.53385330000007 , -74.26425349999964",urban-urban,1622
"39.69644000000002 , -74.14556199999991","39.557716200000044 , -74.24642319999998",urban-urban,1994
"40.23823479999988 , -74.2504656","40.41185799999993 , -74.06616899999979",urban-urban,1677
"41.0386159999999 , -74.54669200000049","41.19093509999999 , -74.6524931",urban-urban,1885
"41.036857999999896 , -74.54435400000051","41.18825590000001 , -74.65636390000063",urban-urban,1777
"40.88746900000008 , -74.7507860000001","40.71408420000003 , -74.92038959999996",urban-urban,1984
"41.05511500000012 , -74.52521999999982","41.17881750000007 , -74.67466839999992",urban-urban,1871
"40.809585999999996 , -74.535291","40.787777600000034 , -74.83190849999998",urban-urban,2046
"40.784775000000025 , -74.89333299999981","40.82931609999999 , -74.60217180000004",urban-urban,2034
"41.115930000000056 , -74.82696649999986","40.99321509999995 , -74.97250340000012",urban-urban,1688
"40.692362700000025 , -74.90287839999955","40.880579699999956 , -74.7634804000002",urban-urban,2058
"39.68764219999997 , -74.14458319999957","39.533832299999915 , -74.26606419999968",urban-urban,2030
"39.69413560000002 , -74.14002159999984","39.57697079999996 , -74.22579",urban-urban,1729
"40.84393800000012 , -74.77908499999988","40.67078300000004 , -74.93319700000005",urban-urban,1859
"41.270164500000064 , -74.60943359999993","41.121151100000034 , -74.73463530000022",urban-urban,1649
"41.14855979999972 , -74.65847360000005","41.037317999999935 , -74.48244499999996",urban-urban,1845
"39.35155489999995 , -74.44629379999994","39.28724499999995 , -74.57311200000005",urban-urban,1558
"39.56301999999981 , -74.84305799999987","39.38870199999973 , -74.81394500000003",urban-urban,1602
"41.0239737999998 , -74.4881887000002","41.1617487 , -74.62708440000009",urban-urban,1912
"39.97763299999986 , -74.46650199999996","40.05051250000003 , -74.68730659999984",urban-urban,1706
"40.843922299999825 , -74.78245420000017","40.777987999999866 , -74.5135780000009",urban-urban,2035
"41.15646500000003 , -74.76915399999993","41.29253400000001 , -74.63574899999985",urban-urban,1540
"40.951380699999966 , -73.93861709999993","40.93845159999986 , -74.15226260000001",urban-urban,1733
"39.97865999999985 , -74.45159099999994","39.97664490000005 , -74.73091400000014",urban-urban,1837
"40.20889800000003 , -74.17462075000017","40.4240431000002 , -74.06118959999989",urban-urban,1838
"40.208161600000324 , -74.23326000000014","40.41751980000026 , -74.07093899999975",urban-urban,1697
"40.88321510000013 , -74.76753680000034","40.713556399999995 , -74.90732969999996",urban-urban,1847
"40.00223460000008 , -74.6999085000001","39.99627599999988 , -74.422338",urban-urban,1980
"41.00982300000008 , -74.98370899999993","41.121385800000056 , -74.84400389999992",urban-urban,1612
"40.828986000000015 , -74.62205700000001","40.793990300000075 , -74.87881109999951",urban-urban,1974
"40.417562000000125 , -74.07971100000039","40.21524760000033 , -74.25927100000017",urban-urban,1798
"40.21578099999997 , -74.20815600000013","40.43715299999999 , -74.08839400000006",urban-urban,1968
"41.17138590000001 , -74.65867290000031","41.02350000000013 , -74.49154340000078",urban-urban,2049
"40.26380700000006 , -74.23099600000013","40.41055499999999 , -74.023271",urban-urban,1813
"40.21102830000002 , -74.17773480000001","40.43981279999995 , -74.09394280000016",urban-urban,1914
"39.666037499999874 , -74.16945980000045","39.54005420000003 , -74.2627392000005",urban-urban,1625
