origin,destination,area,ttpTravelTime
"33.50009800000017 , -104.12032700000027","33.33223300000013 , -104.15208400000016",urban-urban,1807
"32.75691799999967 , -106.11726799999965","32.42496800000003 , -106.29485799999995",urban-urban,2029
"36.32763100000023 , -107.3395750000006","36.21631379999984 , -107.1591697000006",urban-urban,1999
"36.80946399999991 , -103.52357600000018","36.83198300000018 , -103.32113999999972",urban-urban,1989
"36.72449600000017 , -104.40848800000003","36.67971199999988 , -104.19187299999984",urban-urban,2006
"36.662506000000384 , -105.84117300000007","36.69518000000007 , -106.0582410000008",urban-urban,2035
"33.33564909999988 , -104.53823669999963","33.145286899999974 , -104.74637880000046",urban-urban,1745
"33.18316199999985 , -104.77651699999988","33.30438319999999 , -104.50412550000009",urban-urban,2048
"36.749489 , -103.48958199999988","36.72549900000016 , -103.69876199999975",urban-urban,1866
"36.65384500000007 , -104.09382900000088","36.67891100000004 , -104.32298800000015",urban-urban,2070
"33.899297000000225 , -103.83763399999992","33.83452099999976 , -104.1308539999993",urban-urban,1969
"36.38693600000016 , -104.01230299999972","36.514458999999974 , -104.1862200000001",urban-urban,2028
"32.80907080000007 , -106.12162820000032","32.468314000000035 , -106.332558",urban-urban,1800
"36.17923199999985 , -103.44533499999989","36.31956900000015 , -103.67836600000011",urban-urban,2007
"36.206203999999936 , -107.27876000000018","36.348392000000054 , -107.43417199999979",urban-urban,1866
"32.37954700000006 , -106.14683999999993","32.11898000000007 , -106.19258799999986",urban-urban,1719
"32.78603309999991 , -106.15809949999999","32.40044070000032 , -106.36950390000018",urban-urban,1903
"32.63291399999998 , -106.3433169999998","32.402386100000044 , -106.64910350000011",urban-urban,1861
"32.62178300000002 , -106.20965","32.37672710000003 , -106.46553160000028",urban-urban,1856
"33.67594999999971 , -106.67552400000002","33.50064600000001 , -106.34917600000001",urban-urban,2064
"32.37827681249994 , -106.34301971249988","32.668499399999895 , -106.32852760000016",urban-urban,1748
"32.636719000000014 , -106.33587299999994","32.37744299999988 , -106.52460800000031",urban-urban,1938
"32.34940480000026 , -106.44879359999942","32.626517499999935 , -106.29050025000004",urban-urban,1644
"34.670450599999754 , -106.46558509999973","34.6142988000002 , -106.75493250000014",urban-urban,1699
"33.23659799999985 , -104.52728200000014","32.997618000000124 , -104.67065900000037",urban-urban,1777
"36.53676099999983 , -104.59525099999996","36.48355700000002 , -104.37275399999992",urban-urban,1859
"36.72205300000011 , -103.39479199999994","36.727793375000005 , -103.61180650000001",urban-urban,2058
"32.47484900000005 , -106.4779929999997","32.22588500000009 , -106.37762079999985",urban-urban,1970
"36.717115999999905 , -103.02438100000018","36.75436399999997 , -103.21734999999994",urban-urban,1916
"33.852397 , -104.15696500000001","33.99953400000009 , -103.93382799999969",urban-urban,2028
"36.18128300000009 , -103.39138500000018","36.337159000000135 , -103.50637300000028",urban-urban,1756
"32.11507000000011 , -106.144357","32.36622499999993 , -106.07991100000012",urban-urban,2013
"32.75929139999991 , -106.46461930000027","33.069750499999905 , -106.53464380000028",urban-urban,1909
"32.403412899999815 , -106.53975680000038","32.60308199999969 , -106.284172",urban-urban,1588
"35.84551400000002 , -103.28599999999969","35.659753999999985 , -103.23252500000004",urban-urban,2023
"36.61996680000006 , -104.11643119999984","36.80942599999995 , -104.16679199999962",urban-urban,1953
"32.13084439999997 , -106.4964816999999","32.395893999999934 , -106.41603999999984",urban-urban,1710
"36.31238499999991 , -103.08281600000002","36.33704000000002 , -103.29460700000016",urban-urban,1905
"32.39758109999991 , -106.39757000000029","32.73612279999998 , -106.13933940000007",urban-urban,1919
"33.234048000000236 , -106.45300899999994","32.93310457499998 , -106.51882900625006",urban-urban,2025
"36.17356699999999 , -103.09319500000018","36.174519999999994 , -103.3371160000001",urban-urban,1924
"33.40991500000003 , -106.34979199999987","33.65387099999987 , -106.56594200000039",urban-urban,2067
"33.92618699999998 , -104.0975519999997","33.67100700000011 , -104.16390599999974",urban-urban,2038
"35.336419000000234 , -108.7026060000006","35.32427200000024 , -108.49873199999992",urban-urban,2037
"32.7405677999999 , -106.2005545000001","32.5171397000001 , -106.42783919999981",urban-urban,1779
"32.37626399999999 , -106.37700800000005","32.13342399999982 , -106.51813800000019",urban-urban,1808
