origin,destination,area,ttpTravelTime
"44.83526300000025 , -73.53539300000013","44.83199899999996 , -73.8186300000001",urban-urban,1954
"42.07183499999984 , -79.61502099999962","42.2817095000001 , -79.70870600000003",urban-urban,1989
"44.499664999999965 , -75.18273200000007","44.751158000000075 , -75.16350500000041",urban-urban,2039
"44.74011799999998 , -73.51696600000007","44.838822000000015 , -73.77996600000007",urban-urban,1785
"42.36861800000012 , -79.1925680000001","42.16051299999999 , -79.1859570000001",urban-urban,1899
"44.78971200000012 , -73.99155299999993","44.807577 , -74.3556479999998",urban-urban,2010
"44.47639699999996 , -75.22658799999992","44.60339899999987 , -74.91105500000008",urban-urban,2025
"44.751634 , -73.44506200000005","44.79631999999999 , -73.75556700000001",urban-urban,1870
"42.31315500000017 , -78.42477100000006","42.39953400000009 , -78.71431500000008",urban-urban,1969
"42.308823000000245 , -78.02079199999997","42.565933899999756 , -77.97018529999957",urban-urban,1889
"42.29052000000006 , -79.61543099999994","42.077975999999836 , -79.61736999999962",urban-urban,1773
"43.10868479999995 , -78.10772990000031","43.35266200000006 , -78.15726599999971",urban-urban,2061
"44.76690200000012 , -74.1202659999997","44.544724200000076 , -74.07206510000016",urban-urban,2054
"44.85491299999999 , -74.02837900000009","44.765837999999945 , -74.33238999999985",urban-urban,1960
"42.33249199999996 , -73.69672499999997","42.20016329999989 , -73.50528270000008",urban-urban,1794
"44.59060400000042 , -75.13514300000058","44.85117299999995 , -75.25332900000012",urban-urban,2000
"41.46397999999977 , -74.66342999999989","41.385805999999995 , -74.39631699999998",urban-urban,2009
"44.857447000000015 , -73.78366400000007","44.688550000000006 , -73.565636",urban-urban,1989
"41.61285500000003 , -74.54921399999998","41.8143803 , -74.50986460000004",urban-urban,1826
"42.13082400000011 , -79.57122099999988","42.104483000000144 , -79.30652800000006",urban-urban,1596
"44.713430999999936 , -73.75410600000016","44.78980699999992 , -73.47896699999968",urban-urban,1673
"44.828106999999974 , -74.18351699999991","44.86681499999993 , -74.50391299999998",urban-urban,1708
"42.26091399999997 , -79.20859899999991","42.31172499999992 , -79.51848299999993",urban-urban,1921
"44.84531800000009 , -73.88401100000024","44.73209699999988 , -73.60296599999991",urban-urban,1882
"41.74708399999985 , -74.90062300000001","41.940751000000006 , -74.73962100000004",urban-urban,2044
"42.83576599999993 , -77.20012299999983","42.576534800000005 , -77.23924430000001",urban-urban,2009
"40.850458900000014 , -72.4526753000002","40.9199181999999 , -72.2579589",urban-urban,1838
"44.81962999999994 , -74.17451000000018","44.872337 , -74.49327500000008",urban-urban,1796
"42.07378699999981 , -78.96601400000002","42.309274 , -78.99098100000042",urban-urban,1939
"41.691499999999934 , -74.49063799999948","41.89053800000037 , -74.53350100000002",urban-urban,1865
"44.674126999999636 , -74.77611800000015","44.62545000000003 , -75.14764100000023",urban-urban,2058
"42.30899199999996 , -79.47781399999985","42.29709799999999 , -79.19352400000008",urban-urban,1862
"43.19469180000007 , -78.51551890000009","43.10088599999999 , -78.20559100000003",urban-urban,2028
"44.392288999999955 , -75.72514000000015","44.5927640000002 , -75.48522300000002",urban-urban,1699
"44.57165799999997 , -75.23180900000007","44.57063500000017 , -74.86196900000068",urban-urban,1989
"42.342316000000096 , -73.704722","42.17511049999995 , -73.53143780000029",urban-urban,1855
"42.49180699999976 , -78.2461449999994","42.24483700000016 , -78.25102499999976",urban-urban,1882
"44.89496600000011 , -74.95668799999949","44.75260100000005 , -75.23404600000013",urban-urban,1911
"44.7557760000001 , -74.71273399999994","44.70637300000022 , -74.38508200000014",urban-urban,2070
"44.63964099999992 , -74.53360500000012","44.873576999999976 , -74.64645400000013",urban-urban,1891
"40.781138700000156 , -73.73265299999966","40.67931450000001 , -73.88642290000008",urban-urban,1779
"42.05207299999994 , -79.61510400000023","42.24323519999996 , -79.73674060000008",urban-urban,1990
"44.70750999999995 , -74.53462699999984","44.62182900000001 , -74.89142200000008",urban-urban,2028
"42.492576999999756 , -78.25869499999939","42.24234150000004 , -78.28016549999965",urban-urban,2062
"42.08579799999991 , -77.86393799999979","42.116280000000025 , -77.51082699999981",urban-urban,1996
"42.08968000000013 , -78.97798199999995","42.32084700000001 , -78.91360599999994",urban-urban,2011
"42.01513599999987 , -79.05011899999975","42.19823900000004 , -79.18356200000002",urban-urban,1954
"44.835178000000084 , -73.95406999999996","44.77970299999974 , -73.65144700000012",urban-urban,1884
"40.87155629999988 , -73.19535730000028","40.92617939999994 , -73.37882640000008",urban-urban,1849
"40.85575500000001 , -73.07713599999991","40.96589720000014 , -72.9548972000002",urban-urban,1811
"41.756952000000084 , -74.71544699999988","41.64918600000003 , -74.4554549000003",urban-urban,1946
"44.545127000000015 , -75.18551199999982","44.7943559999999 , -75.14750900000038",urban-urban,1871
"42.24135099999992 , -79.15635200000007","42.30465400000014 , -79.46618999999994",urban-urban,1955
"42.238139000000075 , -79.70623699999997","42.353533500000026 , -79.46191775000004",urban-urban,1994
"44.7981810000002 , -73.70828600000004","44.814666999999915 , -73.40951899999982",urban-urban,1863
"42.31848200000011 , -79.39765900000016","42.22045750000011 , -79.6547199999999",urban-urban,2034
"42.211059000000105 , -73.53123100000008","42.35251700000029 , -73.74718400000003",urban-urban,1868
"42.33708000000001 , -79.4374549999999","42.202686 , -79.66785600000001",urban-urban,1810
"43.110954300000024 , -77.9704869999999","43.115327000000114 , -78.36968899999944",urban-urban,2053
"42.61615799999997 , -77.95536499999989","42.36953050000011 , -77.97526599999989",urban-urban,1892
"44.75525999999994 , -73.50138599999983","44.841653000000015 , -73.78051400000007",urban-urban,1848
"44.65380599999986 , -73.52913999999966","44.788880000000034 , -73.76729500000009",urban-urban,1991
"44.82825899999997 , -73.79804800000007","44.72273700000005 , -73.4775819999999",urban-urban,2050
"42.32851500000001 , -78.91365199999996","42.11321799999993 , -79.03502200000005",urban-urban,1951
"43.122167000000125 , -78.24738999999995","43.190389400000065 , -78.57263510000011",urban-urban,1990
"44.77839299999996 , -73.58482600000019","44.85016899999997 , -73.8705150000001",urban-urban,2053
"42.172022100000056 , -73.5217658000001","42.35399200000001 , -73.65121499999988",urban-urban,1765
"44.85550000000004 , -74.60576999999984","44.76522700000001 , -74.93725300000013",urban-urban,1933
"40.942484100000094 , -72.85693209999978","40.94512100000018 , -73.06788699999933",urban-urban,1934
"42.40235399999993 , -79.45089900000015","42.18079599999987 , -79.39779700000027",urban-urban,1784
"44.62248630000003 , -74.10369079999984","44.80510700000016 , -73.90576199999997",urban-urban,2045
"42.09972829999995 , -79.30409999999995","42.02712699999989 , -79.00863799999972",urban-urban,1912
"44.67608200000019 , -74.9868749999997","44.607982500000006 , -75.3280600000002",urban-urban,2052
"41.473004 , -74.71058800000029","41.436849500000115 , -74.45858040000022",urban-urban,2038
"44.723118200000165 , -74.81536029999985","44.78098100000011 , -74.45399199999991",urban-urban,2021
"42.51229100000009 , -79.20771500000008","42.30714399999985 , -79.10496400000001",urban-urban,1896
"44.53004600000001 , -75.20492399999983","44.78648200000012 , -75.131895",urban-urban,1952
"42.35439800000016 , -79.44814399999993","42.141130999999895 , -79.36004200000009",urban-urban,1749
"44.2806149999999 , -75.49274800000029","44.062894000000014 , -75.72908200000005",urban-urban,1982
"44.67002699999992 , -73.834767","44.685745000000004 , -73.50963699999998",urban-urban,1836
"44.07343499999978 , -76.10547600000027","44.30163499999998 , -75.91092199999999",urban-urban,1996
"41.244362300000084 , -74.4079381999999","41.37565590000003 , -74.21055969999978",urban-urban,1640
"42.30194430000179 , -78.91127250000005","42.087238999999705 , -78.95656400000026",urban-urban,1825
"42.128197899999925 , -77.45528890000011","42.01959600000011 , -77.74673399999963",urban-urban,2030
"44.772844 , -74.44381500000031","44.74813349999997 , -74.79640450000005",urban-urban,2038
"44.70333029999979 , -74.93103980000086","44.475277999999854 , -75.10324900000019",urban-urban,1978
"44.720107000000056 , -74.56170999999993","44.671695999999976 , -74.22720300000003",urban-urban,2020
"42.27167700000005 , -79.22287599999972","42.37071900000011 , -79.49464100000016",urban-urban,1920
"44.84528500000007 , -74.1128039999998","44.71835499999991 , -74.38319000000033",urban-urban,1979
"44.64132100000003 , -74.0829519999998","44.82644100000015 , -73.89925300000002",urban-urban,1967
"42.060771900000034 , -79.12815929999977","42.26092199999998 , -79.2227929999999",urban-urban,1793
"42.30924199999983 , -78.81542800000007","42.33119600000008 , -78.50557200000027",urban-urban,1931
"42.29029299999997 , -79.62538200000054","42.29377300000002 , -79.32814999999981",urban-urban,1892
"40.88938380000004 , -72.79843920000027","40.95884310000008 , -72.9609620999997",urban-urban,1741
"40.81246950000029 , -73.55790590000015","40.882010000000164 , -73.37907999999989",urban-urban,1914
"44.56395299999999 , -75.17105999999997","44.80839949999988 , -75.21562500000005",urban-urban,1951
"44.89031990000113 , -75.12239059999979","44.6390499999999 , -75.07656200000017",urban-urban,2002
"42.37142799999995 , -75.53021199999986","42.52275099999997 , -75.79717100000009",urban-urban,2057
"44.56023999999989 , -73.61910599999985","44.76627299999997 , -73.52791399999998",urban-urban,1889
"44.850557 , -73.83756199999989","44.771982000000065 , -73.54240699999983",urban-urban,2066
"40.87839350000006 , -73.65236089999995","40.835876899999796 , -73.46038889999993",urban-urban,1987
"42.066390999999996 , -79.16305799999988","42.27089000000006 , -79.21500199999974",urban-urban,1687
"44.77538999999983 , -74.61174799999982","44.55554199999994 , -74.43152600000015",urban-urban,2054
"44.8081950000002 , -73.73847900000008","44.619113200000015 , -73.61434640000009",urban-urban,1954
"44.53834599999993 , -74.4013350000001","44.738208000000014 , -74.60140899999945",urban-urban,2070
"42.67177299999992 , -79.0577989999994","42.64860129999999 , -78.74229550000008",urban-urban,1923
"42.36124900000034 , -75.4362189999997","42.42535900000002 , -75.75582900000006",urban-urban,2014
"41.852157999999974 , -74.95886800000002","41.650739000000044 , -74.81418400000032",urban-urban,2031
"41.67981899999987 , -74.95991800000031","41.842129000000064 , -74.77626900000008",urban-urban,1998
"42.073484 , -77.74458799999996","42.29832800000003 , -77.8435810000001",urban-urban,2008
"44.715787999999954 , -74.59112399999991","44.80728299999989 , -74.27297499999975",urban-urban,2005
"43.11775310000063 , -78.45675399999998","43.36667009999997 , -78.52561709999966",urban-urban,2000
"42.438703400000094 , -79.28881820000016","42.27208499999988 , -79.49743500000015",urban-urban,1791
"44.89320999999979 , -74.97178000000095","44.710803999999996 , -75.26885199999953",urban-urban,2063
"43.159901299999994 , -78.31028959999995","43.141362099999874 , -78.63911119999977",urban-urban,1939
"42.28088200000013 , -79.33383399999995","42.302183000000134 , -79.61044200000003",urban-urban,1810
