origin,destination,area,ttpTravelTime
"34.729548200000174 , -77.2866033000004","34.53499380000002 , -77.43803040000022",urban-urban,2062
"36.1143670000002 , -76.7897924999995","36.34343429999999 , -76.92148219999999",urban-urban,1916
"36.38874800000006 , -78.22187400000007","36.11448700000003 , -78.39221199999986",urban-urban,2063
"36.23266840000004 , -77.10772820000011","36.088306700000004 , -76.81454280000092",urban-urban,1870
"35.74973310000013 , -81.48576350000022","35.4988831999999 , -81.39077890000006",urban-urban,1908
"35.50889360000003 , -81.51184369999983","35.61836129999987 , -81.22532120000018",urban-urban,1941
"34.051361500000105 , -78.69161990000046","34.23336700000002 , -78.95125109999977",urban-urban,1980
"36.246583299999955 , -76.82619170000004","36.02836869999996 , -76.98223109999992",urban-urban,1759
"35.62117400000021 , -81.34720399999951","35.367116 , -81.38640299999973",urban-urban,1835
"34.57993860000032 , -77.30270479999966","34.803518500001 , -77.47887989999982",urban-urban,1959
"35.69788880000009 , -81.4451861999999","35.42523639999999 , -81.33031629999967",urban-urban,1987
"35.597798499999996 , -76.9103289","35.70591599999997 , -77.2252260000002",urban-urban,2058
"35.30032229999983 , -81.83170989999985","35.183463999999944 , -81.58412900000013",urban-urban,1930
"36.36842600000007 , -77.20656400000003","36.38871499999993 , -77.53682199999997",urban-urban,1886
"35.359712999999914 , -77.51832600000004","35.22598559999997 , -77.85748659999979",urban-urban,2067
"35.48862120000003 , -81.69538539999958","35.2425521999999 , -81.69256069999987",urban-urban,1822
"34.82915629999996 , -77.41406959999979","34.641536300000354 , -77.1890203999998",urban-urban,2011
"35.423916100000156 , -76.61724149999979","35.59215900000017 , -76.87288689999981",urban-urban,1893
"34.08374300000011 , -78.66880900000007","34.35067930000017 , -78.79572769999977",urban-urban,1917
"35.42677600000014 , -80.32364399999939","35.176987199999985 , -80.51617720000003",urban-urban,2066
"35.43712500000015 , -76.59521099999985","35.59140059999997 , -76.83859349999989",urban-urban,1762
"35.60466270000001 , -76.80117290000035","35.402423199999866 , -76.59635799999965",urban-urban,1901
"34.073976000000044 , -78.76970860000004","34.30962309999998 , -78.96243809999993",urban-urban,1949
