origin,destination,area,ttpTravelTime
"46.73259599999993 , -98.17046949999991","46.7035679999998 , -98.47188100000022",urban-urban,2034
"48.24033099999995 , -102.11666400000028","48.240387000000204 , -102.47557999999987",urban-urban,1818
"45.941773000000154 , -97.8002219999995","46.18219099999983 , -97.70536100000002",urban-urban,2041
"46.24259800000004 , -97.73680100000003","45.950054000000044 , -97.73257399999984",urban-urban,1952
"46.711095999999785 , -98.45997200000046","46.66017100000009 , -98.18645799999969",urban-urban,1624
"48.619171999999836 , -103.75494199999967","48.44974400000042 , -103.9283910000002",urban-urban,1925
"46.761492000000295 , -98.53712999999945","46.73270799999983 , -98.20200399999987",urban-urban,1842
"46.754543999999974 , -98.45852599999968","46.81062899999999 , -98.1443365",urban-urban,1957
"48.79283300000001 , -103.21218899999997","48.850947999999924 , -103.55131800000012",urban-urban,1998
"48.80738899999998 , -103.27106299999973","48.851002000000044 , -103.60143999999988",urban-urban,1855
"48.80739100000009 , -103.13765599999999","48.85091299999991 , -103.47618200000014",urban-urban,1764
"48.92337399999998 , -102.92643700000002","48.93132300000006 , -102.56800600000003",urban-urban,1973
"46.68918400000009 , -98.22848100000016","46.83417300000006 , -98.44861100000017",urban-urban,2066
"46.68904199999988 , -98.48614999999961","46.81968399999982 , -98.23846699999977",urban-urban,2002
"46.13765 , -97.73732899999997","45.96460800000011 , -97.82077799999998",urban-urban,1546
"48.95224199999991 , -102.58451400000067","48.93766399999993 , -102.26583900000006",urban-urban,1539
"48.69031299999995 , -103.88512200000005","48.50346300000009 , -104.026267",urban-urban,1933
"48.821930999999914 , -103.51391700000015","48.81514299999992 , -103.18069699999977",urban-urban,1756
"48.50329800000005 , -103.68950999999959","48.561366000000106 , -104.03722899999995",urban-urban,2068
"48.763871999999964 , -102.5440389999997","48.77037499999997 , -102.17421900000011",urban-urban,1677
"46.68911100000009 , -98.17356200000015","46.71804899999999 , -98.46182300000008",urban-urban,1737
"48.63378000000027 , -103.62418000000045","48.575901000000385 , -103.92805300000018",urban-urban,1840
"46.20283500000003 , -97.73684300000002","45.942867000000334 , -97.71713200000003",urban-urban,1799
"46.70359199999999 , -98.40417300000004","46.67446700000004 , -98.12385700000014",urban-urban,1910
"46.81977699999982 , -98.26073799999978","46.84086700000006 , -98.54472999999994",urban-urban,1794
"46.77641200000017 , -98.25442000000061","46.695444999999765 , -98.54467800000036",urban-urban,1947
"48.24034299999993 , -102.54721500000034","48.254821999999855 , -102.1731880000002",urban-urban,1795
"48.50540999999986 , -104.03719099999965","48.54678200000023 , -103.68946600000042",urban-urban,1827
"46.73236599999984 , -98.54469300000017","46.68918400000009 , -98.26459100000015",urban-urban,1824
"48.807318999999985 , -103.18584199999974","48.82429800000009 , -103.5309320000004",urban-urban,1775
"46.76187000000002 , -98.31550699999995","46.79370899999991 , -98.00602699999983",urban-urban,1608
"48.81686800000008 , -103.37767299999965","48.85119999999997 , -103.69503500000008",urban-urban,1799
"48.89454500000014 , -103.63375599999979","48.80743599999998 , -103.37048399999975",urban-urban,1716
"48.943628999999945 , -102.48053299999985","48.923407 , -102.86777900000006",urban-urban,1957
"46.593991000000386 , -97.01184900000001","46.82860460000019 , -96.92319540000011",urban-urban,2047
"46.74692100000006 , -98.54237200000038","46.66018100000013 , -98.2437599999999",urban-urban,1944
"48.77828999999997 , -102.1741890000001","48.780378999999655 , -102.60528400000011",urban-urban,2046
"46.18219099999984 , -97.69278800000004","45.95006600000004 , -97.76603899999984",urban-urban,1948
"48.90869099999998 , -102.54834699999986","48.92338600000006 , -102.93937900000007",urban-urban,1927
"46.84862200000026 , -98.43378400000073","46.761662000000065 , -98.1778059999999",urban-urban,1742
"46.6889810000001 , -98.11405800000016","46.67457800000023 , -98.4813529999998",urban-urban,2043
"46.660209000000116 , -98.30215299999989","46.7648689999998 , -98.54469400000029",urban-urban,1787
"46.703415 , -98.07835900000008","46.6891350000001 , -98.37580700000017",urban-urban,1786
"48.78503399999997 , -103.11491000000022","48.836387999999666 , -103.4158539999997",urban-urban,1770
"48.561281999999935 , -103.90695099999945","48.64832800000003 , -103.60238299999988",urban-urban,1927
"48.45990199999978 , -103.87984700000004","48.56132539999994 , -103.59144299999957",urban-urban,2035
"46.70326499999995 , -98.05514200000022","46.694887000000094 , -98.35462925000004",urban-urban,1764
"46.67452100000003 , -98.13974900000012","46.7035579999998 , -98.48522100000022",urban-urban,2044
"48.74828899999995 , -103.11497600000025","48.981242000000044 , -103.09882199999994",urban-urban,1767
"46.8480620000001 , -96.93143229999994","46.72381900000007 , -97.07340119999995",urban-urban,1535
"46.74731600000006 , -98.40007400000103","46.790443999999894 , -98.0913139999999",urban-urban,1637
"46.761662000000065 , -98.1778059999999","46.834175000000066 , -98.47183700000015",urban-urban,2008
"48.75890999999997 , -102.60236700000016","48.77592500000001 , -102.25928399999997",urban-urban,2000
"46.72339899999999 , -98.14485399999995","46.66010199999992 , -98.45381499999984",urban-urban,1769
"48.242062499999975 , -102.17461120000004","48.2679320000002 , -102.5415050000001",urban-urban,1794
"46.65999700000014 , -98.52479000000007","46.70340499999981 , -98.89448100000023",urban-urban,2017
"46.911659999999685 , -100.80880499999981","46.717167099999955 , -100.78938080000029",urban-urban,1925
"46.18223599999985 , -97.72879900000005","45.968205000000125 , -97.71692099999976",urban-urban,1544
"46.71807900000008 , -98.16592699999974","46.75449199999999 , -98.46954899999979",urban-urban,1927
"45.98117400000019 , -97.73760749999967","46.216007000000026 , -97.73693500000002",urban-urban,1741
"46.68011299999995 , -98.27034799999981","46.67440299999976 , -98.62995300000038",urban-urban,1880
"48.763949999999944 , -102.66471599999973","48.76380489999995 , -102.31007119999967",urban-urban,2002
"46.68777100000015 , -98.3969239999997","46.67449800000004 , -98.1163990000001",urban-urban,1642
"48.83641400000015 , -103.46502399999957","48.80737699999972 , -103.14768799999973",urban-urban,1608
"48.82582800000002 , -102.50261599999992","48.923413 , -102.81540500000001",urban-urban,2052
"46.84915300000033 , -98.32253599999976","46.660185000000126 , -98.23220299999991",urban-urban,1704
"46.776323999999875 , -98.24456999999984","46.70352400000016 , -98.5094700000005",urban-urban,1619
"48.61919800000011 , -103.73311599999973","48.50345900000006 , -104.00144899999954",urban-urban,1996
"46.645502999999785 , -98.52337200000017","46.834226000000065 , -98.46040700000016",urban-urban,1557
"48.36663100000024 , -102.69885199999946","48.12494699999982 , -102.65881200000005",urban-urban,1943
"48.270176000000085 , -102.56915900000016","48.225986000000006 , -102.20276300000013",urban-urban,1911
"48.363598999999766 , -102.67476","48.11097070000002 , -102.67920760000003",urban-urban,2065
"48.49398699999996 , -103.99362700000015","48.57498299999989 , -103.6933749999998",urban-urban,1907
"46.68917300000009 , -98.21755600000016","46.703529000000024 , -98.49779200000023",urban-urban,1550
"46.6741349999998 , -98.58262900000038","46.660177000000125 , -98.2804969999999",urban-urban,1682
"48.662687999999925 , -103.5035269999998","48.61908700000005 , -103.80871299999986",urban-urban,1657
"48.79935299999996 , -103.11490000000028","48.85091999999992 , -103.51307300000008",urban-urban,2031
"46.7693500000001 , -98.43918500000008","46.811801000000045 , -98.14778499999987",urban-urban,1699
"46.67014399999975 , -98.54458200000035","46.6890460000001 , -98.15659200000015",urban-urban,2016
"48.60471599999999 , -103.71125500000016","48.50343400000008 , -103.97402999999953",urban-urban,1835
"46.668965000000235 , -98.48132599999978","46.81973199999982 , -98.24909899999977",urban-urban,2007
"48.54676399999995 , -103.72108600000007","48.57070649999998 , -104.03178569999996",urban-urban,1883
"48.49641999999995 , -103.90693999999948","48.69864149999995 , -103.88513450000006",urban-urban,1565
"48.95142199999987 , -103.47906799999994","48.98126299999998 , -103.12534099999976",urban-urban,1726
"46.71143399999976 , -98.54472900000034","46.64565999999993 , -98.19691800000008",urban-urban,2063
"48.80742099999998 , -103.34308899999974","48.85222799999995 , -103.64745700000012",urban-urban,1561
"48.63351799999986 , -103.88510699999976","48.47451999999983 , -104.01543399999973",urban-urban,1598
"48.54684499999995 , -104.00458199999983","48.53787699999995 , -103.71129300000018",urban-urban,1880
"46.79010139999997 , -96.9355046","46.60126800000039 , -97.011943",urban-urban,1554
"48.24209770000005 , -102.22545419999945","48.26933100000004 , -102.58364849999947",urban-urban,1915
"48.45990500000015 , -103.86343100000012","48.56128600000012 , -103.61932200000018",urban-urban,1774
"48.70613199999995 , -103.88512900000006","48.50341300000007 , -103.96212499999953",urban-urban,1648
