origin,destination,area,ttpTravelTime
"40.426296000000114 , -81.85033000000027","40.64935599999985 , -81.84181899999966",urban-urban,1681
"40.9470499999995 , -84.18786500000003","41.033664000000044 , -84.5737130000002",urban-urban,1999
"41.35048699999996 , -80.5868370000003","41.63252440000028 , -80.62431349999981",urban-urban,1961
"40.003513000000005 , -84.67474399999999","40.24530825000001 , -84.78496599999997",urban-urban,1957
"41.08639000000002 , -82.28663799999991","41.388290000000126 , -82.25283000000027",urban-urban,1899
"41.17942399999987 , -84.60235199999994","40.90290700000006 , -84.5177149999991",urban-urban,2000
"41.519220600000146 , -83.34147769999977","41.217886600000035 , -83.40376840000017",urban-urban,2022
"41.65994619999994 , -81.32059820000016","41.415296500000025 , -81.28975420000089",urban-urban,1939
"41.267815299999874 , -81.19362609999982","41.42156799999995 , -80.93145300000026",urban-urban,1988
"40.45333055000011 , -84.54228635000003","40.18493399999996 , -84.39447300000025",urban-urban,2032
"39.91838899999995 , -81.2057340000001","40.10774699999997 , -81.00371399999995",urban-urban,1897
"41.00411299999998 , -84.77508000000006","40.96140100000011 , -84.36098900000006",urban-urban,2027
"40.99038400000003 , -84.70734500000017","41.06708700000009 , -84.33220700000021",urban-urban,2047
"41.07788199999998 , -84.36871799999992","41.046305999999845 , -83.93976900000001",urban-urban,2028
"41.0770439 , -84.6384719","41.03957899999985 , -84.22952099999992",urban-urban,2054
"38.718603999999985 , -82.59160499999976","38.878710099999886 , -82.37901529999968",urban-urban,1973
"41.240429999999996 , -84.2712130000003","41.17929899999991 , -84.67027999999999",urban-urban,1967
"41.547805400000044 , -81.08989280000014","41.588861000000016 , -80.74745699999946",urban-urban,1845
"40.995611399999895 , -81.03709890000016","41.0481725 , -80.70093879999996",urban-urban,1962
"41.03329999999985 , -84.64007499999991","41.334104800000134 , -84.57263320000014",urban-urban,2063
"41.455855000000064 , -83.33708799999982","41.430324400000046 , -83.73459509999991",urban-urban,1812
"39.132496699999976 , -82.98630119999974","39.18428800000001 , -83.30803900000024",urban-urban,1978
"41.332467200000124 , -80.59425960000002","41.56461399999997 , -80.64259999999997",urban-urban,1585
"41.13530770000001 , -84.62986100000006","41.13678900000004 , -84.21148900000024",urban-urban,1981
"41.59670500000002 , -80.6440470000007","41.31105079999995 , -80.58146859999985",urban-urban,1924
"38.57568600000017 , -82.31190599999995","38.680149000000036 , -82.54431600000011",urban-urban,1884
"41.5100913 , -80.79087474999969","41.739549900000064 , -80.79835050000007",urban-urban,1540
"38.6966140000001 , -82.29532199999944","38.7661730000001 , -82.58680800000008",urban-urban,2043
"38.89823099999987 , -82.70446999999987","38.97185600000025 , -82.41180000000058",urban-urban,2007
"38.58470300000027 , -82.29751699999998","38.585052000000076 , -82.56646999999998",urban-urban,1992
"41.546027699999954 , -80.52656970000059","41.59269899999975 , -80.88489800000023",urban-urban,1959
"41.076994099999894 , -84.5769323999996","41.07891100000006 , -84.15987399999977",urban-urban,1997
"41.33143219999992 , -80.58770140000061","41.57115700000007 , -80.63271599999993",urban-urban,1683
"41.04784800000002 , -84.65204160000012","41.03975199999985 , -84.23663799999991",urban-urban,1969
"39.382356000000236 , -81.9655539999998","39.638521 , -81.92726700000007",urban-urban,1961
"41.139354999999895 , -84.74646900000005","40.82971420000012 , -84.77581909999972",urban-urban,2010
"40.958094999999744 , -82.88238799999954","41.26295869999996 , -82.8980135999999",urban-urban,1890
"38.86254399999978 , -82.40445799999989","38.95294890000013 , -82.7046053000001",urban-urban,2002
"41.13280000000001 , -84.17973800000016","41.141657999999744 , -84.59297899999977",urban-urban,2007
"41.22910799999999 , -84.7757899999996","40.96094899999996 , -84.75011699999982",urban-urban,1794
"41.487919 , -80.62481200000008","41.71083540000017 , -80.64590569999987",urban-urban,1622
"40.924763999999996 , -84.45336400000001","41.20089700000008 , -84.53423500000021",urban-urban,2041
"38.98653500000013 , -82.76857900000029","38.89597299999976 , -82.48662799999985",urban-urban,1857
"41.06736000000011 , -84.24664600000011","41.05693899999988 , -84.65009199999996",urban-urban,2029
"41.09222359999996 , -82.90016730000055","41.394974999999995 , -82.96351599999996",urban-urban,2028
"41.48699499999999 , -83.35983500000003","41.45214880000028 , -83.74687950000012",urban-urban,1849
"41.20798299999996 , -84.80284399999964","40.946040299999986 , -84.75531980000038",urban-urban,1933
"40.00555399999982 , -81.10217499999976","39.781630999999905 , -81.00767500000028",urban-urban,2060
"40.88410699999999 , -84.48567100000001","41.18784879999994 , -84.53413630000026",urban-urban,1997
"41.549632199999955 , -80.88827040000007","41.59246739999979 , -80.59525869999987",urban-urban,1556
"41.18320399999998 , -80.58926699999992","41.45287700000006 , -80.6468179999999",urban-urban,1950
"41.121141700000244 , -84.69801939999972","41.13884900000015 , -84.30540599999968",urban-urban,1988
"39.923898999999984 , -84.64954900000035","40.178525000000114 , -84.73617400000069",urban-urban,1836
"40.03698499999988 , -84.68432600000034","40.29437299999997 , -84.75196200000049",urban-urban,1832
"39.79798899999992 , -81.39374699999965","39.58789100000006 , -81.5637309999999",urban-urban,2049
"41.01336300000007 , -81.04950100000046","40.96183089999975 , -80.68852309999997",urban-urban,1858
"40.13594750000002 , -84.78212100000017","39.857714999999814 , -84.71754400000019",urban-urban,1994
"40.123368799999994 , -84.44148119999983","40.41522900000008 , -84.52449999999995",urban-urban,1960
"41.367562500000055 , -80.6139789000001","41.62369910000004 , -80.6459808999999",urban-urban,1752
"41.41634599999997 , -80.87895129999991","41.65079500000005 , -80.81922599999947",urban-urban,1836
"41.01788400000011 , -80.60732689999996","40.78639399999988 , -80.60275199999985",urban-urban,1827
"41.07012100000004 , -84.68803699999977","41.02884500000018 , -84.31328099999968",urban-urban,1971
"41.320364899999944 , -80.6368108000004","41.591440000000084 , -80.62427400000043",urban-urban,1807
"40.80092100000022 , -84.76100699999921","41.08182599999992 , -84.72552199999977",urban-urban,1888
"41.59141799999999 , -80.64815100000004","41.3419026000001 , -80.63737380000026",urban-urban,1608
"40.16639000000002 , -84.51779400000001","40.45156692500006 , -84.48612282500054",urban-urban,1848
"38.555574000000064 , -82.39776599999989","38.75791899999998 , -82.27345599999944",urban-urban,2007
"38.885869000000284 , -82.48502400000027","38.68872300000029 , -82.33391500000064",urban-urban,1930
"38.65898099999964 , -82.32110799999982","38.87087099999985 , -82.47295599999981",urban-urban,2056
"41.39923869999993 , -83.36997700000033","41.44494949999995 , -83.77064159999999",urban-urban,1940
"39.80249379999993 , -81.01408330000004","40.038648000000094 , -81.0772380000006",urban-urban,2015
"40.92483900000004 , -84.45710999999952","41.19908099999984 , -84.55347300000003",urban-urban,2002
"38.74787399999999 , -82.33411700000019","38.92718700000005 , -82.53087300000031",urban-urban,2060
"38.994224999999915 , -82.2074109999994","39.04575199999978 , -82.52551799999995",urban-urban,1944
"41.28723299999987 , -84.63551899999982","40.98968939999984 , -84.61130290000028",urban-urban,2045
"40.0772380000003 , -84.70072700000009","39.799449200000204 , -84.70923929999955",urban-urban,1892
"41.1869505999999 , -84.68870830000013","41.12171400000011 , -84.32454500000021",urban-urban,1872
"41.59248380000002 , -80.59156789999973","41.375526399999885 , -80.65173929999987",urban-urban,1632
"41.636451000000086 , -80.59115299999995","41.6688880000001 , -81.01058599999986",urban-urban,2000
"40.25778309999988 , -80.92636830000005","40.013054999999945 , -80.87658200000023",urban-urban,2070
"40.97803000000019 , -84.78416299999971","40.96769499999979 , -84.39954999999986",urban-urban,1820
"40.039645 , -80.96783399999984","39.883943999999914 , -81.21342499999929",urban-urban,2037
"38.7362069999999 , -82.32489199999972","38.92878000000002 , -82.51058499999978",urban-urban,2059
"41.222589299999996 , -84.785067","40.95117399999977 , -84.76500799999991",urban-urban,1899
"38.97883700000042 , -82.820466999999","38.92676500000002 , -82.50927499999979",urban-urban,1959
"40.88837849999984 , -84.38869790000017","41.18697000000001 , -84.34157700000004",urban-urban,2004
"39.89484499999992 , -81.31067299999968","39.678264999999925 , -81.47446199999942",urban-urban,2059
"39.09569099999988 , -83.83945399999945","39.10049610000005 , -83.52945569999997",urban-urban,1878
"40.27064900000009 , -84.44304200000052","40.1795861999999 , -84.79466550000001",urban-urban,2016
"41.78206399999979 , -80.53078300000006","41.79463299999973 , -80.8737040000003",urban-urban,1840
"41.0709890000001 , -84.30130099999992","41.022697099999874 , -84.68803779999968",urban-urban,2024
"41.57794390000031 , -80.95273800000014","41.571182699999774 , -80.64057749999994",urban-urban,1671
"41.13957699999981 , -84.23759799999952","41.11670300000011 , -83.82761199999996",urban-urban,2006
"41.1213481 , -84.7942497","41.074024999999935 , -84.4129419999999",urban-urban,1901
"41.29675100000003 , -83.35897299999957","41.59304830000008 , -83.43660100000004",urban-urban,1966
"38.96936899999996 , -82.55686199999951","38.782661000000004 , -82.38090899999989",urban-urban,1941
"41.44727200000002 , -83.24864299999959","41.45876699999963 , -83.67463299999989",urban-urban,1996
"38.642037999999935 , -82.19811799999967","38.60480399999985 , -82.47135800000046",urban-urban,2020
"38.964250000000206 , -82.69739000000006","38.88699599999995 , -82.41088399999981",urban-urban,1811
"40.05586299999999 , -84.70368800000033","39.75823900000017 , -84.70368100000046",urban-urban,2020
"40.12884600000004 , -84.796301","40.135089400000055 , -84.4274136000002",urban-urban,1881
"41.07956500000012 , -84.0298080000003","41.118158999999785 , -84.45978399999991",urban-urban,2061
"39.89452849999992 , -84.71422150000026","40.17859960000017 , -84.75099189999953",urban-urban,2056
"38.72548199999989 , -82.35029899999996","38.92964040000002 , -82.51401749999978",urban-urban,1975
"41.591094200000086 , -80.69386869999971","41.548578300000045 , -81.0815992999998",urban-urban,2022
"41.149918999999876 , -84.62197299999964","41.15130199999997 , -84.21821500000009",urban-urban,2065
"41.15302500000002 , -82.97654499999996","40.825092600000055 , -82.98288159999991",urban-urban,2030
"41.11352699999987 , -84.58140299999961","41.078926000000116 , -84.1868540000003",urban-urban,2014
"40.081937999999674 , -81.06642799999997","39.87461999999991 , -81.22444699999922",urban-urban,1932
"41.05619800000025 , -83.18750600000033","40.99583000000004 , -82.76254800000014",urban-urban,2043
