origin,destination,area,ttpTravelTime
"35.0298390000001 , -97.83222600000005","34.81883799999995 , -97.86875500000004",urban-urban,1789
"35.577313600000096 , -99.2530486","35.20968200000001 , -99.28946299999977",urban-urban,2056
"34.83183399999994 , -99.9790019999999","34.73934300000003 , -99.59735900000001",urban-urban,2019
"36.62417100000002 , -98.0837359999999","36.64164000000007 , -98.5315279999992",urban-urban,1758
"36.601313 , -100.06600600000013","36.30797049999999 , -99.92790750000022",urban-urban,2047
"36.24582399999983 , -97.69342400000001","36.31476900000005 , -98.15103700000043",urban-urban,2059
"35.76011900000011 , -98.80972600000007","35.78337200000022 , -99.26599499999963",urban-urban,2069
"36.757902999999594 , -99.95521600000016","36.44929900000001 , -99.92784100000006",urban-urban,1946
"35.66793400000033 , -94.7638459999996","35.918386999999875 , -94.77535399999971",urban-urban,1961
"35.83454800000003 , -95.76198700000013","35.519220000000125 , -95.77922699999927",urban-urban,2053
"33.973276999999904 , -94.57329099999993","34.22125400000016 , -94.61984500000032",urban-urban,1999
"35.199552000000025 , -99.30288100000023","35.56785999999994 , -99.29583800000017",urban-urban,2008
"34.21708799999998 , -98.55762399999995","34.547483000000085 , -98.53825799999994",urban-urban,2042
"35.415167999999944 , -95.05296199999995","35.139888000000234 , -95.07769600000009",urban-urban,1990
"36.53177399999995 , -100.21168599999999","36.56524200000004 , -99.86204100000009",urban-urban,1969
"33.94657400000007 , -95.13657400000001","34.20944 , -95.18613500000001",urban-urban,1978
"36.09209000000004 , -94.79944000000013","35.90701099999984 , -94.57698000000002",urban-urban,2055
"36.30016599999986 , -98.28350399999965","36.28909169999989 , -97.7828397",urban-urban,1966
"36.44862889999992 , -97.78224029999977","36.072492000000096 , -97.77310299999978",urban-urban,2055
"35.361868000000214 , -94.69069600000009","35.60251800000003 , -94.58725200000005",urban-urban,1939
"36.289479000000235 , -97.43750499999973","36.27489400000004 , -97.96117800000005",urban-urban,2014
"36.62245020000032 , -99.94493470000012","36.304282000000036 , -99.97589199999982",urban-urban,1918
"36.623218999999914 , -98.51697399999988","36.60234550000007 , -98.0372999999999",urban-urban,2055
"34.37938010000028 , -94.97361029999978","34.3320079999999 , -95.29306299999982",urban-urban,2070
