origin,destination,area,ttpTravelTime
"44.65785579999996 , -121.09132669999985","44.65757500000002 , -120.96827399999964",urban-urban,1833
"43.47299790000014 , -121.33274630000062","43.65313300000013 , -121.06376450000045",urban-urban,1715
"45.50383999999985 , -117.86126099999976","45.39476300000006 , -117.80435600000011",urban-urban,1965
"44.106285999999834 , -123.59281599999997","44.05919799999997 , -123.71563600000033",urban-urban,1800
"42.91536600000032 , -124.27115100000057","42.834382000000105 , -124.21335099999988",urban-urban,1879
"45.55823899999997 , -117.9489590000004","45.466619999999985 , -117.81087500000025",urban-urban,2030
"43.9890477000001 , -118.36823339999981","43.837054000000045 , -118.49306099999998",urban-urban,1688
"42.90177300000007 , -124.26204399999988","42.97027300000004 , -124.33786100000002",urban-urban,1559
"45.41661880000001 , -122.82664420000003","45.413468699999896 , -122.66085629999998",urban-urban,1570
"44.040462000000005 , -118.47375800000009","43.85259599999988 , -118.32794400000016",urban-urban,1908
"42.868511999999996 , -124.3506540000001","42.943447000000006 , -124.399592",urban-urban,1953
"44.29609190000004 , -121.33010770000001","44.429531100000126 , -121.25585069999951",urban-urban,1924
"45.113146 , -118.09845500000023","45.035640375000014 , -117.96260237499999",urban-urban,1993
"45.3819136000001 , -117.14436279999994","45.502263200000385 , -117.20413570000008",urban-urban,2045
"45.514543699999976 , -117.89760960000014","45.64600169999997 , -117.8588907000001",urban-urban,2057
"45.54319700000008 , -117.78598000000017","45.65826269999986 , -117.83910399999989",urban-urban,1832
"43.537814499999826 , -121.49283349999993","43.409700699999966 , -121.6171879000005",urban-urban,1669
"44.71860899999996 , -117.413707","44.775560000000084 , -117.56398999999986",urban-urban,1913
"43.92675280000011 , -118.33344519999983","43.85329413750005 , -118.57622328749994",urban-urban,1716
"43.413332600000025 , -121.66744170000013","43.542584699999814 , -121.46733419999997",urban-urban,1598
"45.55770200000001 , -117.17358999999988","45.41617980000013 , -117.22256759999972",urban-urban,2058
"42.276920999999824 , -123.04039700000016","42.34444699999996 , -123.12078900000017",urban-urban,1949
