origin,destination,area,ttpTravelTime
"41.294237700000075 , -77.89681029999994","41.421589999999995 , -77.98895299999975",urban-urban,2016
"41.89878560000002 , -76.13220150000032","41.86889819999997 , -76.46989759999985",urban-urban,1846
"40.898578000000064 , -79.15563100000014","40.771082999999884 , -78.94055900000019",urban-urban,1974
"40.02061800000021 , -77.44974900000007","40.08692499999988 , -77.21745600000006",urban-urban,1949
"40.24456800000018 , -78.68913699999986","40.04936499999997 , -78.7363069999997",urban-urban,1837
"40.91560900000011 , -79.13974800000008","40.76320200000012 , -78.93871799999968",urban-urban,1988
"40.92320589999997 , -79.2836675","40.72873599999996 , -79.315929",urban-urban,1971
"40.94723020000014 , -79.27658350000071","40.75762630000013 , -79.28309830000045",urban-urban,1752
"41.75496559999998 , -75.1899175999999","41.603438999999824 , -75.09509400000034",urban-urban,1712
"41.813130399999956 , -79.29370939999971","41.70504700000004 , -79.47012899999997",urban-urban,1728
"41.615491599999984 , -77.25039200000018","41.35660700000008 , -77.38111599999996",urban-urban,2067
"41.607265000000005 , -76.27774100000009","41.85987890000021 , -76.32063080000016",urban-urban,2068
"41.297079999999916 , -77.09974099999997","41.46537199999999 , -77.39817299999996",urban-urban,1998
"41.7735749999999 , -75.10811400000019","41.623508999999835 , -75.06510099999991",urban-urban,1833
"40.913475400000024 , -79.35357769999938","40.745190000000015 , -79.24452200000002",urban-urban,1938
"40.19389310000007 , -78.7716941000001","40.08648600000007 , -78.56781600000002",urban-urban,2068
"41.07207199999996 , -78.19653399999994","41.24870200000008 , -78.386473",urban-urban,2023
"40.58834810000003 , -76.67784820000001","40.42523150000098 , -76.91394620000108",urban-urban,2057
"41.65469659999971 , -76.12986399999943","41.84097239999983 , -76.33650269999963",urban-urban,1942
"40.246032000000184 , -78.69749099999986","40.09653200000019 , -78.50685999999986",urban-urban,1993
"41.751342399999935 , -76.25342940000078","41.9098801000001 , -76.4578678000002",urban-urban,1807
"41.87163399999999 , -76.4978483","41.9819187 , -76.2229756000002",urban-urban,1880
"41.89134970000032 , -76.02133569999988","41.77761570000004 , -76.28523769999988",urban-urban,1966
"40.806782699999914 , -79.29865800000013","40.93391100000021 , -79.08450600000003",urban-urban,1813
"41.994755899999944 , -76.45376680000051","41.8809048000001 , -76.17823090000013",urban-urban,1863
"41.60511700000001 , -77.27148290000015","41.35966900000018 , -77.38751899999998",urban-urban,1957
"40.30626699999979 , -76.10844699999954","40.17255250000008 , -76.27098399999998",urban-urban,1765
"40.153490999999974 , -79.106711","40.01069199999996 , -79.24065900000004",urban-urban,1664
"41.650492000000064 , -75.15764999999979","41.81038770000003 , -75.0908526000002",urban-urban,1879
"40.28890359999966 , -75.61275679999984","40.27189180000003 , -75.40240219999991",urban-urban,1755
"41.87241049999998 , -76.46254129999991","41.81826129999997 , -76.14228800000002",urban-urban,1638
"40.1841749999999 , -79.10558899999992","40.00283399999995 , -79.19034699999993",urban-urban,1958
"41.86325449999971 , -76.09037630000005","41.91408819999997 , -76.39130829999992",urban-urban,1888
"41.358879000000094 , -78.55861099999998","41.178992 , -78.72318899999985",urban-urban,1855
"41.155857000000026 , -78.73946399999993","41.358398000000044 , -78.58974099999989",urban-urban,2012
"41.92782890000003 , -79.75719810000008","42.00410600000019 , -79.95218899999979",urban-urban,1743
"41.920286 , -76.35587100000035","41.70399439999999 , -76.26648100000017",urban-urban,1814
"41.872721500000054 , -76.4849722000001","41.981982500000015 , -76.2199031000002",urban-urban,1769
"40.5352557000004 , -79.94273459999985","40.61045149999998 , -80.13800120000028",urban-urban,1937
"40.80628160000004 , -79.35548189999993","40.912503999999956 , -79.12894200000004",urban-urban,1685
"41.809235400000006 , -76.31016340000022","41.9441060000001 , -76.05950980000007",urban-urban,1860
"40.085020100000044 , -75.11189600000083","39.966041000000025 , -75.2055519999998",urban-urban,1956
"40.201787600000216 , -80.03046060000027","40.03659649999988 , -80.0906844000003",urban-urban,1725
"41.185969999999976 , -78.71353099999972","41.35878699999995 , -78.53228499999997",urban-urban,1923
"41.6958872000001 , -76.24035160000015","41.88997650000004 , -76.40547310000018",urban-urban,1834
"41.89316519999996 , -76.37013229999995","41.674302199999914 , -76.21593539999988",urban-urban,1939
"41.454407999999866 , -77.29695899999957","41.67700500000005 , -77.40238059999973",urban-urban,2063
"41.71388799999969 , -76.23332350000021","41.966116400000004 , -76.41300950000002",urban-urban,1972
"39.98190969999992 , -75.26402470000012","40.058488299999986 , -75.11490760000007",urban-urban,2023
"40.41369300000018 , -75.80754199999977","40.37170829999991 , -75.5830937999998",urban-urban,1681
"41.87031780000001 , -76.36514600000001","41.961874800000025 , -76.08082300000035",urban-urban,2035
"41.758375999999814 , -76.12448299999957","41.99274999999986 , -76.12087390000035",urban-urban,1865
"40.940530000000365 , -79.13405499999958","40.75420599999993 , -79.00782799999993",urban-urban,2011
"40.775774200000065 , -79.47384880000038","40.888679200000006 , -79.224716",urban-urban,2053
"40.59065939999999 , -79.96036630000009","40.532970999999876 , -80.1629959",urban-urban,1938
"41.94832969999998 , -76.44931640000004","41.75949909999997 , -76.25939860000007",urban-urban,1675
"39.99827789999992 , -80.50114770000017","40.064800300000066 , -80.33354340000004",urban-urban,1558
"41.784335700000135 , -75.22925820000013","41.654254699999974 , -75.08705250000001",urban-urban,1925
"41.78936489999997 , -76.14744589999975","41.98029169999964 , -76.42989459999984",urban-urban,1849
"41.99107580000005 , -76.42150460000012","41.81749869999999 , -76.20732489999966",urban-urban,1646
"41.525045999999726 , -77.29400800000006","41.279330000000016 , -77.41284799999995",urban-urban,1618
"41.67442089999999 , -76.14675249999976","41.86220220000021 , -76.32144080000016",urban-urban,1797
"41.95858059999997 , -76.44069310000009","41.8170738999996 , -76.16958480000022",urban-urban,1745
"40.272786200000034 , -75.41026759999988","40.28868540000001 , -75.63727550000041",urban-urban,1730
"41.59164339999983 , -75.1551425999999","41.75945900000001 , -75.20025499999967",urban-urban,1646
"41.737564499999905 , -79.97630649999999","41.60525190000005 , -80.10861979999964",urban-urban,2040
"41.2406515 , -78.68550160000007","41.441702000000085 , -78.53525099999976",urban-urban,1983
"40.24645599999996 , -75.40385499999967","40.29436979999992 , -75.60248599999993",urban-urban,1708
"41.7584197 , -76.32337330000006","41.96801800000002 , -76.4067479",urban-urban,1571
"40.44794089999992 , -76.9032404999997","40.57350380000007 , -76.66909079999978",urban-urban,2020
"40.9829809999999 , -79.44038950000018","40.82360700000007 , -79.31211100000006",urban-urban,1807
"40.23176399999983 , -78.92515799999997","40.12020499999994 , -78.7232489999993",urban-urban,1979
"41.78256909999987 , -75.1393304000001","41.605577999999966 , -75.17764499999996",urban-urban,1966
"39.72180599999997 , -80.15285300000038","39.79211600000007 , -80.29321799999987",urban-urban,1584
"41.17346600000011 , -78.72197699999985","41.38623860000012 , -78.55250090000045",urban-urban,1976
"41.56875519999994 , -75.36968100000003","41.693152000001945 , -75.1865447000001",urban-urban,1873
"40.34943399999986 , -77.30815299999966","40.23729900000005 , -77.54872499999976",urban-urban,1868
"39.85422799999976 , -80.27571099999993","39.72262480000003 , -80.23214529999994",urban-urban,1990
"41.64045980000012 , -76.11669489999952","41.82713200000008 , -76.32679310000019",urban-urban,1979
"41.96233910000015 , -76.12730940000023","41.73159700000004 , -76.1084485999999",urban-urban,1923
"40.08440919999992 , -78.9878388","40.08567399999982 , -79.20926299999986",urban-urban,1778
"40.119689700000116 , -80.03856610000014","39.95811999999991 , -80.13324899999971",urban-urban,1859
"40.835634200000186 , -79.35345490000009","40.90073499999993 , -79.09597999999995",urban-urban,1796
"41.655663299999915 , -76.09493140000015","41.82723499999976 , -76.27397240000006",urban-urban,1855
"41.79428339999996 , -76.33859219999978","41.92393899999979 , -76.09458399999977",urban-urban,1860
"40.04864899999967 , -78.71935000000092","40.22736460000009 , -78.66025590000075",urban-urban,1709
"41.89538919999978 , -76.46911099999986","41.79095280000009 , -76.16964390000014",urban-urban,1844
"41.583959999999955 , -75.0535570000003","41.7247370000001 , -75.1883379999997",urban-urban,1726
"41.620420999999574 , -77.32335600000063","41.34193599999994 , -77.36748100000057",urban-urban,1928
"41.685824500000095 , -75.19714449999944","41.552534400000006 , -75.38447940000033",urban-urban,2036
"41.83381219999996 , -76.26442910000087","41.98757500000006 , -76.46473780000005",urban-urban,1644
"41.55612900000002 , -75.16875849999985","41.750078300000084 , -75.1908422999997",urban-urban,2065
"40.76674140000012 , -79.28560170000041","40.95678380000006 , -79.41254769999965",urban-urban,2066
