origin,destination,area,ttpTravelTime
"41.42658069999974 , -71.48287260000012","41.54082320000002 , -71.63305590000002",urban-urban,1590
"42.01393900000007 , -71.45361299999988","41.97607030000004 , -71.71440339999985",urban-urban,2015
"41.436805099999965 , -71.72366389999999","41.613000099999894 , -71.77717170000027",urban-urban,1701
"42.01463700000002 , -71.39079299999973","41.999631199999904 , -71.60918490000006",urban-urban,1556
"41.41394000000004 , -71.72625699999972","41.587834899999976 , -71.77055749999978",urban-urban,1799
"41.37420699999989 , -71.48238399999956","41.545366399999985 , -71.63413170000011",urban-urban,1980
"41.61182600000004 , -71.76328300000041","41.42347240000036 , -71.73702980000043",urban-urban,1794
"41.4147056 , -71.72508500000002","41.60751470000012 , -71.76713139999994",urban-urban,1876
"41.86309510000001 , -71.50711480000052","41.99191999999991 , -71.73352799999968",urban-urban,2016
"41.99857499999978 , -71.40925549999965","42.004567400000184 , -71.6398082000004",urban-urban,1672
"41.855176699999994 , -71.49625180000001","41.989620999999964 , -71.72778200000005",urban-urban,2068
"41.670686699999976 , -71.19003480000005","41.4821251000002 , -71.15039600000009",urban-urban,1755
"41.48345900000002 , -71.77555099999998","41.673997999999905 , -71.77396399999995",urban-urban,2058
"41.66168700000016 , -71.20160599999993","41.46759599999998 , -71.18625599999997",urban-urban,1718
"41.420600300000025 , -71.73590629999998","41.609966000000036 , -71.76583100000038",urban-urban,1809
"41.651967200000065 , -71.14267360000012","41.4668893 , -71.17213019999977",urban-urban,1727
"41.64666400000004 , -71.151245","41.461417999999945 , -71.17937399999977",urban-urban,1765
"42.00978100000008 , -71.41955600000034","42.00779670000012 , -71.64037850000007",urban-urban,1636
"41.47327359999981 , -71.19072329999986","41.64998400000009 , -71.13742000000016",urban-urban,1780
"42.0113728000001 , -71.48047339999967","41.94505299999993 , -71.73008699999967",urban-urban,1873
"42.015773999999944 , -71.38649400000003","41.995021800000046 , -71.60738329999998",urban-urban,1638
"41.37756100000001 , -71.48585580000001","41.53534450000017 , -71.6494747999998",urban-urban,2058
"41.42783900000036 , -71.7335039000004","41.608467100000006 , -71.7739506",urban-urban,1771
"41.5941309999998 , -71.761487","41.41860310000011 , -71.7335592999999",urban-urban,1688
"41.420356999999896 , -71.74655899999986","41.6089699999999 , -71.76053600000026",urban-urban,1930
"41.47029799999982 , -71.1739120000004","41.65814269999998 , -71.19684480000006",urban-urban,1607
"42.00586199999995 , -71.44696690000012","41.952060999999944 , -71.71764399999967",urban-urban,2034
"41.87141149999985 , -71.50149610000047","41.97290400000011 , -71.75022100000038",urban-urban,1849
"41.41493600000016 , -71.74163099999976","41.61702579999983 , -71.75968880000002",urban-urban,1933
"41.472357699999975 , -71.1755080000004","41.665166999999826 , -71.1915580000002",urban-urban,1649
"42.01305519999967 , -71.43935490000018","41.952376999999785 , -71.70865600000003",urban-urban,1979
"41.66524049999975 , -71.18803860000008","41.471685999999856 , -71.18222000000034",urban-urban,1618
"42.0041932999998 , -71.40973409999964","42.00061099999998 , -71.64349899999986",urban-urban,1669
"41.84656100000001 , -71.5170589999999","41.99594579999994 , -71.72834709999988",urban-urban,1960
"41.99041709999996 , -71.7293542000003","41.8409232000001 , -71.5043553000002",urban-urban,1897
"41.42351070000036 , -71.73701640000043","41.612138 , -71.75403600000041",urban-urban,1879
"41.99308579999994 , -71.73319369999987","41.84518400000002 , -71.49876399999984",urban-urban,2020
"41.864151000000014 , -71.52788499999994","41.99782339999994 , -71.73314159999985",urban-urban,1941
"41.58604399999992 , -71.782181","41.413854900000025 , -71.74441850000001",urban-urban,1812
"42.01141399999989 , -71.45918300000012","41.952060999999944 , -71.71764399999967",urban-urban,2004
"41.36844999999985 , -71.48620599999992","41.52749890000014 , -71.6240376999998",urban-urban,1880
"41.46967410000003 , -71.70102040000019","41.32462299999987 , -71.79680599999983",urban-urban,1637
"41.65267999999992 , -71.15079400000013","41.47183229999978 , -71.1802220000003",urban-urban,1577
"41.32768439999998 , -71.77990010000006","41.47593030000005 , -71.71552259999967",urban-urban,1573
