origin,destination,area,ttpTravelTime
"33.27040650000001 , -81.53077599999993","33.16922899999983 , -81.60510300000051",urban-urban,1691
"34.59512100000004 , -83.12594499999955","34.782292499999926 , -83.13427970000006",urban-urban,1559
"32.39620000000013 , -81.14294159999996","32.55973900000006 , -80.9705279999997",urban-urban,1921
"32.54884200000005 , -81.23677699999982","32.47834320000005 , -80.99678969999957",urban-urban,1884
"33.20947099999984 , -81.55094600000014","33.47860199999994 , -81.69934099999992",urban-urban,1870
"33.20844899999973 , -81.32460299999936","33.179768999999894 , -81.66546399999991",urban-urban,2063
"35.03164699999999 , -82.05924200000072","35.00215400000011 , -82.3133020000002",urban-urban,1823
"33.58202500000008 , -79.72007199999997","33.82386100000002 , -79.67414799999995",urban-urban,1999
"32.53904600000004 , -81.04061799999991","32.31801320000003 , -80.92199930000002",urban-urban,1928
"33.687456000000005 , -79.47749300000038","33.91614099999998 , -79.57516600000034",urban-urban,2066
"32.325114999999904 , -80.9202672000004","32.51963700000009 , -81.09581000000003",urban-urban,1825
"34.860546700000185 , -81.50841459999988","34.898580300000184 , -81.79996899999955",urban-urban,1864
"34.83765549999972 , -81.63466219999967","34.79948900000021 , -81.90267199999991",urban-urban,1832
"32.41041500000002 , -81.11342699999994","32.3621276000001 , -80.85064179999998",urban-urban,2015
"33.65343999999992 , -79.73799849999978","33.60541690000014 , -79.43918390000033",urban-urban,1746
"33.30220999999987 , -81.80577699999995","33.155256000000364 , -81.53040799999961",urban-urban,2036
"35.09006600000001 , -81.96443099999978","35.07290200000002 , -82.20992800000019",urban-urban,1676
"32.440747000000115 , -81.13192599999999","32.34348860000004 , -80.90599050000013",urban-urban,1863
"33.92157299999985 , -79.51360999999979","33.675603999999964 , -79.67920099999995",urban-urban,2062
"33.061361999999924 , -81.54472800000019","33.30913280000032 , -81.40293279999973",urban-urban,2014
"33.45444999999994 , -81.42432400000051","33.3436125999999 , -81.74237350000016",urban-urban,1945
"34.8675181999998 , -81.57544499999943","34.783052000000104 , -81.84169899999999",urban-urban,1743
"33.676202 , -79.80626100000002","33.60313700000001 , -79.52394000000031",urban-urban,1781
"34.97660300000002 , -82.29067699999939","35.1113292 , -82.05048350000001",urban-urban,1925
"33.33536399999995 , -81.7316970000006","33.24090720000004 , -81.42515029999974",urban-urban,1974
"34.97596799999997 , -82.274655","35.10413969999981 , -82.02633309999992",urban-urban,2059
"32.23358200000012 , -81.09150200000006","32.458445599999905 , -81.08015489999934",urban-urban,1688
"34.956854999999834 , -82.29038499999986","35.06545799999997 , -82.05948200000017",urban-urban,1885
"33.906244 , -79.67029400000004","33.65743600000007 , -79.72140999999995",urban-urban,1866
"33.23191499999987 , -81.75893499999977","33.13669389999998 , -81.45017889999991",urban-urban,1932
"35.033692 , -82.19319700000034","35.116237799999965 , -81.94759620000023",urban-urban,1839
"34.103485000000056 , -79.21823399999977","34.22522400000001 , -79.00918599999997",urban-urban,1729
"33.38756610000032 , -81.40927910000005","33.2316469999998 , -81.71297300000005",urban-urban,1949
"33.24441099999995 , -81.7467600000006","33.40985519999984 , -81.48010900000008",urban-urban,2001
"34.36084339999999 , -80.50105139999981","34.5931720000003 , -80.36001199999957",urban-urban,1946
"34.562276000000075 , -79.50487400000021","34.35077799999999 , -79.470367",urban-urban,1797
"33.628143999999985 , -79.66459099999985","33.90092800000015 , -79.6705630000001",urban-urban,2033
"32.42158200000008 , -80.9409259999999","32.55547900000029 , -81.18432399999999",urban-urban,1995
"34.807881999999644 , -81.75565779999953","34.660805999999944 , -81.96916800000002",urban-urban,2005
"34.76813030000016 , -82.47543000000003","34.97062510000008 , -82.49634329999972",urban-urban,1805
"32.556676999999944 , -80.98683700000028","32.360193000000294 , -81.12489319999992",urban-urban,1905
"35.10492849999979 , -82.06690730000015","34.996036000000046 , -82.29024799999998",urban-urban,1675
"33.60214499999998 , -81.62935999999998","33.66557599999997 , -81.29189200000008",urban-urban,2058
"33.30693499999996 , -81.73120699999981","33.14271599999994 , -81.47857899999978",urban-urban,1808
"33.17446300000012 , -81.52122899999993","33.299466999999865 , -81.81135600000005",urban-urban,2030
"32.30570770000011 , -80.95220829999998","32.51885600000033 , -81.09284200000072",urban-urban,1987
"32.57119000000001 , -81.09736300000006","32.38382200000002 , -80.97574700000008",urban-urban,1597
"34.9289770999999 , -82.21200299999992","34.911877099999984 , -82.45062240000001",urban-urban,2018
"35.00531700000004 , -81.13452299999993","34.78418599999995 , -81.04574559999995",urban-urban,1759
"33.588493 , -79.50648700000025","33.682488 , -79.82843500000025",urban-urban,1987
"33.840955000000264 , -79.64949400000049","33.59868774999988 , -79.69662050000069",urban-urban,1952
"33.12882899999998 , -81.39371000000003","33.28331899999994 , -81.69280600000064",urban-urban,2062
"34.85236400000005 , -81.82791","34.73144660000008 , -82.07673970000035",urban-urban,1969
"33.31719700000003 , -81.77454499999989","33.083686000000064 , -81.53475499999962",urban-urban,2025
"32.43916900000002 , -81.176333","32.55921299999995 , -80.95956999999981",urban-urban,1812
"34.85968900000002 , -81.34970400000002","35.145066699999774 , -81.3408931999999",urban-urban,2025
"33.71856300000002 , -79.67509099999982","33.93456310000001 , -79.49858180000045",urban-urban,2037
"34.03754799999976 , -79.66400099999959","33.79851399999992 , -79.54754899999995",urban-urban,1974
"34.570862000000055 , -80.35132599999991","34.35086199999998 , -80.52979399999997",urban-urban,1951
"34.93678340000001 , -82.29131460000038","35.065994000000074 , -82.10639569999996",urban-urban,1712
"34.32415499999982 , -79.23303099999946","34.459245000000436 , -79.44106199999997",urban-urban,1723
"33.28149999999991 , -81.71466300000044","33.54567090000016 , -81.61368799999993",urban-urban,2048
"33.04474899999996 , -81.44145499999976","33.29626399999983 , -81.60442600000017",urban-urban,2056
"32.43247879999994 , -80.97681690000006","32.56811799999999 , -81.21189399999997",urban-urban,1939
"34.4380328 , -82.50888725000007","34.603776999999944 , -82.32687300000013",urban-urban,1716
"33.695952999999825 , -79.6934420000003","33.94744299999989 , -79.69078899999961",urban-urban,1908
"34.680626999999994 , -81.98515139999989","34.74470520000004 , -81.72094439999994",urban-urban,2016
"33.46602599999998 , -81.686339","33.21617799999992 , -81.51261599999997",urban-urban,2050
"34.560197000000066 , -79.46701699999974","34.29358000000014 , -79.51390799999987",urban-urban,2011
"34.61610550000005 , -80.39080139999992","34.367622999999995 , -80.50230499999992",urban-urban,2005
"34.97138770000024 , -82.32395739999988","35.08416679999985 , -82.08212930000015",urban-urban,1853
"34.970831000000075 , -82.27445299999945","35.10371099999997 , -82.08858399999998",urban-urban,1668
"33.63373699999999 , -79.66195999999987","33.87303299999996 , -79.61079800000009",urban-urban,2024
"33.537771000000006 , -79.56230500000008","33.767210999999854 , -79.49103300000021",urban-urban,1931
"32.51175630000002 , -81.10591789999975","32.350329999999936 , -80.90641880000042",urban-urban,1995
"33.246968999999886 , -81.59290000000009","33.48796300000002 , -81.76355799999997",urban-urban,2014
"34.786830300000055 , -83.13463569999975","34.562713000000066 , -83.10123700000022",urban-urban,1868
"32.549871099999976 , -81.11898909999995","32.35496169999993 , -80.94914199999982",urban-urban,1871
"35.00846500000005 , -82.2977637000002","35.10358900000001 , -82.0416129999999",urban-urban,1836
"34.938111999999954 , -82.2828479999999","35.05901040000003 , -82.08341339999981",urban-urban,1918
"34.99391889999998 , -82.1469190999999","34.88533940000011 , -82.35493209999998",urban-urban,1894
"35.06347000000005 , -82.07405990000011","35.01514400000031 , -82.31443609999975",urban-urban,1908
"35.13728909999982 , -81.95589690000081","35.05164899999987 , -82.1711649999999",urban-urban,1716
"34.559449999999956 , -80.37886900000004","34.32475799999997 , -80.56229500000018",urban-urban,2040
"33.69695900000022 , -79.65945500000045","33.94392699999992 , -79.5819609999998",urban-urban,2046
"32.43779080000026 , -81.0452969000001","32.3090476000004 , -80.83830360000034",urban-urban,1930
"34.495735199999885 , -79.31211200000016","34.293466999999985 , -79.19933789999963",urban-urban,1697
"32.373414400000264 , -80.94055100000006","32.54151999999998 , -81.11508900000007",urban-urban,1968
"34.05565599999998 , -82.31617899999958","34.0540249999999 , -82.03068100000016",urban-urban,1852
"34.99288679999997 , -82.05284259999985","35.00220120000019 , -82.29799980000024",urban-urban,1660
"33.2958069999999 , -81.73226599999953","33.183135000000036 , -81.43178100000021",urban-urban,2004
"34.82826890000007 , -81.9537236999993","34.76655029999988 , -81.68073580000002",urban-urban,1742
"34.90180000000003 , -81.37769199999994","35.13986359999988 , -81.34895259999992",urban-urban,1821
"34.02403599999996 , -79.6323010000006","33.77108479999984 , -79.5580858000007",urban-urban,1976
"35.052896999999966 , -82.1229189999998","34.930075500001394 , -82.31500279999999",urban-urban,1844
"32.33587320000002 , -80.81833550000006","32.454459000000284 , -81.05889599999992",urban-urban,1852
"35.06100499999997 , -82.21109700000005","35.09673000000013 , -81.9619165999996",urban-urban,1624
