origin,destination,area,ttpTravelTime
"44.045742000000054 , -96.88869259999977","43.9060569999998 , -96.5668689999998",urban-urban,1707
"42.996561500000084 , -96.99675410000003","42.98992850000004 , -97.4771926000003",urban-urban,1954
"44.07936199999977 , -103.99235300000024","43.809569999999795 , -104.02174499999981",urban-urban,1883
"45.13589700000004 , -96.83622600000002","45.47019570000024 , -96.90321559999956",urban-urban,1958
"45.74821900000009 , -98.08267100000016","45.399470999999984 , -97.9248509999999",urban-urban,2043
"45.69592099999914 , -97.8759010000002","45.67632100000075 , -98.39366200000029",urban-urban,2024
"45.906636999999904 , -102.46502200000003","45.58937699999979 , -102.42241900000003",urban-urban,1830
"45.761882999999926 , -102.93512699999987","45.74693899999996 , -102.47693599999997",urban-urban,2048
"44.038737000000104 , -103.92092900000063","43.781211000000084 , -104.01842799999994",urban-urban,1980
"44.411995 , -97.84354","44.448871000000025 , -97.26980300000001",urban-urban,1980
"44.11834629999996 , -103.9032893999996","43.86475699999988 , -103.99756100000008",urban-urban,2058
"44.16629399999998 , -103.95712300000015","43.912381000000174 , -104.03034099999994",urban-urban,1816
"45.645268999999935 , -97.14825800000048","45.31173399999998 , -97.16518699999982",urban-urban,1994
"45.005730000000064 , -96.67982000000048","44.959469000000176 , -97.1868150000001",urban-urban,2046
"44.08425399999977 , -103.99518000000022","43.80179300000012 , -104.0386589999999",urban-urban,1931
"45.80937900000023 , -103.20488000000014","45.888377999999726 , -102.80224199999977",urban-urban,2046
"44.748346000000005 , -102.80833299999988","44.712981000000084 , -103.258378",urban-urban,1849
"44.29439660000054 , -96.69445020000003","43.949700000000036 , -96.68842600000052",urban-urban,1966
"45.91236900000019 , -102.99042099999997","45.61932900000008 , -102.86799699999999",urban-urban,1935
"44.58942099999934 , -102.52235000000056","44.25583899999987 , -102.60601700000095",urban-urban,2057
"44.531958999999496 , -102.56275200000017","44.872412999999895 , -102.53250949999975",urban-urban,2015
"44.11104199999992 , -96.5280439999996","43.77978500000007 , -96.59191100000005",urban-urban,1803
"45.48885199999998 , -102.9405720000001","45.86339699999992 , -102.8628059999999",urban-urban,2052
"42.95640200000007 , -97.93130600000052","43.30990600000017 , -97.9181810000003",urban-urban,2060
"44.23476299999997 , -96.54649299999996","43.85548299999977 , -96.58744899999981",urban-urban,1832
"44.80900000000002 , -103.83306100000004","45.125332000000114 , -103.77284299999992",urban-urban,1855
"42.808266 , -96.87552100000013","43.17767000000015 , -96.86527900000007",urban-urban,2004
"43.19894199999989 , -97.20100500000001","42.87883400000012 , -97.25988399999987",urban-urban,1773
"45.36552000000062 , -103.436327","45.415134000000236 , -103.85611900000013",urban-urban,1883
"43.32729500000028 , -102.10983099999969","43.02631370000009 , -102.12441410000025",urban-urban,1993
"45.8724209999997 , -103.45926500000012","45.837303000000425 , -103.02549399999977",urban-urban,1870
"42.96635499999989 , -96.93599499999989","42.975806000000745 , -97.36646899999963",urban-urban,1939
"44.296968999999976 , -96.54309359999947","43.93510000000001 , -96.61348599999971",urban-urban,1945
"45.03040900000015 , -97.18501300000013","45.39905799999998 , -97.15636800000004",urban-urban,2059
"43.04669765000015 , -102.13792840000033","43.351260500000045 , -102.20616709999962",urban-urban,1983
"44.71724799999978 , -97.26243099999941","44.77579699999999 , -96.7340370000001",urban-urban,1991
"45.66101800000042 , -98.03049799999988","45.65744299999999 , -98.58007700000014",urban-urban,2036
"44.06569300000013 , -97.10615500000054","44.041710999999786 , -97.67116799999954",urban-urban,2044
"45.07097100000016 , -103.73387999999971","44.82135400000014 , -103.89254699999998",urban-urban,1955
"43.12297999999988 , -101.97436300000001","43.13819560000001 , -102.38172060000024",urban-urban,1819
"43.32640899999973 , -102.06236300000023","43.02570960000009 , -102.12377580000025",urban-urban,2006
"44.10919900000005 , -96.57821399999969","44.456097000000014 , -96.54513399999999",urban-urban,1888
"44.721946000000095 , -103.196052","44.751894999999934 , -103.6801270999994",urban-urban,2012
"43.02681199999979 , -100.3737949999997","43.11819099999972 , -100.80679899999969",urban-urban,1884
"44.43516699999998 , -97.79305999999983","44.427369000000404 , -97.1892969999995",urban-urban,2021
"42.92312669999987 , -97.64975800000018","42.96704570000007 , -98.11259739999936",urban-urban,2002
"45.19103999999993 , -96.96500800000013","44.83798200000015 , -97.00608600000004",urban-urban,1985
"42.984647999999865 , -96.98373399999967","43.008771000000024 , -97.44467899999981",urban-urban,1911
"45.920700999999916 , -102.44541199999989","45.732712999999656 , -102.79234199999972",urban-urban,2015
"44.81933500000001 , -96.48024700000023","44.77115599999995 , -97.00609799999988",urban-urban,1961
"44.20960099999998 , -97.87380499999986","44.153111999999965 , -97.3303819999998",urban-urban,1985
"45.413671999999956 , -97.12374800000015","45.0652022000002 , -97.18528369999994",urban-urban,2016
"45.580143000000135 , -97.91806999999983","45.67642000000008 , -98.4143090000001",urban-urban,1969
"43.9929151999999 , -96.54611769999987","44.38353099999997 , -96.60686100000032",urban-urban,2060
"44.892185000000175 , -97.92108060000099","44.48455399999985 , -97.94105899999995",urban-urban,2058
"43.02515049999974 , -102.14159749999972","43.32198299999975 , -102.07626000000022",urban-urban,1954
"44.161687999999884 , -96.54918899999988","43.82076469999994 , -96.50636939999966",urban-urban,1877
"43.9206210000001 , -97.00897200000031","43.93442499999978 , -96.50638999999985",urban-urban,2001
"45.032199000000205 , -97.06538499999988","45.04928000000003 , -96.5791110000002",urban-urban,1913
"45.9201849999998 , -102.75597900000018","45.621320000000246 , -102.91645800000008",urban-urban,2006
"43.38409099999987 , -98.05382599999983","43.024776999999936 , -98.00839",urban-urban,1942
"44.729664000000156 , -103.44595400000041","44.74852400000008 , -102.97710590000008",urban-urban,2013
"45.77707000000015 , -98.2189050000006","45.41474420000018 , -98.226768",urban-urban,2061
"44.09557499999994 , -96.55603499999971","44.43414199999987 , -96.63021800000023",urban-urban,1995
"43.328607000000666 , -97.66644000000015","43.31195000000044 , -98.16953000000032",urban-urban,2047
"45.04975799999999 , -96.49709700000024","45.02973700000001 , -97.02456500000005",urban-urban,1978
"43.992933999999934 , -96.5662719999996","44.37763549999996 , -96.54658699999996",urban-urban,2070
"42.94401610000004 , -97.57601870000008","42.93778399999995 , -98.03567299999993",urban-urban,1860
"45.37287999999991 , -96.59640200000045","45.02035200000003 , -96.57875900000019",urban-urban,1986
