origin,destination,area,ttpTravelTime
"35.36214899999992 , -87.10654299999995","35.240777500000014 , -87.2728613000001",urban-urban,1846
"36.4408293 , -88.51560569999994","36.22400989999989 , -88.45311110000044",urban-urban,1980
"36.029471800000074 , -82.95339469999988","36.09783500000021 , -83.1793339999997",urban-urban,1912
"36.083596999999976 , -88.69201600000022","36.34081700000004 , -88.73843199999948",urban-urban,1973
"36.13622450000002 , -82.11704970000015","36.26113300000006 , -82.05062499999993",urban-urban,1817
"36.178078000000134 , -82.56508799999963","36.35731439999991 , -82.52540699999984",urban-urban,1641
"36.25617769999992 , -85.72515880000033","36.06576180000003 , -85.56116609999954",urban-urban,2032
"35.355667 , -88.43433000000005","35.20847489999999 , -88.6147307999996",urban-urban,2001
"35.148086999999904 , -89.16390200000004","35.14066699999977 , -89.38228499999981",urban-urban,1631
"36.08611599999996 , -83.01136200000016","36.059167300000034 , -83.22887440000014",urban-urban,1635
"36.034160800000194 , -87.65679209999968","36.21776599999985 , -87.48996099999977",urban-urban,1940
"36.113304899999854 , -83.13042160000019","35.97280250000017 , -83.01490879999984",urban-urban,1592
"36.19437699999991 , -87.9811330000005","36.17009089999997 , -88.25348880000011",urban-urban,2032
"35.50821019999985 , -89.48621330000003","35.69882139999993 , -89.46972700000002",urban-urban,1685
"36.18546599999998 , -87.54669600000003","36.26986189999991 , -87.28027689999998",urban-urban,1906
"36.00938640000001 , -82.92416420000022","36.09945400000013 , -83.12826700000012",urban-urban,1881
"36.163154 , -83.17497800000059","35.995990700000135 , -82.9886383000001",urban-urban,2037
"36.14512610000025 , -82.03108730000042","36.27768790000004 , -82.02236139999992",urban-urban,1863
"36.171975800000055 , -82.58278449999993","36.37417789999986 , -82.50963930000059",urban-urban,1938
"35.910540399999796 , -88.69422470000022","35.692250400000276 , -88.66880409999982",urban-urban,1882
"36.02068080000005 , -84.11361299999987","36.168381299999986 , -83.91008729999986",urban-urban,1695
"36.107167299999794 , -83.1671250000003","36.03270680000009 , -82.94980649999988",urban-urban,1914
"36.21022000000014 , -83.85896379999993","36.065538499999974 , -84.02983629999969",urban-urban,1637
"35.36283250000005 , -84.40738070000015","35.53363299999988 , -84.21219300000003",urban-urban,1943
"35.40097180000002 , -88.86873010000012","35.539589500000154 , -88.67995269999979",urban-urban,1945
"35.32583999999991 , -87.25162099999973","35.114764000000314 , -87.13834399999982",urban-urban,1960
"36.38947159999989 , -88.78904509999997","36.33335700000011 , -88.52336610000022",urban-urban,1940
"36.11321569999993 , -83.14557199999994","36.022489699999895 , -82.92472140000032",urban-urban,1822
"35.939113999999954 , -88.7046460000007","35.872736300000206 , -88.43357489999946",urban-urban,2068
"36.01848000000005 , -82.93812579999982","36.09945400000013 , -83.12826700000012",urban-urban,1550
"35.65125599999978 , -88.6128643000004","35.518727 , -88.3944296999998",urban-urban,2063
"36.049833000000106 , -89.04334100000021","36.16738899999996 , -88.81667600000007",urban-urban,1844
"35.59074300000004 , -89.47111499999995","35.788709 , -89.42119599999992",urban-urban,1730
"35.5067560000003 , -89.84504400000021","35.50008100000015 , -89.61412099999974",urban-urban,1530
"36.05346299999973 , -87.68743600000005","36.23533299999999 , -87.48070199999972",urban-urban,2024
"35.7329240000001 , -84.04135600000043","35.86968039999963 , -83.83216369999947",urban-urban,1921
"35.66975099999985 , -88.5645720999997","35.87860769999995 , -88.48879499999991",urban-urban,2043
"35.09929879999986 , -87.39004550000016","35.05548799999997 , -87.11532600000005",urban-urban,2064
"36.17826199999994 , -83.18785330000024","36.00084799999988 , -83.03694610000016",urban-urban,2019
"36.15982050000003 , -82.01136490000002","36.29233349999982 , -81.97314170000024",urban-urban,1952
"36.04500239999985 , -83.04081480000036","36.173921199999924 , -83.19100739999996",urban-urban,1775
"36.341514900000135 , -83.1623287","36.18340699999999 , -83.05789860000004",urban-urban,1908
"35.47703329999985 , -89.09466299999981","35.660154700000135 , -89.18966579999996",urban-urban,1862
"36.23843099999995 , -87.41457700000021","36.0859821999998 , -87.66140240000016",urban-urban,2058
"36.46845020000006 , -86.03123760000035","36.31368760000025 , -85.82471869999966",urban-urban,1899
"36.2920714000002 , -81.98215769999982","36.162789000000124 , -82.0277050000001",urban-urban,1942
"36.15373499999999 , -83.17592500000009","35.978061099999984 , -83.00070370000002",urban-urban,1998
"35.15455369999998 , -89.39688800000015","35.14802149999999 , -89.11899960000036",urban-urban,1906
"36.30855229999994 , -83.16151689999995","36.22854239999999 , -83.3666937000001",urban-urban,2053
"36.22327109999996 , -89.41053060000021","36.321704900000086 , -89.19382329999995",urban-urban,1882
"36.120022999999925 , -89.48028300000003","36.28202149999982 , -89.3250153",urban-urban,2008
"36.07109300000019 , -83.23438300000026","36.09863199999998 , -82.99404299999992",urban-urban,2001
"36.12308079999987 , -82.1030947000002","36.26356400000007 , -82.05534299999992",urban-urban,1945
"35.12683200000007 , -89.1075650000006","35.16051750000004 , -89.34303939999988",urban-urban,1830
"36.16647789999994 , -83.19273000000038","36.00225089999987 , -83.06039779999986",urban-urban,1915
"36.15828900000012 , -88.56293499999988","36.24094695000001 , -88.79171080000008",urban-urban,1807
"35.80840699999992 , -88.63952100000019","35.60288219999983 , -88.5781192000007",urban-urban,2031
"36.32965099999999 , -88.71853599999997","36.09991700000004 , -88.71698200000004",urban-urban,1711
"35.237910000000205 , -89.24740400000022","35.41448110000032 , -89.30868150000019",urban-urban,1806
"35.689906800000024 , -89.47015629999996","35.49497809999987 , -89.49839459999956",urban-urban,1696
"35.48711879999981 , -84.50765830000013","35.63220900000035 , -84.2957699999998",urban-urban,1794
"35.5679272000001 , -84.65878259999957","35.47700719999999 , -84.41629479999992",urban-urban,1915
"35.549506999999934 , -88.60510799999999","35.77534420000005 , -88.59065469999997",urban-urban,1996
"35.389197000000166 , -87.33595000000001","35.21748970000001 , -87.12387960000042",urban-urban,2041
"35.99958690000004 , -84.11507250000005","36.168910200000035 , -83.9180737",urban-urban,1790
"35.06925499999991 , -87.64030699999977","35.214479000000004 , -87.84266400000016",urban-urban,2034
"35.867768300000144 , -88.88200239999982","35.81781340000022 , -88.61553929999921",urban-urban,1868
"35.089411899999966 , -87.06537040000026","35.27566099999984 , -87.24809100000013",urban-urban,2061
"36.24442009999996 , -89.4555599000002","36.30639019999992 , -89.25283640000032",urban-urban,1795
"36.32974600000004 , -88.66772200000008","36.10952100000004 , -88.74477499999993",urban-urban,1908
"35.72854760000004 , -88.58819299999986","35.90333089999979 , -88.72488500000034",urban-urban,1925
"35.516974000000175 , -84.17281849999992","35.607481700000044 , -83.9420824",urban-urban,1855
"35.99743110000001 , -82.90871670000027","36.074181999999944 , -83.11846099999993",urban-urban,1632
"35.999694599999984 , -82.96613609999983","36.053493999999965 , -83.16487100000002",urban-urban,1650
"35.509842799999774 , -89.47245850000013","35.712726900000426 , -89.47507809999999",urban-urban,1950
"35.37135109999991 , -89.25825950000026","35.18358829999983 , -89.25687450000015",urban-urban,1821
"36.11999599999992 , -83.16079399999991","35.97048790000017 , -83.02346880000054",urban-urban,1824
"35.75758900000003 , -89.41463199999991","35.975397000000015 , -89.45210300000005",urban-urban,1868
"36.31017899999995 , -83.15283099999996","36.14132900000027 , -83.15974000000026",urban-urban,1686
"36.29952360000002 , -88.1304776","36.096838199999965 , -88.00158899999968",urban-urban,2039
"35.46884569999987 , -89.73027070000016","35.568325200000004 , -89.88337489999999",urban-urban,1761
"35.39828240000047 , -86.01774020000005","35.40389640000018 , -86.3152177000005",urban-urban,2015
"36.10912400000003 , -83.17706200000022","36.00070260000013 , -83.00515790000033",urban-urban,1754
"36.24607730000008 , -83.95622220000047","36.081641300000015 , -83.8319043999999",urban-urban,1997
"36.00948620000005 , -82.99722869999958","36.08893400000018 , -83.20918499999988",urban-urban,1798
"35.320153000000026 , -87.1836560000001","35.11411779999998 , -87.07429759999988",urban-urban,1811
"35.9816143000001 , -83.00661479999975","36.10408599999938 , -83.22422170000029",urban-urban,2069
"35.09131599999987 , -87.07845700000054","35.32122900000017 , -87.19251400000037",urban-urban,2054
"35.486952999999765 , -89.62679400000019","35.49150000000026 , -89.8765380000002",urban-urban,1714
"35.955516699999905 , -88.99195949999985","36.17052100000018 , -88.87435300000027",urban-urban,2026
"35.5340893999999 , -83.99227270000004","35.46044349999961 , -84.21882529999998",urban-urban,1782
"35.70407519999986 , -88.53271099999974","35.520471300000246 , -88.66448659999992",urban-urban,1914
"36.33141199999992 , -88.72447800000026","36.11516949999967 , -88.68340249999989",urban-urban,1732
"35.38217170000043 , -85.99433620000005","35.398298199999964 , -86.29304939999999",urban-urban,2018
"36.283849899999936 , -88.69550229999956","36.079911000000045 , -88.66928300000009",urban-urban,1741
"35.15815400000003 , -88.61353399999983","35.33896019999977 , -88.49250269999982",urban-urban,1891
"35.86098799999999 , -89.71631199999972","35.687680000000036 , -89.72292199999984",urban-urban,2020
"35.60422200000007 , -83.951539","35.53293699999995 , -84.18173199999988",urban-urban,2040
"36.006585700000024 , -88.66034349999994","36.20947420000006 , -88.74662220000008",urban-urban,2069
"36.17633950000002 , -85.44322619999997","36.28198599999997 , -85.69225900000028",urban-urban,2024
"36.2346825 , -89.39792000000062","36.31556959999967 , -89.20225150000098",urban-urban,1729
"35.52318379999988 , -88.5447636999997","35.75287319999998 , -88.57951460000038",urban-urban,1999
