origin,destination,area,ttpTravelTime
"28.827065000000022 , -100.16125499999993","28.957470000000058 , -100.3565940000001",urban-urban,1668
"30.57715399999988 , -94.09436300000006","30.761310999999992 , -93.95517100000002",urban-urban,1820
"26.857539000000003 , -98.79861300000056","26.67032499999995 , -98.66776200000001",urban-urban,1955
"36.28725749999999 , -101.16603500000045","36.31888400000001 , -100.82060000000007",urban-urban,1885
"34.485532000000056 , -101.69969299999941","34.766540999999876 , -101.66999700000012",urban-urban,1978
"36.2463850000002 , -100.98426599999958","36.005306999999945 , -101.08636200000012",urban-urban,1866
"27.017654500000013 , -98.65030099999987","27.051044999999966 , -98.3981429999999",urban-urban,2068
"33.95589300000024 , -102.28010200000031","33.963216000000074 , -101.8754510000003",urban-urban,2045
"31.129398000000158 , -95.1600200000004","30.88535500000009 , -95.07439800000044",urban-urban,2062
"34.91211199999998 , -102.68697300000056","34.893903999999985 , -102.30745200000044",urban-urban,2065
"27.1622400000001 , -99.1241410000001","26.9658239999999 , -99.00264100000025",urban-urban,1938
"33.74565700000007 , -98.26067599999995","33.49185999999991 , -98.264303",urban-urban,1856
"33.344032999999996 , -102.99932109999988","33.06617390000014 , -103.06323500000002",urban-urban,2006
"35.969901000000014 , -101.07694900000007","36.198616999999956 , -101.14642599999996",urban-urban,1783
"35.65031200000006 , -100.91915370000025","35.86998400000005 , -101.02840399999982",urban-urban,1900
"30.931416000000002 , -93.89042500000002","30.73519599999996 , -93.86415100000026",urban-urban,1776
"27.16970200000005 , -99.10236999999992","27.315771999999964 , -99.2934049999999",urban-urban,2044
"35.38302300000005 , -100.82387100000004","35.37142799999997 , -101.13208300000018",urban-urban,1791
"31.440742999999998 , -105.88585300000034","31.683112000000094 , -105.8405180000005",urban-urban,2015
"27.11759700000015 , -98.4620839999997","26.928598000000328 , -98.29487900000063",urban-urban,2053
"31.611784999999987 , -105.94798900000005","31.465584999999784 , -105.76062099999979",urban-urban,1879
"30.77346100000001 , -104.5711549999998","30.964828000000033 , -104.77460999999998",urban-urban,1949
"28.93383899999994 , -97.20963900000027","29.06647499999998 , -96.9890470000001",urban-urban,1956
"34.26702600000001 , -102.64894300000006","34.598826999999915 , -102.63985600000018",urban-urban,2014
"28.58179099999989 , -100.06539000000043","28.35129000000001 , -100.1717699999996",urban-urban,2049
"27.600934999999915 , -97.48663900000011","27.420164000000028 , -97.62527099999987",urban-urban,1743
"31.54458800000009 , -105.73864699999967","31.41086699999989 , -105.53525200000021",urban-urban,1952
"28.271536000000005 , -99.47432199999923","28.061871000000004 , -99.645589",urban-urban,1885
"31.35060599999988 , -105.51796600000036","31.426948999999794 , -105.76264599999989",urban-urban,2002
"31.619136999999952 , -106.10612499999993","31.685857999999953 , -105.85515000000001",urban-urban,1764
"30.843883999999992 , -94.06345900000015","30.78727500000007 , -93.83765899999949",urban-urban,2066
"35.915823000000145 , -101.18916000000019","36.16817399999991 , -101.30743899999987",urban-urban,1966
"35.97415199999997 , -102.68893400000002","36.054143099999855 , -102.99808760000029",urban-urban,1958
"35.980256 , -100.87533399999961","35.984324000000086 , -100.55576199999928",urban-urban,1689
"26.770357999999995 , -97.84105200000026","26.733392999999985 , -98.08022199999986",urban-urban,2048
"31.794363000000057 , -94.04230200000009","32.001899300000105 , -94.16091420000015",urban-urban,1931
"29.549264000000033 , -103.64114799999984","29.478620799999966 , -103.37249879999989",urban-urban,1975
"27.405205999999918 , -99.19289600000016","27.263393999999934 , -99.40597300000016",urban-urban,2001
"33.481797550000024 , -98.42206900000036","33.49070499999995 , -98.73965700000011",urban-urban,2014
"34.98597399999997 , -101.62143100000006","35.275691999999886 , -101.57646200000043",urban-urban,1819
"31.283390750000187 , -95.23496800000046","31.29376320000013 , -94.97755960000002",urban-urban,1742
"31.88467100000006 , -106.1332129999999","31.96399299999992 , -105.87552900000027",urban-urban,1876
"27.01206599999991 , -98.42465599999974","27.004857125000004 , -98.68797325000041",urban-urban,2007
"35.10426200000006 , -102.87053300000031","35.240495999999915 , -102.62566599999985",urban-urban,2051
"26.984347999999972 , -98.56678800000029","27.04926099999985 , -98.33176400000004",urban-urban,1860
"31.502699999999965 , -105.76284699999974","31.634729000000025 , -105.48928099999989",urban-urban,1995
"29.47103800000003 , -103.96216420000012","29.583602799999944 , -104.20506100000031",urban-urban,1933
"26.96248199999999 , -98.63139400000011","26.895774000000014 , -98.3654750000001",urban-urban,2019
"35.03187100000004 , -102.85200800000038","34.77005399999994 , -102.93675100000084",urban-urban,1952
"26.634269000000007 , -97.85011270000004","26.652765000000215 , -97.6101760000002",urban-urban,1698
"26.8233431250001 , -97.64478562499983","26.638875000000013 , -97.53543899999994",urban-urban,1803
